currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1520694870182;1;0;0;1400832;333762;1865591
1520694870282;11;5;2;35831808;335158;1866316
1520694870382;21;13;4;70782976;336406;1867076
1520694870482;31;23;4;70782976;336718;1869871
1520694870582;41;32;4;70782976;336718;1869871
1520694870683;51;42;5;70782976;336718;1869871
1520694870783;61;51;5;70782976;336718;1869871
1520694870883;71;60;6;70782976;336718;1869871
1520694870983;81;70;6;70782976;336718;1869871
1520694871083;91;79;6;70782976;336718;1869871
1520694871183;101;88;8;70782976;336718;1869871
1520694871284;111;98;8;70782976;336718;1869871
1520694871384;121;107;8;70782976;336718;1869871
1520694871484;131;117;8;70782976;337180;1888319
1520694871584;141;127;8;70782976;337388;1888423
1520694871684;151;136;8;70782976;337388;1888423
1520694871784;161;146;9;70782976;337388;1888423
1520694871885;171;155;9;70782976;337388;1888423
1520694871985;181;165;10;70782976;337388;1888423
1520694872085;191;174;10;70782976;337388;1888423
1520694872185;201;184;10;70782976;337388;1888423
1520694872285;211;194;10;70782976;337388;1888423
1520694872385;221;203;11;70782976;337388;1888423
1520694872486;231;212;12;70782976;337434;1888475
1520694872586;241;222;12;70782976;338162;1906980
1520694872686;251;231;12;70782976;338162;1906980
1520694872786;261;241;12;70782976;338162;1906980
1520694872886;271;250;13;70782976;338162;1906980
1520694872987;281;259;14;70782976;338162;1906980
1520694873087;291;268;14;70782976;338162;1906980
1520694873187;301;278;15;70782976;338162;1906980
1520694873287;311;288;15;70782976;338162;1906980
1520694873387;321;297;16;70782976;338162;1906980
1520694873487;331;306;16;70782976;338162;1906980
1520694873587;341;315;16;70782976;338832;1925431
1520694873687;351;325;16;70782976;339008;1925599
1520694873787;361;335;17;70782976;339008;1925599
1520694873887;371;344;17;70782976;339008;1925599
1520694873987;381;353;18;70782976;339008;1925599
1520694874088;391;362;19;70782976;339008;1925599
1520694874188;401;371;20;70782976;339008;1925599
1520694874288;411;381;20;70782976;339008;1925599
1520694874388;421;390;20;70782976;339008;1925599
1520694874488;431;400;21;70782976;339008;1925599
1520694874588;441;409;22;70782976;339736;1943874
1520694874688;451;417;23;70782976;339736;1943874
1520694874788;461;427;23;70782976;339782;1943926
1520694874888;471;436;23;70782976;339782;1943926
1520694874988;481;446;24;70782976;339782;1943926
1520694875088;491;455;25;70782976;339782;1943926
1520694875188;501;464;25;70782976;339782;1943926
1520694875289;511;474;25;70782976;339782;1943926
1520694875389;521;484;26;70782976;339782;1943926
1520694875489;531;493;26;70782976;339782;1943926
1520694875589;541;503;26;70782976;340406;1962424
1520694875689;551;512;26;70782976;340406;1962424
1520694875789;561;522;26;70782976;340406;1962424
1520694875890;571;532;26;70782976;340452;1962476
1520694875990;581;541;27;70782976;340452;1962476
1520694876090;592;550;27;70782976;340452;1962476
1520694876191;602;560;27;70782976;340452;1962476
1520694876291;612;570;27;70782976;340452;1962476
1520694876391;622;579;28;70782976;340452;1962476
1520694876491;632;589;28;70782976;340452;1962476
1520694876591;642;598;29;70782976;341180;1980459
1520694876691;652;608;29;70782976;341180;1980459
1520694876792;662;617;30;70782976;341180;1980459
1520694876892;672;626;30;70782976;341226;1980511
1520694876992;682;636;30;70782976;341402;1980679
1520694877092;692;645;31;70782976;341402;1980679
1520694877192;702;655;31;70782976;341402;1980679
1520694877292;712;665;31;70782976;341402;1980679
1520694877393;722;674;32;70782976;341402;1980679
1520694877493;732;684;32;70782976;341402;1980679
1520694877593;742;693;32;70782976;342078;1998644
1520694877693;752;702;33;70782976;342078;1998644
1520694877793;762;712;33;70782976;342078;1998644
1520694877894;772;722;33;70782976;342078;1998644
1520694877994;782;731;34;70782976;342224;1998696
1520694878094;792;741;34;70782976;342224;1998696
1520694878194;802;750;34;70782976;342224;1998696
1520694878294;812;759;36;70782976;342224;1998696
1520694878394;822;768;36;70782976;342224;1998696
1520694878494;832;778;36;70782976;342224;1998696
1520694878594;842;786;37;70782976;342900;2016954
1520694878695;852;796;37;70782976;342900;2016954
1520694878795;862;806;37;70782976;342900;2016954
1520694878895;872;816;38;70782976;342900;2016954
1520694878995;882;825;38;70782976;342946;2017006
1520694879095;892;835;38;70782976;342946;2017006
1520694879195;902;843;40;70782976;342946;2017006
1520694879295;912;852;40;70782976;342946;2017006
1520694879395;922;861;41;70782976;342946;2017006
1520694879495;932;871;42;70782976;342946;2017006
1520694879596;942;880;42;70782976;343570;2035355
1520694879696;952;890;42;70782976;343570;2035355
1520694879796;962;898;43;70782976;343570;2035355
1520694879896;972;908;44;70782976;343570;2035355
1520694879996;982;918;44;70782976;343570;2035355
1520694880096;992;927;44;70782976;343616;2035407
1520694880197;1002;937;44;70782976;343616;2035407
1520694880297;1012;946;45;70782976;343792;2035575
1520694880397;1022;955;46;70782976;343792;2035575
1520694880497;1032;964;46;70782976;343792;2035575
1520694880597;1042;974;47;70782976;344520;2053941
1520694880697;1052;982;48;70782976;344520;2053941
1520694880798;1062;992;48;70782976;344520;2053941
1520694880898;1072;1002;48;70782976;344520;2053941
1520694880998;1082;1011;49;70782976;344520;2053941
1520694881099;1092;1021;49;70782976;344520;2053941
1520694881199;1102;1030;50;70782976;344520;2053941
1520694881299;1112;1040;50;70782976;344520;2053941
1520694881399;1122;1050;50;70782976;344566;2053993
1520694881499;1132;1058;51;70782976;344566;2053993
1520694881600;1142;1068;51;70782976;345190;2072109
1520694881700;1152;1077;52;70782976;345190;2072109
1520694881800;1162;1086;52;70782976;345190;2072109
1520694881900;1172;1096;53;70782976;345190;2072109
1520694882000;1183;1105;54;70782976;345190;2072109
1520694882100;1193;1115;54;70782976;345190;2072109
1520694882201;1203;1124;54;70782976;345190;2072109
1520694882301;1213;1133;55;70782976;345190;2072109
1520694882401;1223;1142;56;70782976;345190;2072109
1520694882501;1233;1151;57;70782976;345236;2072161
1520694882601;1243;1160;57;70782976;345964;2090795
1520694882702;1253;1169;58;70782976;345964;2090795
1520694882802;1263;1178;59;70782976;345964;2090795
1520694882902;1273;1187;60;70782976;345964;2090795
1520694883002;1283;1196;60;70782976;345964;2090795
1520694883102;1293;1206;61;70782976;345964;2090795
1520694883202;1303;1215;62;70782976;345964;2090795
1520694883303;1313;1224;62;70782976;345964;2090795
1520694883403;1323;1234;62;70782976;345964;2090795
1520694883503;1333;1244;62;70782976;346010;2090847
1520694883603;1343;1253;63;70782976;346686;2109121
1520694883703;1353;1263;63;70782976;346862;2109289
1520694883803;1363;1272;64;70782976;346862;2109289
1520694883904;1373;1282;64;70782976;346862;2109289
1520694884004;1383;1292;64;70782976;346862;2109289
1520694884104;1393;1301;64;70782976;346862;2109289
1520694884204;1403;1311;64;70782976;346862;2109289
1520694884304;1413;1320;64;70782976;346862;2109289
1520694884404;1423;1330;64;70782976;346862;2109289
1520694884505;1433;1340;64;70782976;346862;2109289
1520694884605;1443;1349;65;70782976;347538;2127555
1520694884705;1453;1358;66;70782976;347642;2127607
1520694884805;1463;1368;66;70782976;347688;2127659
1520694884905;1473;1377;67;70782976;347688;2127659
1520694885005;1483;1386;68;70782976;347688;2127659
1520694885106;1493;1396;68;70782976;347688;2127659
1520694885206;1503;1406;68;70782976;347688;2127659
1520694885306;1513;1415;68;70782976;347688;2127659
1520694885407;1523;1425;68;70782976;347688;2127659
1520694885507;1533;1434;69;70782976;347688;2127659
1520694885607;1543;1443;70;70782976;348000;2137724
1520694885707;1553;1452;71;70782976;348364;2146140
1520694885807;1563;1461;71;70782976;348410;2146192
1520694885907;1573;1471;72;70782976;348410;2146192
1520694886008;1583;1480;72;70782976;348410;2146192
1520694886108;1593;1490;72;70782976;348410;2146192
1520694886208;1603;1500;72;70782976;348410;2146192
1520694886308;1613;1508;73;70782976;348410;2146192
1520694886408;1623;1518;74;70782976;348410;2146192
1520694886508;1633;1528;74;70782976;348410;2146192
1520694886609;1643;1537;74;70782976;348722;2155139
1520694886709;1653;1547;74;70782976;349086;2164256
1520694886809;1663;1555;76;70782976;349086;2164256
1520694886909;1673;1565;76;70782976;349132;2164308
1520694887009;1683;1574;76;70782976;349308;2164476
1520694887110;1693;1584;76;70782976;349308;2164476
1520694887210;1703;1594;76;70782976;349308;2164476
1520694887310;1714;1603;77;70782976;349308;2164476
1520694887410;1723;1612;78;70782976;349308;2164476
1520694887510;1734;1622;78;70782976;349308;2164476
1520694887610;1743;1631;78;70782976;349620;2173008
1520694887710;1753;1640;80;70782976;349984;2182318
1520694887810;1764;1649;80;70782976;350372;2182318
1520694887910;1773;1658;81;70782976;350372;2182318
1520694888010;1783;1667;82;70782976;350418;2182370
1520694888110;1794;1677;82;70782976;350418;2182370
1520694888210;1803;1682;82;70782976;350418;2182370
1520694888310;1814;1682;82;70782976;350418;2182370
1520694888411;1824;1682;82;70782976;350418;2182370
1520694888511;1834;1682;82;70782976;350418;2182370
1520694888611;1844;1682;83;70782976;350574;2187600
1520694888712;1854;1682;83;70782976;350938;2192571
