currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522064804878;0;0;0;1400832;22838376;31268404
1522064804979;10;3;3;25112576;22838376;31268404
1522064805079;20;3;4;25235456;22838492;31268516
1522064805179;30;8;4;26284032;22839140;31269495
1522064805279;40;17;4;26284032;22840436;31271525
1522064805379;50;27;4;26284032;22841840;31273725
1522064805480;60;37;4;26284032;22843136;31275756
1522064805580;70;44;6;26284032;22844540;31277955
1522064805680;80;54;7;26284032;22845836;31279988
1522064805780;90;62;8;26284032;22847240;31282192
1522064805880;100;72;8;26284032;22848536;31284225
1522064805980;110;80;9;26284032;22849940;31286426
1522064806081;120;90;10;26284032;22851236;31288459
1522064806181;130;97;12;26284032;22852640;31290660
1522064806281;140;105;14;26284032;22853936;31292692
1522064806381;150;113;16;26284032;22855340;31294897
1522064806481;160;121;17;26284032;22856636;31296929
1522064806582;170;130;18;26284032;22858040;31299131
1522064806682;180;139;19;26284032;22859336;31301165
1522064806782;190;149;19;26284032;22860740;31303367
1522064806882;200;159;19;26284032;22862036;31305399
1522064806983;210;169;19;26284032;22863440;31307599
1522064807083;220;178;20;26284032;22864736;31309630
1522064807183;230;187;20;26284032;22866140;31311828
1522064807283;240;197;20;26284032;22867436;31313862
1522064807384;250;206;21;26284032;22868840;31316064
1522064807484;260;215;21;26284032;22870136;31318096
1522064807584;271;223;23;26284032;22871540;31320305
1522064807684;280;231;25;26284032;22872836;31322344
1522064807785;291;240;25;26284032;22874132;31324377
1522064807885;301;250;26;26284032;22875536;31326579
1522064807985;311;260;26;26284032;22876832;31328616
1522064808085;321;269;26;26284032;22878236;31330817
1522064808185;331;278;26;26284032;22879532;31332848
1522064808286;341;286;29;26284032;22880936;31335051
1522064808386;351;294;30;26284032;22882232;31337084
1522064808486;361;302;32;26284032;22883636;31339288
1522064808586;371;310;34;26284032;22884932;31341321
1522064808687;381;320;34;26284032;22886336;31343526
1522064808787;391;329;34;26284032;22887632;31345562
1522064808887;401;339;35;26284032;22889036;31347764
1522064808988;411;347;36;26284032;22890332;31349799
1522064809088;421;354;39;26284032;22891736;31352002
1522064809188;431;363;40;26284032;22893032;31354034
1522064809288;441;372;40;26284032;22894328;31356067
1522064809388;451;382;41;26284032;22895732;31358272
1522064809488;461;391;41;26284032;22897028;31360307
1522064809588;471;400;42;26284032;22898432;31362508
1522064809689;481;408;43;26284032;22899728;31364541
1522064809789;491;417;45;26284032;22901132;31366746
1522064809889;501;424;47;26284032;22902428;31368780
1522064809989;511;434;47;26284032;22903832;31370984
1522064810089;521;444;47;26284032;22905128;31373015
1522064810189;531;453;48;26284032;22906424;31375047
1522064810289;541;460;50;26284032;22907828;31377250
1522064810390;551;470;50;26284032;22909124;31379282
1522064810490;561;480;50;26284032;22910420;31381314
