currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522065337869;0;0;0;1400832;24585779;34074101
1522065337969;10;5;3;16650240;24585779;34074101
1522065338069;20;13;4;26353664;24587665;34077251
1522065338170;30;19;4;26353664;24589081;34079637
1522065338270;40;27;5;26353664;24591028;34082918
1522065338370;50;34;6;26353664;24592975;34086198
1522065338470;60;42;7;26353664;24594922;34089478
1522065338570;70;50;7;26353664;24596869;34092759
1522065338670;80;57;8;26353664;24598462;34095446
1522065338770;90;64;9;26353664;24600409;34098730
1522065338870;100;72;10;26353664;24602356;34102012
1522065338970;110;79;11;26353664;24604542;34105509
1522065339070;120;86;12;26353664;24606666;34109090
1522065339171;130;93;13;26353664;24608436;34112074
1522065339271;140;102;14;26353664;24610383;34115355
1522065339371;150;110;14;26353664;24612330;34118640
1522065339471;160;118;14;26353664;24614277;34121924
1522065339571;170;126;14;26353664;24616224;34125203
1522065339671;180;134;14;26353664;24617817;34127889
1522065339771;190;141;15;26353664;24619764;34131174
1522065339872;200;149;16;26353664;24621950;34134670
1522065339972;210;156;17;26353664;24623720;34137655
1522065340072;220;164;18;26353664;24625667;34140937
1522065340173;230;170;19;26353664;24627437;34143918
1522065340273;240;177;20;26353664;24629384;34147199
1522065340373;250;185;21;26353664;24631331;34150478
1522065340473;260;193;21;26353664;24633278;34153761
1522065340574;270;202;21;26353664;24635225;34157045
1522065340674;280;209;21;26353664;24636818;34159728
1522065340774;290;217;22;26353664;24638765;34163012
1522065340874;301;224;23;26353664;24640774;34166217
1522065340974;311;232;24;26353664;24642721;34169506
1522065341074;320;240;24;26353664;24644668;34172789
1522065341174;330;246;25;26353664;24646438;34175772
1522065341274;340;254;26;26353664;24648474;34179058
1522065341374;350;262;26;26353664;24650421;34182341
1522065341474;361;270;27;26353664;24652368;34185623
1522065341575;371;278;28;26353664;24654315;34188903
1522065341675;381;286;28;26353664;24656085;34191888
1522065341775;391;294;28;26353664;24658271;34195386
1522065341875;401;302;29;26353664;24660218;34198671
1522065341975;411;310;29;26353664;24662165;34201952
1522065342075;421;317;30;26353664;24663935;34204941
1522065342175;431;323;31;26353664;24665705;34207926
1522065342275;441;330;32;26353664;24667475;34210911
1522065342375;451;338;33;26353664;24669422;34214194
1522065342475;461;346;33;26353664;24671369;34217478
1522065342575;471;354;34;26353664;24673316;34220761
1522065342676;481;361;34;26353664;24675086;34223744
1522065342776;491;369;35;26353664;24677095;34226943
