currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522067274340;0;0;0;1400832;30017134;40188355
1522067274441;10;7;1;16650240;30017134;40188355
1522067274541;20;13;2;26345472;30023603;40195338
1522067274641;30;20;3;26345472;30031418;40202153
1522067274741;40;27;4;26345472;30039284;40209726
1522067274841;50;34;4;26345472;30046362;40216540
1522067274941;60;40;5;26345472;30053498;40224113
1522067275041;70;48;5;26345472;30061315;40230927
1522067275141;80;54;6;26345472;30068532;40237744
1522067275241;90;61;6;26345472;30074830;40243804
1522067275341;100;68;6;26345472;30081965;40251380
1522067275441;110;74;6;26345472;30089784;40258196
1522067275541;120;80;7;26345472;30096418;40265279
1522067275641;130;88;7;26345472;30104237;40272148
1522067275741;140;95;8;26345472;30111323;40278965
1522067275841;150;101;9;26345472;30119192;40286538
1522067275942;160;108;9;26345472;30126270;40293353
1522067276042;170;115;10;26345472;30134141;40300930
1522067276142;180;122;10;26345472;30140492;40307747
1522067276242;190;128;10;26345472;30148309;40314563
1522067276343;200;135;11;26345472;30155386;40321377
1522067276443;210;142;12;26345472;30163262;40328954
1522067276543;220;148;12;26345472;30170342;40335771
1522067276643;230;155;13;26345472;30177710;40342907
1522067276743;240;162;14;26345472;30185182;40349724
1522067276844;250;169;14;26345472;30193051;40357297
1522067276944;260;175;15;26345472;30200130;40364111
1522067277044;270;182;15;26345472;30207265;40371683
1522067277144;281;189;16;26345472;30215082;40378497
1522067277245;291;196;16;26345472;30222162;40385313
1522067277345;301;203;16;26345472;30230033;40392888
1522067277445;311;210;17;26345472;30237114;40399705
1522067277545;321;217;17;26345472;30244194;40406520
1522067277645;331;223;18;26345472;30252119;40414148
1522067277745;341;230;19;26345472;30259447;40421237
1522067277845;351;236;19;26345472;30265748;40427301
1522067277946;361;242;20;26345472;30271308;40433363
1522067278046;371;248;20;26345472;30279124;40440179
1522067278146;381;255;20;26345472;30286296;40446994
1522067278246;391;261;22;26345472;30294169;40454573
1522067278346;401;268;22;26345472;30301251;40461390
1522067278447;411;274;23;26345472;30308330;40468205
1522067278547;421;281;24;26345472;30315411;40475021
1522067278647;431;288;24;26345472;30322490;40481837
1522067278747;441;295;24;26345472;30329568;40488654
1522067278847;451;301;24;26345472;30336204;40495791
1522067278948;461;307;26;26345472;30343287;40502609
1522067279048;471;314;26;26345472;30351101;40509425
1522067279148;481;320;27;26345472;30358276;40516244
1522067279248;491;327;28;26345472;30365412;40523820
1522067279348;501;334;28;26345472;30373281;40530638
1522067279448;511;340;28;26345472;30379630;40537455
1522067279548;521;346;29;26345472;30386661;40543515
1522067279649;531;353;30;26345472;30393798;40551091
1522067279749;541;360;30;26345472;30401613;40557909
1522067279849;551;367;30;26345472;30408695;40564725
1522067279949;561;374;30;26345472;30415280;40571104
1522067280050;571;380;32;26345472;30423149;40578677
1522067280150;581;386;32;26345472;30430234;40585496
1522067280250;591;393;33;26345472;30437320;40592314
1522067280350;601;399;34;26345472;30444407;40599133
1522067280450;611;405;34;26345472;30450755;40605948
1522067280550;621;410;35;26345472;30456998;40611250
1522067280651;631;417;36;26345472;30464078;40618066
1522067280751;641;423;37;26345472;30471165;40624885
1522067280851;651;430;37;26345472;30479043;40632463
1522067280951;661;437;38;26345472;30486179;40640037
1522067281051;671;442;39;26345472;30493501;40646416
1522067281152;681;449;40;26345472;30500582;40653230
1522067281252;691;455;41;26345472;30508452;40660804
1522067281352;701;462;42;26345472;30515536;40667621
1522067281452;711;468;42;26345472;30522670;40675196
1522067281552;721;475;44;26345472;30530483;40682011
1522067281653;731;481;44;26345472;30537565;40688827
1522067281753;741;488;46;26345472;30545434;40696402
1522067281853;751;494;46;26345472;30552517;40703218
1522067281954;761;501;47;26345472;30560391;40710794
1522067282054;771;508;48;26345472;30566689;40716853
1522067282154;781;514;48;26345472;30574150;40723990
1522067282254;792;521;49;26345472;30581235;40730805
1522067282354;802;528;49;26345472;30588372;40738379
1522067282454;811;535;49;26345472;30595450;40745193
1522067282554;822;540;50;26345472;30602481;40751251
1522067282654;831;547;51;26345472;30609563;40758069
1522067282754;841;553;52;26345472;30616699;40765645
1522067282854;852;560;53;26345472;30624515;40772462
1522067282955;862;566;54;26345472;30631593;40779277
1522067283055;872;573;54;26345472;30638671;40786092
1522067283155;882;580;55;26345472;30645752;40792905
1522067283255;892;586;55;26345472;30653121;40800039
1522067283355;902;592;57;26345472;30659467;40806853
1522067283455;912;599;57;26345472;30667283;40813666
1522067283555;922;605;58;26345472;30673581;40819724
1522067283655;932;612;58;26345472;30680664;40826540
1522067283755;942;619;58;26345472;30687745;40833354
1522067283856;952;626;58;26345472;30694824;40840168
1522067283956;962;632;58;26345472;30701170;40846982
1522067284056;972;639;59;26345472;30708985;40853796
