currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1520701382017;0;0;0;1400832;27731078;10654450
1520701382118;10;5;4;201318400;27731078;10654450
1520701382218;20;14;5;202891264;27731078;10654450
1520701382319;30;23;6;205238272;27731078;10654450
1520701382419;40;32;6;205238272;27731078;10654450
1520701382519;50;41;7;206090240;27731078;10654450
1520701382619;60;50;8;208232448;27731078;10654450
1520701382720;70;59;9;210083840;27731078;10654450
1520701382820;80;68;10;210083840;27731078;10654450
1520701382920;90;77;10;210083840;27731078;10654450
1520701383020;101;86;11;210083840;27731078;10654450
1520701383121;111;96;11;210083840;27731078;10654450
1520701383221;121;105;12;210083840;27731078;10654450
1520701383321;131;114;12;210083840;27731078;10654450
1520701383421;141;124;13;210083840;27731078;10654450
1520701383521;151;133;13;210083840;27731078;10654450
1520701383621;161;143;13;210083840;27731078;10654450
1520701383721;171;152;14;210083840;27731078;10654450
1520701383822;181;162;14;210083840;27731078;10654450
1520701383922;191;172;14;210083840;27731078;10654450
1520701384023;201;181;14;210083840;27731078;10654450
1520701384123;211;190;14;210161664;27731078;10654450
1520701384223;221;199;15;210161664;27731078;10654450
1520701384323;231;209;15;210161664;27731078;10654450
1520701384424;241;218;16;210161664;27731078;10654450
1520701384524;251;226;18;210161664;27731078;10654450
1520701384624;261;235;19;210161664;27731078;10654450
1520701384724;271;244;19;210161664;27731078;10654450
1520701384825;281;251;21;239796224;27731078;10654450
1520701384925;291;259;22;239796224;27731078;10654450
1520701385025;301;267;23;239796224;27731078;10654450
1520701385125;311;275;25;240963584;27731078;10654450
1520701385226;321;284;26;242667520;27731078;10654450
1520701385326;331;294;26;242667520;27731078;10654450
1520701385427;341;303;27;242667520;27731078;10654450
1520701385527;351;313;27;242667520;27731078;10654450
1520701385627;361;322;27;242667520;27731078;10654450
1520701385728;371;332;27;242667520;27731078;10654450
1520701385828;381;341;28;242667520;27731078;10654450
1520701385928;391;351;28;242802688;27731339;10654715
1520701386028;401;359;30;242802688;27731483;10654848
1520701386129;411;368;30;242802688;27731875;10654986
1520701386229;421;377;30;243851264;27731875;10654986
1520701386329;431;386;31;243851264;27731875;10654986
1520701386429;441;396;32;243851264;27731875;10654986
1520701386529;451;404;33;243851264;27731875;10654986
1520701386629;461;412;35;243851264;27731875;10654986
1520701386729;471;421;36;243851264;27731875;10654986
1520701386830;481;431;36;243851264;27731875;10654986
1520701386930;491;439;38;243851264;27731875;10654986
1520701387031;502;448;38;243851264;27731875;10654986
1520701387131;512;458;38;244899840;27731921;10655038
1520701387231;522;468;38;244899840;27731921;10655038
1520701387331;532;477;39;245043200;27731921;10655038
1520701387431;542;486;40;245043200;27731921;10655038
1520701387531;552;495;40;245043200;27731921;10655038
1520701387631;562;505;40;245043200;27731921;10655038
1520701387732;572;513;42;245043200;27731921;10655038
1520701387832;582;523;42;245043200;27731921;10655038
1520701387932;592;532;43;245043200;27732017;10655038
1520701388032;602;540;44;245043200;27732409;10655176
1520701388132;612;550;44;245043200;27732409;10655176
1520701388235;622;560;44;245043200;27732409;10655176
1520701388335;632;568;45;246091776;27732409;10655176
1520701388435;642;578;46;246091776;27732409;10655176
1520701388535;652;587;47;247238656;27732409;10655176
1520701388636;662;595;48;247238656;27732409;10655176
1520701388736;672;605;48;247238656;27732409;10655176
1520701388836;682;614;49;247238656;27732409;10655176
1520701388936;692;623;50;247537664;27732409;10655176
1520701389036;702;631;51;247537664;27732409;10655176
1520701389136;712;640;53;247537664;27732455;10655228
1520701389236;722;648;54;247537664;27732455;10655228
1520701389337;732;658;54;247537664;27732455;10655228
1520701389437;742;665;55;248586240;27732455;10655228
1520701389537;752;674;56;248913920;27732455;10655228
1520701389638;762;683;57;248934400;27732455;10655228
1520701389738;772;691;59;249065472;27732455;10655228
1520701389838;782;700;59;249065472;27732455;10655228
1520701389938;792;709;59;249159680;27732455;10655228
1520701390038;802;718;60;249450496;27732455;10655228
1520701390138;812;728;60;249454592;27732501;10655280
1520701390239;822;738;60;249454592;27732501;10655280
1520701390339;832;748;60;249454592;27732501;10655280
1520701390439;842;758;60;249454592;27732501;10655280
1520701390539;852;767;60;249454592;27732501;10655280
1520701390639;862;777;60;249454592;27732501;10655280
1520701390739;872;786;61;250503168;27732501;10655280
1520701390839;882;795;62;250503168;27732501;10655280
1520701390939;892;804;63;250503168;27732501;10655280
1520701391039;902;812;64;250503168;27732617;10655392
1520701391139;912;820;66;250503168;27732617;10655392
1520701391239;922;828;68;250503168;27732617;10655392
1520701391340;932;837;68;250503168;27732663;10655444
1520701391440;942;847;68;250503168;27732787;10655560
1520701391542;953;856;68;250503168;27733603;10655928
1520701391642;963;866;69;250503168;27733603;10655928
1520701391743;973;875;69;250503168;27733603;10655928
1520701391843;983;884;70;250503168;27733603;10655928
1520701391943;993;893;71;250503168;27733603;10655928
1520701392043;1003;902;72;250503168;27733603;10655928
1520701392143;1013;912;72;251551744;27733603;10655928
1520701392243;1023;922;72;251551744;27733894;10656079
1520701392343;1033;930;73;251551744;27733894;10656079
1520701392444;1043;938;74;251551744;27734056;10656243
1520701392544;1053;947;75;251551744;27734406;10656371
1520701392644;1063;956;76;251551744;27734452;10656423
1520701392744;1073;964;77;251551744;27734616;10656799
1520701392845;1083;973;78;251551744;27734732;10656911
1520701392945;1093;982;79;251551744;27735410;10657794
1520701393045;1103;990;81;251551744;27735738;10658536
1520701393145;1113;999;81;251551744;27735902;10658907
1520701393245;1123;1008;82;251551744;27736112;10659327
1520701393345;1133;1018;82;251551744;27736440;10660064
1520701393445;1143;1027;82;251551744;27736604;10660435
