currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522071144609;0;0;0;1400832;39249103;50475653
1522071144709;10;7;2;201318400;39249103;50475653
1522071144809;20;16;3;202891264;39249103;50475653
1522071144909;30;23;5;205238272;39249103;50475653
1522071145009;40;32;6;205238272;39249103;50475653
1522071145109;50;41;7;206090240;39249103;50475653
1522071145209;60;49;9;208232448;39249103;50475653
1522071145310;70;58;10;210112512;39249103;50475653
1522071145410;80;66;11;210112512;39249103;50475653
1522071145510;90;76;11;210112512;39249103;50475653
1522071145610;100;86;11;210112512;39249103;50475653
1522071145711;110;96;11;210112512;39249103;50475653
1522071145811;120;104;12;210112512;39249103;50475653
1522071145911;130;114;12;210112512;39249103;50475653
1522071146011;140;123;14;210112512;39249103;50475653
1522071146112;150;132;14;210112512;39249103;50475653
1522071146212;160;141;14;239730688;39249103;50475653
1522071146313;170;150;16;239730688;39249491;50475653
1522071146413;180;158;17;240058368;39249491;50475653
1522071146513;190;167;18;240521216;39249607;50475765
1522071146613;200;175;19;241176576;39249715;50475901
1522071146713;210;184;20;241197056;39249715;50475901
1522071146813;220;192;22;241328128;39249715;50475901
1522071146913;230;201;23;241328128;39249715;50475901
1522071147014;240;209;24;241328128;39249715;50475901
1522071147114;250;218;25;241328128;39249715;50475901
1522071147214;260;227;26;241328128;39249715;50475901
1522071147314;271;237;26;241328128;39249715;50475901
1522071147415;281;246;27;241328128;39249715;50475901
1522071147515;291;255;28;241328128;39249715;50475901
1522071147615;301;264;28;241328128;39249761;50475953
1522071147715;311;274;28;241328128;39249761;50475953
1522071147815;321;282;29;241692672;39249761;50475953
1522071147915;331;292;30;241696768;39249761;50475953
1522071148015;341;301;30;241696768;39249761;50475953
1522071148116;351;309;32;242745344;39249761;50475953
1522071148216;361;318;32;243793920;39249761;50475953
1522071148316;371;328;33;243793920;39249761;50475953
1522071148416;381;337;34;243793920;39249761;50475953
1522071148516;391;346;35;243793920;39249761;50475953
1522071148616;401;355;35;243793920;39249761;50475953
1522071148716;411;364;36;243793920;39249761;50475953
1522071148816;421;374;36;243793920;39249807;50476005
1522071148916;431;383;37;243793920;39249807;50476005
1522071149017;441;392;38;243793920;39249807;50476005
1522071149117;451;401;38;244842496;39249807;50476005
1522071149217;461;410;39;244842496;39249807;50476005
1522071149318;471;420;39;244842496;39249807;50476005
1522071149418;481;429;40;244842496;39249807;50476005
1522071149518;491;438;40;244842496;39249807;50476005
1522071149618;501;448;40;244842496;39249807;50476005
1522071149718;511;456;42;244842496;39249807;50476005
1522071149818;521;465;43;244842496;39249807;50476005
1522071149918;531;474;44;245891072;39249807;50476005
1522071150018;541;484;44;245891072;39249853;50476057
1522071150118;551;493;44;245891072;39249853;50476057
1522071150219;561;502;44;245891072;39249853;50476057
1522071150319;571;512;45;245891072;39249853;50476057
1522071150419;581;522;45;245891072;39249853;50476057
1522071150519;591;530;46;245891072;39249853;50476057
1522071150620;601;540;47;245891072;39249853;50476057
1522071150720;611;549;48;245891072;39249853;50476057
1522071150821;621;557;48;245891072;39249961;50476320
1522071150921;631;567;48;245891072;39249961;50476320
1522071151021;641;574;49;245891072;39250069;50476584
1522071151121;651;582;50;245891072;39250177;50476849
1522071151221;661;590;51;245891072;39250285;50477107
1522071151321;671;597;52;245891072;39250393;50477365
1522071151421;681;604;52;245891072;39250501;50477623
1522071151521;691;610;54;245891072;39250609;50477878
1522071151621;701;618;55;245891072;39250717;50478136
1522071151721;711;625;56;245891072;39250825;50478389
1522071151822;721;632;57;245891072;39250933;50478647
1522071151922;731;639;57;245891072;39251149;50479160
1522071152022;741;646;58;245891072;39251149;50479160
1522071152122;751;654;60;245891072;39251365;50479673
1522071152223;761;661;60;245891072;39251473;50479930
1522071152323;771;669;60;245891072;39251581;50480136
1522071152423;781;677;61;245891072;39251689;50480444
1522071152523;791;684;62;245891072;39251797;50480701
1522071152623;801;692;63;245891072;39251905;50480958
1522071152724;811;699;64;245891072;39252013;50481214
1522071152824;821;706;65;245891072;39252121;50481471
1522071152925;832;713;65;245891072;39252337;50481986
1522071153025;842;722;66;246210560;39252445;50482242
1522071153127;852;730;66;246210560;39252553;50482500
1522071153228;862;738;66;246210560;39252661;50482758
1522071153328;872;746;67;246210560;39252769;50483016
1522071153428;882;753;68;246210560;39252877;50483274
1522071153529;892;760;69;246210560;39253093;50483787
1522071153629;902;769;70;246210560;39253201;50484043
1522071153729;912;777;70;246210560;39253309;50484300
1522071153829;922;785;70;246210560;39253417;50484557
1522071153930;932;791;71;246210560;39253633;50485073
1522071154030;942;799;72;246210560;39253741;50485330
1522071154130;952;807;72;246210560;39253849;50485586
1522071154230;962;814;72;246210560;39254065;50486101
1522071154330;972;822;72;246210560;39254173;50486357
1522071154430;982;830;73;246210560;39254281;50486616
1522071154530;992;836;74;246210560;39254497;50487131
1522071154630;1002;844;74;246210560;39254605;50487388
1522071154730;1012;848;76;246210560;39254821;50487902
1522071154830;1022;856;77;246210560;39254929;50488160
1522071154931;1032;864;78;246210560;39255037;50488417
1522071155031;1042;871;78;246210560;39255253;50488932
1522071155131;1052;879;79;246210560;39255361;50489189
1522071155231;1062;886;80;246210560;39255469;50489445
1522071155331;1072;892;80;246210560;39255685;50489959
1522071155432;1082;901;80;246210560;39255793;50490215
1522071155532;1092;907;81;246210560;39256009;50490730
1522071155632;1102;913;83;246210560;39256117;50490987
1522071155732;1112;920;83;246210560;39256225;50491245
1522071155832;1122;927;84;246210560;39256441;50491760
1522071155932;1132;932;86;246210560;39256657;50492275
1522071156032;1142;939;86;246210560;39256765;50492533
1522071156132;1152;946;88;246210560;39256873;50492791
1522071156232;1162;953;88;246210560;39257089;50493304
1522071156333;1172;961;89;246210560;39257197;50493562
1522071156433;1182;967;90;246210560;39257413;50494076
1522071156533;1192;974;90;246210560;39257521;50494334
1522071156633;1202;981;90;246210560;39257737;50494850
1522071156733;1212;988;91;246210560;39257845;50495109
1522071156833;1222;997;92;246210560;39257953;50495365
1522071156934;1232;1003;93;246210560;39258169;50495882
1522071157034;1243;1011;94;246210560;39258327;50496141
1522071157135;1253;1017;94;246210560;39258589;50496658
1522071157235;1263;1025;95;246210560;39258697;50496916
1522071157335;1273;1030;96;246210560;39258805;50497174
1522071157436;1283;1038;97;246210560;39259021;50497690
1522071157536;1293;1046;97;246210560;39259129;50497949
1522071157636;1303;1052;98;246210560;39259345;50498465
1522071157736;1313;1058;99;246210560;39259453;50498723
1522071157836;1323;1065;100;246210560;39259669;50499239
1522071157936;1333;1072;101;246210560;39259777;50499494
1522071158036;1343;1078;103;246210560;39259993;50500010
1522071158136;1353;1085;104;246210560;39260101;50500267
1522071158236;1363;1091;105;246210560;39260209;50500525
1522071158337;1373;1098;105;246210560;39260425;50501040
1522071158437;1383;1104;106;246210560;39260533;50501297
1522071158537;1393;1113;106;246210560;39260749;50501813
1522071158638;1403;1120;106;246210560;39260857;50502071
1522071158738;1413;1125;108;246210560;39261073;50502587
1522071158839;1423;1132;109;246210560;39261289;50503102
1522071158939;1433;1140;110;246210560;39261397;50503359
1522071159040;1443;1146;111;246210560;39261613;50503875
1522071159140;1453;1152;113;246210560;39261721;50504132
1522071159241;1463;1158;114;246210560;39261937;50504648
1522071159341;1473;1167;114;246210560;39262045;50504906
1522071159442;1483;1174;114;246210560;39262153;50505164
1522071159542;1493;1180;116;246210560;39262369;50505679
1522071159642;1503;1186;117;246210560;39262477;50505937
1522071159743;1513;1194;117;246210560;39262693;50506455
1522071159843;1523;1200;117;246210560;39262801;50506713
1522071159943;1533;1208;118;246210560;39263017;50507230
1522071160043;1543;1214;119;246210560;39263233;50507744
1522071160143;1553;1222;120;246210560;39263341;50508003
1522071160243;1563;1230;120;246210560;39263557;50508517
1522071160343;1573;1238;120;246210560;39263665;50508775
1522071160443;1583;1246;121;246210560;39263773;50509033
1522071160543;1593;1252;122;246210560;39263989;50509549
1522071160643;1603;1259;123;246210560;39264097;50509806
1522071160743;1613;1266;124;246210560;39264313;50510321
1522071160843;1623;1272;124;246210560;39264529;50510784
1522071160943;1633;1280;125;246210560;39264637;50511094
1522071161043;1643;1288;125;246210560;39264745;50511352
1522071161143;1653;1294;126;246210560;39264961;50511867
1522071161244;1663;1300;127;246210560;39265177;50512382
1522071161344;1673;1308;128;246210560;39265285;50512639
1522071161444;1684;1314;130;246210560;39265501;50513154
1522071161544;1693;1320;131;246210560;39265609;50513414
1522071161644;1704;1327;132;246210560;39265825;50513930
1522071161744;1713;1334;132;246210560;39266041;50514446
1522071161844;1724;1343;133;246210560;39266149;50514704
1522071161944;1733;1351;133;246210560;39266257;50514962
1522071162044;1744;1357;134;246210560;39266473;50515478
1522071162144;1753;1364;134;246210560;39266689;50515941
1522071162245;1764;1370;135;246210560;39266797;50516250
1522071162345;1774;1378;136;246210560;39267013;50516764
1522071162445;1784;1386;136;246210560;39267121;50517022
1522071162545;1794;1392;137;246210560;39267337;50517536
1522071162645;1804;1399;137;246210560;39267445;50517794
1522071162745;1814;1407;137;246210560;39267661;50518309
1522071162846;1824;1414;138;246210560;39267877;50518824
1522071162946;1834;1422;139;246210560;39267985;50519081
1522071163046;1844;1428;140;246210560;39268201;50519597
1522071163146;1854;1436;141;246210560;39268309;50519854
1522071163247;1864;1443;142;246210560;39268525;50520368
1522071163347;1874;1450;142;246210560;39268741;50520883
1522071163447;1884;1456;143;246210560;39268849;50521142
1522071163547;1894;1462;144;246210560;39269065;50521658
1522071163648;1904;1469;145;246210560;39269281;50522174
1522071163748;1914;1476;145;246210560;39269389;50522432
1522071163849;1924;1484;145;246210560;39269605;50522948
1522071163949;1934;1491;145;246210560;39269821;50523465
1522071164050;1944;1497;146;246210560;39270037;50523930
1522071164150;1954;1505;147;246210560;39270145;50524240
1522071164251;1964;1514;148;246210560;39270253;50524497
1522071164353;1974;1519;149;246210560;39270469;50525013
1522071164453;1984;1528;149;246210560;39270577;50525270
1522071164553;1994;1534;150;246210560;39270793;50525787
1522071164654;2004;1540;151;246210560;39271009;50526303
1522071164754;2014;1548;152;246210560;39271117;50526560
1522071164854;2024;1554;152;246210560;39271333;50527075
1522071164954;2035;1561;153;246210560;39271549;50527591
1522071165055;2045;1567;154;246210560;39271657;50527848
1522071165155;2055;1574;155;246210560;39271873;50528365
