currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522071471407;1;0;0;1400832;39531646;51128533
1522071471507;11;6;3;201318400;39531646;51128533
1522071471607;21;14;5;202891264;39531646;51128533
1522071471707;31;22;7;205238272;39531646;51128533
1522071471808;41;30;8;205238272;39531646;51128533
1522071471908;51;39;9;206090240;39531646;51128533
1522071472008;61;48;10;208232448;39531646;51128533
1522071472108;71;56;11;210083840;39531696;51128533
1522071472208;81;66;12;210083840;39531742;51128533
1522071472308;91;75;12;210083840;39531742;51128533
1522071472408;101;84;13;210083840;39531742;51128533
1522071472508;111;90;14;210083840;39531742;51128533
1522071472608;121;99;16;210083840;39531742;51128533
1522071472708;131;107;18;210083840;39531742;51128533
1522071472808;141;116;18;210104320;39531742;51128533
1522071472909;151;124;20;210235392;39531742;51128533
1522071473009;161;133;21;210235392;39531742;51128533
1522071473109;171;143;21;210235392;39531742;51128533
1522071473209;181;151;22;210235392;39531742;51128533
1522071473310;191;159;24;210235392;39531742;51128533
1522071473410;201;169;24;210235392;39531742;51128533
1522071473510;211;178;25;210235392;39531742;51128533
1522071473610;221;187;26;210235392;39531742;51128533
1522071473710;231;195;28;210235392;39531742;51128533
1522071473810;241;204;28;210329600;39531742;51128533
1522071473910;251;213;29;210612224;39531742;51128533
1522071474011;261;222;29;210616320;39531742;51128533
1522071474111;271;232;29;210616320;39531742;51128533
1522071474211;281;241;30;210616320;39531742;51128533
1522071474311;291;250;30;211664896;39531742;51128533
1522071474412;301;259;31;211664896;39531742;51128533
1522071474512;311;266;32;211664896;39531742;51128533
1522071474612;321;272;34;211664896;39531742;51128533
1522071474712;331;282;34;211664896;39531742;51128533
1522071474812;341;290;35;211664896;39531742;51128533
1522071474912;351;297;35;211664896;39531742;51128533
1522071475012;361;303;36;211664896;39531742;51128533
1522071475112;371;307;37;211664896;39531742;51128533
1522071475212;381;313;38;212713472;39531742;51128533
1522071475312;391;320;39;212713472;39531742;51128533
1522071475412;401;326;40;212713472;39531742;51128533
1522071475512;411;333;40;212713472;39531742;51128533
1522071475612;421;343;41;212713472;39531742;51128533
1522071475712;431;349;42;212791296;39531742;51128533
1522071475812;441;356;43;212791296;39531742;51128533
1522071475912;451;364;44;212791296;39531742;51128533
1522071476012;461;369;45;212791296;39531742;51128533
1522071476112;471;376;46;213839872;39531742;51128533
1522071476213;481;385;46;213839872;39531742;51128533
1522071476314;491;394;47;213839872;39531742;51128533
1522071476414;501;402;48;213839872;39531742;51128533
1522071476514;511;410;48;213839872;39531742;51128533
1522071476614;522;416;49;213839872;39531742;51128533
1522071476714;531;423;50;213839872;39532130;51128533
1522071476814;541;427;52;213839872;39532130;51128533
1522071476914;551;433;55;213839872;39532130;51128533
1522071477014;562;442;56;213839872;39532130;51128533
