currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522073048062;0;0;0;1400832;42509860;57685744
1522073048163;10;7;2;201318400;42509860;57685744
1522073048263;20;15;4;202891264;42509860;57685744
1522073048363;30;23;5;205238272;42509860;57685744
1522073048463;40;33;5;205238272;42509860;57685744
1522073048564;50;41;7;206090240;42509860;57685744
1522073048664;60;50;8;208232448;42509860;57685744
1522073048764;71;58;9;210112512;42509860;57685744
1522073048864;80;68;10;210112512;42509860;57685744
1522073048964;91;76;11;210112512;42509860;57685744
1522073049064;100;85;12;210112512;42509860;57685744
1522073049164;111;93;14;210112512;42509860;57685744
1522073049264;120;102;14;210112512;42509860;57685744
1522073049364;131;112;14;210112512;42509860;57685744
1522073049464;140;121;14;210112512;42509860;57685744
1522073049564;151;131;15;210112512;42509860;57685744
1522073049664;160;138;17;210112512;42509860;57685744
1522073049764;171;148;18;210112512;42509860;57685744
1522073049864;180;156;19;210112512;42509860;57685744
1522073049964;191;165;20;210112512;42509860;57685744
1522073050064;200;174;20;210341888;42509860;57685744
1522073050164;211;183;21;210341888;42509860;57685744
1522073050264;220;192;22;210341888;42509860;57685744
1522073050364;231;200;23;210341888;42509860;57685744
1522073050464;240;210;23;210341888;42509860;57685744
1522073050564;251;219;23;210341888;42509860;57685744
1522073050664;260;228;24;210341888;42509860;57685744
1522073050764;271;237;24;210341888;42509860;57685744
1522073050864;280;246;24;210341888;42509860;57685744
1522073050964;291;253;25;210341888;42509860;57685744
1522073051064;300;261;26;210341888;42509860;57685744
1522073051164;311;268;26;210341888;42509860;57685744
1522073051264;321;276;26;210341888;42509860;57685744
1522073051364;330;283;27;210341888;42509860;57685744
1522073051464;341;290;28;211390464;42509860;57685744
1522073051564;350;295;30;211390464;42509860;57685744
1522073051664;361;305;30;212439040;42509860;57685744
1522073051765;371;314;31;212459520;42509860;57685744
1522073051865;381;323;32;212590592;42509860;57685744
1522073051965;391;332;32;212590592;42509860;57685744
1522073052066;401;342;33;212590592;42509860;57685744
1522073052166;411;351;33;212590592;42509860;57685744
1522073052266;421;360;34;212590592;42509860;57685744
1522073052366;431;370;34;212590592;42509860;57685744
1522073052466;441;380;34;213639168;42509860;57685744
1522073052566;451;389;34;213639168;42509860;57685744
1522073052666;461;398;35;213639168;42509860;57685744
1522073052766;471;406;36;213733376;42509860;57685744
1522073052866;481;416;36;214188032;42509860;57685744
1522073052966;491;426;36;214192128;42509860;57685744
1522073053066;501;435;36;214192128;42509860;57685744
1522073053167;511;445;37;214192128;42509860;57685744
1522073053267;521;454;38;214192128;42509860;57685744
1522073053367;531;462;38;214192128;42509860;57685744
1522073053467;541;470;39;214192128;42509860;57685744
1522073053567;551;478;40;215240704;42509860;57685744
1522073053667;561;485;40;215240704;42509860;57685744
1522073053767;571;492;41;215240704;42509860;57685744
1522073053867;581;496;43;215240704;42509860;57685744
1522073053967;591;502;44;215240704;42509860;57685744
1522073054067;601;510;45;215240704;42509860;57685744
1522073054167;611;517;46;215240704;42509860;57685744
1522073054267;621;526;46;215240704;42509860;57685744
1522073054367;631;534;46;215240704;42509860;57685744
1522073054467;641;542;47;215240704;42509860;57685744
1522073054567;651;550;48;215240704;42509860;57685744
1522073054668;661;557;48;216289280;42509860;57685744
1522073054768;671;566;48;216289280;42509860;57685744
1522073054871;681;575;48;216432640;42509860;57685744
1522073054971;691;581;50;216432640;42509860;57685744
1522073055071;701;588;51;216432640;42509860;57685744
1522073055171;711;594;52;216432640;42509860;57685744
1522073055271;721;602;53;216453120;42509860;57685744
1522073055371;731;608;54;216453120;42509860;57685744
1522073055472;741;613;55;216453120;42509860;57685744
1522073055572;751;619;56;216453120;42509860;57685744
1522073055672;761;627;58;245952512;42509976;57685856
1522073055772;771;633;60;247328768;42510830;57686819
1522073055873;781;642;60;247328768;42510830;57686819
1522073055973;791;650;60;247328768;42510830;57686819
1522073056073;801;659;61;247328768;42510830;57686819
1522073056173;811;668;62;247328768;42511685;57687783
1522073056273;821;677;62;247328768;42511685;57687783
