currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522055759925;1;0;0;1400832;2195763;4340082
1522055760026;11;7;2;67047424;2195763;4340082
1522055760126;21;16;2;69328896;2195763;4340082
1522055760226;31;25;4;69328896;2195763;4340082
1522055760326;41;35;4;69275648;2195763;4340082
1522055760427;51;44;4;70004736;2195763;4340082
1522055760527;61;54;4;71053312;2195763;4340082
1522055760627;71;62;6;72101888;2195763;4340082
1522055760728;81;71;6;72101888;2195763;4340082
1522055760828;91;80;7;72269824;2195763;4340082
1522055760928;101;88;8;73052160;2195763;4340082
1522055761028;111;97;10;76095488;2195763;4340082
1522055761128;121;107;10;74977280;2195763;4340082
1522055761228;131;116;10;77742080;2195763;4340082
1522055761328;141;125;11;77803520;2195763;4340082
1522055761428;151;133;12;77946880;2195763;4340082
1522055761528;161;141;14;78094336;2195763;4340082
1522055761628;171;150;14;78094336;2195763;4340082
1522055761728;181;160;14;78200832;2195763;4340082
1522055761828;191;169;15;78884864;2195763;4340082
1522055761928;201;178;16;78884864;2195763;4340082
1522055762028;211;188;16;78884864;2195763;4340082
1522055762128;221;197;16;78884864;2195763;4340082
1522055762229;231;206;16;79933440;2195763;4340082
1522055762329;241;216;17;79933440;2195763;4340082
1522055762429;251;224;18;80293888;2195763;4340082
1522055762530;261;233;19;113848320;2195763;4340082
1522055762630;271;243;19;113971200;2196023;4340346
1522055762730;281;252;20;113971200;2197019;4340599
1522055762830;291;261;20;113971200;2197135;4340763
1522055762931;301;269;22;119214080;2197135;4340763
1522055763031;311;279;22;119349248;2197135;4340763
1522055763131;321;288;23;119349248;2197389;4340909
1522055763231;331;298;23;119349248;2197541;4341246
1522055763332;341;308;23;119349248;2197541;4341246
1522055763432;351;317;24;119349248;2197693;4341585
1522055763533;361;326;24;119349248;2197693;4341585
1522055763633;371;335;25;119541760;2197693;4341585
1522055763733;381;344;26;119541760;2197693;4341585
1522055763833;391;354;26;119541760;2197891;4341977
1522055763933;401;363;26;119541760;2197891;4341977
1522055764033;411;372;27;119541760;2198043;4342312
1522055764133;421;382;28;119541760;2198043;4342312
1522055764234;431;392;28;119758848;2198043;4342312
1522055764334;441;401;28;119934976;2198195;4342645
1522055764434;451;410;29;119934976;2198347;4342978
1522055764534;462;419;30;119934976;2198347;4342978
1522055764635;472;428;30;119934976;2198499;4343310
1522055764735;482;438;31;119934976;2198651;4343643
1522055764835;492;447;31;119934976;2198803;4343977
1522055764935;502;457;31;119934976;2198855;4344259
1522055765035;512;467;31;119934976;2199001;4344363
1522055765135;522;476;32;119934976;2199153;4344696
1522055765235;532;486;32;119934976;2199305;4345031
1522055765336;542;494;33;119934976;2199457;4345365
1522055765436;552;503;34;119934976;2199609;4345698
1522055765536;562;510;36;119934976;2199761;4346031
1522055765636;572;520;37;119934976;2199761;4346031
1522055765736;582;530;37;119934976;2199913;4346365
1522055765836;592;538;38;118837248;2199913;4346365
1522055765936;602;548;38;118837248;2200065;4346698
1522055766036;612;557;38;118837248;2200217;4347031
1522055766136;622;567;39;118837248;2200415;4347413
1522055766236;632;576;39;118837248;2200415;4347413
1522055766336;642;585;40;118837248;2200567;4347746
1522055766436;652;593;42;118837248;2200719;4348079
1522055766536;662;602;42;118837248;2200871;4348412
1522055766636;672;612;42;118837248;2201023;4348744
1522055766736;682;621;43;118837248;2201023;4348744
1522055766836;692;630;43;118837248;2201175;4349077
1522055766936;702;640;43;118837248;2201327;4349411
1522055767036;712;649;44;118837248;2201479;4349745
1522055767136;722;658;45;118837248;2201727;4350132
1522055767236;732;668;45;118837248;2201929;4350466
1522055767336;742;677;46;118837248;2201929;4350466
1522055767436;752;686;46;118837248;2202081;4350798
1522055767536;762;695;47;118837248;2202233;4351132
1522055767636;772;704;48;118837248;2202385;4351464
1522055767736;782;713;49;118837248;2202537;4351797
1522055767836;792;721;51;118837248;2202689;4352131
