currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522056489756;1;0;0;1400832;2625590;5202110
1522056489856;11;7;2;67047424;2625590;5202110
1522056489957;21;16;2;69464064;2625590;5202110
1522056490057;31;26;2;69328896;2625590;5202110
1522056490158;41;35;3;69275648;2625590;5202110
1522056490258;51;45;3;70004736;2625590;5202110
1522056490358;61;55;3;71053312;2625590;5202110
1522056490458;71;64;4;72101888;2625590;5202110
1522056490559;81;73;4;72101888;2625590;5202110
1522056490659;91;82;5;72269824;2625590;5202110
1522056490759;101;90;6;72511488;2625590;5202110
1522056490859;111;98;7;72728576;2625590;5202110
1522056490960;121;106;8;75337728;2625590;5202110
1522056491060;131;113;8;75337728;2625590;5202110
1522056491160;141;120;9;75337728;2625679;5202110
1522056491260;151;128;9;75337728;2625679;5202110
1522056491361;161;137;10;75337728;2625679;5202110
1522056491461;171;143;11;75337728;2625679;5202110
1522056491561;181;150;12;75337728;2625679;5202110
1522056491661;191;159;12;109015040;2625679;5202110
1522056491761;201;168;12;110063616;2625679;5202110
1522056491861;211;178;13;110587904;2625679;5202110
1522056491962;221;187;13;115830784;2625679;5202110
1522056492062;231;197;13;115830784;2625768;5202110
1522056492162;241;206;14;116690944;2625768;5202110
1522056492262;251;215;14;116826112;2625768;5202110
1522056492362;261;223;16;116826112;2625936;5202303
1522056492462;271;233;16;117874688;2625936;5202303
1522056492562;281;242;16;117874688;2625992;5202355
1522056492662;291;251;18;117874688;2625992;5202355
1522056492762;301;260;18;118173696;2625992;5202355
1522056492862;311;270;18;118173696;2626044;5202575
1522056492962;321;278;20;127610880;2626044;5202575
1522056493062;331;288;20;128659456;2626044;5202575
1522056493162;341;297;20;128659456;2626096;5202797
1522056493263;351;306;21;128811008;2626096;5202797
1522056493363;361;316;22;128438272;2626096;5202797
1522056493463;371;326;22;128438272;2626148;5203020
1522056493563;381;335;22;128802816;2626148;5203020
1522056493664;391;344;23;128802816;2626200;5203238
1522056493764;401;354;23;128802816;2626200;5203238
1522056493865;412;363;24;128802816;2626252;5203454
1522056493965;422;371;25;128802816;2626304;5203670
1522056494065;432;381;26;128802816;2626304;5203670
1522056494166;442;390;26;128987136;2626356;5203885
1522056494266;452;399;27;128987136;2626408;5204101
1522056494366;462;408;28;128987136;2626408;5204101
1522056494466;472;416;29;128987136;2626460;5204318
1522056494567;482;425;31;128987136;2626512;5204535
1522056494667;492;433;32;128987136;2626564;5204751
1522056494767;502;443;32;128987136;2626616;5204969
1522056494868;512;452;33;128987136;2626668;5205186
1522056494968;522;461;34;129511424;2626720;5205402
1522056495069;532;470;34;129511424;2626809;5205402
1522056495169;542;479;35;129511424;2626861;5205618
1522056495269;552;489;36;129511424;2626913;5205835
1522056495370;562;498;36;129511424;2626965;5206051
1522056495470;572;507;37;129511424;2627017;5206267
1522056495570;582;516;37;129511424;2627069;5206480
1522056495670;592;525;39;129662976;2627121;5206696
1522056495771;602;534;39;129810432;2627173;5206912
1522056495871;612;542;41;129810432;2627225;5207128
1522056495971;622;552;41;129810432;2627225;5207128
1522056496072;632;561;42;129810432;2627277;5207343
1522056496172;642;571;42;129810432;2627329;5207559
1522056496272;652;579;44;129810432;2627381;5207776
1522056496372;662;588;44;129810432;2627433;5207993
1522056496472;672;598;44;130080768;2627433;5207993
1522056496572;682;608;44;129032192;2627433;5207993
1522056496672;692;616;45;129032192;2627485;5208211
1522056496772;702;626;46;129032192;2627537;5208428
1522056496872;712;635;46;129032192;2627589;5208643
1522056496972;722;644;47;129032192;2627641;5208860
1522056497072;732;654;47;129032192;2627641;5208860
1522056497172;742;664;47;129032192;2627693;5209075
1522056497272;752;672;48;129032192;2627745;5209291
1522056497372;762;681;49;129032192;2627797;5209508
1522056497472;772;691;49;129032192;2627849;5209724
1522056497572;782;700;50;129032192;2627901;5209940
1522056497672;792;709;50;129032192;2627953;5210156
1522056497772;802;718;52;129032192;2628005;5210373
1522056497873;812;727;52;129032192;2628005;5210373
1522056497973;822;737;52;129032192;2628057;5210590
1522056498073;832;746;54;129032192;2628109;5210806
1522056498173;842;754;55;129032192;2628161;5211022
1522056498273;852;762;57;129032192;2628213;5211239
1522056498373;862;770;58;129032192;2628265;5211455
1522056498473;872;780;58;129032192;2628317;5211670
1522056498573;882;789;59;129032192;2628369;5211887
1522056498673;892;799;59;129032192;2628421;5212104
1522056498773;902;808;60;129032192;2628473;5212318
1522056498873;912;818;60;129032192;2628525;5212534
1522056498973;922;826;61;129032192;2628525;5212534
1522056499073;932;835;62;129032192;2628577;5212749
1522056499173;942;844;63;129032192;2628629;5212966
1522056499273;952;854;63;129220608;2628681;5213182
1522056499374;962;864;63;129220608;2628733;5213398
1522056499474;972;874;63;129220608;2628733;5213398
1522056499574;983;883;63;129220608;2628785;5213614
1522056499675;993;892;64;129220608;2628837;5213830
1522056499775;1003;901;65;129220608;2628889;5214047
1522056499875;1013;910;66;129220608;2628941;5214264
1522056499975;1023;919;66;129220608;2628993;5214481
1522056500076;1033;928;67;129220608;2629045;5214697
1522056500176;1043;937;68;129220608;2629097;5214914
1522056500276;1053;946;70;129220608;2629149;5215132
1522056500376;1063;955;70;129220608;2629201;5215349
1522056500476;1073;965;70;129220608;2629253;5215564
1522056500576;1083;974;71;129220608;2629305;5215780
1522056500676;1093;984;71;129220608;2629357;5215997
1522056500776;1103;992;72;129220608;2629409;5216214
1522056500876;1113;1002;72;129409024;2629409;5216214
1522056500976;1123;1011;73;129789952;2629461;5216431
1522056501076;1133;1020;74;129789952;2629461;5216431
1522056501176;1143;1029;74;129789952;2629513;5216648
1522056501276;1153;1038;75;129789952;2629565;5216864
1522056501376;1163;1047;76;129789952;2629617;5217080
1522056501476;1173;1056;77;129789952;2629669;5217297
1522056501576;1183;1064;78;129789952;2629721;5217514
1522056501676;1193;1073;79;129789952;2629773;5217729
1522056501777;1203;1082;80;129789952;2629825;5217946
1522056501877;1213;1092;80;129789952;2629877;5218163
1522056501977;1223;1101;81;129789952;2629929;5218380
1522056502077;1233;1110;82;129789952;2629981;5218596
1522056502177;1243;1120;82;129789952;2630083;5218811
1522056502277;1253;1128;84;129789952;2630129;5218811
1522056502378;1263;1138;84;129933312;2630181;5219029
1522056502478;1273;1147;84;129933312;2630233;5219244
1522056502578;1283;1156;84;129933312;2630285;5219462
1522056502678;1293;1166;85;129933312;2630337;5219679
1522056502779;1303;1175;85;129933312;2630389;5219897
1522056502879;1313;1184;86;130129920;2630441;5220114
1522056502979;1323;1193;87;130129920;2630493;5220331
1522056503079;1333;1202;88;130129920;2630545;5220548
1522056503180;1343;1212;88;130129920;2630597;5220765
1522056503280;1353;1221;88;130129920;2630649;5220981
1522056503380;1363;1230;89;130326528;2630701;5221196
1522056503480;1373;1240;89;130326528;2630753;5221414
1522056503580;1383;1249;90;130326528;2630805;5221632
1522056503680;1393;1258;91;130326528;2630857;5221847
1522056503780;1403;1266;92;130461696;2630909;5222064
