currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522058578415;1;0;0;1400832;4426940;9385287
1522058578515;11;5;4;67047424;4426940;9385287
1522058578616;21;14;4;69464064;4426940;9385287
1522058578716;31;24;4;69328896;4426940;9385287
1522058578816;41;34;5;69275648;4426940;9385287
1522058578916;51;42;6;70004736;4426940;9385287
1522058579016;61;51;7;71053312;4426940;9385287
1522058579116;71;60;7;72101888;4426940;9385287
1522058579216;81;70;7;72101888;4426940;9385287
1522058579316;91;80;7;72269824;4426940;9385287
1522058579416;101;89;7;72511488;4426940;9385287
1522058579516;111;98;8;75132928;4426940;9385287
1522058579616;121;108;8;75132928;4426940;9385287
1522058579716;131;116;10;75538432;4426940;9385287
1522058579816;141;126;10;75227136;4426940;9385287
1522058579916;151;134;11;75227136;4426940;9385287
1522058580016;161;144;11;75227136;4426940;9385287
1522058580116;171;153;12;75948032;4426940;9385287
1522058580216;181;162;12;109502464;4426940;9385287
1522058580316;191;172;12;110551040;4426940;9385287
1522058580416;201;180;13;110551040;4426940;9385287
1522058580516;211;190;13;110727168;4426940;9385287
1522058580617;221;200;13;110727168;4426940;9385287
1522058580717;231;210;14;110850048;4427304;9385807
1522058580818;241;219;14;110850048;4427356;9385859
1522058580918;251;228;14;110850048;4427356;9385859
1522058581018;261;238;15;110850048;4427772;9386433
1522058581118;271;248;15;110985216;4427772;9386433
1522058581219;281;258;15;110985216;4427772;9386433
1522058581319;291;267;15;111243264;4427772;9386433
1522058581419;301;276;16;115499008;4428188;9387008
1522058581519;311;285;16;115499008;4428188;9387008
1522058581619;321;294;17;115499008;4428604;9387578
1522058581719;331;304;17;115499008;4428604;9387578
1522058581819;341;314;17;115499008;4429020;9388146
1522058581919;351;324;17;115499008;4429436;9388714
1522058582020;361;333;18;115499008;4429436;9388714
1522058582120;371;341;19;115900416;4429852;9389281
1522058582220;381;349;21;115732480;4429852;9389281
1522058582320;391;356;24;115732480;4430268;9389849
1522058582420;401;365;24;116256768;4430684;9390418
1522058582520;411;374;25;116256768;4431100;9390987
1522058582621;421;384;26;116256768;4431516;9391555
1522058582721;431;393;26;116256768;4431516;9391555
1522058582821;441;402;27;116416512;4431932;9392125
1522058582922;451;411;28;116416512;4432348;9392694
1522058583022;461;420;29;116416512;4432764;9393262
1522058583122;471;428;31;116416512;4433180;9393830
1522058583222;481;436;32;116416512;4433180;9393830
1522058583323;491;445;33;116416512;4433596;9394399
1522058583423;501;454;34;116613120;4434012;9394967
1522058583523;511;463;34;116613120;4434428;9395535
1522058583623;521;471;36;116613120;4434844;9396100
1522058583724;531;480;37;116748288;4435260;9396668
1522058583824;541;488;38;116748288;4435260;9396668
1522058583924;552;498;39;116748288;4435676;9397236
1522058584024;561;506;40;116748288;4436092;9397804
1522058584124;572;516;40;116748288;4436508;9398371
1522058584224;581;526;40;116748288;4436508;9398371
1522058584324;592;534;42;116748288;4436924;9398939
1522058584425;602;541;44;116944896;4437340;9399508
1522058584525;612;550;45;116944896;4437756;9400077
1522058584625;622;559;46;116944896;4438172;9400647
1522058584725;632;568;46;116944896;4438588;9401216
1522058584826;642;578;47;116944896;4438588;9401216
1522058584926;652;586;48;116944896;4439004;9401783
1522058585026;662;595;49;117141504;4439420;9402352
1522058585126;672;604;50;117141504;4439836;9402919
1522058585227;682;612;51;117141504;4440200;9403435
1522058585327;692;622;52;117141504;4440252;9403487
1522058585427;702;631;52;117276672;4440668;9404056
1522058585527;712;640;53;117276672;4441084;9404624
1522058585627;722;650;53;117276672;4441500;9405192
1522058585727;732;659;54;117276672;4441916;9405760
1522058585827;742;668;54;117276672;4441916;9405760
1522058585927;752;678;54;117276672;4442332;9406329
1522058586027;762;687;55;117473280;4442748;9406898
1522058586127;772;695;56;117473280;4443164;9407466
1522058586227;782;705;56;117473280;4443580;9408034
1522058586327;792;713;58;117473280;4443996;9408603
1522058586427;802;723;58;117813248;4444384;9408603
1522058586528;812;731;60;117813248;4444800;9409171
1522058586628;822;740;61;117813248;4445216;9409738
1522058586728;832;748;62;117813248;4445216;9409738
1522058586828;842;758;62;117813248;4445632;9410307
1522058586928;852;767;63;117813248;4446048;9410876
1522058587028;862;776;64;117813248;4446464;9411442
1522058587128;872;786;64;118005760;4446930;9412010
1522058587228;882;794;66;118005760;4446980;9412010
1522058587328;892;802;67;118005760;4447396;9412577
1522058587428;902;812;67;118005760;4447812;9413146
1522058587528;912;820;68;118005760;4448228;9413714
1522058587628;922;828;70;118005760;4448644;9414282
