currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522060686403;0;0;0;1400832;8709336;15130419
1522060686503;10;5;4;67047424;8709336;15130419
1522060686603;20;14;4;69464064;8709336;15130419
1522060686703;30;24;4;69328896;8709336;15130419
1522060686804;40;34;5;69275648;8709336;15130419
1522060686904;50;43;5;70004736;8709336;15130419
1522060687004;61;52;6;71053312;8709336;15130419
1522060687104;70;60;7;72101888;8709386;15130419
1522060687204;81;70;8;72101888;8709386;15130419
1522060687304;90;79;8;72269824;8709386;15130419
1522060687404;101;86;9;72511488;8709432;15130419
1522060687505;111;92;10;74608640;8709432;15130419
1522060687605;121;102;10;77451264;8709432;15130419
1522060687705;131;110;10;75616256;8709432;15130419
1522060687805;141;117;12;75345920;8709432;15130419
1522060687905;151;126;12;75227136;8709432;15130419
1522060688005;161;135;12;75886592;8709432;15130419
1522060688106;171;141;14;76935168;8709432;15130419
1522060688206;181;148;14;76935168;8709432;15130419
1522060688306;191;154;14;76935168;8709432;15130419
1522060688406;201;160;15;76935168;8709432;15130419
1522060688507;211;165;16;76935168;8709432;15130419
1522060688607;221;170;18;76935168;8709432;15130419
1522060688707;231;177;18;77983744;8709432;15130419
1522060688807;241;184;19;77983744;8709432;15130419
1522060688907;251;192;19;77983744;8709432;15130419
1522060689007;261;197;20;77983744;8709432;15130419
1522060689107;271;203;21;77983744;8709432;15130419
1522060689207;281;209;21;77983744;8709432;15130419
1522060689307;291;216;21;77983744;8709432;15130419
1522060689408;301;221;23;83410944;8709432;15130419
1522060689508;311;227;24;83410944;8709432;15130419
1522060689608;321;233;25;83410944;8709432;15130419
1522060689708;331;240;26;83410944;8709432;15130419
1522060689808;341;247;27;83410944;8709432;15130419
1522060689908;351;253;28;83410944;8709820;15130419
1522060690009;361;257;29;85094400;8709820;15130419
1522060690109;371;266;30;85200896;8709820;15130419
1522060690209;381;276;30;85344256;8709820;15130419
1522060690309;391;285;30;85344256;8709820;15130419
1522060690410;401;293;31;85491712;8709820;15130419
