currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1520780741667;1;0;0;1400832;555572;1033801
1520780741767;11;8;1;6930432;555572;1033801
1520780741867;21;16;2;7569408;555572;1033801
1520780741967;31;25;3;8048640;555572;1033801
1520780742067;40;34;4;8310784;555572;1033801
1520780742167;51;44;4;8974336;555572;1033801
1520780742267;61;54;4;9469952;555572;1033801
1520780742367;71;63;4;9469952;555572;1033801
1520780742468;81;72;5;11091968;555572;1033801
1520780742568;91;80;6;12464128;555572;1033801
1520780742668;101;90;6;13058048;555572;1033801
1520780742769;111;99;7;13455360;555572;1033801
1520780742869;121;108;8;14159872;555572;1033801
1520780742970;131;117;9;14606336;555572;1033801
1520780743070;141;125;10;17670144;555572;1033801
1520780743170;151;135;10;18329600;555572;1033801
1520780743270;161;144;10;19156992;555572;1033801
1520780743370;171;152;12;23625728;555572;1033801
1520780743470;181;162;12;24444928;555572;1033801
1520780743570;191;170;14;25915392;555572;1033801
1520780743670;201;179;14;27762688;555572;1033801
1520780743770;211;188;15;28188672;555572;1033801
1520780743870;221;197;16;28323840;555572;1033801
1520780743971;231;206;17;28954624;555572;1033801
1520780744071;241;211;21;29298688;555572;1033801
1520780744171;251;220;21;29634560;555572;1033801
1520780744271;261;228;23;29712384;555572;1033801
1520780744371;271;238;23;29974528;555572;1033801
1520780744472;281;247;23;30232576;555572;1033801
1520780744572;291;256;24;30756864;555572;1033801
1520780744672;301;266;24;30756864;555960;1033801
1520780744773;311;274;25;31019008;555960;1033801
1520780744873;321;284;25;31301632;555960;1033801
1520780744973;331;293;26;31563776;555960;1033801
1520780745074;341;302;27;31825920;555960;1033801
1520780745174;351;310;28;32231424;555960;1033801
1520780745274;361;319;29;32493568;555960;1033801
1520780745374;371;328;30;32894976;555960;1033801
1520780745474;381;337;31;33157120;555960;1033801
1520780745574;391;346;31;33419264;555960;1033801
1520780745675;401;356;31;33972224;555960;1033801
1520780745775;411;365;31;34398208;555960;1033801
1520780745875;421;375;31;34660352;555960;1033801
1520780745975;431;385;31;34660352;555960;1033801
1520780746075;441;394;31;34922496;555960;1033801
1520780746176;451;403;33;36065280;555960;1033801
1520780746276;461;411;33;63713280;557377;1034435
1520780746376;471;416;34;63713280;559866;1035101
1520780746477;481;419;34;63713280;561673;1035298
1520780746577;492;428;35;63975424;561673;1035298
1520780746677;502;438;35;64237568;561673;1035298
1520780746777;512;448;35;64237568;562100;1035784
1520780746877;521;458;35;64237568;562100;1035836
1520780746977;532;467;35;64499712;562380;1036325
1520780747077;542;477;35;64499712;562380;1036325
1520780747178;552;487;35;64499712;562544;1036701
1520780747278;562;497;35;64499712;562544;1036701
1520780747379;572;506;36;64499712;562708;1037077
1520780747479;582;515;36;64499712;562708;1037077
1520780747579;592;525;36;64499712;562708;1037077
1520780747679;602;535;36;64499712;562872;1037450
1520780747780;612;545;36;64499712;563036;1037821
1520780747880;622;555;36;64499712;563082;1037873
1520780747980;632;564;36;64499712;563082;1037873
1520780748081;642;574;37;64499712;563246;1038246
1520780748181;652;584;37;64499712;563246;1038246
1520780748281;662;594;37;64499712;563410;1038622
1520780748382;672;603;37;64499712;563410;1038622
1520780748482;682;613;37;64499712;563574;1038994
1520780748582;692;623;37;64499712;563574;1038994
1520780748682;702;632;37;64499712;563574;1038994
1520780748782;712;642;37;64499712;563738;1039365
1520780748882;722;652;37;64499712;563738;1039365
1520780748982;732;662;37;64499712;563902;1039734
1520780749082;742;672;37;64499712;563948;1039786
1520780749182;752;682;37;64499712;564112;1040159
1520780749282;762;692;37;64499712;564112;1040159
1520780749382;772;701;37;64499712;564276;1040532
1520780749482;782;711;37;64499712;564276;1040532
1520780749582;792;721;37;64499712;564440;1040905
1520780749682;802;731;37;64499712;564440;1040905
1520780749782;812;740;37;64499712;564604;1041277
1520780749882;822;750;37;64499712;564604;1041277
1520780749982;832;760;37;64499712;564768;1041649
1520780750082;842;770;37;64499712;564768;1041649
1520780750183;852;780;37;64499712;564932;1042017
1520780750283;862;789;37;64499712;564932;1042017
1520780750385;872;800;37;64499712;565096;1042389
1520780750486;882;809;37;64499712;565096;1042389
1520780750586;892;819;37;64499712;565260;1042761
1520780750686;902;829;37;64499712;565260;1042761
1520780750786;912;839;37;64499712;565424;1043130
1520780750886;922;848;38;64499712;565424;1043130
1520780750987;932;858;38;64499712;565424;1043130
1520780751087;943;868;38;64499712;565588;1043501
1520780751187;953;878;38;64499712;565588;1043501
1520780751287;963;887;38;64499712;565798;1043923
1520780751393;973;898;38;64499712;565850;1044243
1520780751494;983;908;38;64499712;565962;1044295
1520780751597;994;917;39;64499712;565962;1044295
1520780751698;1004;927;39;64499712;566126;1044667
1520780751798;1014;937;39;64499712;566126;1044667
1520780751898;1024;946;39;64499712;566290;1045038
1520780751998;1034;956;39;64499712;566290;1045038
1520780752099;1044;965;40;64499712;566454;1045410
1520780752199;1054;975;40;64499712;566454;1045410
1520780752299;1064;985;40;64499712;566618;1045783
1520780752399;1074;995;40;64499712;566668;1045783
1520780752499;1084;1004;40;64499712;566878;1046155
1520780752600;1094;1014;40;64499712;566878;1046155
1520780752700;1104;1024;40;64499712;567042;1046527
1520780752800;1114;1034;40;64499712;567042;1046527
1520780752900;1124;1044;40;64499712;567206;1046901
1520780753001;1134;1054;40;64499712;567206;1046901
1520780753101;1144;1064;40;64499712;567370;1047274
1520780753201;1154;1073;40;64499712;567370;1047274
1520780753302;1164;1082;41;64499712;567534;1047647
1520780753402;1174;1092;41;64499712;567534;1047647
1520780753502;1184;1102;41;64499712;567698;1048019
1520780753602;1194;1112;41;64499712;567698;1048019
1520780753702;1204;1121;41;64499712;567862;1048392
1520780753803;1214;1131;41;64499712;567862;1048392
1520780753903;1224;1141;41;64499712;568026;1048763
1520780754003;1234;1151;41;64499712;568026;1048763
1520780754103;1244;1161;41;64499712;568190;1049134
1520780754203;1254;1171;41;64499712;568190;1049134
1520780754303;1264;1180;41;64499712;568354;1049507
1520780754403;1274;1190;41;64499712;568354;1049507
1520780754503;1284;1200;41;64499712;568354;1049507
1520780754603;1294;1210;41;64499712;568518;1049880
1520780754704;1304;1220;41;64499712;568518;1049880
1520780754804;1314;1229;42;64499712;568728;1050304
1520780754904;1324;1239;42;64499712;568728;1050304
1520780755004;1334;1248;43;64499712;568892;1050676
1520780755104;1344;1258;43;64499712;568892;1050676
1520780755204;1354;1267;43;64499712;569056;1051049
1520780755304;1364;1277;43;64499712;569056;1051049
1520780755405;1374;1287;43;64499712;569220;1051422
1520780755505;1384;1296;43;64499712;569220;1051422
1520780755605;1394;1305;44;64499712;569384;1051794
1520780755706;1404;1315;44;64499712;569384;1051794
1520780755806;1414;1325;45;64499712;569548;1052168
1520780755906;1424;1334;45;64499712;569548;1052168
1520780756006;1434;1344;45;64499712;569712;1052542
1520780756106;1444;1354;45;64499712;569712;1052542
1520780756207;1454;1364;45;64499712;569876;1052913
1520780756307;1465;1374;45;64499712;569876;1052913
1520780756407;1475;1384;45;64499712;570040;1053285
1520780756507;1485;1394;45;64499712;570040;1053285
1520780756607;1495;1403;45;64499712;570204;1053656
1520780756708;1505;1413;45;64499712;570204;1053656
1520780756808;1515;1423;45;64499712;570368;1054029
1520780756908;1525;1433;45;64499712;570368;1054029
1520780757008;1535;1442;46;64499712;570532;1054401
1520780757109;1545;1452;46;64499712;570532;1054401
1520780757209;1555;1461;46;64499712;570696;1054774
1520780757309;1565;1471;46;64499712;570696;1054774
1520780757410;1575;1481;46;64499712;570860;1055146
1520780757510;1585;1491;46;64499712;570860;1055146
1520780757610;1595;1501;46;64499712;570860;1055146
1520780757710;1605;1510;46;64499712;571024;1055519
1520780757810;1615;1520;47;64499712;571024;1055519
1520780757910;1625;1529;47;64499712;571188;1055891
1520780758010;1635;1539;47;64499712;571188;1055891
1520780758110;1645;1549;47;64499712;571352;1056263
1520780758211;1655;1558;47;64499712;571352;1056263
1520780758311;1665;1568;47;64499712;571516;1056635
1520780758411;1675;1578;47;64499712;571516;1056635
1520780758511;1685;1588;47;64499712;571680;1057008
1520780758612;1695;1598;47;64499712;571680;1057008
1520780758712;1705;1607;47;64499712;571844;1057381
1520780758812;1715;1617;47;64499712;571844;1057381
1520780758912;1725;1627;48;64499712;572008;1057753
1520780759013;1735;1636;48;64499712;572008;1057753
1520780759113;1745;1646;48;64499712;572172;1058124
1520780759213;1755;1656;48;64499712;572172;1058124
1520780759314;1765;1666;48;64499712;572336;1058494
1520780759414;1775;1676;48;64499712;572336;1058494
1520780759514;1785;1686;48;64499712;572500;1058867
1520780759614;1795;1695;48;64499712;572500;1058867
1520780759714;1805;1705;48;64499712;572710;1059292
1520780759815;1815;1715;48;64499712;572710;1059292
1520780759915;1825;1724;49;64499712;572874;1059664
1520780760015;1835;1734;49;64499712;572874;1059664
1520780760115;1845;1744;49;64499712;573038;1060036
1520780760215;1855;1754;49;64499712;573038;1060036
1520780760316;1865;1763;49;64499712;573202;1060408
1520780760416;1875;1773;49;64499712;573202;1060408
1520780760521;1886;1783;50;64499712;573366;1060780
1520780760622;1896;1793;50;64499712;573366;1060780
1520780760722;1906;1802;50;64499712;573530;1061153
1520780760822;1916;1812;50;64499712;573530;1061153
1520780760922;1926;1822;50;64499712;573694;1061525
1520780761022;1936;1832;50;64499712;573740;1061577
1520780761123;1946;1842;50;64499712;573740;1061577
1520780761223;1956;1852;50;64499712;573904;1061949
1520780761323;1966;1862;50;64499712;573904;1061949
1520780761423;1976;1872;50;64499712;574068;1062319
1520780761524;1986;1881;50;64499712;574068;1062319
1520780761624;1996;1891;50;64499712;574232;1062690
1520780761724;2006;1901;50;64499712;574232;1062690
1520780761824;2016;1911;50;64499712;574396;1063064
1520780761925;2026;1921;50;64499712;574396;1063064
1520780762025;2036;1931;50;64499712;574560;1063438
1520780762125;2046;1940;50;64499712;574560;1063438
1520780762226;2056;1950;50;64499712;574724;1063811
1520780762326;2066;1960;50;64499712;574724;1063811
1520780762426;2076;1970;50;64499712;574934;1064236
1520780762526;2086;1980;50;64499712;574934;1064236
1520780762626;2096;1989;51;64499712;575098;1064609
1520780762727;2106;1999;51;64499712;575098;1064609
1520780762827;2117;2008;51;64499712;575262;1064983
1520780762927;2127;2018;51;64499712;575262;1064983
1520780763027;2137;2028;51;64499712;575426;1065356
1520780763127;2147;2038;51;64499712;575426;1065356
1520780763228;2157;2047;51;64499712;575590;1065729
1520780763328;2167;2057;51;64499712;575590;1065729
1520780763428;2177;2067;51;64499712;575754;1066102
1520780763528;2187;2076;51;64499712;575754;1066102
1520780763628;2197;2086;51;64499712;575918;1066473
1520780763728;2207;2096;51;64499712;575918;1066473
1520780763828;2217;2106;51;64499712;575970;1066795
1520780763929;2227;2116;51;64499712;576142;1066847
1520780764029;2237;2126;51;64499712;576142;1066847
1520780764129;2247;2136;51;64499712;576306;1067220
1520780764229;2257;2145;51;64499712;576306;1067220
1520780764329;2267;2155;51;64499712;576470;1067593
1520780764429;2277;2165;51;64499712;576470;1067593
1520780764529;2287;2174;52;64499712;576634;1067965
1520780764629;2297;2184;52;64499712;576634;1067965
1520780764730;2307;2194;52;64499712;576844;1068390
1520780764830;2317;2203;52;64499712;576844;1068390
1520780764930;2327;2212;53;64499712;577068;1068763
1520780765030;2337;2222;53;64499712;577068;1068763
1520780765130;2347;2232;53;64499712;577068;1068763
1520780765230;2357;2242;53;64499712;577232;1069138
1520780765330;2367;2252;53;64499712;577232;1069138
1520780765430;2377;2262;53;64499712;577396;1069510
1520780765530;2387;2271;53;64499712;577396;1069510
1520780765631;2397;2281;53;64499712;577560;1069884
1520780765731;2407;2291;53;64499712;577606;1069936
1520780765831;2417;2300;53;64499712;577770;1070308
1520780765931;2427;2310;53;64499712;577770;1070308
1520780766031;2437;2320;53;64499712;577934;1070681
1520780766132;2447;2330;53;64499712;577934;1070681
1520780766232;2457;2340;53;64499712;578098;1071050
1520780766332;2467;2350;53;64499712;578098;1071050
1520780766432;2477;2360;53;64499712;578262;1071422
1520780766532;2487;2369;53;64499712;578262;1071422
1520780766632;2497;2379;53;64499712;578426;1071795
1520780766732;2507;2389;54;64499712;578426;1071795
1520780766832;2517;2398;54;64499712;578590;1072166
1520780766932;2527;2408;54;64499712;578590;1072166
1520780767032;2537;2418;54;64499712;578590;1072166
1520780767133;2547;2428;54;64499712;578754;1072538
1520780767233;2557;2438;54;64499712;578754;1072538
1520780767333;2567;2448;54;64499712;578918;1072912
1520780767433;2577;2457;54;64499712;579014;1072912
1520780767533;2587;2466;55;64499712;579178;1073285
1520780767634;2597;2476;55;64499712;579178;1073285
1520780767734;2607;2486;55;64499712;579342;1073659
1520780767834;2617;2496;55;64499712;579342;1073659
1520780767934;2627;2506;55;64499712;579612;1074084
1520780768035;2637;2516;55;64499712;579612;1074084
1520780768135;2647;2525;55;64499712;579776;1074458
1520780768235;2657;2535;55;64499712;579776;1074458
1520780768335;2667;2545;55;64499712;579940;1074830
1520780768435;2677;2554;55;64499712;579940;1074830
1520780768535;2687;2564;55;64499712;580104;1075204
1520780768635;2697;2573;56;64499712;580104;1075204
1520780768735;2707;2583;56;64499712;580268;1075576
1520780768835;2717;2593;56;64499712;580268;1075576
1520780768935;2727;2602;56;64499712;580432;1075947
1520780769035;2737;2612;56;64499712;580432;1075947
1520780769135;2747;2622;56;64499712;580596;1076320
1520780769235;2757;2632;56;64499712;580596;1076320
1520780769336;2767;2642;56;64499712;580760;1076694
1520780769436;2777;2652;56;64499712;580806;1076746
1520780769536;2787;2662;56;64499712;580970;1077117
1520780769636;2797;2672;56;64499712;580970;1077117
1520780769737;2807;2682;56;64499712;581134;1077492
1520780769837;2818;2691;56;64499712;581134;1077492
1520780769937;2828;2701;56;64499712;581298;1077865
1520780770037;2838;2711;56;64499712;581298;1077865
1520780770137;2848;2721;56;64499712;581298;1077865
1520780770238;2858;2730;56;64499712;581462;1078239
1520780770338;2868;2740;56;64499712;581462;1078239
1520780770438;2878;2750;56;64499712;581626;1078609
1520780770538;2888;2760;56;64499712;581626;1078609
1520780770638;2898;2770;56;64499712;581790;1078982
1520780770739;2908;2780;56;64499712;581790;1078982
1520780770839;2918;2789;56;64499712;581954;1079354
1520780770939;2928;2799;56;64499712;581954;1079354
1520780771039;2938;2809;56;64499712;582118;1079728
1520780771140;2948;2819;56;64499712;582118;1079728
1520780771240;2958;2828;56;64499712;582282;1080102
1520780771340;2968;2838;56;64499712;582282;1080102
1520780771440;2978;2848;56;64499712;582446;1080476
1520780771540;2988;2858;57;64499712;582446;1080476
1520780771640;2998;2867;57;64499712;582610;1080848
1520780771740;3008;2877;57;64499712;582610;1080848
1520780771840;3018;2886;57;64499712;582774;1081222
1520780771940;3028;2896;58;64499712;582774;1081222
1520780772040;3038;2905;58;64499712;582938;1081595
1520780772140;3048;2915;58;64499712;582984;1081647
1520780772240;3058;2925;58;64499712;583148;1082022
1520780772340;3068;2934;59;64499712;583148;1082022
1520780772440;3078;2944;59;64499712;583312;1082392
1520780772540;3088;2954;59;64499712;583312;1082392
1520780772640;3098;2964;59;64499712;583476;1082766
1520780772740;3108;2973;59;64499712;583476;1082766
1520780772840;3118;2983;59;64499712;583640;1083139
1520780772940;3128;2992;59;64499712;583640;1083139
1520780773040;3138;3002;59;64499712;583640;1083139
1520780773140;3148;3011;60;64499712;583804;1083513
1520780773240;3158;3021;60;64499712;583804;1083513
1520780773340;3168;3031;60;64499712;583968;1083884
1520780773441;3178;3041;60;64499712;583968;1083884
1520780773541;3188;3051;60;64499712;584132;1084257
1520780773641;3198;3060;60;64499712;584132;1084257
1520780773742;3208;3070;60;64499712;584296;1084629
1520780773842;3218;3080;60;64499712;584296;1084629
1520780773942;3228;3090;60;64499712;584460;1085003
1520780774042;3238;3100;60;64499712;584520;1085003
1520780774142;3248;3109;60;64499712;584684;1085374
1520780774242;3258;3119;60;64499712;584684;1085374
1520780774342;3268;3128;61;64499712;584848;1085747
1520780774442;3278;3138;61;64499712;584848;1085747
1520780774543;3288;3148;61;64499712;585012;1086120
1520780774643;3298;3158;61;64499712;585012;1086120
1520780774743;3308;3167;61;64499712;585564;1086493
1520780774843;3318;3177;61;64499712;585564;1086493
1520780774943;3328;3186;62;64499712;585728;1086866
1520780775044;3338;3196;62;64499712;585774;1086918
1520780775144;3348;3206;62;64499712;585938;1087292
1520780775244;3358;3215;62;64499712;585938;1087292
1520780775344;3368;3225;62;64499712;586102;1087665
1520780775444;3378;3235;62;64499712;586102;1087665
1520780775544;3388;3244;63;64499712;586266;1088035
1520780775645;3398;3254;63;64499712;586266;1088035
1520780775745;3408;3264;63;64499712;586266;1088035
1520780775845;3418;3274;63;64499712;586430;1088409
1520780775946;3428;3284;63;64499712;586482;1088729
1520780776046;3438;3293;63;64499712;586594;1088781
1520780776147;3448;3303;63;64499712;586594;1088781
1520780776247;3459;3313;63;64499712;586758;1089155
1520780776347;3469;3323;63;64499712;586758;1089155
1520780776447;3479;3333;63;64499712;586922;1089528
1520780776548;3489;3342;63;64499712;586922;1089528
1520780776648;3499;3352;63;64499712;587086;1089901
1520780776748;3509;3362;63;64499712;587086;1089901
1520780776848;3519;3372;63;64499712;587250;1090273
1520780776948;3529;3382;63;64499712;587250;1090273
1520780777048;3539;3392;63;64499712;587460;1090697
1520780777148;3549;3402;63;64499712;587460;1090697
1520780777249;3559;3411;63;64499712;587624;1091070
1520780777349;3569;3421;63;64499712;587624;1091070
1520780777449;3579;3431;63;64499712;587788;1091442
1520780777550;3589;3441;63;64499712;587788;1091442
1520780777650;3599;3451;63;64499712;587952;1091815
1520780777750;3609;3461;63;64499712;587952;1091815
1520780777850;3619;3470;63;64499712;588116;1092188
1520780777950;3629;3480;63;64499712;588116;1092188
1520780778051;3639;3490;63;64499712;588280;1092561
1520780778151;3649;3500;63;64499712;588280;1092561
1520780778251;3659;3510;63;64499712;588444;1092935
1520780778351;3669;3519;63;64499712;588444;1092935
1520780778451;3679;3529;63;64499712;588608;1093309
1520780778552;3689;3539;64;64499712;588608;1093309
1520780778652;3699;3548;64;64499712;588772;1093683
1520780778752;3709;3558;64;64499712;588772;1093683
1520780778852;3719;3568;64;64499712;588936;1094055
1520780778952;3729;3578;64;64499712;588936;1094055
1520780779052;3739;3588;64;64499712;588936;1094055
1520780779152;3749;3597;64;64499712;589100;1094428
1520780779253;3759;3607;64;64499712;589100;1094428
1520780779353;3769;3617;64;64499712;589264;1094800
1520780779457;3780;3627;64;64499712;589264;1094800
1520780779558;3790;3637;64;64499712;589428;1095172
1520780779658;3800;3647;64;64499712;589428;1095172
1520780779758;3810;3656;65;64499712;589592;1095546
1520780779858;3820;3666;65;64499712;589592;1095546
1520780779958;3830;3676;65;64499712;589756;1095918
1520780780058;3840;3686;65;64499712;589756;1095918
1520780780158;3850;3696;65;64499712;589920;1096291
1520780780258;3860;3705;65;64499712;589920;1096291
1520780780358;3870;3715;65;64499712;590084;1096663
1520780780459;3880;3725;65;64499712;590084;1096663
1520780780559;3890;3735;65;64499712;590248;1097033
1520780780659;3900;3745;65;64499712;590248;1097033
1520780780759;3910;3754;65;64499712;590412;1097406
1520780780859;3920;3764;65;64499712;590412;1097406
1520780780960;3930;3774;65;64499712;590576;1097779
1520780781060;3940;3784;65;64499712;590576;1097779
1520780781160;3950;3794;65;64499712;590740;1098153
1520780781260;3960;3803;65;64499712;590740;1098153
1520780781361;3970;3813;65;64499712;590904;1098527
1520780781461;3980;3823;65;64499712;590904;1098527
1520780781561;3990;3833;65;64499712;591068;1098899
1520780781661;4000;3843;65;64499712;591068;1098899
1520780781761;4010;3852;65;64499712;591232;1099272
1520780781861;4020;3862;65;64499712;591232;1099272
1520780781962;4030;3872;65;64499712;591396;1099643
1520780782062;4040;3882;65;64499712;591396;1099643
1520780782162;4050;3892;65;64499712;591560;1100016
1520780782262;4060;3902;65;64499712;591560;1100016
1520780782362;4070;3911;66;64499712;591774;1100387
1520780782462;4080;3921;66;64499712;591820;1100387
1520780782562;4090;3930;66;64499712;591820;1100387
1520780782662;4100;3940;66;64499712;591984;1100761
1520780782763;4110;3950;66;64499712;591984;1100761
1520780782863;4120;3960;66;64499712;592148;1101134
1520780782963;4130;3970;66;64499712;592148;1101134
1520780783063;4140;3979;67;64499712;592312;1101506
1520780783164;4150;3988;67;64499712;592312;1101506
1520780783264;4160;3998;67;64499712;592476;1101878
1520780783364;4170;4008;67;64499712;592476;1101878
1520780783464;4180;4018;67;64499712;592640;1102249
1520780783564;4190;4028;67;64499712;592640;1102249
1520780783664;4200;4038;67;64499712;592804;1102621
1520780783764;4210;4047;67;64499712;592804;1102621
1520780783865;4220;4056;68;64499712;592968;1102994
1520780783965;4230;4066;68;64499712;592968;1102994
1520780784065;4240;4076;68;64499712;593178;1103418
