currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522152304342;1;0;0;1400832;2938118;5732744
1522152304442;11;8;0;6930432;2938118;5732744
1522152304542;21;17;2;7569408;2938118;5732744
1522152304642;31;24;4;8048640;2938118;5732744
1522152304742;41;32;6;8310784;2938118;5732744
1522152304842;51;40;8;8974336;2938118;5732744
1522152304942;61;50;8;9469952;2938118;5732744
1522152305042;71;59;8;9469952;2938506;5732744
1522152305143;81;68;9;11091968;2938506;5732744
1522152305243;91;77;10;12296192;2938506;5732744
1522152305343;101;85;11;12922880;2938506;5732744
1522152305443;111;93;13;13455360;2938506;5732744
1522152305543;121;102;14;14159872;2938556;5732744
1522152305644;131;111;15;14606336;2938556;5732744
1522152305744;141;120;16;15638528;2938556;5732744
1522152305845;151;128;17;18329600;2938588;5732776
1522152305945;161;138;17;19017728;2938588;5732776
1522152306045;171;146;18;23625728;2938588;5732776
1522152306145;181;154;20;24444928;2938588;5732776
1522152306246;191;163;21;25767936;2938588;5732776
1522152306346;201;170;24;27762688;2938588;5732776
1522152306446;211;179;24;28188672;2938588;5732776
1522152306546;221;189;24;28323840;2938588;5732776
1522152306646;231;199;24;28815360;2938588;5732776
1522152306747;241;204;27;29298688;2938588;5732776
1522152306847;251;214;27;29634560;2938588;5732776
1522152306947;261;223;28;29712384;2938588;5732776
1522152307047;271;233;28;29974528;2938588;5732776
1522152307148;281;242;29;30232576;2938588;5732776
1522152307248;291;250;30;30494720;2938588;5732776
1522152307348;301;260;31;30756864;2938588;5732776
1522152307448;311;268;31;30756864;2938666;5732776
1522152307548;321;277;33;31301632;2938868;5732776
1522152307648;331;284;35;31563776;2938868;5732776
1522152307748;341;293;35;31825920;2938868;5732776
1522152307849;351;302;36;32231424;2938868;5732776
1522152307949;361;311;37;32493568;2938957;5732776
1522152308049;371;321;37;32755712;2938957;5732776
1522152308149;381;330;37;33157120;2938957;5732776
1522152308250;391;339;38;33419264;2938957;5732776
1522152308350;401;347;39;33972224;2938957;5732776
1522152308450;411;356;41;33972224;2938957;5732776
1522152308550;421;365;41;34660352;2938957;5732776
1522152308650;432;375;41;34660352;2938957;5732776
1522152308751;442;385;41;34660352;2938957;5732776
1522152308851;452;394;41;36065280;2938957;5732776
1522152308951;462;403;42;36450304;2939699;5733756
1522152309051;472;412;42;36450304;2939755;5733808
1522152309151;482;422;42;36712448;2939912;5734146
1522152309252;492;432;42;36712448;2939912;5734146
1522152309352;502;442;43;36712448;2940069;5734486
1522152309452;512;451;43;36712448;2940069;5734486
1522152309552;522;461;43;36712448;2940226;5734825
1522152309652;532;471;43;36712448;2940226;5734825
1522152309753;542;480;43;36712448;2940383;5735164
1522152309853;552;490;43;36712448;2940383;5735164
1522152309953;562;500;43;36712448;2940540;5735500
1522152310053;572;510;43;36712448;2940540;5735500
1522152310153;582;520;43;36712448;2940697;5735834
1522152310253;592;530;43;36712448;2940697;5735834
1522152310353;602;539;43;36712448;2940854;5736170
1522152310453;612;549;43;36712448;2940854;5736170
1522152310553;622;559;43;36712448;2941011;5736509
1522152310654;632;569;43;36712448;2941011;5736509
1522152310754;642;579;43;36712448;2941168;5736844
1522152310854;652;588;43;36712448;2941325;5737178
1522152310954;662;598;43;36712448;2941325;5737178
1522152311054;672;608;43;36712448;2941482;5737510
1522152311155;682;618;43;36712448;2941482;5737510
1522152311255;692;628;43;36712448;2941639;5737846
1522152311355;702;637;43;36712448;2941639;5737846
1522152311455;712;647;43;36712448;2941639;5737846
1522152311556;722;657;43;36712448;2941796;5738182
1522152311656;732;666;44;36712448;2941796;5738182
1522152311756;742;676;44;36712448;2941953;5738518
1522152311856;752;686;44;36712448;2941953;5738518
1522152311956;762;695;45;36712448;2942199;5738853
1522152312057;772;704;45;36712448;2942199;5738853
1522152312157;782;714;45;36712448;2942356;5739188
1522152312257;792;724;45;36712448;2942356;5739188
1522152312357;802;734;45;36712448;2942513;5739519
1522152312457;812;744;45;36712448;2942513;5739519
1522152312557;822;754;45;36712448;2942670;5739854
1522152312657;832;764;45;36712448;2942670;5739854
1522152312757;842;773;45;36712448;2942827;5740189
1522152312858;852;783;45;36712448;2942827;5740189
1522152312958;862;793;45;36712448;2942984;5740521
1522152313058;872;802;45;36712448;2943141;5740855
1522152313158;882;812;45;36712448;2943141;5740855
1522152313258;892;822;45;36712448;2943298;5741188
1522152313358;902;832;45;36712448;2943298;5741188
1522152313458;912;842;45;36712448;2943455;5741523
1522152313558;922;852;45;36712448;2943455;5741523
1522152313658;932;862;45;36712448;2943612;5741858
1522152313759;942;871;45;36712448;2943612;5741858
1522152313859;952;881;45;36712448;2943769;5742192
1522152313959;962;891;45;36712448;2943769;5742192
1522152314059;972;901;45;36712448;2943926;5742527
1522152314159;982;911;45;36712448;2943926;5742527
1522152314260;992;921;45;36712448;2944083;5742863
1522152314360;1002;930;45;36712448;2944083;5742863
1522152314460;1013;940;46;36712448;2944240;5743198
1522152314560;1022;950;46;36712448;2944240;5743198
1522152314660;1032;960;46;36712448;2944397;5743533
1522152314761;1043;970;46;36712448;2944397;5743533
1522152314861;1053;979;46;36712448;2944554;5743870
1522152314961;1063;989;46;36712448;2944554;5743870
1522152315061;1073;999;46;36712448;2944711;5744206
1522152315162;1083;1009;46;36712448;2944711;5744206
1522152315262;1093;1019;46;36712448;2944868;5744542
1522152315362;1103;1028;46;36712448;2944973;5744825
1522152315462;1113;1038;46;36712448;2945025;5744877
1522152315562;1123;1048;46;36712448;2945130;5745161
1522152315662;1133;1058;46;36712448;2945182;5745213
1522152315762;1143;1067;46;36712448;2945287;5745495
1522152315862;1153;1077;46;36712448;2945339;5745547
1522152315962;1163;1087;46;36712448;2945444;5745829
1522152316063;1173;1097;46;36712448;2945496;5745881
1522152316163;1183;1107;46;36712448;2945601;5746165
1522152316263;1193;1116;46;36712448;2945653;5746217
1522152316363;1203;1126;46;36712448;2945758;5746501
1522152316463;1213;1136;46;36712448;2945810;5746553
1522152316564;1223;1146;46;36712448;2945967;5746888
1522152316664;1233;1156;47;36712448;2945967;5746888
1522152316764;1243;1166;47;36712448;2946124;5747223
1522152316864;1253;1175;47;36712448;2946124;5747223
1522152316964;1263;1185;47;36712448;2946281;5747559
1522152317065;1273;1194;47;36712448;2946281;5747559
1522152317165;1283;1204;47;36712448;2946438;5747895
1522152317265;1293;1214;47;36712448;2946438;5747895
1522152317365;1303;1224;47;36712448;2946595;5748230
1522152317465;1313;1234;47;36712448;2946595;5748230
1522152317566;1323;1244;47;36712448;2946752;5748567
1522152317666;1333;1254;47;36712448;2946752;5748567
1522152317766;1343;1264;47;36712448;2946909;5748904
1522152317866;1353;1273;47;36712448;2947014;5749186
1522152317967;1363;1283;47;36712448;2947066;5749238
1522152318067;1373;1293;47;36712448;2947171;5749521
1522152318167;1383;1303;47;36712448;2947223;5749573
1522152318267;1393;1312;47;36712448;2947328;5749855
1522152318367;1403;1322;47;36712448;2947380;5749907
1522152318468;1413;1332;47;36712448;2947485;5750191
1522152318568;1423;1342;47;36712448;2947537;5750243
1522152318669;1433;1352;47;36712448;2947642;5750526
1522152318769;1443;1362;47;36712448;2947694;5750578
1522152318869;1453;1371;47;36712448;2947799;5750862
1522152318969;1463;1381;47;36712448;2947851;5750914
1522152319069;1473;1391;47;36712448;2948008;5751249
1522152319169;1483;1401;47;36712448;2948008;5751249
1522152319269;1493;1411;47;36712448;2948165;5751585
1522152319369;1503;1420;47;36712448;2948165;5751585
1522152319469;1513;1430;48;36712448;2948322;5751920
1522152319570;1523;1440;48;36712448;2948322;5751920
1522152319670;1533;1450;48;36712448;2948479;5752255
1522152319770;1543;1460;48;36712448;2948479;5752255
1522152319870;1553;1469;48;36712448;2948636;5752590
1522152319970;1564;1479;48;36712448;2948636;5752590
1522152320071;1574;1489;48;36712448;2948793;5752926
1522152320171;1584;1499;48;36712448;2948793;5752926
1522152320271;1594;1509;48;36712448;2948950;5753262
1522152320371;1604;1518;48;36712448;2948950;5753262
1522152320471;1614;1527;49;36712448;2949107;5753597
1522152320571;1624;1536;49;36712448;2949262;5753879
1522152320671;1634;1546;49;36712448;2949314;5753931
1522152320771;1644;1556;49;36712448;2949419;5754212
1522152320872;1654;1566;49;36712448;2949471;5754264
1522152320972;1664;1576;49;36712448;2949665;5754548
1522152321072;1674;1586;49;36712448;2949817;5754600
1522152321173;1684;1595;50;36712448;2949922;5754884
1522152321273;1694;1605;50;36712448;2949974;5754936
1522152321373;1704;1615;50;36712448;2950079;5755219
1522152321473;1714;1624;50;36712448;2950131;5755271
1522152321573;1724;1634;50;36712448;2950236;5755554
1522152321673;1734;1644;50;36712448;2950288;5755606
1522152321773;1744;1654;50;36712448;2950445;5755941
1522152321873;1754;1664;50;36712448;2950445;5755941
1522152321973;1764;1673;50;36712448;2950602;5756276
1522152322074;1774;1683;51;36712448;2950602;5756276
1522152322174;1784;1693;51;36712448;2950837;5756612
1522152322274;1794;1702;51;36712448;2950837;5756612
1522152322374;1804;1712;51;36712448;2951637;5756947
1522152322474;1814;1722;51;36712448;2951637;5756947
1522152322575;1824;1731;51;36712448;2951794;5757282
1522152322675;1834;1741;51;36712448;2951794;5757282
1522152322775;1844;1751;51;36712448;2951951;5757615
1522152322875;1854;1761;51;36712448;2951951;5757615
1522152322975;1864;1771;51;36712448;2952108;5757949
1522152323076;1874;1780;51;36712448;2952108;5757949
1522152323176;1884;1790;51;36712448;2952265;5758286
1522152323276;1894;1800;51;36712448;2952370;5758571
1522152323376;1904;1810;51;36712448;2952422;5758623
1522152323476;1914;1819;51;36712448;2952527;5758907
1522152323576;1924;1829;51;36712448;2952579;5758959
1522152323676;1934;1839;52;36712448;2952886;5759243
1522152323777;1944;1848;52;36712448;2952938;5759295
1522152323877;1954;1858;52;36712448;2953043;5759579
1522152323977;1964;1868;52;36712448;2953095;5759631
1522152324077;1974;1878;52;36712448;2953200;5759916
1522152324178;1984;1888;52;36712448;2953252;5759968
1522152324278;1994;1897;52;36712448;2953409;5760304
1522152324378;2004;1907;52;36712448;2953409;5760304
1522152324478;2014;1917;53;36712448;2953566;5760640
1522152324578;2024;1926;53;36712448;2953566;5760640
1522152324679;2034;1936;53;36712448;2953723;5760976
1522152324779;2044;1946;53;36712448;2953723;5760976
1522152324879;2054;1956;53;36712448;2953880;5761310
1522152324979;2064;1966;53;36712448;2953880;5761310
1522152325079;2074;1976;53;36712448;2954037;5761647
1522152325180;2084;1986;53;36712448;2954037;5761647
1522152325280;2094;1996;53;36712448;2954194;5761983
1522152325380;2105;2005;53;36712448;2954194;5761983
1522152325480;2114;2015;53;36712448;2954351;5762319
1522152325580;2124;2025;53;36712448;2954351;5762319
1522152325681;2135;2035;53;36712448;2954508;5762654
1522152325781;2145;2044;53;36712448;2954613;5762938
1522152325881;2155;2054;53;36712448;2954665;5762990
1522152325981;2165;2063;53;36712448;2954770;5763274
1522152326082;2175;2073;53;36712448;2954822;5763326
1522152326182;2185;2083;53;36712448;2954927;5763612
1522152326282;2195;2093;53;36712448;2954979;5763664
1522152326382;2205;2103;53;36712448;2955084;5763947
1522152326482;2215;2112;53;36712448;2955136;5763999
1522152326583;2225;2122;53;36712448;2955241;5764284
1522152326683;2235;2132;53;36712448;2955293;5764336
1522152326783;2245;2142;54;36712448;2955398;5764619
1522152326883;2255;2152;54;36712448;2955450;5764671
1522152326983;2265;2162;54;36712448;2955607;5765007
1522152327084;2275;2171;54;36712448;2955607;5765007
1522152327184;2285;2180;55;36712448;2955764;5765339
1522152327284;2295;2190;55;36712448;2955764;5765339
1522152327384;2305;2200;55;36712448;2955921;5765674
1522152327484;2315;2210;55;36712448;2955921;5765674
1522152327585;2325;2220;55;36712448;2956078;5766010
1522152327685;2335;2230;55;36712448;2956078;5766010
1522152327785;2345;2239;55;36712448;2956235;5766344
1522152327885;2355;2249;55;36712448;2956235;5766344
1522152327986;2365;2259;55;36712448;2956392;5766679
1522152328086;2375;2268;55;36712448;2956392;5766679
1522152328186;2385;2278;55;36712448;2956549;5767016
1522152328286;2395;2288;55;36712448;2956654;5767300
1522152328386;2405;2298;55;36712448;2956706;5767352
1522152328486;2415;2308;55;36712448;2956811;5767637
1522152328586;2425;2318;55;36712448;2956863;5767689
1522152328686;2435;2328;55;36712448;2957296;5767973
1522152328786;2445;2337;55;36712448;2957348;5768025
1522152328886;2455;2346;55;36712448;2957453;5768310
1522152328986;2465;2356;55;36712448;2957505;5768362
1522152329086;2475;2366;55;36712448;2957610;5768645
1522152329187;2485;2376;55;36712448;2957662;5768697
1522152329287;2495;2386;55;36712448;2957767;5768982
1522152329387;2505;2396;55;36712448;2957819;5769034
1522152329487;2515;2406;55;36712448;2957976;5769369
1522152329587;2525;2416;55;36712448;2957976;5769369
1522152329688;2535;2425;55;36712448;2958133;5769703
1522152329788;2545;2435;55;36712448;2958133;5769703
1522152329888;2555;2445;55;36712448;2958290;5770039
1522152329989;2565;2455;55;36712448;2958290;5770039
1522152330089;2575;2464;56;36712448;2958447;5770376
1522152330189;2585;2474;56;36712448;2958447;5770376
1522152330289;2595;2484;56;36712448;2958604;5770710
1522152330390;2605;2493;57;36712448;2958604;5770710
1522152330490;2615;2502;57;36712448;2958761;5771048
1522152330590;2625;2512;57;36712448;2958761;5771048
1522152330690;2635;2522;57;36712448;2958918;5771384
1522152330790;2646;2532;57;36712448;2958918;5771384
1522152330891;2656;2542;57;36712448;2959075;5771721
1522152330991;2666;2552;57;36712448;2959180;5772002
1522152331091;2676;2562;57;36712448;2959232;5772054
1522152331191;2686;2572;57;36712448;2959337;5772338
1522152331292;2696;2581;57;36712448;2959389;5772390
1522152331392;2706;2591;57;36712448;2959494;5772673
1522152331492;2716;2601;57;36712448;2959546;5772725
1522152331592;2726;2610;58;36712448;2959651;5773010
1522152331692;2736;2620;58;36712448;2959703;5773062
1522152331793;2746;2630;58;36712448;2959808;5773347
1522152331893;2756;2640;58;36712448;2959860;5773399
1522152331993;2766;2649;58;36712448;2960017;5773736
1522152332093;2776;2659;58;36712448;2960017;5773736
1522152332193;2786;2669;58;36712448;2960174;5774071
1522152332293;2796;2679;58;36712448;2960174;5774071
1522152332393;2806;2688;58;36712448;2960331;5774408
1522152332493;2816;2698;59;36712448;2960331;5774408
1522152332593;2826;2708;59;36712448;2960488;5774744
1522152332694;2836;2718;59;36712448;2960488;5774744
1522152332794;2846;2727;59;36712448;2960645;5775082
1522152332894;2856;2737;59;36712448;2960645;5775082
1522152332994;2866;2747;59;36712448;2960802;5775415
1522152333094;2876;2757;59;36712448;2960802;5775415
1522152333195;2886;2767;59;36712448;2960959;5775752
1522152333295;2896;2776;59;36712448;2960959;5775752
1522152333395;2906;2786;59;36712448;2961116;5776088
1522152333495;2916;2796;59;36712448;2961221;5776373
1522152333596;2926;2806;59;36712448;2961273;5776425
1522152333696;2936;2816;59;36712448;2961378;5776707
1522152333796;2946;2826;59;36712448;2961430;5776759
1522152333897;2956;2835;59;36712448;2961535;5777043
1522152333997;2966;2845;59;36712448;2961587;5777095
1522152334097;2976;2855;59;36712448;2961692;5777378
1522152334197;2986;2865;59;36712448;2961744;5777430
1522152334297;2996;2874;59;36712448;2961849;5777715
1522152334398;3006;2884;59;36712448;2961901;5777767
1522152334498;3016;2893;60;36712448;2962058;5778101
1522152334598;3026;2903;60;36712448;2962058;5778101
1522152334698;3036;2913;60;36712448;2962215;5778437
1522152334798;3046;2923;60;36712448;2962215;5778437
1522152334899;3056;2933;60;36712448;2962372;5778773
1522152334999;3066;2942;60;36712448;2962372;5778773
1522152335099;3076;2952;60;36712448;2962917;5779109
1522152335199;3086;2962;60;36712448;2962917;5779109
1522152335299;3096;2972;60;36712448;2963074;5779445
1522152335399;3106;2982;60;36712448;2963074;5779445
