currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522158218049;0;0;0;1400832;7056554;13089666
1522158218149;10;8;0;6930432;7056554;13089666
1522158218250;20;16;2;7569408;7056554;13089666
1522158218350;30;24;4;8048640;7056554;13089666
1522158218450;40;34;4;8310784;7056554;13089666
1522158218550;50;42;5;8974336;7056554;13089666
1522158218650;61;52;6;9469952;7056554;13089666
1522158218751;71;61;6;9469952;7056554;13089666
1522158218851;81;70;7;11091968;7056554;13089666
1522158218951;91;80;7;12464128;7056554;13089666
1522158219051;101;88;8;12922880;7056554;13089666
1522158219152;111;97;10;13455360;7056554;13089666
1522158219252;121;106;10;14159872;7056554;13089666
1522158219352;131;115;11;14606336;7056554;13089666
1522158219452;141;124;12;15638528;7056554;13089666
1522158219552;151;132;13;18329600;7056554;13089666
1522158219652;161;142;13;19017728;7056554;13089666
1522158219752;171;151;14;23625728;7056554;13089666
1522158219853;181;160;14;24444928;7056554;13089666
1522158219953;191;169;15;25915392;7056554;13089666
1522158220053;201;179;15;27762688;7056554;13089666
1522158220154;211;188;15;28188672;7056554;13089666
1522158220254;221;198;15;28323840;7056554;13089666
1522158220354;231;207;16;28815360;7056554;13089666
1522158220454;241;212;20;29298688;7056554;13089666
1522158220554;251;220;21;29634560;7056554;13089666
1522158220655;261;229;21;29712384;7056942;13089666
1522158220755;271;239;21;29974528;7056942;13089666
1522158220855;281;248;22;30232576;7056942;13089666
1522158220955;291;258;23;30494720;7056942;13089666
1522158221056;301;266;23;30756864;7056942;13089666
1522158221156;311;276;23;31019008;7056942;13089666
1522158221257;321;286;24;31301632;7056942;13089666
1522158221357;331;293;26;31563776;7056942;13089666
1522158221457;341;303;26;31825920;7056942;13089666
1522158221557;351;312;26;32231424;7056942;13089666
1522158221658;361;322;26;32493568;7056942;13089666
1522158221758;371;332;26;32755712;7056942;13089666
1522158221858;381;341;26;33157120;7056942;13089666
1522158221958;391;350;27;33419264;7056942;13089666
1522158222058;401;360;27;33972224;7056942;13089666
1522158222159;411;367;29;34234368;7056942;13089666
1522158222259;421;376;30;34660352;7056942;13089666
1522158222359;431;386;30;34660352;7056942;13089666
1522158222459;441;396;30;34922496;7056942;13089666
1522158222560;451;406;30;36065280;7056942;13089666
1522158222660;461;415;31;36327424;7057150;13090178
1522158222760;471;424;31;36327424;7057150;13090178
1522158222861;482;434;31;36712448;7057150;13090178
1522158222961;492;443;31;36712448;7057599;13090953
1522158223061;502;453;31;36974592;7057599;13090953
1522158223161;512;462;32;36974592;7058048;13091730
1522158223261;522;472;32;36974592;7058048;13091730
1522158223361;532;482;32;36974592;7058497;13092506
1522158223461;542;492;32;36974592;7058497;13092506
1522158223561;552;501;32;36974592;7058946;13093282
1522158223661;562;511;32;36974592;7058946;13093282
1522158223762;572;520;32;36974592;7059291;13093951
1522158223862;582;530;32;36974592;7059395;13094055
1522158223962;592;540;32;36974592;7059395;13094055
1522158224062;602;549;33;36974592;7059844;13094826
1522158224162;612;559;33;36974592;7059844;13094826
1522158224263;622;568;33;36974592;7060293;13095599
1522158224363;632;578;33;36974592;7060293;13095599
1522158224463;642;587;33;36974592;7060742;13096375
1522158224563;652;597;33;36974592;7060742;13096375
1522158224663;662;607;33;36974592;7060742;13096375
1522158224763;672;616;34;36974592;7061087;13097043
1522158224863;682;626;34;36974592;7061191;13097147
1522158224963;692;635;34;36974592;7061191;13097147
1522158225063;702;644;34;36974592;7061640;13097918
1522158225164;712;654;34;36974592;7061640;13097918
1522158225264;722;664;34;36974592;7062089;13098687
1522158225364;732;674;34;36974592;7062089;13098687
1522158225465;742;684;34;36974592;7062538;13099460
1522158225565;752;694;34;36974592;7062538;13099460
1522158225665;762;703;34;36974592;7062987;13100233
1522158225765;772;713;34;36974592;7062987;13100233
1522158225865;782;722;34;36974592;7062987;13100233
1522158225965;792;732;34;36974592;7063436;13101006
1522158226066;802;742;34;36974592;7063436;13101006
1522158226166;812;752;34;36974592;7063885;13101778
1522158226266;822;762;34;36974592;7063885;13101778
1522158226366;832;771;35;36974592;7064334;13102550
1522158226466;842;780;35;36974592;7064334;13102550
1522158226567;852;789;35;36974592;7064783;13103318
1522158226667;862;799;35;36974592;7064783;13103318
1522158226768;872;809;35;36974592;7064783;13103318
1522158226868;882;818;35;36974592;7065232;13104090
1522158226968;892;828;35;36974592;7065232;13104090
1522158227068;902;838;35;36974592;7065681;13104862
1522158227168;912;847;35;36974592;7065681;13104862
1522158227269;922;857;35;36974592;7066130;13105631
1522158227369;932;867;35;36974592;7066130;13105631
1522158227469;942;876;35;36974592;7066579;13106402
1522158227569;952;886;35;36974592;7066579;13106402
1522158227669;962;896;35;36974592;7066579;13106402
1522158227770;972;905;36;36974592;7067028;13107172
1522158227870;982;915;36;36974592;7067028;13107172
1522158227970;993;925;36;36974592;7067477;13107944
1522158228071;1003;935;36;36974592;7067477;13107944
1522158228171;1013;944;36;36974592;7067926;13108716
1522158228271;1023;953;37;36974592;7067926;13108716
1522158228371;1033;962;37;36974592;7068375;13109487
1522158228471;1043;972;37;36974592;7068375;13109487
1522158228572;1053;982;37;36974592;7068375;13109487
1522158228672;1063;991;38;36974592;7068824;13110259
1522158228772;1073;1001;38;36974592;7068824;13110259
1522158228872;1083;1010;38;36974592;7069273;13111032
1522158228972;1093;1020;38;36974592;7069273;13111032
1522158229073;1103;1029;39;36974592;7069722;13111804
1522158229173;1113;1039;39;36974592;7069722;13111804
1522158229273;1123;1048;39;36974592;7070171;13112576
1522158229373;1133;1058;39;36974592;7070171;13112576
1522158229473;1143;1068;39;36974592;7070171;13112576
1522158229574;1153;1077;39;36974592;7070620;13113350
1522158229674;1163;1087;39;36974592;7070620;13113350
1522158229774;1173;1096;40;36974592;7071069;13114123
1522158229874;1183;1106;40;36974592;7071069;13114123
1522158229974;1193;1115;40;36974592;7071518;13114896
1522158230074;1203;1125;40;36974592;7071518;13114896
1522158230174;1213;1134;40;36974592;7071967;13115667
1522158230274;1223;1144;40;36974592;7071967;13115667
1522158230374;1233;1154;40;36974592;7071967;13115667
1522158230475;1243;1164;40;36974592;7072416;13116440
1522158230575;1253;1174;40;36974592;7072466;13116440
1522158230675;1263;1183;41;36974592;7073011;13117211
1522158230775;1273;1192;41;36974592;7073011;13117211
1522158230875;1283;1202;41;36974592;7073460;13117982
1522158230976;1293;1212;41;36974592;7073460;13117982
1522158231076;1303;1221;41;36974592;7073909;13118755
1522158231176;1313;1231;41;36974592;7073909;13118755
1522158231276;1323;1241;41;36974592;7073909;13118755
1522158231376;1333;1250;41;36974592;7074358;13119528
1522158231477;1343;1260;41;36974592;7074358;13119528
1522158231577;1353;1270;41;36974592;7074807;13120300
1522158231677;1363;1280;41;36974592;7074807;13120300
1522158231777;1373;1288;42;36974592;7075256;13121072
1522158231878;1383;1298;42;36974592;7075256;13121072
1522158231978;1393;1308;42;36974592;7075705;13121845
1522158232078;1403;1318;42;36974592;7075705;13121845
1522158232178;1413;1328;42;36974592;7075705;13121845
1522158232278;1423;1337;42;36974592;7076154;13122618
1522158232379;1433;1347;42;36974592;7076154;13122618
1522158232479;1443;1356;42;36974592;7076603;13123389
1522158232579;1453;1366;42;36974592;7076603;13123389
1522158232679;1463;1375;43;36974592;7077052;13124163
1522158232780;1473;1385;43;36974592;7077052;13124163
1522158232880;1483;1395;43;36974592;7077501;13124937
1522158232980;1493;1405;43;36974592;7077501;13124937
1522158233081;1504;1414;43;36974592;7077721;13125552
1522158233181;1514;1424;43;36974592;7077950;13125708
1522158233282;1524;1434;43;36974592;7077950;13125708
1522158233382;1534;1444;43;36974592;7078399;13126480
1522158233482;1544;1454;43;36974592;7078399;13126480
1522158233582;1554;1464;43;36974592;7078848;13127251
1522158233682;1564;1473;43;36974592;7078848;13127251
1522158233782;1574;1482;43;36974592;7079297;13128024
1522158233882;1584;1492;43;36974592;7079297;13128024
1522158233982;1594;1502;43;36974592;7079642;13128692
1522158234083;1604;1512;43;36974592;7079746;13128796
1522158234183;1614;1522;43;36974592;7079746;13128796
1522158234283;1624;1531;43;36974592;7080195;13129569
1522158234383;1634;1540;43;36974592;7080195;13129569
1522158234483;1644;1549;44;36974592;7080644;13130341
1522158234583;1654;1559;44;36974592;7080644;13130341
1522158234683;1664;1568;45;36974592;7081093;13131114
1522158234783;1674;1578;45;36974592;7081093;13131114
1522158234883;1684;1587;46;36974592;7081438;13131782
1522158234984;1694;1596;46;36974592;7081542;13131886
1522158235084;1704;1606;46;36974592;7081542;13131886
1522158235184;1714;1615;47;36974592;7081991;13132658
1522158235284;1724;1625;47;36974592;7081991;13132658
1522158235384;1734;1634;47;36974592;7082440;13133430
1522158235485;1744;1644;47;36974592;7082440;13133430
1522158235585;1754;1653;47;36974592;7082889;13134203
1522158235685;1764;1663;47;36974592;7082889;13134203
1522158235785;1774;1672;47;36974592;7083234;13134872
1522158235885;1784;1682;47;36974592;7083338;13134976
1522158235986;1794;1692;47;36974592;7083338;13134976
1522158236086;1804;1701;48;36974592;7083787;13135748
1522158236186;1814;1711;48;36974592;7083787;13135748
1522158236286;1824;1720;48;36974592;7084236;13136519
1522158236386;1834;1730;48;36974592;7084236;13136519
1522158236487;1844;1739;49;36974592;7084581;13137185
1522158236587;1854;1748;49;36974592;7084685;13137289
1522158236687;1864;1758;49;36974592;7084685;13137289
1522158236787;1874;1768;49;36974592;7084685;13137289
1522158236888;1884;1777;49;36974592;7085134;13138062
1522158236988;1894;1787;49;36974592;7085134;13138062
1522158237088;1904;1796;50;36974592;7085583;13138835
1522158237188;1914;1805;50;36974592;7085583;13138835
1522158237288;1924;1815;51;36974592;7086032;13139607
1522158237389;1934;1824;51;36974592;7086032;13139607
1522158237489;1944;1834;51;36974592;7086481;13140379
1522158237589;1954;1844;51;36974592;7086481;13140379
1522158237689;1964;1854;51;36974592;7086481;13140379
1522158237789;1974;1863;51;36974592;7086930;13141151
1522158237889;1984;1873;51;36974592;7086930;13141151
1522158237989;1994;1882;51;36974592;7087379;13141923
1522158238089;2004;1892;51;36974592;7087379;13141923
1522158238189;2014;1902;51;36974592;7087828;13142696
1522158238290;2024;1912;51;36974592;7087828;13142696
1522158238390;2034;1921;51;36974592;7088277;13143468
1522158238490;2044;1931;51;36974592;7088277;13143468
1522158238590;2054;1940;51;36974592;7088277;13143468
1522158238690;2065;1950;51;36974592;7088726;13144241
1522158238791;2075;1960;51;36974592;7088726;13144241
1522158238891;2085;1969;52;36974592;7089175;13145011
1522158238991;2095;1979;52;36974592;7089175;13145011
1522158239091;2105;1988;52;36974592;7089624;13145782
1522158239192;2115;1998;52;36974592;7089756;13145782
1522158239292;2125;2008;52;36974592;7090205;13146556
1522158239392;2135;2018;52;36974592;7090205;13146556
1522158239492;2145;2027;52;36974592;7090205;13146556
1522158239592;2155;2036;53;36974592;7090654;13147330
1522158239693;2165;2046;53;36974592;7090654;13147330
1522158239793;2175;2056;53;36974592;7091103;13148103
1522158239893;2185;2066;53;36974592;7091103;13148103
1522158239993;2195;2074;53;36974592;7091552;13148876
1522158240093;2205;2084;53;36974592;7091552;13148876
1522158240193;2215;2093;54;36974592;7091897;13149545
1522158240293;2225;2103;54;36974592;7092001;13149649
1522158240393;2235;2113;54;36974592;7092001;13149649
1522158240494;2245;2122;54;36974592;7092450;13150423
1522158240594;2255;2132;54;36974592;7092450;13150423
1522158240694;2265;2141;55;36974592;7092899;13151196
1522158240794;2275;2151;55;36974592;7092899;13151196
1522158240894;2285;2160;55;36974592;7093348;13151969
1522158240995;2295;2170;55;36974592;7093348;13151969
1522158241095;2305;2179;55;36974592;7093797;13152690
1522158241195;2315;2189;55;36974592;7093797;13152742
1522158241296;2325;2199;55;36974592;7093797;13152742
1522158241396;2335;2208;56;36974592;7094246;13153513
1522158241496;2345;2218;56;36974592;7094246;13153513
1522158241596;2355;2228;56;36974592;7094695;13154287
1522158241696;2365;2238;56;36974592;7094695;13154287
1522158241796;2375;2247;56;36974592;7095144;13155060
1522158241896;2385;2256;56;36974592;7095144;13155060
1522158241997;2395;2266;56;36974592;7095489;13155729
1522158242097;2405;2276;56;36974592;7095593;13155833
1522158242197;2415;2286;56;36974592;7095593;13155833
1522158242297;2425;2295;56;36974592;7096042;13156605
1522158242397;2435;2304;57;36974592;7096042;13156605
1522158242497;2445;2314;57;36974592;7096491;13157378
1522158242597;2455;2324;57;36974592;7096491;13157378
1522158242697;2465;2333;57;36974592;7096940;13158151
1522158242797;2475;2343;57;36974592;7096940;13158151
1522158242898;2485;2353;57;36974592;7097285;13158822
1522158242998;2495;2362;57;36974592;7097389;13158926
1522158243098;2505;2372;57;36974592;7097389;13158926
1522158243198;2515;2382;57;36974592;7097838;13159698
1522158243298;2525;2392;57;36974592;7097838;13159698
1522158243399;2535;2402;57;36974592;7098287;13160472
1522158243499;2545;2411;57;36974592;7098287;13160472
1522158243599;2555;2421;57;36974592;7098736;13161244
1522158243699;2565;2430;57;36974592;7098736;13161244
1522158243800;2575;2440;57;36974592;7099081;13161861
1522158243900;2585;2450;57;36974592;7099185;13162017
1522158244001;2596;2460;57;36974592;7099185;13162017
1522158244101;2606;2469;57;36974592;7099634;13162786
1522158244201;2616;2479;57;36974592;7099634;13162786
1522158244301;2626;2488;57;36974592;7100083;13163558
1522158244401;2636;2498;57;36974592;7100083;13163558
1522158244502;2646;2508;57;36974592;7100532;13164331
1522158244602;2656;2517;57;36974592;7100532;13164331
1522158244702;2666;2527;57;36974592;7100877;13164946
1522158244802;2676;2537;57;36974592;7100981;13165102
1522158244902;2686;2547;57;36974592;7100981;13165102
1522158245003;2696;2556;58;36974592;7101430;13165874
1522158245103;2706;2566;58;36974592;7101430;13165874
1522158245203;2716;2575;58;36974592;7101879;13166648
1522158245303;2726;2585;58;36974592;7101879;13166648
1522158245403;2736;2594;58;36974592;7102328;13167421
1522158245503;2746;2604;58;36974592;7102378;13167421
1522158245603;2756;2614;58;36974592;7102723;13168039
1522158245703;2766;2624;58;36974592;7102859;13168227
1522158245803;2776;2634;58;36974592;7102859;13168227
1522158245904;2786;2643;58;36974592;7103308;13169000
1522158246004;2796;2653;59;36974592;7103308;13169000
1522158246104;2806;2662;59;36974592;7103757;13169774
1522158246204;2816;2672;59;36974592;7103757;13169774
1522158246304;2826;2681;59;36974592;7104206;13170546
1522158246405;2836;2691;59;36974592;7104206;13170546
1522158246505;2846;2700;59;36974592;7104551;13171164
1522158246605;2856;2710;59;36974592;7104655;13171320
1522158246705;2866;2720;60;36974592;7104655;13171320
1522158246805;2876;2729;60;36974592;7104655;13171320
1522158246905;2886;2738;60;36974592;7105104;13172092
1522158247005;2896;2748;60;36974592;7105104;13172092
1522158247105;2906;2758;60;36974592;7105553;13172863
1522158247206;2916;2768;60;36974592;7105553;13172863
1522158247306;2926;2777;60;36974592;7106002;13173636
1522158247406;2936;2787;60;36974592;7106002;13173636
1522158247506;2946;2797;60;36974592;7106347;13174306
1522158247606;2956;2806;61;36974592;7106451;13174410
1522158247707;2966;2816;61;36974592;7106451;13174410
1522158247807;2976;2826;61;36974592;7106900;13175181
1522158247907;2986;2836;61;36974592;7106900;13175181
1522158248007;2996;2845;61;36974592;7107349;13175956
1522158248108;3006;2855;61;36974592;7107349;13175956
1522158248208;3016;2864;61;36974592;7107798;13176729
1522158248308;3026;2874;61;36974592;7107798;13176729
1522158248409;3036;2884;61;36974592;7108143;13177399
1522158248509;3046;2894;61;36974592;7108247;13177503
1522158248609;3056;2904;61;36974592;7108247;13177503
1522158248709;3066;2913;61;36974592;7108696;13178273
1522158248810;3076;2923;61;36974592;7108696;13178273
1522158248910;3086;2932;61;36974592;7109145;13179046
1522158249010;3096;2942;61;36974592;7109145;13179046
1522158249110;3107;2951;62;36974592;7109594;13179818
1522158249210;3117;2961;62;36974592;7109594;13179818
1522158249311;3127;2970;62;36974592;7109939;13180488
1522158249411;3137;2980;62;36974592;7110043;13180592
1522158249511;3147;2990;62;36974592;7110043;13180592
1522158249612;3157;3000;62;36974592;7110492;13181366
1522158249712;3167;3009;62;36974592;7110492;13181366
1522158249812;3177;3019;62;36974592;7110941;13182140
1522158249913;3187;3028;62;36974592;7110941;13182140
1522158250013;3197;3038;63;36974592;7111390;13182912
1522158250113;3207;3048;63;36974592;7111390;13182912
1522158250213;3217;3057;63;36974592;7111735;13183582
1522158250314;3227;3067;63;36974592;7111839;13183686
1522158250414;3237;3077;63;36974592;7111839;13183686
1522158250514;3247;3086;63;36974592;7112288;13184459
1522158250614;3257;3096;63;36974592;7112288;13184459
1522158250714;3267;3105;63;36974592;7113125;13185234
1522158250815;3277;3115;63;36974592;7113125;13185234
1522158250915;3287;3124;63;36974592;7113574;13186004
1522158251015;3297;3134;63;36974592;7113574;13186004
1522158251115;3307;3144;63;36974592;7113919;13186622
1522158251215;3317;3154;63;36974592;7114023;13186778
1522158251316;3327;3163;64;36974592;7114023;13186778
1522158251416;3337;3173;64;36974592;7114472;13187551
1522158251517;3347;3183;64;36974592;7114472;13187551
1522158251617;3357;3192;64;36974592;7114921;13188325
1522158251717;3367;3202;64;36974592;7114921;13188325
1522158251817;3377;3211;64;36974592;7115370;13189096
1522158251917;3387;3221;64;36974592;7115370;13189096
1522158252018;3397;3230;65;36974592;7115715;13189765
1522158252118;3407;3240;65;36974592;7115819;13189869
1522158252218;3417;3250;65;36974592;7115819;13189869
1522158252318;3427;3259;65;36974592;7116268;13190642
1522158252418;3437;3269;65;36974592;7116268;13190642
1522158252518;3447;3278;66;36974592;7116717;13191416
1522158252618;3457;3288;66;36974592;7116717;13191416
1522158252718;3467;3296;67;36974592;7117166;13192187
1522158252818;3477;3306;67;36974592;7117166;13192187
1522158252918;3487;3316;67;36974592;7117282;13192299
1522158253018;3497;3325;67;36974592;7117615;13192960
1522158253118;3507;3335;67;36974592;7117615;13192960
1522158253218;3517;3344;67;36974592;7118064;13193733
1522158253318;3527;3354;67;36974592;7118064;13193733
1522158253419;3537;3362;68;36974592;7118513;13194506
1522158253519;3547;3372;68;36974592;7118513;13194506
1522158253619;3557;3382;68;36974592;7118962;13195279
1522158253719;3567;3392;68;36974592;7118962;13195279
1522158253819;3577;3402;68;36974592;7119026;13195339
1522158253919;3587;3410;69;36974592;7119411;13196053
1522158254019;3597;3420;69;36974592;7119411;13196053
1522158254119;3607;3430;69;36974592;7119860;13196826
1522158254219;3617;3440;69;36974592;7119860;13196826
1522158254320;3627;3449;69;36974592;7120309;13197596
1522158254420;3637;3459;69;36974592;7120309;13197596
1522158254520;3648;3468;69;36974592;7120758;13198370
