currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1522160848747;0;0;0;1400832;13283334;22380728
1522160848847;10;8;1;6930432;13283334;22380728
1522160848947;20;16;2;7569408;13283334;22380728
1522160849047;30;25;3;8048640;13283334;22380728
1522160849147;40;34;4;8310784;13283334;22380728
1522160849247;50;42;5;8974336;13283334;22380728
1522160849347;60;52;5;9469952;13283334;22380728
1522160849447;70;62;5;9469952;13283334;22380728
1522160849547;80;71;6;11091968;13283334;22380728
1522160849647;90;79;7;12464128;13283334;22380728
1522160849747;100;89;8;12922880;13283334;22380728
1522160849847;110;98;8;13455360;13283334;22380728
1522160849947;120;108;8;14159872;13283334;22380728
1522160850048;130;117;8;14606336;13283334;22380728
1522160850148;140;126;10;15638528;13283334;22380728
1522160850248;150;133;11;18329600;13283334;22380728
1522160850348;160;142;12;19017728;13283334;22380728
1522160850448;170;151;13;23625728;13283334;22380728
1522160850549;180;159;14;24444928;13283334;22380728
1522160850649;190;168;15;25915392;13283334;22380728
1522160850749;200;177;16;27762688;13283334;22380728
1522160850849;210;186;17;28188672;13283334;22380728
1522160850950;220;196;17;28323840;13283334;22380728
1522160851050;230;205;17;28815360;13283334;22380728
1522160851150;240;212;19;29298688;13283334;22380728
1522160851250;250;221;20;29634560;13283334;22380728
1522160851350;261;230;20;29712384;13283334;22380728
1522160851451;271;240;21;29974528;13283334;22380728
1522160851551;281;249;21;30232576;13283334;22380728
1522160851651;291;258;21;30756864;13283334;22380728
1522160851751;301;268;21;30756864;13283334;22380728
1522160851852;311;278;22;31019008;13283334;22380728
1522160851952;321;286;23;31301632;13283334;22380728
1522160852052;331;295;23;31563776;13283334;22380728
1522160852152;341;304;24;31825920;13283334;22380728
1522160852252;351;313;25;32231424;13283334;22380728
1522160852352;361;322;25;32493568;13283334;22380728
1522160852452;371;331;26;32755712;13283334;22380728
1522160852552;381;341;26;33157120;13283334;22380728
1522160852652;391;350;27;33419264;13283334;22380728
1522160852753;401;358;28;33972224;13283334;22380728
1522160852853;411;367;29;34234368;13283334;22380728
1522160852953;421;376;30;34660352;13283334;22380728
1522160853054;431;385;30;34660352;13283334;22380728
1522160853154;441;395;31;34922496;13283334;22380728
1522160853254;451;403;32;36065280;13283334;22380728
1522160853354;461;412;33;36327424;13283542;22381240
1522160853454;471;422;33;36327424;13283542;22381240
1522160853555;481;431;33;36712448;13283542;22381240
1522160853655;491;440;33;36712448;13284620;22382587
1522160853755;501;450;33;36974592;13284620;22382587
1522160853855;511;459;33;36974592;13285699;22383936
1522160853955;521;469;33;36974592;13285699;22383936
1522160854055;531;478;34;36974592;13286773;22385284
1522160854155;541;488;34;36974592;13286773;22385284
1522160854255;551;497;34;36974592;13287744;22386528
1522160854355;561;507;34;36974592;13287848;22386632
1522160854455;571;517;34;36974592;13287848;22386632
1522160854556;581;526;34;36974592;13288922;22387977
1522160854656;591;536;34;36974592;13288922;22387977
1522160854756;601;545;34;36974592;13289995;22389321
1522160854856;611;555;34;36974592;13289995;22389321
1522160854956;621;564;34;36974592;13291067;22390666
1522160855057;631;574;34;36974592;13291067;22390666
1522160855157;641;583;35;36974592;13292037;22391858
1522160855257;651;593;35;36974592;13292141;22392014
1522160855358;661;602;35;36974592;13292141;22392014
1522160855458;671;612;35;36974592;13292141;22392014
1522160855558;681;622;35;36974592;13293263;22393358
1522160855658;691;632;35;36974592;13293309;22393358
1522160855758;701;641;35;36974592;13294382;22394701
1522160855859;711;651;35;36974592;13294382;22394701
1522160855959;721;659;36;36974592;13295454;22396042
1522160856059;731;669;36;36974592;13295454;22396042
1522160856159;741;679;36;36974592;13295454;22396042
1522160856259;751;688;36;36974592;13296527;22397387
1522160856359;761;698;36;36974592;13296527;22397387
1522160856459;771;706;37;36974592;13297601;22398732
1522160856559;781;716;37;36974592;13297601;22398732
1522160856660;791;725;37;36974592;13298676;22400077
1522160856760;801;735;37;36974592;13298676;22400077
1522160856860;812;744;37;36974592;13299750;22401421
1522160856960;821;754;37;36974592;13299750;22401421
1522160857061;832;764;38;36974592;13299750;22401421
1522160857161;842;773;38;36974592;13300823;22402765
1522160857261;852;783;38;36974592;13300823;22402765
1522160857361;862;792;38;36974592;13301895;22404105
1522160857462;872;802;38;36974592;13301895;22404105
1522160857562;882;811;38;36974592;13302967;22405449
1522160857662;892;821;38;36974592;13302967;22405449
1522160857762;902;830;38;36974592;13303933;22406689
1522160857862;912;840;38;36974592;13304037;22406793
1522160857963;922;850;38;36974592;13304037;22406793
1522160858063;932;859;39;36974592;13305109;22408134
1522160858163;942;869;39;36974592;13305109;22408134
1522160858263;952;878;39;36974592;13306183;22409477
1522160858364;962;888;39;36974592;13306183;22409477
1522160858464;972;897;39;36974592;13307256;22410819
1522160858564;982;906;39;36974592;13307256;22410819
1522160858665;992;916;40;36974592;13307476;22412007
1522160858765;1002;925;40;36974592;13308328;22412163
1522160858865;1012;935;40;36974592;13308328;22412163
1522160858965;1022;944;41;36974592;13309402;22413507
1522160859066;1032;954;41;36974592;13309402;22413507
1522160859166;1042;962;41;36974592;13310476;22414850
1522160859266;1052;972;41;36974592;13310476;22414850
1522160859366;1062;981;41;36974592;13311549;22416194
1522160859466;1072;991;42;36974592;13311549;22416194
1522160859567;1082;1000;42;36974592;13311549;22416194
1522160859667;1092;1010;42;36974592;13312624;22417539
1522160859767;1102;1020;42;36974592;13312624;22417539
1522160859867;1112;1029;42;36974592;13313697;22418883
1522160859968;1122;1039;42;36974592;13313697;22418883
1522160860068;1132;1048;42;36974592;13314769;22420227
1522160860168;1142;1058;42;36974592;13314769;22420227
1522160860269;1152;1067;42;36974592;13315741;22421469
1522160860369;1162;1077;42;36974592;13315845;22421573
1522160860469;1172;1087;42;36974592;13315845;22421573
1522160860569;1182;1096;43;36974592;13316918;22422918
1522160860670;1192;1106;43;36974592;13316918;22422918
1522160860770;1202;1115;43;36974592;13317991;22424263
1522160860870;1212;1125;43;36974592;13317991;22424263
1522160860970;1222;1134;43;36974592;13319065;22425606
1522160861070;1233;1144;43;36974592;13319065;22425606
1522160861171;1243;1154;43;36974592;13319129;22425666
1522160861271;1253;1163;43;36974592;13320140;22426951
1522160861371;1263;1172;43;36974592;13320140;22426951
1522160861471;1273;1182;43;36974592;13321214;22428294
1522160861572;1283;1192;43;36974592;13321214;22428294
1522160861672;1293;1200;44;36974592;13322288;22429637
1522160861772;1303;1210;44;36974592;13322288;22429637
1522160861873;1313;1220;44;36974592;13323259;22430878
1522160861973;1323;1229;44;36974592;13323363;22430982
1522160862073;1333;1239;44;36974592;13323363;22430982
1522160862173;1343;1248;44;36974592;13324438;22432327
1522160862274;1353;1258;45;36974592;13324438;22432327
1522160862374;1363;1266;45;36974592;13325510;22433671
1522160862474;1373;1276;45;36974592;13325510;22433671
1522160862574;1383;1285;45;36974592;13326583;22435015
1522160862674;1393;1295;45;36974592;13326583;22435015
1522160862775;1403;1305;45;36974592;13326583;22435015
1522160862875;1413;1314;45;36974592;13327657;22436360
1522160862975;1423;1324;45;36974592;13327657;22436360
1522160863075;1433;1333;46;36974592;13328731;22437705
1522160863176;1443;1341;47;36974592;13328731;22437705
1522160863276;1453;1350;48;36974592;13329804;22439048
1522160863376;1463;1360;48;36974592;13329804;22439048
