currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521906808161;0;0;0;360448;7481578;10120658
1521906808261;10;5;2;41689088;7482974;10121383
1521906808361;20;15;2;78299136;7484378;10122430
1521906808461;30;25;2;78299136;7484534;10123501
1521906808561;40;35;2;78299136;7484534;10123501
1521906808661;50;45;3;78299136;7484534;10123501
1521906808761;60;55;3;78299136;7484534;10123501
1521906808861;70;65;3;78299136;7484534;10123501
1521906808961;80;75;3;78299136;7484534;10123501
1521906809062;90;84;4;78299136;7484534;10123501
1521906809162;100;94;4;78299136;7484534;10123501
1521906809262;110;104;4;78299136;7484534;10123501
1521906809362;120;114;4;78299136;7484840;10130063
1521906809462;130;124;4;78299136;7485152;10137820
1521906809562;140;134;4;78299136;7485152;10137820
1521906809662;150;144;4;78299136;7485152;10137820
1521906809763;160;154;4;78299136;7485152;10137820
1521906809863;170;164;4;78299136;7485152;10137820
1521906809963;180;174;4;78299136;7485152;10137820
1521906810063;190;184;4;78299136;7485152;10137820
1521906810163;200;194;4;78299136;7485152;10137820
1521906810263;210;204;4;78299136;7485152;10137820
1521906810363;220;214;4;78299136;7485360;10142752
1521906810463;230;225;4;78299136;7485770;10152020
1521906810564;240;235;4;78299136;7485770;10152020
1521906810664;251;246;4;78299136;7485770;10152020
1521906810764;261;256;4;78299136;7485770;10152020
1521906810864;271;266;4;78299136;7485770;10152020
1521906810964;281;276;4;78299136;7485770;10152020
1521906811064;291;286;4;78299136;7485770;10152020
1521906811164;301;295;4;78299136;7485770;10152020
1521906811264;310;305;4;78299136;7485770;10152020
1521906811364;320;315;4;78299136;7486082;10159074
1521906811464;330;325;4;78299136;7486394;10165400
1521906811564;340;334;5;78299136;7486440;10165452
1521906811665;351;345;5;78299136;7486616;10165620
1521906811765;361;355;5;78299136;7486616;10165620
1521906811865;371;365;5;78299136;7486616;10165620
1521906811965;381;375;5;78299136;7486616;10165620
1521906812065;391;385;5;78299136;7486616;10165620
1521906812165;401;395;5;78299136;7486616;10165620
1521906812265;411;405;5;78299136;7486616;10165620
1521906812366;421;416;5;78299136;7486928;10173574
1521906812466;431;426;5;78299136;7487240;10180266
1521906812566;441;436;5;78299136;7487240;10180266
1521906812666;451;446;5;78299136;7487286;10180318
1521906812766;461;456;5;78299136;7487286;10180318
1521906812866;471;466;5;78299136;7487286;10180318
1521906812966;481;476;5;78299136;7487286;10180318
1521906813066;491;486;5;78299136;7487286;10180318
1521906813166;501;496;5;78299136;7487286;10180318
1521906813266;511;506;5;78299136;7487286;10180318
1521906813366;521;516;5;78299136;7487546;10187128
1521906813466;531;526;5;78299136;7487938;10193819
1521906813566;541;536;5;78299136;7487938;10193819
1521906813666;551;546;5;78299136;7487938;10193819
1521906813766;561;556;5;78299136;7487984;10193871
1521906813867;571;566;5;78299136;7487984;10193871
1521906813967;581;576;5;78299136;7487984;10193871
1521906814067;591;586;5;78299136;7487984;10193871
1521906814167;601;596;5;78299136;7487984;10193871
1521906814267;611;606;5;78299136;7487984;10193871
1521906814367;621;617;5;78299136;7488244;10200434
1521906814467;631;626;6;78299136;7488556;10207609
1521906814567;641;636;6;78299136;7488556;10207609
1521906814667;651;646;6;78299136;7488556;10207609
1521906814767;661;655;7;78299136;7488602;10207661
1521906814867;671;665;7;78299136;7488602;10207661
1521906814967;681;674;8;78299136;7488778;10207829
1521906815067;691;684;8;78299136;7488778;10207829
1521906815167;701;694;8;78299136;7488778;10207829
1521906815267;711;704;8;78299136;7488778;10207829
1521906815368;721;714;8;78299136;7488986;10214708
1521906815468;731;724;8;78299136;7489246;10221877
1521906815568;741;734;8;78299136;7489350;10221929
1521906815668;751;744;8;78299136;7489350;10221929
1521906815768;761;754;8;78299136;7489350;10221929
1521906815868;771;764;8;78299136;7489350;10221929
1521906815968;781;774;8;78299136;7489350;10221929
1521906816068;791;784;8;78299136;7489396;10221981
1521906816169;801;794;8;78299136;7489396;10221981
1521906816270;811;805;8;78299136;7489396;10221981
1521906816370;821;815;8;78299136;7489396;10221981
1521906816470;831;825;8;78299136;7489656;10228769
1521906816570;841;835;8;78299136;7489968;10235922
1521906816670;851;845;8;78299136;7489968;10235922
1521906816770;861;855;8;78299136;7489968;10235922
1521906816870;871;865;8;78299136;7489968;10235922
1521906816970;881;875;8;78299136;7489968;10235922
1521906817070;891;885;8;78299136;7489968;10235922
1521906817170;901;895;8;78299136;7489968;10235922
1521906817270;911;905;8;78299136;7489968;10235922
1521906817370;921;915;8;78299136;7489968;10235922
1521906817470;931;925;8;78299136;7490228;10243434
1521906817570;941;935;8;78299136;7490534;10249789
1521906817670;951;945;8;78299136;7490534;10249789
1521906817770;961;955;8;78299136;7490534;10249789
1521906817871;971;964;9;78299136;7490534;10249789
1521906817971;981;974;9;78299136;7490534;10249789
1521906818071;991;984;9;78299136;7490534;10249789
1521906818171;1001;994;9;78299136;7490584;10249789
1521906818271;1011;1004;9;78299136;7490806;10249957
1521906818371;1021;1015;9;78299136;7490806;10249957
1521906818471;1031;1025;9;78299136;7491170;10258032
1521906818571;1041;1035;9;78299136;7491476;10263583
1521906818672;1051;1044;10;78299136;7491476;10263583
1521906818772;1061;1054;10;78299136;7491476;10263583
1521906818872;1071;1064;10;78299136;7491476;10263583
1521906818972;1081;1074;10;78299136;7491476;10263583
1521906819072;1091;1084;10;78299136;7491476;10263583
1521906819172;1101;1094;10;78299136;7491476;10263583
1521906819272;1111;1104;10;78299136;7491476;10263583
1521906819373;1121;1114;10;78299136;7491522;10263635
1521906819473;1131;1124;10;78299136;7491834;10271429
1521906819573;1141;1134;10;78299136;7492146;10277809
1521906819673;1151;1144;10;78299136;7492146;10277809
1521906819773;1161;1154;10;78299136;7492146;10277809
1521906819873;1171;1164;10;78299136;7492146;10277809
1521906819973;1181;1174;10;78299136;7492146;10277809
1521906820073;1191;1184;10;78299136;7492146;10277809
1521906820173;1201;1193;11;78299136;7492146;10277809
1521906820273;1211;1203;11;78299136;7492146;10277809
1521906820374;1221;1213;11;78299136;7492534;10277809
1521906820474;1232;1224;11;78299136;7492788;10283342
