currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521906965576;0;0;0;462848;7524189;10779946
1521906965676;10;8;1;41689088;7525585;10780671
1521906965776;20;18;1;78299136;7526989;10781893
1521906965876;30;28;1;78299136;7527145;10783153
1521906965976;40;38;1;78299136;7527145;10783153
1521906966076;50;48;1;78299136;7527145;10783153
1521906966176;60;58;1;78299136;7527145;10783153
1521906966277;70;68;1;78299136;7527145;10783153
1521906966377;80;78;1;78299136;7527145;10783153
1521906966477;90;88;1;78299136;7527145;10783153
1521906966577;100;98;1;78299136;7527145;10783153
1521906966677;110;108;1;78299136;7527145;10783153
1521906966777;120;118;2;78299136;7527405;10789350
1521906966877;130;128;2;78299136;7527815;10797471
1521906966977;140;138;2;78299136;7527815;10797471
1521906967077;150;148;2;78299136;7527815;10797471
1521906967177;160;158;2;78299136;7527815;10797471
1521906967277;170;168;2;78299136;7527815;10797471
1521906967377;180;178;2;78299136;7527815;10797471
1521906967477;190;188;2;78299136;7527815;10797471
1521906967577;200;198;2;78299136;7527815;10797471
1521906967677;210;208;2;78299136;7527815;10797471
1521906967777;220;217;3;78299136;7528127;10803912
1521906967877;230;226;4;78299136;7528433;10811136
1521906967977;240;236;4;78299136;7528433;10811136
1521906968077;250;246;4;78299136;7528433;10811136
1521906968177;260;256;4;78299136;7528483;10811136
1521906968277;270;266;4;78299136;7528529;10811136
1521906968377;280;276;4;78299136;7528529;10811136
1521906968477;290;286;4;78299136;7528529;10811136
1521906968577;300;296;4;78299136;7528529;10811136
1521906968677;310;306;4;78299136;7528529;10811136
1521906968777;320;317;4;78299136;7528887;10817823
1521906968877;330;327;4;78299136;7529147;10825121
1521906968978;340;337;4;78299136;7529193;10825289
1521906969078;350;346;5;78299136;7529369;10825341
1521906969178;360;356;5;78299136;7529369;10825341
1521906969278;370;366;5;78299136;7529369;10825341
1521906969378;380;376;5;78299136;7529369;10825341
1521906969478;390;385;6;78299136;7529369;10825341
1521906969578;400;395;6;78299136;7529369;10825341
1521906969679;410;404;7;78299136;7529369;10825341
1521906969779;420;414;7;78299136;7529629;10832031
1521906969879;430;424;7;78299136;7529889;10839206
1521906969979;440;434;7;78299136;7529889;10839206
1521906970079;450;444;7;78299136;7529935;10839258
1521906970179;460;454;7;78299136;7529935;10839258
1521906970279;470;464;7;78299136;7529935;10839258
1521906970380;480;474;7;78299136;7529935;10839258
1521906970480;490;484;7;78299136;7529935;10839258
1521906970580;500;494;7;78299136;7530323;10839258
1521906970680;510;504;8;78299136;7530323;10839258
1521906970780;520;514;8;78299136;7530583;10845703
1521906970880;530;524;8;78299136;7530843;10853245
1521906970980;540;534;8;78299136;7530843;10853245
1521906971081;550;544;8;78299136;7530889;10853297
1521906971181;560;554;8;78299136;7530889;10853297
1521906971281;570;564;8;78299136;7530889;10853297
1521906971381;580;574;8;78299136;7530889;10853297
1521906971481;590;584;8;78299136;7530889;10853297
1521906971581;600;594;8;78299136;7530889;10853297
1521906971681;610;604;8;78299136;7530889;10853297
1521906971782;620;614;8;78299136;7531201;10859740
1521906971882;630;624;8;78299136;7531513;10867938
1521906971982;640;634;8;78299136;7531513;10867938
1521906972082;650;644;8;78299136;7531513;10867938
1521906972182;660;654;8;78299136;7531559;10867990
1521906972282;670;663;9;78299136;7531559;10867990
1521906972382;680;673;10;78299136;7531735;10868158
1521906972483;690;683;10;78299136;7531735;10868158
1521906972583;700;693;10;78299136;7531735;10868158
1521906972683;710;703;10;78299136;7531735;10868158
1521906972783;720;713;10;78299136;7531995;10873940
1521906972883;730;723;10;78299136;7532307;10881475
1521906972983;740;733;10;78299136;7532307;10881475
1521906973083;750;743;10;78299136;7532307;10881475
1521906973184;760;753;10;78299136;7532307;10881475
1521906973284;771;764;10;78299136;7532307;10881475
1521906973384;781;774;10;78299136;7532307;10881475
1521906973484;791;784;10;78299136;7532353;10881527
1521906973584;801;793;11;78299136;7532353;10881527
1521906973684;811;803;11;78299136;7532353;10881527
1521906973784;821;810;13;78299136;7532665;10889943
1521906973884;831;821;13;78299136;7532925;10895590
1521906973984;840;831;13;78299136;7532925;10895590
1521906974084;850;841;13;78299136;7532925;10895590
1521906974184;860;850;14;78299136;7532925;10895590
1521906974285;871;861;14;78299136;7532925;10895590
1521906974385;881;871;14;78299136;7532925;10895590
1521906974485;891;881;14;78299136;7532971;10895642
1521906974585;901;891;14;78299136;7532971;10895642
1521906974685;911;901;14;78299136;7532971;10895642
1521906974785;921;911;14;78299136;7532971;10900142
1521906974885;931;921;14;78299136;7533543;10909457
1521906974985;941;931;14;78299136;7533543;10909457
1521906975085;951;941;14;78299136;7533543;10909457
1521906975185;961;950;15;78299136;7533543;10909457
1521906975285;971;960;15;78299136;7533543;10909457
1521906975385;981;970;15;78299136;7533543;10909457
1521906975485;991;980;15;78299136;7533543;10909457
1521906975585;1001;990;15;78299136;7533589;10909509
1521906975685;1011;1000;15;78299136;7533765;10909677
1521906975785;1021;1011;15;78299136;7533765;10909677
1521906975885;1031;1019;17;78299136;7534025;10915702
1521906975985;1041;1029;17;78299136;7534285;10922894
1521906976085;1051;1039;17;78299136;7534285;10922894
1521906976185;1061;1049;17;78299136;7534285;10922894
1521906976285;1071;1059;17;78299136;7534285;10922894
1521906976385;1081;1069;17;78299136;7534285;10922894
1521906976485;1091;1079;17;78299136;7534285;10922894
1521906976585;1101;1089;17;78299136;7534285;10922894
1521906976685;1111;1099;17;78299136;7534285;10922894
1521906976785;1121;1109;17;78299136;7534331;10922946
1521906976885;1131;1119;17;78299136;7534591;10929814
1521906976985;1141;1129;17;78299136;7534903;10937062
1521906977086;1151;1139;17;78299136;7534903;10937062
1521906977186;1161;1149;17;78299136;7534903;10937062
1521906977286;1171;1159;17;78299136;7534903;10937062
1521906977386;1181;1169;17;78299136;7534903;10937062
1521906977486;1191;1179;17;78299136;7534903;10937062
1521906977586;1201;1189;17;78299136;7534903;10937062
1521906977686;1211;1200;17;78299136;7534903;10937062
1521906977786;1221;1210;17;78299136;7534903;10937062
1521906977886;1231;1220;17;78299136;7535261;10944913
1521906977986;1241;1230;17;78299136;7535521;10951185
1521906978086;1251;1240;17;78299136;7535521;10951185
1521906978186;1261;1249;18;78299136;7535521;10951185
1521906978286;1271;1259;18;78299136;7535521;10951185
1521906978386;1281;1269;18;78299136;7535521;10951185
1521906978486;1291;1279;18;78299136;7535521;10951185
1521906978586;1301;1289;18;78299136;7535521;10951185
1521906978686;1311;1299;18;78299136;7535521;10951185
1521906978786;1321;1309;18;78299136;7535521;10951185
1521906978886;1331;1318;19;78299136;7535781;10956916
1521906978986;1341;1327;20;78299136;7536243;10965381
1521906979086;1351;1337;20;78299136;7536315;10965433
1521906979186;1361;1345;22;78299136;7536315;10965433
1521906979286;1371;1356;22;78299136;7536315;10965433
1521906979386;1381;1366;22;78299136;7536315;10965433
1521906979486;1391;1376;22;78299136;7536315;10965433
1521906979586;1401;1386;22;78299136;7536315;10965433
1521906979686;1411;1396;22;78299136;7536315;10965433
1521906979786;1421;1406;22;78299136;7536315;10965433
1521906979886;1431;1416;22;78299136;7536627;10972325
1521906979986;1441;1426;22;78299136;7536939;10979340
1521906980086;1451;1436;22;78299136;7536939;10979340
1521906980186;1461;1446;22;78299136;7536939;10979340
1521906980286;1471;1456;22;78299136;7536939;10979340
1521906980386;1481;1466;22;78299136;7536939;10979340
1521906980486;1491;1476;22;78299136;7536985;10979392
1521906980586;1501;1486;22;78299136;7536985;10979392
1521906980686;1511;1496;22;78299136;7536985;10979392
1521906980786;1521;1506;22;78299136;7536985;10979392
1521906980886;1531;1516;22;78299136;7537245;10985665
1521906980986;1541;1526;22;78299136;7537505;10993170
1521906981086;1551;1537;22;78299136;7537505;10993170
1521906981186;1561;1547;22;78299136;7537505;10993170
1521906981286;1571;1557;22;78299136;7537505;10993170
1521906981386;1581;1567;22;78299136;7537505;10993170
1521906981486;1591;1577;22;78299136;7537551;10993222
1521906981586;1601;1587;22;78299136;7537551;10993222
1521906981686;1611;1597;22;78299136;7537551;10993222
1521906981786;1621;1606;23;78299136;7537551;10993222
1521906981886;1631;1615;24;78299136;7537863;11000493
1521906981987;1641;1625;24;78299136;7538175;11007027
1521906982087;1651;1635;24;78299136;7538175;11007027
1521906982187;1661;1645;24;78299136;7538175;11007027
1521906982287;1671;1655;24;78299136;7538175;11007027
1521906982387;1681;1665;24;78299136;7538351;11007195
1521906982487;1691;1675;24;78299136;7538351;11007195
1521906982587;1701;1685;24;78299136;7538351;11007195
1521906982687;1711;1695;24;78299136;7538351;11007195
1521906982787;1721;1705;24;78299136;7538351;11007195
1521906982887;1731;1715;24;78299136;7538663;11015104
1521906982987;1741;1726;24;78299136;7538975;11021589
1521906983087;1751;1736;24;78299136;7538975;11021589
1521906983187;1761;1746;24;78299136;7539025;11021589
1521906983287;1771;1756;24;78299136;7539025;11021589
1521906983387;1781;1766;24;78299136;7539163;11021641
1521906983487;1791;1776;24;78299136;7539163;11021641
1521906983587;1801;1786;24;78299136;7539163;11021641
1521906983687;1811;1796;24;78299136;7539163;11021641
1521906983787;1821;1806;24;78299136;7539163;11021641
1521906983887;1831;1816;24;78299136;7539475;11029102
1521906983987;1841;1826;24;78299136;7539787;11035218
1521906984087;1851;1836;24;78299136;7539787;11035218
1521906984187;1861;1846;24;78299136;7539787;11035218
1521906984287;1871;1856;24;78299136;7539787;11035218
1521906984387;1881;1866;24;78299136;7539787;11035218
1521906984487;1891;1876;24;78299136;7539833;11035270
1521906984587;1901;1886;24;78299136;7539833;11035270
1521906984687;1911;1896;24;78299136;7539833;11035270
1521906984787;1921;1905;25;78299136;7539833;11035270
1521906984887;1931;1916;25;78299136;7540093;11042158
1521906984987;1941;1926;25;78299136;7540353;11049419
1521906985087;1951;1936;25;78299136;7540353;11049419
1521906985187;1961;1946;25;78299136;7540353;11049419
1521906985287;1971;1956;25;78299136;7540353;11049419
1521906985387;1981;1966;25;78299136;7540353;11049419
1521906985487;1991;1976;25;78299136;7540353;11049419
1521906985587;2001;1985;26;78299136;7540353;11049419
1521906985687;2011;1995;26;78299136;7540529;11049587
1521906985787;2021;2005;26;78299136;7540529;11049587
1521906985887;2031;2015;26;78299136;7540841;11057632
1521906985987;2041;2025;26;78299136;7541101;11063478
1521906986087;2051;2035;26;78299136;7541101;11063478
1521906986187;2061;2044;27;78299136;7541101;11063478
1521906986287;2071;2053;28;78299136;7541101;11063478
1521906986387;2081;2063;28;78299136;7541101;11063478
1521906986487;2091;2073;28;78299136;7541101;11063478
1521906986587;2101;2083;28;78299136;7541101;11063478
1521906986687;2111;2094;28;78299136;7541147;11063530
1521906986787;2121;2104;28;78299136;7541147;11063530
1521906986888;2131;2112;30;78299136;7541459;11071504
1521906986988;2141;2122;30;78299136;7541719;11077554
1521906987088;2151;2132;30;78299136;7541719;11077554
1521906987188;2161;2142;30;78299136;7541719;11077554
1521906987288;2171;2152;30;78299136;7541719;11077554
1521906987388;2181;2162;30;78299136;7541719;11077554
1521906987488;2191;2172;30;78299136;7541719;11077554
1521906987588;2201;2182;30;78299136;7541719;11077554
1521906987688;2211;2192;30;78299136;7541719;11077554
1521906987788;2221;2202;30;78299136;7541765;11077606
1521906987888;2231;2212;30;78299136;7542025;11084755
1521906987988;2241;2222;30;78299136;7542285;11091299
1521906988088;2251;2231;31;78299136;7542285;11091299
1521906988188;2261;2241;31;78299136;7542285;11091299
1521906988288;2271;2251;31;78299136;7542285;11091299
1521906988389;2281;2262;31;78299136;7542285;11091299
1521906988489;2291;2272;31;78299136;7542285;11091299
1521906988589;2301;2282;31;78299136;7542285;11091299
1521906988689;2311;2291;32;78299136;7542285;11091299
1521906988789;2321;2301;32;78299136;7542285;11091299
1521906988889;2331;2311;32;78299136;7542545;11098448
1521906988989;2341;2321;32;78299136;7542903;11105044
1521906989089;2351;2331;32;78299136;7543079;11105212
1521906989189;2361;2340;32;78299136;7543079;11105212
1521906989289;2371;2340;32;78299136;7543079;11105212
1521906989389;2381;2340;32;78299136;7543079;11105212
1521906989489;2391;2340;32;78299136;7543079;11105212
1521906989589;2401;2340;32;78299136;7543079;11105212
1521906989689;2411;2340;32;78299136;7543079;11105212
1521906989789;2421;2340;32;78299136;7543079;11105212
1521906989889;2431;2340;32;78299136;7543235;11107607
1521906989989;2441;2340;32;78299136;7543391;11108982
