currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521906516116;0;0;0;360448;7199769;9691783
1521906516216;10;4;1;28205056;7199769;9691783
1521906516316;20;5;1;29384704;7199993;9692021
1521906516416;30;15;1;29384704;7201181;9693888
1521906516516;40;25;1;29384704;7202261;9695580
1521906516616;50;36;1;29384704;7203449;9697443
1521906516716;60;46;1;29384704;7204529;9699135
1521906516816;70;56;1;29384704;7205717;9700996
1521906516916;80;66;1;29384704;7206797;9702689
1521906517016;90;76;1;29384704;7207985;9704554
1521906517116;100;86;2;29384704;7209065;9706249
1521906517216;110;96;2;29384704;7210253;9708112
1521906517316;120;106;2;29384704;7211441;9709974
1521906517416;130;116;2;29384704;7212521;9711668
1521906517516;140;126;2;29384704;7213709;9713531
1521906517616;150;137;2;29384704;7214789;9715224
1521906517716;160;147;2;29384704;7215977;9717090
1521906517816;170;157;2;29384704;7217057;9718785
1521906517916;180;167;2;29384704;7218245;9720646
1521906518016;190;177;2;29384704;7219325;9722340
1521906518116;200;187;3;29384704;7220563;9724206
1521906518216;210;197;3;29384704;7221643;9725898
1521906518317;220;207;3;29384704;7222877;9727762
1521906518417;230;217;3;29384704;7224003;9729456
1521906518517;240;227;3;29384704;7225191;9731316
1521906518617;250;238;3;29384704;7226271;9733178
1521906518717;260;247;4;29384704;7227459;9734869
1521906518817;270;257;4;29384704;7228591;9736733
1521906518917;280;266;5;29384704;7229727;9738427
1521906519017;290;276;5;29384704;7230859;9740289
1521906519117;300;285;7;29384704;7231995;9741984
1521906519217;310;295;7;29384704;7233127;9743853
1521906519317;320;305;7;29384704;7234263;9745553
1521906519418;330;315;7;29384704;7235451;9747418
1521906519518;340;325;7;29384704;7236531;9749111
1521906519618;350;335;8;29384704;7237719;9750977
1521906519718;360;345;8;29384704;7238799;9752672
1521906519818;370;355;8;29384704;7239987;9754535
1521906519918;380;365;8;29384704;7241067;9756227
1521906520018;390;375;8;29384704;7242643;9758091
1521906520118;400;386;8;29384704;7243723;9759785
1521906520218;410;396;8;29384704;7244911;9761650
1521906520318;420;406;8;29384704;7245991;9763343
