currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521907531625;1;0;0;7823360;8504114;13286928
1521907531725;11;8;1;29454336;8504407;13287393
1521907531825;21;15;3;29454336;8506000;13290078
1521907531925;31;23;3;29454336;8507593;13292762
1521907532025;41;31;3;29454336;8509009;13295149
1521907532125;51;37;4;29454336;8510248;13297236
1521907532225;61;46;4;29454336;8511841;13299920
1521907532325;71;54;4;29454336;8513434;13302603
1521907532425;81;59;6;29454336;8514850;13304990
1521907532525;91;68;6;29454336;8516443;13307676
1521907532626;101;76;6;29454336;8517859;13310064
1521907532726;111;85;6;29454336;8519452;13312751
1521907532826;121;93;6;29454336;8520868;13315137
1521907532926;131;101;6;29454336;8522700;13318038
1521907533026;141;108;7;29454336;8524116;13320425
1521907533126;151;117;7;29454336;8525709;13323111
1521907533226;161;125;7;29454336;8527302;13325796
1521907533326;171;133;7;29454336;8528895;13328480
1521907533426;181;141;7;29454336;8530311;13330870
1521907533526;191;150;7;29454336;8531904;13333556
1521907533626;201;158;7;29454336;8533320;13335943
1521907533726;211;167;7;29454336;8534913;13338626
1521907533826;221;175;7;29454336;8536506;13341313
1521907533926;231;184;7;29454336;8538099;13344001
1521907534026;241;191;7;29454336;8539515;13346387
1521907534127;251;200;7;29454336;8541347;13349289
1521907534227;261;208;7;29454336;8542763;13351676
1521907534327;271;217;7;29454336;8544356;13354360
1521907534427;281;224;8;29454336;8545824;13357043
1521907534527;291;232;8;29454336;8547365;13359429
1521907534627;301;240;8;29454336;8548958;13362112
1521907534727;311;249;8;29454336;8550551;13364797
1521907534827;321;258;8;29454336;8552144;13367484
1521907534928;331;266;8;29454336;8553737;13370170
1521907535028;341;272;9;29454336;8554976;13372256
1521907535128;351;280;9;29454336;8556392;13374644
1521907535228;361;289;9;29454336;8558224;13377550
1521907535328;371;298;9;29454336;8559817;13380240
1521907535428;381;307;9;29454336;8561462;13383228
1521907535528;391;313;9;29454336;8562649;13385019
1521907535629;401;322;9;29454336;8564242;13388002
1521907535729;411;330;9;29454336;8565835;13390390
1521907535829;421;339;9;29454336;8567428;13393080
1521907535929;431;347;9;29454336;8569021;13395764
1521907536029;441;356;9;29454336;8570489;13398450
1521907536129;451;364;9;29454336;8572030;13400835
1521907536229;461;373;9;29454336;8573623;13403521
