currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521908067333;0;0;0;360448;11904772;17541973
1521908067433;10;8;0;29446144;11905678;17542897
1521908067533;20;16;0;29446144;11911976;17548956
1521908067633;30;24;0;29446144;11917534;17555014
1521908067733;40;31;1;29446144;11923826;17561071
1521908067833;50;38;1;29446144;11930122;17567130
1521908067934;60;46;1;29446144;11936413;17573188
1521908068035;71;54;1;29446144;11942658;17579245
1521908068135;81;61;1;29446144;11948953;17584545
1521908068235;91;69;1;29446144;11955250;17590604
1521908068335;101;77;1;29446144;11961549;17596665
1521908068435;111;85;1;29446144;11967845;17602725
1521908068535;121;92;1;29446144;11974144;17608786
1521908068635;131;100;1;29446144;11980488;17614895
1521908068735;141;108;1;29446144;11987019;17621221
1521908068836;151;116;1;29446144;11993317;17627281
1521908068936;161;123;1;29446144;11999616;17633340
1521908069036;171;129;2;29446144;12005910;17639398
1521908069136;181;137;2;29446144;12011414;17644699
1521908069236;191;144;2;29446144;12017712;17650759
1521908069336;201;152;2;29446144;12024008;17656820
1521908069436;211;159;2;29446144;12029573;17662881
1521908069536;221;167;2;29446144;12035867;17668938
1521908069637;231;174;2;29446144;12042107;17674237
1521908069737;241;181;2;29446144;12047618;17679541
1521908069837;251;187;3;29446144;12053131;17685603
1521908069937;261;194;3;29446144;12059473;17690956
1521908070037;271;201;4;29446144;12066004;17697283
1521908070137;281;207;6;29446144;12072300;17703342
1521908070237;291;214;6;29446144;12077808;17709400
1521908070337;301;221;6;29446144;12084103;17714701
1521908070438;311;228;7;29446144;12089661;17720758
1521908070538;321;235;7;29446144;12095904;17726059
1521908070638;331;242;7;29446144;12101413;17731358
1521908070738;341;249;7;29446144;12107707;17737417
1521908070838;351;257;7;29446144;12113268;17743476
1521908070938;361;265;7;29446144;12119566;17749536
1521908071038;371;272;7;29446144;12125806;17754837
1521908071138;381;279;7;29446144;12132098;17760895
1521908071239;391;286;8;29446144;12138449;17767008
1521908071339;401;293;8;29446144;12144202;17772582
1521908071439;411;301;8;29446144;12150504;17778645
1521908071539;421;308;8;29446144;12156068;17784708
1521908071639;431;315;9;29446144;12162360;17790768
1521908071739;441;323;9;29446144;12169390;17796826
1521908071839;451;330;9;29446144;12174952;17802885
1521908071939;461;337;10;29446144;12181985;17808949
1521908072040;471;345;10;29446144;12188280;17815008
1521908072140;481;353;10;29446144;12194572;17821066
1521908072240;491;359;11;29446144;12200080;17826368
1521908072340;501;366;11;29446144;12206374;17832425
1521908072440;511;374;11;29446144;12212663;17838485
1521908072540;521;382;11;29446144;12219012;17844597
1521908072640;531;390;11;29446144;12224807;17850925
1521908072740;541;397;11;29446144;12231051;17856985
1521908072841;551;403;12;29446144;12237342;17862285
1521908072941;561;411;12;29446144;12243642;17869104
1521908073041;571;418;14;29446144;12249991;17875166
1521908073141;581;425;14;29446144;12257023;17881227
1521908073241;591;433;14;29446144;12262584;17887287
1521908073341;601;440;14;29446144;12268827;17892588
1521908073441;611;448;14;29446144;12275126;17898648
1521908073541;621;456;14;29446144;12281424;17904709
1521908073642;631;462;15;29446144;12287717;17910770
1521908073742;641;470;15;29446144;12293277;17916829
1521908073842;651;478;15;29446144;12299860;17923155
1521908073942;661;486;15;29446144;12306156;17929265
1521908074042;671;492;15;29446144;12312400;17934568
1521908074142;681;499;16;29446144;12318698;17940629
1521908074242;691;506;17;29446144;12324997;17946690
1521908074342;701;514;17;29446144;12331297;17952751
1521908074443;711;521;17;29446144;12337593;17958809
1521908074543;721;529;17;29446144;12343888;17964868
1521908074643;731;536;17;29446144;12349394;17970169
1521908074743;741;544;17;29446144;12355693;17976230
1521908074843;751;552;17;29446144;12361993;17982291
1521908074943;761;559;17;29446144;12368294;17988352
1521908075043;771;567;17;29446144;12374591;17994413
1521908075143;781;574;17;29446144;12379656;18000034
1521908075243;791;581;17;29446144;12385898;18005334
1521908075343;801;588;17;29446144;12392196;18011393
1521908075443;811;596;17;29446144;12398492;18017452
1521908075544;821;603;18;29446144;12404787;18023511
1521908075644;832;610;19;29446144;12411080;18029571
1521908075744;842;616;21;29446144;12416638;18035629
1521908075844;852;622;22;29446144;12422882;18040931
1521908075944;862;629;23;29446144;12429176;18046990
1521908076044;872;635;24;29446144;12435473;18053050
1521908076144;882;643;24;29446144;12441768;18059109
1521908076244;892;650;24;29446144;12447281;18064412
1521908076344;901;658;24;29446144;12453579;18070471
1521908076444;911;666;24;29446144;12459430;18076850
1521908076544;921;673;24;29446144;12465674;18082151
1521908076644;931;680;24;29446144;12471235;18088210
1521908076744;941;686;25;29446144;12477481;18093511
1521908076844;951;693;25;29446144;12482987;18098811
1521908076944;961;701;25;29446144;12489282;18104869
1521908077044;971;708;26;29446144;12495577;18110930
1521908077144;981;715;26;29446144;12500740;18116233
1521908077244;991;722;26;29446144;12506983;18121536
1521908077345;1002;729;27;29446144;12513278;18127594
1521908077445;1012;736;27;29446144;12518782;18133653
1521908077545;1022;743;28;29446144;12525073;18138953
1521908077645;1032;750;28;29446144;12530632;18145009
1521908077745;1042;757;29;29446144;12537217;18151334
1521908077845;1052;764;29;29446144;12543457;18156685
1521908077945;1062;772;29;29446144;12549752;18162742
1521908078045;1072;780;29;29446144;12555259;18168041
1521908078146;1082;788;29;29446144;12561606;18174856
1521908078246;1092;795;29;29446144;12567903;18180158
1521908078346;1102;803;29;29446144;12573462;18186215
1521908078446;1112;810;29;29446144;12579800;18192271
1521908078546;1122;818;29;29446144;12586043;18197572
1521908078646;1132;824;31;29446144;12592338;18203628
1521908078746;1142;831;31;29446144;12597896;18209686
1521908078846;1152;838;31;29446144;12604140;18214986
1521908078947;1162;845;32;29446144;12610437;18221044
1521908079047;1172;852;32;29446144;12616166;18226560
1521908079147;1182;860;32;29446144;12622577;18232722
1521908079247;1192;867;32;29446144;12628871;18238780
1521908079347;1202;875;32;29446144;12634429;18244836
1521908079447;1212;883;32;29446144;12640671;18250136
1521908079547;1222;891;32;29446144;12646966;18256197
1521908079647;1232;898;32;29446144;12653262;18262255
1521908079748;1242;906;32;29446144;12659556;18268314
1521908079848;1252;913;32;29446144;12665063;18273616
1521908079948;1262;920;33;29446144;12671362;18279677
1521908080048;1272;928;33;29446144;12677659;18285734
1521908080148;1282;935;33;29446144;12683166;18291034
1521908080248;1292;943;33;29446144;12689458;18297091
1521908080348;1302;950;33;29446144;12695309;18303416
1521908080448;1312;958;33;29446144;12701544;18308767
1521908080548;1322;964;34;29446144;12707837;18314824
1521908080648;1332;970;35;29446144;12713344;18320124
1521908080748;1342;978;35;29446144;12719642;18326186
1521908080848;1352;986;35;29446144;12725932;18332242
1521908080948;1362;993;35;29446144;12732228;18338304
1521908081048;1372;1001;35;29446144;12737792;18344367
1521908081148;1382;1008;36;29446144;12744033;18349668
1521908081248;1392;1015;36;29446144;12750328;18355727
1521908081348;1402;1023;36;29446144;12755884;18361786
1521908081448;1412;1031;36;29446144;12762182;18367845
1521908081548;1422;1038;36;29446144;12768431;18373149
1521908081648;1432;1046;36;29446144;12775015;18379530
1521908081748;1442;1054;36;29446144;12780576;18385591
1521908081848;1452;1061;36;29446144;12786827;18390897
1521908081948;1462;1069;36;29446144;12793126;18396958
1521908082048;1472;1075;37;29446144;12799425;18403020
1521908082148;1482;1082;37;29446144;12804938;18408323
1521908082248;1492;1090;37;29446144;12810447;18413626
1521908082348;1502;1096;38;29446144;12816750;18419693
1521908082448;1512;1104;38;29446144;12822330;18425774
1521908082548;1522;1111;38;29446144;12828581;18431083
1521908082648;1532;1119;38;29446144;12834885;18437150
1521908082748;1542;1126;38;29446144;12840400;18442459
1521908082848;1552;1134;38;29446144;12846706;18448529
1521908082948;1562;1141;38;29446144;12852328;18454648
1521908083048;1572;1149;38;29446144;12858813;18460222
1521908083148;1582;1156;39;29446144;12865116;18467046
1521908083248;1592;1164;39;29446144;12871421;18473118
1521908083348;1602;1171;39;29446144;12877731;18478431
1521908083448;1612;1179;39;29446144;12883301;18484503
1521908083548;1622;1186;39;29446144;12889560;18489816
1521908083648;1632;1194;39;29446144;12895868;18495888
1521908083748;1642;1201;39;29446144;12902177;18501959
1521908083849;1652;1209;39;29446144;12907752;18508031
1521908083949;1662;1217;39;29446144;12914061;18514103
1521908084049;1672;1223;40;29446144;12920318;18519416
1521908084149;1682;1230;41;29446144;12925891;18525488
1521908084249;1692;1237;41;29446144;12932321;18530956
1521908084349;1702;1244;41;29446144;12937954;18536433
1521908084449;1712;1251;42;29446144;12944264;18542504
1521908084549;1722;1259;42;29446144;12949834;18548575
1521908084650;1732;1264;43;29446144;12956091;18553888
1521908084750;1742;1272;43;29446144;12961663;18559960
1521908084850;1752;1279;43;29446144;12967917;18565273
1521908084950;1762;1287;43;29446144;12974224;18571345
1521908085050;1772;1295;43;29446144;12980534;18577415
1521908085150;1782;1302;43;29446144;12986050;18583483
1521908085250;1792;1309;44;29446144;12992357;18588795
1521908085350;1802;1317;44;29446144;12998658;18594865
1521908085451;1812;1324;44;29446144;13004966;18600936
1521908085551;1822;1332;44;29446144;13011446;18607161
1521908085651;1832;1338;45;29446144;13017082;18612638
1521908085751;1842;1347;45;29446144;13023440;18619466
1521908085851;1852;1354;45;29446144;13029695;18624778
1521908085951;1862;1361;46;29446144;13036006;18630850
1521908086051;1872;1369;46;29446144;13042314;18636922
1521908086151;1882;1377;46;29446144;13048622;18642993
1521908086251;1892;1384;46;29446144;13054142;18648305
1521908086351;1902;1391;46;29446144;13060448;18654374
1521908086451;1912;1399;46;29446144;13066755;18660443
1521908086551;1922;1406;46;29446144;13072272;18665754
1521908086651;1932;1414;46;29446144;13078580;18671826
1521908086751;1942;1421;47;29446144;13084148;18677896
1521908086851;1952;1428;47;29446144;13090581;18683363
1521908086951;1962;1436;47;29446144;13096270;18689598
1521908087051;1972;1443;47;29446144;13102524;18694909
