currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1520090922012;0;0;0;1871872;876732;1906940
1520090922112;10;9;0;300900352;876732;1906940
1520090922212;20;19;0;306909184;876732;1906940
1520090922312;30;28;1;306909184;876732;1906940
1520090922412;40;40;3;312807424;876732;1906940
1520090922512;50;52;3;313946112;876732;1906940
1520090922612;60;62;4;313946112;876732;1906940
1520090922712;70;76;4;313946112;876732;1906940
1520090922812;80;88;4;313946112;876732;1906940
1520090922912;90;98;4;313946112;876732;1906940
1520090923012;100;107;5;313946112;876732;1906940
1520090923112;110;121;6;313946112;876732;1906940
1520090923212;120;133;6;314019840;876732;1906940
1520090923312;130;144;6;314019840;876732;1906940
1520090923412;140;156;7;314019840;876732;1906940
1520090923512;150;166;8;314019840;876732;1906940
1520090923612;160;177;10;343498752;876732;1906940
1520090923712;170;188;10;343588864;876732;1906940
1520090923812;180;200;11;345292800;876732;1906940
1520090923912;190;210;11;345292800;876732;1906940
1520090924012;200;220;11;345292800;876732;1906940
1520090924112;210;231;11;345292800;876732;1906940
1520090924212;220;242;11;345292800;876848;1907052
1520090924312;230;255;11;345292800;877529;1907372
1520090924412;240;266;11;347389952;877529;1907424
1520090924512;250;277;11;347389952;877529;1907424
1520090924612;260;287;11;347389952;877529;1907424
1520090924712;270;299;11;347389952;877529;1907424
1520090924812;280;309;11;347389952;877529;1907424
1520090924912;290;320;11;347389952;877529;1907424
1520090925012;300;330;11;348438528;877529;1907424
1520090925112;310;343;11;348438528;877529;1907424
1520090925212;320;355;11;348438528;877529;1907424
1520090925312;330;365;11;348438528;877529;1907424
1520090925412;340;376;11;348438528;877529;1907424
1520090925512;350;387;11;348438528;877575;1907476
1520090925612;360;398;11;348438528;877967;1907614
1520090925712;370;409;11;348438528;877967;1907614
1520090925812;380;418;13;349487104;877967;1907614
1520090925912;390;428;13;349552640;877967;1907614
1520090926012;400;439;13;349552640;877967;1907614
1520090926112;410;453;14;350601216;877967;1907614
1520090926212;420;461;16;350601216;877967;1907614
1520090926312;430;473;16;350601216;877967;1907614
1520090926412;440;484;16;351977472;877967;1907614
1520090926512;450;495;16;351997952;877967;1907614
1520090926612;460;506;16;352129024;877967;1907614
1520090926714;470;519;17;353271808;877967;1907614
1520090926814;480;531;17;353419264;877967;1907614
1520090926914;490;542;17;353419264;878013;1907666
