currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521911881576;1;0;1;14626816;21020596;27473441
1521911881676;11;8;2;302473216;21020596;27473441
1521911881776;21;18;2;306909184;21020596;27473441
1521911881876;31;27;3;306909184;21020596;27473441
1521911881976;41;41;4;313946112;21020596;27473441
1521911882076;51;52;4;313946112;21020596;27473441
1521911882176;61;64;4;313946112;21020596;27473441
1521911882276;71;78;5;313946112;21020596;27473441
1521911882376;81;87;6;313946112;21020596;27473441
1521911882476;91;97;6;313946112;21020596;27473441
1521911882576;101;107;7;313946112;21020596;27473441
1521911882676;111;121;7;314019840;21020596;27473441
1521911882776;121;133;7;314019840;21020596;27473441
1521911882876;131;144;7;314019840;21020596;27473441
1521911882976;141;156;8;314019840;21020596;27473441
1521911883076;151;167;9;314019840;21020596;27473441
1521911883176;161;178;10;343498752;21020596;27473441
1521911883276;171;188;11;343588864;21020596;27473441
1521911883376;181;201;11;345292800;21020596;27473441
1521911883476;191;211;11;345292800;21020596;27473441
1521911883576;201;224;11;345292800;21020596;27473441
1521911883676;211;236;11;345292800;21020596;27473441
1521911883776;221;244;12;345292800;21020857;27473706
1521911883876;231;254;14;345292800;21021393;27473873
1521911883976;241;264;14;347389952;21021393;27473925
1521911884076;251;275;15;347389952;21021393;27473925
1521911884176;261;285;15;347389952;21021393;27473925
1521911884276;271;297;15;347389952;21021393;27473925
1521911884376;281;306;16;347389952;21021393;27473925
1521911884476;291;316;16;347389952;21021393;27473925
1521911884576;301;327;16;348438528;21021393;27473925
1521911884676;311;340;16;348438528;21021393;27473925
1521911884776;321;352;16;348438528;21021393;27473925
1521911884877;331;362;16;348438528;21021393;27473925
1521911884978;341;373;16;348438528;21021393;27473925
1521911885079;351;384;16;348438528;21021439;27473977
1521911885180;361;394;17;348438528;21021831;27474115
1521911885281;371;406;17;349487104;21021831;27474115
1521911885381;381;416;17;349487104;21021831;27474115
1521911885481;391;426;17;349552640;21021831;27474115
1521911885581;401;437;17;349552640;21021831;27474115
1521911885681;411;451;17;351649792;21021831;27474115
1521911885781;421;460;19;351649792;21021831;27474115
1521911885881;431;470;20;352698368;21021831;27474115
1521911885981;441;481;20;353026048;21021831;27474115
1521911886081;451;492;21;353177600;21021831;27474115
1521911886181;461;502;21;353177600;21021877;27474167
1521911886281;471;514;23;353415168;21021877;27474167
1521911886381;481;527;23;353419264;21021877;27474167
1521911886481;491;537;23;353419264;21021877;27474167
1521911886581;501;547;23;353419264;21021877;27474167
1521911886681;511;558;23;353419264;21021877;27474167
1521911886781;521;570;23;354467840;21021877;27474167
1521911886881;531;583;24;354467840;21021877;27474167
1521911886981;541;594;24;354467840;21021993;27474279
1521911887081;551;606;24;354467840;21021993;27474279
1521911887181;561;617;24;354467840;21022039;27474331
1521911887281;571;626;25;354467840;21022505;27474571
1521911887381;581;636;25;354467840;21022505;27474571
1521911887481;591;647;25;354467840;21022505;27474571
1521911887581;601;658;25;354467840;21023146;27474850
1521911887694;613;680;25;354467840;21023612;27475090
1521911887794;623;700;26;355516416;21024570;27476409
1521911887894;633;712;27;355516416;21024898;27477203
1521911887994;643;724;27;355516416;21025226;27477942
1521911888094;653;736;27;355516416;21025604;27478679
1521911888194;663;749;27;355516416;21025978;27479419
1521911888294;673;761;28;355516416;21026404;27480528
1521911888394;683;773;28;355516416;21026890;27481321
1521911888494;693;787;28;355516416;21027342;27482176
1521911888594;703;797;29;355516416;21027762;27483019
1521911888694;713;810;29;355516416;21028090;27483760
1521911888794;723;825;29;355516416;21028582;27484870
1521911888894;733;839;29;355516416;21028910;27485612
1521911888994;743;854;29;355516416;21029402;27486722
1521911889094;753;866;29;355516416;21029730;27487461
1521911889194;763;880;29;355516416;21030222;27488573
1521911889294;773;891;30;355516416;21030714;27489683
1521911889394;783;903;30;355516416;21031042;27490422
1521911889494;793;916;30;355516416;21031534;27491535
1521911889594;803;931;30;355516416;21032072;27492697
1521911889694;813;942;31;355516416;21032400;27493438
1521911889794;823;956;31;355516416;21032984;27494653
1521911889894;833;970;31;355516416;21033476;27495762
1521911889994;843;982;31;355516416;21033968;27496820
1521911890094;853;995;31;355516416;21034348;27497932
1521911890194;863;1007;31;355516416;21034788;27498724
1521911890295;873;1019;31;355516416;21035280;27499837
1521911890396;883;1034;31;355516416;21035772;27500947
1521911890497;893;1046;31;355516416;21036264;27502058
1521911890598;903;1059;31;355516416;21036756;27503172
1521911890699;913;1073;31;355516416;21037294;27504336
1521911890800;923;1083;32;355516416;21037674;27505399
1521911890901;933;1096;32;355516416;21038146;27506564
1521911891004;944;1109;32;355516416;21038698;27507359
1521911891105;954;1121;33;355516416;21039190;27508844
1521911891206;964;1133;33;355516416;21039682;27509634
1521911891306;974;1148;33;355516416;21040174;27510746
1521911891406;984;1160;33;355516416;21040666;27511858
1521911891506;994;1172;33;355516416;21041158;27512970
1521911891606;1004;1183;34;355516416;21041650;27514083
1521911891706;1014;1194;34;355516416;21042142;27515194
1521911891806;1024;1211;34;355516416;21042804;27516474
1521911891906;1034;1221;36;355516416;21043684;27517587
1521911892006;1044;1234;36;355516416;21044268;27518803
1521911892106;1054;1245;36;355516416;21044760;27519918
1521911892206;1064;1255;37;355516416;21045252;27521032
1521911892306;1074;1267;37;355516416;21045744;27522144
1521911892406;1084;1281;37;355516416;21046325;27523255
1521911892506;1094;1292;37;355516416;21046817;27524368
1521911892606;1104;1304;37;355516416;21047309;27525479
1521911892706;1114;1315;37;355516416;21047801;27526591
1521911892806;1124;1327;38;355516416;21048293;27527703
1521911892906;1134;1340;39;355516416;21048831;27528866
1521911893006;1144;1352;39;355516416;21049323;27529980
1521911893106;1154;1363;40;355516416;21049907;27531197
1521911893206;1164;1380;40;355516416;21050399;27532310
1521911893306;1174;1391;40;355516416;21050891;27533423
1521911893406;1184;1402;40;355516416;21051472;27534532
1521911893506;1194;1414;40;355516416;21051964;27535643
1521911893606;1204;1426;41;355516416;21052593;27537074
1521911893706;1214;1438;42;355516416;21053085;27538185
1521911893806;1224;1450;42;355516416;21053689;27539349
1521911893906;1234;1461;42;355516416;21054181;27540460
1521911894006;1244;1472;43;355516416;21054719;27541625
1521911894106;1254;1483;43;355516416;21055211;27542738
1521911894206;1264;1495;43;355516416;21055703;27543851
1521911894306;1274;1506;43;355516416;21056287;27545070
1521911894406;1284;1518;45;355516416;21056779;27546182
1521911894506;1294;1529;45;355516416;21057271;27547294
1521911894606;1304;1541;45;355516416;21057763;27548408
1521911894706;1314;1552;45;355516416;21058255;27549520
1521911894806;1324;1565;45;355516416;21058911;27551002
1521911894906;1334;1579;45;355516416;21059403;27552116
1521911895006;1344;1590;45;355516416;21059895;27553224
1521911895106;1354;1601;46;355516416;21060557;27554503
1521911895206;1364;1612;46;355516416;21061049;27555615
1521911895306;1374;1627;46;355516416;21061593;27557043
1521911895406;1384;1639;46;355516416;21062289;27558312
1521911895506;1394;1651;46;355516416;21062781;27559425
1521911895606;1404;1662;46;355516416;21063273;27560536
1521911895706;1414;1674;46;355516416;21063765;27561648
1521911895806;1424;1685;46;355516416;21064257;27563077
1521911895906;1434;1696;46;355516416;21064801;27564189
1521911896006;1444;1708;46;355516416;21065405;27565348
1521911896106;1454;1720;46;355516416;21065897;27566461
1521911896206;1464;1731;46;355516416;21066435;27567626
1521911896306;1474;1744;46;355516416;21066979;27569058
1521911896406;1484;1762;46;355516416;21067471;27570172
1521911896506;1494;1776;46;355516416;21068256;27571436
1521911896606;1504;1787;46;355516416;21068748;27572550
1521911896706;1514;1797;47;355516416;21069240;27573658
1521911896806;1524;1809;48;355516416;21069732;27574769
1521911896906;1534;1820;48;355516416;21070388;27576252
1521911897006;1544;1834;48;355516416;21070880;27577364
1521911897106;1554;1844;49;355516416;21071372;27578477
1521911897206;1564;1855;49;355516416;21071864;27579589
1521911897306;1574;1867;50;355516416;21072520;27581070
1521911897406;1584;1878;50;355516416;21072894;27581861
1521911897506;1594;1890;50;355516416;21073438;27583296
1521911897606;1604;1901;50;355516416;21073878;27584088
1521911897706;1614;1912;51;355516416;21074462;27585306
1521911897806;1624;1923;52;355516416;21074954;27586413
1521911897906;1634;1937;52;355516416;21075498;27587844
1521911898006;1644;1956;52;355516416;21076102;27589010
1521911898106;1654;1969;52;355516416;21076594;27590126
1521911898206;1664;1980;52;355516416;21077086;27591241
1521911898306;1674;1992;52;355516416;21077630;27592671
1521911898406;1684;2003;52;355516416;21078234;27593835
1521911898506;1694;2014;52;355516416;21078850;27595065
1521911898606;1704;2025;52;355516416;21079342;27596179
1521911898706;1714;2036;52;355516416;21079998;27597664
1521911898806;1724;2049;53;355516416;21080582;27598880
1521911898906;1734;2062;54;355516416;21081074;27599988
1521911899006;1744;2074;54;355516416;21081566;27601099
1521911899106;1754;2086;54;355516416;21082222;27602583
1521911899206;1764;2097;54;355516416;21082714;27603695
1521911899306;1774;2108;54;355516416;21083206;27604807
1521911899406;1784;2119;54;355516416;21083698;27605919
1521911899506;1794;2130;54;355516416;21084354;27607405
1521911899606;1804;2142;54;355516416;21084892;27608571
1521911899706;1814;2152;54;355516416;21085384;27609682
1521911899806;1824;2165;54;355516416;21086040;27611167
1521911899906;1834;2175;55;355516416;21086532;27612280
1521911900006;1844;2187;55;355516416;21087116;27613493
1521911900106;1854;2198;55;355516416;21087660;27614926
1521911900206;1864;2209;56;355516416;21088264;27616091
1521911900306;1874;2224;56;355516416;21088756;27617202
1521911900406;1884;2235;56;355516416;21089248;27618310
1521911900506;1894;2247;56;355516416;21089740;27619423
1521911900606;1904;2258;56;355516416;21090396;27620908
1521911900706;1914;2269;56;355516416;21090934;27622073
1521911900806;1924;2281;56;355516416;21091426;27623185
1521911900906;1934;2292;56;355516416;21092082;27624670
1521911901006;1944;2304;56;355516416;21092574;27625782
1521911901106;1954;2315;56;355516416;21093158;27626995
1521911901206;1964;2326;56;355516416;21093702;27628428
1521911901306;1974;2337;56;355516416;21094306;27629591
1521911901406;1984;2350;56;355516416;21094798;27630703
1521911901506;1994;2361;56;355516416;21095290;27631816
1521911901606;2004;2372;56;355516416;21095946;27633299
1521911901706;2014;2385;56;355516416;21096438;27634411
1521911901806;2024;2396;57;355516416;21097054;27635638
1521911901906;2034;2407;57;355516416;21097598;27637072
1521911902006;2044;2419;57;355516416;21098202;27638239
1521911902106;2054;2432;57;355516416;21098694;27639351
1521911902206;2064;2443;57;355516416;21099278;27640568
1521911902306;2074;2455;57;355516416;21099934;27642050
1521911902406;2084;2466;57;355516416;21100426;27643163
1521911902506;2094;2477;57;355516416;21100918;27644274
1521911902606;2104;2488;57;355516416;21101574;27645757
1521911902706;2114;2499;57;355516416;21102066;27646871
1521911902806;2124;2510;57;355516416;21102558;27647981
1521911902906;2134;2521;57;355516416;21103214;27649464
