currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521389704486;0;0;0;401408;17243933;20941440
1521389704586;10;9;1;300900352;17243933;20941440
1521389704686;20;18;2;306909184;17243933;20941440
1521389704786;30;27;3;306909184;17243933;20941440
1521389704886;40;40;3;312807424;17243933;20941440
1521389704986;50;51;5;313946112;17243933;20941440
1521389705086;60;62;5;313946112;17243933;20941440
1521389705186;70;74;5;313946112;17243933;20941440
1521389705286;80;89;5;313946112;17243933;20941440
1521389705386;90;96;7;343515136;17243933;20941440
1521389705486;100;106;7;343842816;17243933;20941440
1521389705586;110;116;7;344825856;17244157;20941687
1521389705686;120;126;8;344846336;17244157;20941687
1521389705786;130;137;8;344977408;17244157;20941687
1521389705886;140;148;9;344977408;17244157;20941687
1521389705986;150;158;9;344977408;17244157;20941687
1521389706086;160;169;10;344977408;17244157;20941687
1521389706186;170;181;10;344977408;17244157;20941687
1521389706286;180;192;10;345071616;17244157;20941687
1521389706386;190;205;11;345219072;17244157;20941687
1521389706486;200;218;11;345219072;17244157;20941687
1521389706586;210;229;11;346267648;17244157;20941687
1521389706686;220;239;11;346267648;17244203;20941739
1521389706786;230;250;11;346267648;17244203;20941739
1521389706886;240;260;11;346267648;17244203;20941739
1521389706986;250;272;11;346267648;17244203;20941739
1521389707086;260;281;12;346267648;17244203;20941739
1521389707186;270;293;13;347316224;17244203;20941739
1521389707286;280;303;14;348364800;17244203;20941739
1521389707386;290;313;14;348364800;17244203;20941739
1521389707486;300;322;15;348364800;17244253;20941739
1521389707586;310;332;15;348364800;17244253;20941739
1521389707686;320;344;15;348364800;17244253;20941739
1521389707786;330;356;16;348364800;17244331;20941823
1521389707886;340;367;16;349413376;17244331;20941823
1521389707986;350;376;17;349413376;17244331;20941823
1521389708086;360;387;17;349413376;17244377;20941823
1521389708186;370;398;17;349413376;17244377;20941823
1521389708286;380;409;17;349413376;17244377;20941823
1521389708386;390;421;17;349413376;17244485;20942086
1521389708486;400;430;18;349413376;17244701;20942615
1521389708586;410;441;18;349413376;17244809;20942873
1521389708686;420;450;18;349413376;17245025;20943389
1521389708786;430;459;19;349413376;17245241;20943902
1521389708886;440;469;19;349413376;17245349;20944155
1521389708986;450;478;19;349413376;17245565;20944669
1521389709086;460;488;20;349413376;17245781;20945183
1521389709186;470;498;20;349413376;17245889;20945439
1521389709286;480;508;20;349413376;17246105;20945954
1521389709386;490;518;20;349413376;17246321;20946467
1521389709486;500;525;21;349413376;17246537;20946980
1521389709586;510;534;22;349413376;17246645;20947237
1521389709686;520;543;22;349413376;17246861;20947752
1521389709786;530;555;22;350461952;17247077;20948266
1521389709886;540;566;22;350461952;17247293;20948782
1521389709986;550;575;23;350461952;17247509;20949297
1521389710086;560;585;24;350461952;17247725;20949809
1521389710186;570;594;25;350461952;17247941;20950323
1521389710286;580;604;25;350461952;17248157;20950839
1521389710386;590;613;26;350461952;17248373;20951352
1521389710486;600;621;27;350461952;17248589;20951867
1521389710586;610;630;27;350461952;17248805;20952382
1521389710686;620;639;27;350461952;17249129;20953154
1521389710786;630;647;27;350461952;17249345;20953668
1521389710886;640;656;27;350461952;17249561;20954183
1521389710986;650;666;27;350461952;17249777;20954698
1521389711086;660;675;27;350461952;17249993;20955211
1521389711186;670;684;27;350461952;17250209;20955725
1521389711286;680;691;28;350461952;17250425;20956239
1521389711386;690;698;30;350461952;17250641;20956753
1521389711486;700;705;31;350461952;17250857;20957269
1521389711586;710;713;32;350461952;17251073;20957783
1521389711686;720;721;32;350461952;17251289;20958299
1521389711786;730;732;32;350461952;17251505;20958813
1521389711886;740;741;32;350461952;17251721;20959328
1521389711986;750;749;32;350461952;17252045;20960100
1521389712086;760;759;32;350461952;17252261;20960616
1521389712186;770;768;32;350461952;17252477;20961131
1521389712286;780;778;32;350461952;17252693;20961648
1521389712386;790;786;32;350461952;17252909;20962166
1521389712486;800;794;32;350461952;17253125;20962682
1521389712586;810;804;32;350461952;17253341;20963198
1521389712686;820;810;34;350461952;17253665;20963973
1521389712786;830;818;34;350461952;17253881;20964489
1521389712886;840;826;35;350461952;17254097;20965005
1521389712986;850;834;36;350461952;17254313;20965518
1521389713086;860;841;37;350461952;17254529;20966033
1521389713186;870;849;37;350461952;17254745;20966754
1521389713286;880;857;37;350461952;17255069;20967321
1521389713386;890;864;40;350461952;17255285;20967837
1521389713486;900;871;41;350461952;17255501;20968353
1521389713586;910;879;41;350461952;17255717;20968868
1521389713686;920;889;41;350461952;17256041;20969641
1521389713786;930;900;41;350461952;17256257;20970156
1521389713886;940;908;41;350461952;17256473;20970672
1521389713986;950;917;42;350461952;17256797;20971445
1521389714086;960;926;42;350461952;17257013;20971963
1521389714186;970;934;43;350461952;17257229;20972479
1521389714286;980;941;44;350461952;17257445;20972996
1521389714386;990;947;45;350461952;17257769;20973769
1521389714486;1000;959;45;350461952;17257985;20974283
1521389714586;1010;968;45;350461952;17258201;20974799
1521389714686;1020;976;45;350461952;17258417;20975315
1521389714786;1030;984;45;350461952;17258741;20976087
1521389714886;1040;992;45;350461952;17258957;20976602
1521389714986;1050;1000;46;350461952;17259173;20977118
1521389715086;1060;1007;46;350461952;17259441;20977839
1521389715186;1070;1016;46;350461952;17259713;20978405
1521389715286;1080;1025;46;350461952;17259929;20978920
1521389715386;1090;1032;47;350461952;17260253;20979696
1521389715486;1100;1040;48;350461952;17260469;20980212
1521389715586;1110;1052;48;350461952;17260685;20980728
1521389715686;1120;1061;48;350461952;17260901;20981244
1521389715786;1130;1068;49;350461952;17261225;20982016
1521389715886;1140;1077;49;350461952;17261441;20982530
1521389715986;1150;1085;49;350461952;17261657;20983044
1521389716086;1160;1092;49;350461952;17261981;20983818
1521389716186;1170;1101;49;350461952;17262382;20984332
1521389716286;1180;1110;49;350461952;17262706;20985105
1521389716386;1190;1117;50;350461952;17262922;20985620
1521389716486;1200;1124;51;350461952;17263138;20986134
1521389716586;1210;1132;51;350461952;17263462;20986908
1521389716686;1220;1140;51;350461952;17263678;20987424
1521389716786;1230;1149;51;350461952;17263894;20987940
1521389716886;1240;1156;51;350461952;17264218;20988714
1521389716986;1250;1163;52;350461952;17264434;20989231
1521389717086;1260;1172;53;350461952;17264650;20989748
1521389717186;1270;1180;56;350461952;17265024;20990521
1521389717286;1280;1189;56;350461952;17265790;20991036
1521389717386;1290;1197;56;350461952;17266006;20991553
1521389717486;1300;1202;59;350461952;17266330;20992326
1521389717586;1310;1210;59;350461952;17266546;20992841
1521389717686;1320;1217;60;350461952;17266814;20993562
1521389717786;1330;1225;60;350461952;17267086;20994131
1521389717886;1340;1234;60;350461952;17267302;20994646
1521389717986;1350;1242;60;350461952;17267518;20995158
1521389718086;1360;1250;60;350461952;17267842;20995930
1521389718186;1370;1258;60;350461952;17268058;20996446
1521389718286;1380;1266;61;350461952;17268274;20996960
1521389718386;1390;1275;61;350461952;17268490;20997474
1521389718486;1400;1282;61;350461952;17268920;20998247
1521389718587;1410;1289;63;350461952;17270872;20998763
1521389718688;1420;1297;63;350461952;17271088;20999279
