currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521390088575;0;0;0;311296;17803247;22113066
1521390088675;10;9;0;300900352;17803247;22113066
1521390088775;20;18;1;306909184;17803247;22113066
1521390088875;30;28;1;306909184;17803247;22113066
1521390088975;40;40;3;312807424;17803247;22113066
1521390089075;50;52;3;313946112;17803247;22113066
1521390089175;60;62;3;313946112;17803247;22113066
1521390089275;70;75;3;313946112;17803247;22113066
1521390089375;80;90;3;313966592;17803247;22113066
1521390089475;90;100;3;314097664;17803247;22113066
1521390089575;100;110;3;314097664;17803247;22113066
1521390089675;110;122;3;314097664;17803247;22113066
1521390089775;120;135;3;314097664;17803247;22113066
1521390089875;130;146;3;314097664;17803247;22113066
1521390089975;140;159;3;314335232;17803247;22113066
1521390090075;150;169;4;314339328;17803247;22113066
1521390090175;160;183;4;314339328;17803247;22113066
1521390090275;170;193;4;314339328;17803247;22113066
1521390090376;180;204;4;314339328;17803247;22113066
1521390090476;190;211;4;314339328;17803247;22113066
1521390090576;200;220;6;314339328;17803247;22113066
1521390090676;210;228;6;314339328;17803247;22113066
1521390090776;220;233;6;314339328;17803247;22113066
1521390090876;230;238;6;315387904;17803247;22113066
1521390090976;240;246;6;315387904;17803247;22113066
1521390091076;250;252;7;315387904;17803247;22113066
1521390091176;260;263;8;315461632;17803247;22113066
1521390091276;270;271;8;315461632;17803247;22113066
1521390091376;280;277;9;315461632;17803247;22113066
1521390091476;290;287;9;316510208;17803247;22113066
1521390091576;300;300;9;316510208;17803247;22113066
1521390091676;310;310;9;317558784;17803247;22113066
1521390091776;320;317;10;317558784;17803247;22113066
1521390091876;330;323;10;317558784;17803247;22113066
1521390091976;340;331;11;317558784;17803247;22113066
1521390092076;350;342;11;317558784;17803247;22113066
1521390092176;360;352;12;318607360;17803247;22113066
1521390092276;370;362;12;318607360;17803247;22113066
1521390092376;380;373;12;318607360;17803247;22113066
1521390092476;390;386;12;318607360;17803247;22113066
1521390092576;400;395;13;318607360;17803247;22113066
1521390092676;410;406;13;318607360;17803247;22113066
1521390092776;420;419;13;318607360;17803247;22113066
1521390092876;430;430;13;319655936;17803247;22113066
1521390092977;440;440;13;319655936;17803247;22113066
1521390093078;450;447;14;319655936;17803247;22113066
1521390093178;460;454;15;319655936;17803247;22113066
1521390093278;470;461;15;319655936;17803247;22113066
1521390093378;480;470;15;319655936;17803247;22113066
1521390093478;490;481;15;320704512;17803247;22113066
1521390093578;500;492;15;321753088;17803247;22113066
1521390093678;510;505;15;321753088;17803247;22113066
1521390093778;520;514;15;351559680;17803592;22113699
1521390093878;530;528;15;351559680;17803821;22114221
1521390093978;540;540;15;351559680;17804050;22114744
1521390094078;550;552;15;351559680;17804279;22115263
1521390094178;560;563;15;351559680;17804508;22115779
1521390094278;570;574;15;351559680;17804966;22116811
1521390094378;580;584;15;351559680;17805195;22117330
1521390094478;590;596;15;351559680;17805424;22117846
1521390094578;600;606;15;351559680;17805882;22118878
1521390094678;610;619;15;351559680;17806111;22119396
1521390094778;620;628;16;351559680;17806569;22120431
1521390094878;630;639;16;351559680;17806798;22120947
1521390094978;640;649;16;351559680;17807256;22121981
1521390095078;650;660;16;351559680;17807485;22122498
1521390095178;660;671;16;351559680;17807943;22123528
1521390095278;670;682;16;351559680;17808172;22124044
1521390095378;680;693;16;351559680;17808630;22125077
1521390095478;690;705;16;351559680;17808859;22125593
1521390095578;700;714;17;351559680;17809317;22126630
1521390095678;710;727;17;351559680;17809546;22127148
1521390095778;720;736;18;351559680;17810004;22128183
1521390095878;730;747;21;351559680;17810462;22129216
1521390095978;740;757;22;351559680;17810691;22129734
1521390096078;750;768;23;351559680;17811149;22130767
1521390096178;760;780;23;351559680;17811607;22131801
1521390096278;770;790;23;351559680;17812065;22132837
1521390096378;780;800;23;351559680;17812294;22133354
1521390096478;790;809;23;351559680;17812752;22134390
1521390096578;800;823;23;352608256;17813210;22135425
1521390096678;810;832;24;352608256;17813668;22136459
1521390096778;820;844;24;352608256;17813897;22136975
1521390096878;830;853;25;352608256;17814355;22138007
1521390096978;840;866;25;352608256;17814813;22139039
1521390097078;850;877;25;352608256;17815271;22140072
1521390097178;860;888;25;352608256;17815500;22140590
1521390097278;870;899;25;352608256;17815958;22141625
1521390097378;880;909;25;352608256;17816416;22142661
1521390097478;890;919;25;352608256;17816924;22143696
1521390097578;900;930;25;352608256;17817382;22144728
1521390097678;910;940;25;352608256;17817932;22145763
1521390097778;920;951;25;352608256;17818390;22146798
1521390097878;930;962;25;352608256;17818848;22147835
1521390097978;940;972;25;352608256;17819306;22148865
1521390098078;950;984;25;352608256;17819764;22149900
1521390098178;960;995;25;352608256;17820097;22150882
