currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521391116452;0;0;0;299008;21179926;29610568
1521391116552;11;7;3;300900352;21179926;29610568
1521391116652;21;16;4;306909184;21179926;29610568
1521391116752;31;26;4;306909184;21179926;29610568
1521391116853;41;37;6;312807424;21179926;29610568
1521391116954;51;50;6;313946112;21179926;29610568
1521391117055;61;59;7;313946112;21179926;29610568
1521391117156;71;74;7;313946112;21179926;29610568
1521391117257;81;84;7;313946112;21179926;29610568
1521391117358;91;92;8;313946112;21179926;29610568
1521391117459;101;103;8;313946112;21180008;29610600
1521391117559;111;119;8;314019840;21180008;29610600
1521391117659;121;130;8;314019840;21180008;29610600
1521391117759;131;140;8;314019840;21180054;29610600
1521391117859;141;152;8;314019840;21180054;29610600
1521391117959;151;164;8;314019840;21180054;29610600
1521391118059;161;174;8;314019840;21180054;29610600
1521391118159;171;185;8;314019840;21180054;29610600
1521391118259;181;193;8;314019840;21180054;29610600
1521391118359;191;201;8;314019840;21180054;29610600
1521391118459;201;210;8;315068416;21180054;29610600
1521391118559;211;220;10;315088896;21180054;29610600
1521391118659;221;231;10;315219968;21180054;29610600
1521391118759;231;241;10;315219968;21180054;29610600
1521391118859;241;253;10;315219968;21180054;29610600
1521391118959;251;265;11;316268544;21180054;29610600
1521391119059;261;276;11;316268544;21180054;29610600
1521391119159;271;290;11;317558784;21180054;29610600
1521391119259;281;303;11;318607360;21180054;29610600
1521391119359;291;313;11;318607360;21180054;29610600
1521391119459;301;323;11;318607360;21180054;29610600
1521391119559;311;333;11;318607360;21180054;29610600
1521391119659;321;338;13;318763008;21180054;29610600
1521391119759;331;345;13;319811584;21180054;29610600
1521391119859;341;353;13;319811584;21180054;29610600
1521391119959;351;358;13;319811584;21180054;29610600
1521391120059;361;368;13;319811584;21180054;29610600
1521391120159;371;378;15;319811584;21180054;29610600
1521391120259;381;388;15;319811584;21180054;29610600
1521391120359;391;394;15;319811584;21180054;29610600
1521391120459;401;404;16;320860160;21180054;29610600
1521391120559;411;410;16;320860160;21180054;29610600
1521391120659;421;416;16;320860160;21180054;29610600
1521391120759;431;422;16;320884736;21180054;29610600
1521391120859;441;431;17;320884736;21180054;29610600
1521391120960;451;437;18;320884736;21180054;29610600
1521391121061;461;445;20;351412224;21181029;29611679
1521391121162;471;452;20;351739904;21181029;29611679
1521391121262;482;463;20;351739904;21181029;29611679
1521391121362;492;477;20;351739904;21181889;29612647
1521391121463;502;489;20;351739904;21182750;29613616
1521391121564;512;501;20;351739904;21183607;29614581
1521391121665;522;515;20;351739904;21184461;29615543
1521391121766;532;526;21;351739904;21186169;29617467
1521391121866;542;536;22;351739904;21187026;29618432
1521391121966;552;549;22;351739904;21187880;29619394
1521391122066;562;559;23;351739904;21188736;29620358
1521391122167;572;571;23;351739904;21190444;29622282
1521391122268;582;582;23;351739904;21191299;29623245
1521391122369;592;591;24;351739904;21193009;29625171
1521391122470;602;602;24;351739904;21193864;29626134
1521391122570;612;613;24;351739904;21194719;29627097
1521391122670;622;622;25;351739904;21196427;29629021
1521391122770;632;634;25;351739904;21197280;29629982
1521391122870;642;644;25;351739904;21198990;29631908
1521391122970;652;656;25;351739904;21199843;29632869
1521391123070;662;666;25;351739904;21201553;29634795
1521391123170;672;677;25;351739904;21202410;29635760
1521391123270;682;688;26;351739904;21204122;29637688
1521391123370;692;701;26;351739904;21204977;29638651
1521391123470;702;714;26;351739904;21206686;29640576
1521391123570;712;729;26;352788480;21207542;29641540
1521391123670;722;749;26;353837056;21209251;29643465
1521391123770;732;762;27;353837056;21210961;29645391
1521391123870;742;773;27;353837056;21211817;29646355
1521391123970;752;786;27;353837056;21213528;29648282
1521391124070;762;797;27;353837056;21214384;29650158
1521391124171;772;811;27;353837056;21216096;29651174
1521391124272;782;821;27;353837056;21217806;29653100
1521391124373;793;832;27;353837056;21218765;29654973
1521391124474;803;842;27;353837056;21220370;29655988
1521391124575;813;853;29;353837056;21222076;29657910
1521391124676;823;863;29;353837056;21222931;29658873
1521391124777;833;874;29;353837056;21224640;29660798
1521391124878;843;885;29;353837056;21226351;29662725
1521391124979;853;896;29;353837056;21228063;29664653
1521391125079;863;906;29;353837056;21228919;29665617
1521391125179;873;916;30;353837056;21230630;29667544
1521391125279;883;926;30;353837056;21232338;29669468
1521391125379;893;935;31;353837056;21234049;29671395
1521391125479;903;946;31;353837056;21234905;29672359
1521391125579;913;960;31;353837056;21236617;29674287
1521391125679;923;969;32;353837056;21238326;29676212
1521391125779;933;981;32;353837056;21239179;29677173
1521391125879;943;991;33;353837056;21240890;29679100
1521391125979;953;1001;33;353837056;21242600;29681026
1521391126079;963;1011;33;353837056;21244310;29682952
1521391126179;973;1025;33;353837056;21245164;29683914
1521391126279;983;1034;33;353837056;21246875;29685841
1521391126379;993;1047;34;353837056;21248591;29687773
1521391126479;1003;1056;34;353837056;21250301;29689699
1521391126579;1013;1072;34;353837056;21251156;29691025
1521391126679;1023;1082;35;353837056;21252865;29692587
1521391126779;1033;1091;35;353837056;21254573;29694511
1521391126879;1043;1101;35;353837056;21256282;29696436
1521391126979;1053;1112;35;353837056;21257989;29698359
1521391127079;1063;1122;35;353837056;21259701;29700287
1521391127179;1073;1132;35;353837056;21260609;29701303
1521391127279;1083;1141;36;353837056;21262319;29703229
1521391127379;1093;1153;36;353837056;21264028;29705154
1521391127479;1103;1163;37;353837056;21265861;29707132
1521391127579;1113;1172;37;353837056;21267690;29709173
1521391127679;1123;1183;37;353837056;21268649;29711046
1521391127779;1133;1193;37;353837056;21270257;29712064
1521391127879;1143;1203;38;353837056;21271965;29713988
1521391127979;1153;1217;38;353837056;21273675;29715914
1521391128079;1163;1227;38;353837056;21275385;29717840
1521391128179;1173;1236;38;353837056;21277097;29719768
1521391128279;1183;1247;38;353837056;21278811;29721698
1521391128379;1193;1256;40;353837056;21279667;29722662
1521391128479;1203;1273;41;353837056;21281379;29724590
1521391128579;1213;1283;41;353837056;21283091;29726518
1521391128679;1223;1293;41;353837056;21284800;29728443
1521391128779;1233;1303;41;353837056;21286512;29730371
1521391128879;1243;1316;42;353837056;21287366;29731333
1521391128979;1253;1329;42;353837056;21289078;29733261
1521391129079;1263;1338;43;353837056;21290788;29735187
1521391129179;1273;1347;44;353837056;21292499;29737114
1521391129279;1283;1356;44;353837056;21294210;29739041
1521391129379;1293;1365;45;353837056;21295921;29740968
1521391129479;1303;1375;45;353837056;21297632;29742895
1521391129579;1313;1386;45;353837056;21299344;29744823
1521391129679;1323;1396;45;353837056;21301055;29746750
1521391129779;1333;1406;45;353837056;21302766;29748677
1521391129879;1343;1417;45;353837056;21303622;29749641
1521391129979;1353;1424;47;353837056;21305332;29751567
1521391130079;1363;1434;48;353837056;21307039;29753490
1521391130179;1373;1446;48;353837056;21308749;29755416
1521391130279;1383;1459;48;353837056;21310458;29757341
1521391130379;1393;1468;48;353837056;21312167;29759266
1521391130479;1403;1478;48;353837056;21313876;29761191
1521391130579;1413;1487;48;353837056;21315585;29763116
1521391130679;1423;1499;48;353837056;21316545;29764991
1521391130779;1433;1508;48;353837056;21318152;29766007
1521391130879;1443;1518;48;353837056;21319864;29767935
1521391130979;1453;1528;48;353837056;21321575;29769862
1521391131079;1463;1539;48;353837056;21323286;29771789
1521391131180;1473;1548;48;353837056;21324997;29773716
1521391131281;1483;1558;48;353837056;21326705;29775640
1521391131382;1493;1567;48;353837056;21328416;29777567
1521391131483;1504;1577;48;353837056;21330125;29779492
1521391131584;1514;1587;48;353837056;21331837;29781420
1521391131685;1524;1596;48;353837056;21333549;29783348
1521391131785;1534;1605;49;353837056;21334407;29784314
1521391131885;1544;1613;51;353837056;21336221;29787153
1521391131985;1554;1622;51;353837056;21337828;29788167
1521391132085;1564;1630;52;353837056;21339543;29790098
1521391132185;1574;1644;52;353837056;21341255;29792026
1521391132285;1584;1655;52;353837056;21342965;29793952
1521391132385;1594;1665;52;353837056;21344674;29795877
1521391132485;1604;1675;52;353837056;21346487;29797856
1521391132585;1614;1684;52;353837056;21348199;29799784
1521391132686;1624;1694;52;353837056;21349956;29801711
1521391132786;1634;1704;52;353837056;21351793;29803693
1521391132887;1644;1715;52;353837056;21353619;29805731
1521391132988;1654;1725;52;353837056;21355329;29807657
1521391133089;1664;1735;52;353837056;21356182;29808618
1521391133190;1674;1745;52;353837056;21358041;29811453
1521391133291;1684;1754;52;353837056;21359646;29812468
1521391133392;1694;1767;52;353837056;21361358;29814396
1521391133493;1705;1777;54;353837056;21363071;29816325
1521391133593;1715;1790;55;353837056;21364783;29818253
1521391133693;1725;1801;55;353837056;21366495;29820181
1521391133793;1735;1811;56;353837056;21368206;29822108
1521391133893;1745;1821;56;353837056;21369916;29824034
1521391133993;1755;1832;56;353837056;21371624;29825958
1521391134093;1765;1841;57;353837056;21373332;29827882
1521391134193;1775;1849;58;353837056;21375043;29829809
1521391134293;1785;1860;58;353837056;21376752;29831734
1521391134393;1795;1870;58;353837056;21378463;29833661
1521391134493;1805;1879;58;353837056;21380171;29835585
1521391134593;1815;1889;58;353837056;21381884;29837514
1521391134693;1825;1900;58;353837056;21383595;29839441
1521391134793;1835;1909;58;353837056;21385305;29841367
1521391134893;1845;1919;58;353837056;21387017;29843295
1521391134993;1855;1928;58;353837056;21388727;29845221
1521391135093;1865;1938;58;353837056;21390439;29847149
1521391135193;1875;1947;59;353837056;21392150;29849076
1521391135293;1885;1958;59;353837056;21393111;29850952
1521391135393;1895;1972;59;353837056;21394822;29852881
1521391135493;1905;1983;59;353837056;21396431;29853897
1521391135593;1915;1992;59;353837056;21398139;29855821
1521391135693;1925;2002;59;353837056;21399851;29857749
1521391135793;1935;2012;59;353837056;21401560;29859674
1521391135893;1945;2021;61;353837056;21403269;29861599
1521391135993;1955;2031;61;353837056;21404981;29863527
1521391136093;1965;2039;62;353837056;21406691;29865453
1521391136193;1975;2049;62;353837056;21408402;29867380
1521391136293;1985;2057;63;353837056;21410116;29869310
1521391136393;1995;2067;63;353837056;21411826;29871236
1521391136493;2005;2076;64;353837056;21413537;29873163
1521391136593;2015;2086;64;353837056;21415248;29875090
1521391136693;2025;2095;64;353837056;21416961;29877019
1521391136793;2035;2106;64;353837056;21418672;29878946
1521391136893;2045;2115;65;353837056;21420770;29880872
1521391136993;2055;2125;65;353837056;21422479;29882797
1521391137093;2065;2133;66;353837056;21424187;29884721
1521391137193;2075;2143;66;353837056;21425901;29886651
1521391137293;2085;2151;67;353837056;21427612;29888578
1521391137393;2095;2162;68;353837056;21429324;29890506
1521391137493;2105;2172;68;353837056;21430179;29891469
1521391137593;2115;2181;68;353837056;21431891;29893397
1521391137693;2125;2191;68;353837056;21433655;29895377
1521391137793;2135;2200;68;353837056;21435366;29897304
1521391137893;2145;2211;68;353837056;21437075;29899229
1521391137993;2155;2228;69;353837056;21439024;29901319
1521391138093;2165;2247;69;353837056;21440736;29903247
1521391138193;2175;2257;69;353837056;21442447;29905174
1521391138293;2185;2267;69;353837056;21444160;29907103
1521391138393;2195;2278;69;353837056;21445872;29909031
1521391138493;2205;2288;69;353837056;21447582;29910957
1521391138593;2215;2298;69;353837056;21449293;29912884
1521391138693;2225;2307;69;353837056;21451004;29914811
1521391138793;2235;2316;70;353837056;21452717;29916740
1521391138893;2245;2326;71;353837056;21454427;29918666
1521391138993;2255;2334;73;353837056;21456136;29920591
1521391139093;2265;2345;73;353837056;21457848;29922519
1521391139193;2275;2356;73;353837056;21459560;29924447
1521391139293;2285;2365;73;353837056;21461270;29926373
1521391139393;2295;2375;73;353837056;21462976;29928295
1521391139493;2305;2384;74;353837056;21464686;29930221
1521391139593;2315;2392;75;353837056;21466393;29932144
1521391139693;2325;2401;75;353837056;21468105;29934072
