currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521303768910;1;0;0;27488256;8193761;2073059
1521303769010;11;8;2;67821568;8193761;2073059
1521303769110;21;18;2;71151616;8193761;2073059
1521303769210;31;28;2;71159808;8193761;2073059
1521303769310;41;38;2;72871936;8193761;2073059
1521303769410;51;47;3;73920512;8193761;2073059
1521303769510;61;57;3;74969088;8193761;2073059
1521303769611;71;66;4;75403264;8193761;2073059
1521303769712;81;75;5;78422016;8193761;2073059
1521303769812;91;85;5;77877248;8193761;2073059
1521303769912;101;95;5;80920576;8193761;2073059
1521303770012;111;105;7;80863232;8193761;2073059
1521303770112;121;115;7;80998400;8193761;2073059
1521303770212;131;124;8;81113088;8193761;2073059
1521303770312;141;133;10;81784832;8193761;2073059
1521303770412;151;143;10;81784832;8193761;2073059
1521303770512;161;153;10;82833408;8193761;2073059
1521303770612;171;162;11;82833408;8193761;2073059
1521303770712;181;172;11;83193856;8193761;2073059
1521303770812;191;182;11;117927936;8194021;2073323
1521303770912;201;192;11;117927936;8195133;2073740
1521303771012;211;202;11;122646528;8195133;2073740
1521303771112;221;212;11;122781696;8195133;2073740
1521303771212;231;222;11;122781696;8195387;2073886
1521303771312;241;232;11;122781696;8195539;2074223
1521303771412;251;242;11;122781696;8195539;2074223
1521303771512;261;253;11;122781696;8195691;2074562
1521303771612;271;266;11;122933248;8195691;2074562
1521303771712;281;276;11;123068416;8195843;2074902
1521303771812;291;291;12;123068416;8195843;2074902
1521303771912;301;309;12;124116992;8196041;2075289
1521303772012;311;322;12;124116992;8196193;2075622
1521303772112;321;333;12;124116992;8196345;2075955
1521303772212;331;343;12;124116992;8196497;2076287
1521303772312;341;352;13;124116992;8196649;2076620
1521303772413;351;363;13;124116992;8196801;2076954
1521303772514;361;373;14;124116992;8196953;2077288
1521303772615;371;383;14;124116992;8197105;2077621
1521303772716;381;393;14;124116992;8197257;2077956
1521303772817;391;403;14;124116992;8197409;2078290
1521303772917;401;413;14;124116992;8197607;2078675
1521303773017;411;423;14;124116992;8197809;2079008
1521303773117;421;433;14;124116992;8197961;2079342
1521303773217;431;446;14;123019264;8198011;2079342
1521303773317;441;457;14;123019264;8198209;2079675
1521303773417;451;467;14;123019264;8198361;2080008
1521303773517;461;477;14;123019264;8198513;2080338
1521303773617;471;487;14;123019264;8198665;2080671
1521303773717;481;497;14;123019264;8198817;2081004
1521303773817;491;506;15;123019264;8198969;2081337
1521303773917;501;517;15;123019264;8199173;2081950
1521303774017;511;527;15;123019264;8199857;2082388
1521303774117;521;537;15;123019264;8200009;2082722
1521303774217;531;547;15;123019264;8200161;2083057
1521303774317;541;557;15;123019264;8200313;2083391
1521303774417;551;567;15;123183104;8200465;2083723
1521303774517;561;579;15;123183104;8200617;2084057
1521303774617;571;589;15;123183104;8200769;2084389
1521303774717;581;599;15;123183104;8200921;2084722
1521303774817;591;608;16;123379712;8201073;2085056
1521303774917;601;619;16;123379712;8201225;2085389
1521303775017;611;629;16;123379712;8201423;2085774
1521303775117;621;638;17;123514880;8201575;2086107
1521303775217;631;648;17;123514880;8201727;2086441
1521303775317;641;658;17;123514880;8201879;2086775
1521303775417;651;668;17;123514880;8202031;2087108
1521303775517;661;678;17;123514880;8202183;2087441
1521303775617;671;688;17;123711488;8202335;2087775
1521303775717;681;697;18;123711488;8202487;2088108
1521303775817;691;707;19;123711488;8202639;2088440
1521303775917;701;717;19;123711488;8202943;2089108
1521303776017;711;727;19;123908096;8203095;2089439
