currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521305115797;0;0;0;25624576;9878908;5505959
1521305115897;10;6;3;67821568;9878908;5505959
1521305115997;20;16;3;71151616;9878908;5505959
1521305116097;30;26;3;71159808;9878908;5505959
1521305116197;40;35;4;72871936;9878908;5505959
1521305116297;50;45;4;74444800;9878908;5505959
1521305116397;60;54;5;74969088;9878908;5505959
1521305116497;70;63;6;75403264;9878908;5505959
1521305116597;80;73;7;77529088;9878908;5505959
1521305116697;90;84;7;77529088;9878908;5505959
1521305116797;100;94;7;78053376;9878908;5505959
1521305116897;110;104;7;78053376;9878908;5505959
1521305116997;120;114;7;112787456;9878908;5505959
1521305117097;130;126;7;113115136;9878908;5505959
1521305117197;140;137;8;115212288;9878908;5505959
1521305117297;150;149;8;119930880;9878908;5505959
1521305117397;160;158;9;120786944;9878908;5505959
1521305117497;170;168;9;120786944;9879132;5506204
1521305117597;180;180;10;122105856;9879132;5506204
1521305117697;190;190;10;122105856;9879132;5506204
1521305117797;200;200;10;122105856;9879132;5506204
1521305117897;210;210;10;122105856;9879184;5506424
1521305117997;220;222;11;132591616;9879184;5506424
1521305118097;230;232;11;132591616;9879236;5506646
1521305118197;240;245;11;132767744;9879236;5506646
1521305118297;250;260;11;132747264;9879288;5506869
1521305118397;260;272;11;132747264;9879288;5506869
1521305118497;270;290;11;132747264;9879340;5507087
1521305118597;280;299;12;132747264;9879392;5507303
1521305118697;290;310;12;132747264;9879444;5507519
1521305118797;300;320;12;132943872;9879496;5507734
1521305118897;310;333;12;132943872;9879548;5507950
1521305118997;320;344;12;132943872;9879600;5508167
1521305119097;330;353;13;132943872;9879652;5508384
1521305119197;340;362;15;132943872;9879704;5508600
1521305119297;350;371;16;132943872;9879756;5508818
1521305119397;360;380;17;132943872;9879808;5509035
1521305119497;370;390;17;132943872;9879860;5509251
1521305119597;380;400;17;132943872;9879912;5509467
1521305119697;390;411;17;133111808;9879964;5509684
1521305119797;400;421;17;133111808;9880068;5510116
1521305119897;410;432;17;133111808;9880120;5510329
1521305119997;420;442;17;133111808;9880172;5510545
1521305120097;430;452;17;133111808;9880224;5510761
1521305120197;440;463;17;133111808;9880276;5510977
1521305120297;450;472;18;133111808;9880328;5511192
1521305120397;460;481;19;133283840;9880380;5511408
1521305120497;470;491;19;133283840;9880432;5511625
1521305120597;480;499;21;134078464;9880484;5511842
1521305120697;490;510;21;134078464;9880484;5511842
1521305120797;500;523;21;134078464;9880536;5512060
1521305120897;510;534;21;134078464;9880588;5512277
1521305120997;520;543;22;134078464;9880640;5512492
1521305121097;530;553;22;134078464;9880692;5512709
1521305121197;540;563;22;134078464;9880744;5512924
1521305121297;550;573;22;134078464;9880796;5513140
1521305121397;560;586;22;134078464;9880848;5513357
1521305121497;570;596;22;134078464;9880900;5513573
1521305121597;580;606;22;134078464;9881004;5514005
1521305121697;590;616;22;134078464;9881056;5514222
1521305121797;600;626;22;134078464;9881108;5514439
1521305121897;610;636;23;134078464;9881160;5514655
1521305121997;620;646;23;134078464;9881212;5514871
1521305122097;630;656;23;134078464;9881264;5515088
1521305122197;640;666;23;134078464;9881316;5515304
1521305122297;650;677;23;134078464;9881368;5515519
1521305122397;660;686;24;134078464;9881420;5515736
1521305122497;670;696;24;134078464;9881472;5516167
1521305122597;680;706;24;134078464;9881576;5516383
1521305122697;690;719;24;134078464;9881628;5516598
1521305122797;700;729;24;134078464;9881680;5516815
1521305122897;710;738;25;134234112;9881732;5517031
1521305122997;720;752;25;134234112;9881834;5517247
1521305123097;730;761;26;134234112;9881886;5517463
1521305123197;740;769;28;134234112;9881984;5517679
1521305123297;750;779;28;134234112;9882036;5517896
1521305123397;760;788;29;134234112;9882088;5518113
1521305123497;770;798;29;134234112;9882238;5518546
1521305123597;780;808;29;134234112;9882290;5518763
1521305123697;790;818;29;134234112;9882342;5518981
1521305123797;800;828;29;134234112;9882394;5519198
1521305123897;810;838;29;134234112;9882446;5519413
1521305123997;820;848;30;134234112;9882498;5519629
1521305124097;830;857;31;134234112;9882550;5519846
1521305124197;840;868;31;134512640;9882602;5520063
1521305124297;850;882;31;134807552;9882654;5520280
1521305124397;860;892;31;134807552;9882706;5520497
1521305124497;870;902;31;134807552;9882758;5520713
1521305124597;880;913;31;134807552;9882810;5520929
1521305124697;890;922;32;134807552;9882862;5521146
1521305124797;900;932;32;134807552;9882966;5521578
1521305124897;910;942;32;134807552;9883018;5521795
1521305124997;920;952;33;134807552;9883070;5522012
1521305125097;930;961;34;134807552;9883122;5522229
1521305125197;940;971;34;134807552;9883174;5522445
1521305125297;950;981;34;134807552;9883226;5522660
1521305125397;960;991;34;134987776;9883278;5522878
1521305125497;970;1001;34;134987776;9883330;5523093
1521305125597;980;1010;35;134987776;9883434;5523528
1521305125697;990;1020;35;134987776;9883872;5523746
1521305125797;1000;1030;35;135184384;9883924;5523963
1521305125897;1010;1041;35;135184384;9883976;5524180
1521305125997;1020;1051;35;135184384;9884028;5524397
1521305126097;1030;1061;35;135184384;9884080;5524614
1521305126197;1040;1071;35;135380992;9884132;5524830
1521305126297;1050;1081;35;135380992;9884236;5525263
1521305126397;1060;1090;36;135380992;9884288;5525481
1521305126497;1070;1100;37;135380992;9884340;5525696
1521305126597;1080;1109;37;135577600;9884392;5525913
1521305126697;1090;1119;37;135577600;9884444;5526130
1521305126797;1100;1129;37;135577600;9884496;5526347
1521305126897;1110;1140;37;135577600;9884548;5526563
1521305126997;1120;1150;37;135577600;9884652;5526996
1521305127097;1130;1160;37;135774208;9884704;5527211
1521305127197;1140;1170;37;135774208;9884756;5527428
1521305127297;1150;1179;38;135774208;9884808;5527646
1521305127397;1160;1188;39;135774208;9884860;5527863
1521305127497;1170;1198;39;135970816;9884912;5528081
1521305127597;1180;1208;39;135970816;9884964;5528298
1521305127697;1190;1217;40;135970816;9885068;5528732
1521305127797;1200;1226;41;135970816;9885120;5528950
1521305127897;1210;1236;42;136257536;9885172;5529167
1521305127997;1220;1246;42;136257536;9885224;5529383
1521305128097;1230;1256;42;136257536;9885276;5529599
1521305128197;1240;1267;42;136257536;9885328;5529816
1521305128297;1250;1276;43;136257536;9885380;5530032
1521305128397;1260;1286;43;136257536;9885432;5530247
1521305128497;1270;1296;43;136429568;9885484;5530464
1521305128597;1280;1305;44;136429568;9885588;5530898
1521305128697;1290;1315;44;136429568;9885640;5531115
1521305128797;1300;1325;44;136429568;9885692;5531332
1521305128897;1310;1335;44;136626176;9885744;5531549
1521305128997;1320;1345;44;136626176;9885796;5531766
1521305129097;1330;1355;44;136626176;9885848;5531983
1521305129197;1340;1366;44;136626176;9885900;5532200
1521305129297;1350;1375;45;136822784;9885952;5532635
1521305129397;1360;1385;45;136822784;9886056;5532851
1521305129497;1370;1395;45;136822784;9886108;5533069
1521305129597;1380;1406;45;137125888;9886160;5533285
1521305129697;1390;1416;46;137125888;9886212;5533502
1521305129797;1400;1427;46;137125888;9886264;5533720
1521305129897;1410;1437;46;137125888;9886316;5533937
1521305129997;1420;1447;46;137125888;9886368;5534154
1521305130097;1430;1456;47;137125888;9886748;5534371
1521305130197;1440;1466;47;137125888;9886852;5534802
1521305130297;1450;1475;48;137281536;9886904;5535019
1521305130397;1460;1485;48;137281536;9886956;5535235
1521305130497;1470;1495;48;137281536;9887008;5535451
1521305130597;1480;1506;48;137281536;9887060;5535667
1521305130697;1490;1515;48;137478144;9887112;5535884
1521305130797;1500;1525;48;137478144;9887164;5536100
1521305130897;1510;1534;49;137478144;9887216;5536317
1521305130997;1520;1545;49;137478144;9887320;5536748
1521305131097;1530;1553;50;137478144;9887372;5536966
1521305131197;1540;1564;50;137674752;9887424;5537185
1521305131297;1550;1573;50;137674752;9887476;5537403
1521305131397;1560;1583;50;137674752;9887528;5537621
1521305131497;1570;1593;50;137674752;9887580;5537837
1521305131597;1580;1601;52;137871360;9887632;5538053
1521305131697;1590;1611;52;137871360;9887684;5538270
1521305131797;1600;1620;53;137871360;9887788;5538703
1521305131897;1610;1630;53;137871360;9887840;5538920
1521305131997;1620;1640;53;138067968;9887892;5539137
1521305132097;1630;1651;53;138067968;9887944;5539354
1521305132197;1640;1660;53;138067968;9887996;5539572
1521305132297;1650;1670;54;138067968;9888048;5539789
1521305132397;1660;1679;54;138067968;9888100;5540006
1521305132497;1670;1689;54;138264576;9888152;5540223
1521305132597;1680;1699;54;138264576;9888204;5540440
1521305132697;1690;1709;54;138264576;9888308;5540873
1521305132797;1700;1722;54;138563584;9888360;5541088
1521305132897;1710;1732;54;138563584;9888412;5541303
1521305132997;1720;1742;54;138563584;9888464;5541517
1521305133097;1730;1752;54;138563584;9888516;5541733
1521305133197;1740;1761;55;138563584;9888568;5541949
1521305133297;1750;1770;56;138563584;9888620;5542165
1521305133397;1760;1780;56;138563584;9888672;5542379
1521305133497;1770;1790;56;138723328;9888724;5542596
1521305133597;1780;1800;56;138723328;9888828;5543030
1521305133697;1790;1809;57;138723328;9888828;5543030
1521305133797;1800;1819;57;138723328;9888880;5543246
1521305133897;1810;1830;57;138874880;9888932;5543463
1521305133997;1820;1844;58;139173888;9888984;5543681
1521305134097;1830;1855;59;139173888;9889036;5543898
1521305134197;1840;1865;59;139173888;9889088;5544114
1521305134297;1850;1875;59;139440128;9889140;5544331
1521305134397;1860;1888;60;139440128;9889192;5544548
1521305134497;1870;1898;60;139440128;9889244;5544763
1521305134597;1880;1908;60;139440128;9889296;5544981
1521305134697;1890;1918;60;139440128;9889348;5545199
1521305134797;1900;1928;60;139440128;9889452;5545633
1521305134897;1910;1937;61;139440128;9889504;5545850
1521305134997;1920;1947;61;139440128;9889556;5546066
1521305135097;1930;1957;61;139440128;9889608;5546283
1521305135197;1940;1967;61;139440128;9889660;5546500
1521305135297;1950;1977;61;139440128;9889712;5546715
1521305135397;1960;1987;61;139440128;9889764;5546932
1521305135497;1970;1997;61;139632640;9889816;5547149
1521305135597;1980;2007;61;139632640;9889920;5547583
1521305135697;1990;2017;61;139632640;9889972;5547800
1521305135797;2000;2027;61;139632640;9890024;5548017
1521305135897;2010;2036;62;139829248;9890076;5548234
1521305135997;2020;2046;62;139829248;9890128;5548450
1521305136097;2030;2056;62;139829248;9890180;5548667
1521305136197;2040;2066;62;139829248;9890232;5548884
1521305136297;2050;2076;62;140025856;9890284;5549100
1521305136397;2060;2086;62;140025856;9890388;5549535
1521305136497;2070;2095;63;140025856;9890440;5549751
1521305136597;2080;2105;63;140025856;9890492;5549968
1521305136697;2090;2114;64;140222464;9890544;5550185
1521305136797;2100;2124;64;140222464;9890596;5550402
1521305136897;2110;2134;64;140222464;9890648;5550619
1521305136997;2120;2144;64;140222464;9890700;5550837
1521305137097;2130;2154;64;140222464;9890752;5551054
1521305137197;2140;2164;64;140419072;9890804;5551270
1521305137297;2150;2174;64;140419072;9890908;5551703
1521305137397;2160;2183;65;140419072;9890960;5551920
1521305137497;2170;2192;66;140419072;9891012;5552137
1521305137597;2180;2202;66;140615680;9891064;5552354
1521305137697;2190;2212;66;140615680;9891116;5552569
1521305137797;2200;2221;67;140615680;9891168;5552789
1521305137897;2210;2230;67;140615680;9891220;5553006
1521305137997;2220;2240;67;140812288;9891322;5553222
1521305138097;2230;2251;67;140812288;9891472;5553654
