currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521386205680;0;0;0;1871872;19290;2050
1521386205780;10;1;0;29163520;19290;2050
1521386205880;20;1;0;29224960;19290;2050
1521386205980;30;2;0;29224960;19290;2050
1521386206080;40;2;0;62779392;19290;2050
1521386206180;50;2;1;64020480;19290;2050
1521386206280;60;4;1;66048000;19290;2050
1521386206380;70;4;2;67805184;19290;2050
1521386206481;80;5;3;67805184;19290;2050
1521386206582;90;8;3;67821568;19290;2050
1521386206682;101;14;4;70103040;19290;2050
1521386206783;111;16;5;71151616;19290;2050
1521386206884;121;26;5;71159808;19290;2050
1521386206984;131;36;5;72871936;19290;2050
1521386207084;141;44;5;73920512;19290;2050
1521386207184;151;52;5;74969088;19290;2050
1521386207284;161;57;5;74969088;19290;2050
1521386207384;171;61;5;74969088;19290;2050
1521386207484;181;64;6;75403264;19290;2050
1521386207584;191;69;6;75403264;19290;2050
1521386207684;201;77;6;75403264;19290;2050
1521386207784;211;86;6;78024704;19290;2050
1521386207884;221;92;7;78024704;19290;2050
1521386207984;231;101;7;78127104;19290;2050
1521386208084;241;106;10;78127104;19290;2050
1521386208184;251;112;11;78127104;19290;2050
1521386208284;261;121;11;78848000;19290;2050
1521386208384;271;128;12;113451008;19290;2050
1521386208485;281;138;12;113451008;19422;2050
1521386208586;291;148;12;113451008;19422;2050
1521386208687;301;156;12;113618944;19422;2050
1521386208788;311;166;12;115322880;19590;2518
1521386208889;321;177;12;115322880;19590;2518
1521386208990;331;187;12;116371456;20254;3196
1521386209091;341;198;12;116371456;20254;3196
1521386209192;351;212;12;117555200;20670;3771
1521386209293;362;224;13;122273792;20670;3771
1521386209393;372;244;13;122273792;21086;4341
1521386209493;382;259;13;122437632;21502;4909
1521386209593;392;269;13;122437632;21918;5477
1521386209693;402;279;13;122437632;22334;6044
1521386209793;412;289;14;122437632;22750;6612
1521386209893;422;300;14;122437632;23166;7181
1521386209993;432;310;14;122437632;23582;7750
1521386210093;442;320;14;122437632;23998;8318
1521386210193;452;330;15;122437632;24414;8888
1521386210293;462;337;18;122437632;24830;9457
