currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521387767796;0;0;0;25272320;8474384;10253598
1521387767896;10;7;2;67821568;8474384;10253598
1521387767996;20;17;2;71151616;8474384;10253598
1521387768096;30;27;2;71159808;8474384;10253598
1521387768196;40;37;2;72871936;8474384;10253598
1521387768296;50;47;2;74969088;8474384;10253598
1521387768396;60;57;2;74969088;8474384;10253598
1521387768496;70;67;2;75403264;8474384;10253598
1521387768596;80;77;3;78774272;8474384;10253598
1521387768696;90;87;3;78266368;8474384;10253598
1521387768796;100;98;3;78053376;8474384;10253598
1521387768896;110;108;3;78790656;8474384;10253598
1521387769001;120;119;4;79839232;8474384;10253598
1521387769101;130;128;4;79839232;8474384;10253598
1521387769203;141;139;4;80887808;8474384;10253598
1521387769303;151;150;4;80887808;8474384;10253598
1521387769403;161;160;4;80887808;8474384;10253598
1521387769503;171;170;4;81031168;8474384;10253598
1521387769606;181;179;6;86274048;8474384;10253598
1521387769706;191;191;7;86274048;8474384;10253598
1521387769806;201;200;8;89100288;8474384;10253598
1521387769906;211;210;8;88571904;8474384;10253598
1521387770006;221;220;8;88571904;8474384;10253598
1521387770106;231;229;9;88571904;8474384;10253598
1521387770206;241;239;9;88571904;8474384;10253598
1521387770306;251;249;9;88571904;8474384;10253598
1521387770406;261;260;9;90230784;8474384;10253598
1521387770506;271;270;9;89202688;8474384;10253598
1521387770606;281;280;9;89202688;8474384;10253598
1521387770706;291;290;9;89522176;8474384;10253598
1521387770806;301;300;9;124256256;8474552;10254000
1521387770907;311;310;10;124395520;8480426;10254260
1521387771008;321;320;10;124395520;8480426;10254260
1521387771109;331;334;10;125177856;8480426;10254260
1521387771210;341;353;11;127614976;8480426;10254260
1521387771311;351;365;11;126566400;8480426;10254260
1521387771412;361;375;11;126566400;8480426;10254260
1521387771513;372;385;12;127614976;8481466;10255439
1521387771613;382;395;12;127614976;8481466;10255439
1521387771713;392;405;12;127614976;8481466;10255439
1521387771813;402;416;12;127614976;8482508;10256620
1521387771913;412;430;12;127614976;8482508;10256620
1521387772013;422;443;13;137052160;8482624;10256732
1521387772113;432;456;13;137052160;8483549;10257802
1521387772213;442;466;13;136212480;8483549;10257802
1521387772313;452;479;13;136212480;8484588;10258979
1521387772413;462;495;14;136212480;8484588;10258979
1521387772513;472;505;14;136212480;8485717;10260154
1521387772613;482;515;14;136212480;8486755;10261329
1521387772713;492;525;14;136212480;8487790;10262503
1521387772813;502;539;14;136404992;8488828;10263678
1521387772913;512;549;14;136404992;8488996;10264750
1521387773013;522;559;14;136404992;8489866;10264854
1521387773113;532;567;16;136404992;8490903;10266030
1521387773213;542;575;18;136404992;8491984;10267205
1521387773313;552;586;19;137109504;8493022;10268382
1521387773413;562;606;20;137388032;8494061;10269558
1521387773513;572;621;20;136474624;8494061;10269558
1521387773613;582;632;20;136474624;8495098;10270733
1521387773713;592;642;20;136474624;8496135;10271908
1521387773813;602;651;21;136474624;8497174;10273084
1521387773913;612;661;21;136474624;8498210;10274259
1521387774013;622;672;21;136667136;8499245;10275434
1521387774113;632;683;21;136667136;8500279;10276606
1521387774213;642;693;21;136667136;8501316;10277781
1521387774313;652;702;22;136667136;8502353;10278956
1521387774413;662;711;23;136802304;8503389;10280131
1521387774513;672;721;23;136802304;8504426;10281305
1521387774613;682;730;24;136802304;8505462;10282480
1521387774713;692;740;24;136937472;8506500;10283656
1521387774813;702;751;24;136937472;8507537;10284832
1521387774913;712;761;24;136937472;8508576;10286009
1521387775013;722;771;24;136937472;8509615;10287185
1521387775113;732;781;24;136937472;8510650;10288359
1521387775213;742;792;24;137134080;8511688;10289535
1521387775313;752;802;24;137134080;8512726;10290709
1521387775413;762;812;24;137134080;8513763;10291884
1521387775513;772;822;24;137269248;8514798;10293060
1521387775613;782;832;24;137269248;8515834;10294235
1521387775713;792;842;24;137269248;8516869;10295410
1521387775813;802;851;25;137269248;8517905;10296585
1521387775913;812;862;25;137404416;8518942;10297761
1521387776013;822;872;25;137404416;8519978;10298937
1521387776113;832;882;25;137404416;8521014;10300112
1521387776213;842;897;25;137740288;8522052;10301287
1521387776313;852;907;25;137740288;8523089;10302463
1521387776413;862;917;25;137740288;8524125;10303638
1521387776513;872;927;25;137740288;8525162;10304812
1521387776613;882;937;25;137740288;8526199;10305988
1521387776713;892;946;26;137740288;8527237;10307164
1521387776813;902;956;26;137740288;8528272;10308337
1521387776913;912;969;26;137932800;8529310;10309512
1521387777013;922;979;26;137932800;8530347;10310686
1521387777113;932;989;26;137932800;8531381;10311862
1521387777213;942;1000;27;137932800;8532419;10313037
1521387777313;952;1010;27;137932800;8533783;10314212
1521387777413;962;1019;28;138067968;8534820;10315387
1521387777513;972;1029;28;138067968;8535857;10316562
1521387777613;982;1040;28;138067968;8536894;10317738
1521387777713;992;1050;28;138203136;8537931;10318914
1521387777813;1002;1059;29;138203136;8538968;10320090
1521387777913;1012;1070;29;138203136;8540005;10321265
1521387778013;1022;1079;30;138203136;8541043;10322441
1521387778113;1032;1087;32;138203136;8542079;10323618
1521387778213;1042;1097;32;138399744;8543116;10324794
1521387778313;1052;1108;32;138399744;8544151;10325968
1521387778413;1062;1118;32;138399744;8545187;10327143
1521387778513;1072;1130;32;138534912;8546226;10328319
1521387778613;1082;1140;32;138821632;8547263;10329495
1521387778713;1092;1151;34;138821632;8548301;10330671
1521387778813;1102;1165;34;138821632;8549338;10331847
1521387778913;1112;1175;34;138821632;8550376;10333022
1521387779013;1122;1186;34;138821632;8551410;10334197
1521387779113;1132;1198;34;138821632;8552446;10335373
1521387779213;1142;1207;35;138821632;8553485;10336549
