currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1520181682443;0;0;0;2850816;2025761;5530443
1520181682544;10;9;0;8126464;2025761;5530443
1520181682644;20;19;0;8982528;2025807;5530443
1520181682744;30;29;0;9547776;2025807;5530443
1520181682844;40;38;1;10436608;2025807;5530443
1520181682944;50;48;1;10436608;2025853;5530443
1520181683044;60;56;3;13701120;2025853;5530443
1520181683144;70;65;4;15093760;2025853;5530443
1520181683244;80;75;4;15532032;2025853;5530443
1520181683344;90;85;4;16244736;2025853;5530443
1520181683444;100;95;4;20258816;2025853;5530443
1520181683544;110;103;6;25751552;2025853;5530443
1520181683644;120;113;6;27066368;2025853;5530443
1520181683744;130;122;7;30822400;2025853;5530443
1520181683844;140;131;8;31580160;2025853;5530443
1520181683944;150;141;8;32296960;2025853;5530443
1520181684044;160;149;8;32727040;2025853;5530443
1520181684144;170;159;8;33198080;2025853;5530443
1520181684244;180;169;8;33542144;2025853;5530443
1520181684344;190;179;8;33648640;2025853;5530443
1520181684444;200;189;8;34172928;2025853;5530443
1520181684544;210;199;8;34172928;2025853;5530443
1520181684645;220;209;8;34942976;2025853;5530443
1520181684746;230;218;9;35340288;2025853;5530443
1520181684846;240;227;10;35753984;2025853;5530443
1520181684946;250;236;11;36278272;2025853;5530443
1520181685046;260;246;11;36540416;2025853;5530443
1520181685146;270;255;12;37339136;2025853;5530443
1520181685246;280;264;13;37748736;2025853;5530443
1520181685346;290;274;13;38199296;2025853;5530443
1520181685446;300;283;14;39415808;2025853;5530443
1520181685546;310;292;15;68120576;2027270;5531077
1520181685646;320;296;15;68120576;2029465;5531691
1520181685746;330;301;15;68382720;2031566;5531888
1520181685846;340;311;15;68644864;2031566;5531888
1520181685946;350;322;15;68644864;2032109;5532486
1520181686046;360;330;17;68907008;2032273;5532915
1520181686146;370;340;17;68907008;2032273;5532915
1520181686246;380;350;17;68907008;2032437;5533291
1520181686346;390;360;17;68907008;2032601;5533667
1520181686447;400;370;17;68907008;2032601;5533667
1520181686548;410;380;17;68907008;2032765;5534040
1520181686648;420;390;17;68907008;2032929;5534411
1520181686748;430;400;17;68907008;2033093;5534784
1520181686848;440;410;17;68907008;2033093;5534784
1520181686948;450;420;17;68907008;2033257;5535160
1520181687048;460;430;17;68907008;2033421;5535532
1520181687148;470;440;17;68907008;2033421;5535532
1520181687248;480;451;17;68907008;2033585;5535903
1520181687348;490;460;17;68907008;2033585;5535903
1520181687448;500;470;17;68907008;2033749;5536272
1520181687548;510;480;17;68907008;2033913;5536645
1520181687648;520;490;17;68907008;2033913;5536645
1520181687748;530;500;17;68907008;2034077;5537018
1520181687848;540;510;17;68907008;2034241;5537391
1520181687948;550;520;18;68907008;2034241;5537391
1520181688048;560;529;18;68907008;2034405;5537763
1520181688149;570;538;19;68907008;2034569;5538135
1520181688249;580;549;19;68907008;2034733;5538503
1520181688349;590;558;19;68907008;2034733;5538503
1520181688449;600;568;19;68907008;2034897;5538875
1520181688549;610;578;19;68907008;2035061;5539247
1520181688649;620;588;19;68907008;2035061;5539247
1520181688749;630;599;19;68907008;2035225;5539616
1520181688849;640;608;20;68907008;2035389;5539987
1520181688949;650;618;20;68907008;2035389;5539987
1520181689049;660;628;20;68907008;2035553;5540357
1520181689149;670;638;20;68907008;2035717;5540729
1520181689249;680;648;20;68907008;2035769;5541049
1520181689349;690;658;20;68907008;2035881;5541101
1520181689449;700;668;20;68907008;2036045;5541472
1520181689549;710;678;20;68907008;2036209;5541844
1520181689650;720;688;20;68907008;2036209;5541844
1520181689750;730;698;20;68907008;2036373;5542217
1520181689850;740;708;20;68907008;2036537;5542589
1520181689950;750;718;20;68907008;2036537;5542589
1520181690050;760;728;20;68907008;2036701;5542961
1520181690150;770;738;20;68907008;2036865;5543335
1520181690250;780;749;20;68907008;2037029;5543708
1520181690350;790;758;20;68907008;2037029;5543708
1520181690450;800;768;20;68907008;2037193;5544081
1520181690550;810;778;20;68907008;2037357;5544453
1520181690650;820;788;20;68907008;2037357;5544453
