currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521393579489;1;0;0;1871872;32147735;41802529
1521393579589;11;0;0;7208960;32147735;41802529
1521393579689;21;5;0;7864320;32147735;41802529
1521393579789;31;10;0;8126464;32147735;41802529
1521393579889;41;17;0;8638464;32147735;41802529
1521393579989;51;23;0;8982528;32147735;41802529
1521393580089;61;31;0;9244672;32147735;41802529
1521393580189;71;37;0;10174464;32147735;41802529
1521393580289;81;46;0;10436608;32147735;41802529
1521393580389;91;53;0;10436608;32147735;41802529
1521393580489;101;56;1;12484608;32147735;41802529
1521393580590;111;56;2;13271040;32147735;41802529
1521393580691;121;63;2;13893632;32147735;41802529
1521393580791;131;67;3;14344192;32147735;41802529
1521393580892;141;71;5;15093760;32147735;41802529
1521393580992;152;74;6;15355904;32147735;41802529
1521393581093;162;82;6;15794176;32147735;41802529
1521393581193;172;88;7;16244736;32147735;41802529
1521393581294;182;93;8;19828736;32147735;41802529
1521393581395;192;99;8;20258816;32147735;41802529
1521393581495;202;105;8;20877312;32147735;41802529
1521393581595;212;109;8;25751552;32147735;41802529
1521393581695;222;114;8;26505216;32147735;41802529
1521393581795;232;120;8;26882048;32147735;41802529
1521393581895;242;123;8;28319744;32147735;41802529
1521393581995;252;130;8;29007872;32147735;41802529
1521393582095;262;133;11;31145984;32147735;41802529
1521393582195;272;140;12;31580160;32147735;41802529
1521393582295;282;147;12;32296960;32147735;41802529
1521393582395;292;153;13;32464896;32147735;41802529
1521393582495;302;160;13;32935936;32147735;41802529
1521393582595;312;167;13;33198080;32147735;41802529
1521393582695;322;176;13;33542144;32147735;41802529
1521393582795;332;184;14;33542144;32147735;41802529
1521393582895;342;190;14;33910784;32147735;41802529
1521393582995;352;197;15;34172928;32147735;41802529
1521393583095;362;205;16;34172928;32147735;41802529
1521393583195;372;213;16;34570240;32147735;41802529
1521393583295;382;219;16;35078144;32147735;41802529
1521393583395;392;226;17;35340288;32147735;41802529
1521393583495;402;232;18;35602432;32147735;41802529
1521393583595;412;238;19;35753984;32147735;41802529
1521393583695;422;245;19;36016128;32147735;41802529
1521393583795;432;252;20;36278272;32147735;41802529
1521393583895;442;258;21;36540416;32147735;41802529
1521393583995;452;265;21;37076992;32147735;41802529
1521393584095;462;270;22;37339136;32147735;41802529
1521393584195;472;276;23;37748736;32147735;41802529
1521393584295;482;284;23;38199296;32147735;41802529
1521393584395;492;293;23;38199296;32147735;41802529
1521393584495;502;297;24;39415808;32147735;41802529
1521393584595;512;302;26;39809024;32148236;41803049
1521393584695;522;312;26;39809024;32148236;41803049
1521393584795;532;321;27;40071168;32148393;41803387
1521393584896;542;331;27;40071168;32148550;41803727
1521393584997;552;341;27;40071168;32148550;41803727
1521393585098;562;350;28;40071168;32148707;41804066
1521393585199;572;360;28;40071168;32148864;41804405
1521393585299;582;370;28;40071168;32149021;41804741
1521393585399;592;380;28;40071168;32149021;41804741
1521393585499;602;390;28;40071168;32149178;41805075
1521393585599;612;399;28;40071168;32149467;41805411
1521393585699;622;409;28;40071168;32149624;41805750
1521393585799;632;419;28;40071168;32149624;41805750
1521393585899;642;429;28;40071168;32149781;41806085
1521393585999;652;439;28;40071168;32149938;41806419
1521393586099;662;449;28;40071168;32150095;41806751
1521393586199;672;459;28;40071168;32150095;41806751
1521393586299;682;469;28;40071168;32150252;41807087
1521393586399;692;479;28;40071168;32150252;41807087
1521393586499;702;488;28;40071168;32150409;41807423
1521393586599;712;498;28;40071168;32150566;41807759
1521393586699;722;508;28;40071168;32150723;41808094
1521393586799;732;518;28;40071168;32150723;41808094
1521393586899;742;528;28;40071168;32150880;41808429
1521393586999;752;538;28;40071168;32151037;41808760
1521393587099;762;548;28;40071168;32151142;41809043
1521393587199;772;558;28;40071168;32151194;41809095
1521393587299;782;568;28;40071168;32151351;41809430
1521393587399;792;578;28;40071168;32151508;41809762
1521393587499;802;587;28;40071168;32151613;41810044
1521393587599;812;597;28;40071168;32151665;41810096
1521393587699;822;607;28;40071168;32151822;41810429
1521393587799;832;617;28;40071168;32151979;41810764
1521393587899;842;627;28;40071168;32152084;41811047
1521393587999;852;637;28;40071168;32152136;41811099
1521393588099;862;647;28;40071168;32152293;41811433
1521393588199;872;657;28;40071168;32152398;41811716
1521393588299;882;667;28;40071168;32152555;41812052
1521393588399;892;677;28;40071168;32152685;41812104
1521393588499;902;687;28;40071168;32152842;41812439
1521393588599;912;696;28;40071168;32152947;41812722
1521393588699;922;706;28;40071168;32153104;41813059
1521393588799;932;716;28;40071168;32153156;41813111
1521393588899;942;726;28;40071168;32153313;41813447
1521393588999;952;736;28;40071168;32153418;41813731
1521393589099;962;746;28;40071168;32153470;41813783
1521393589199;972;756;28;40071168;32153627;41814118
1521393589299;982;766;28;40071168;32153784;41814454
1521393589399;992;776;28;40071168;32153889;41814736
1521393589499;1002;786;28;40071168;32153941;41814788
1521393589599;1012;795;28;40071168;32154098;41815122
1521393589699;1022;805;28;40071168;32154255;41815458
1521393589799;1032;815;28;40071168;32154360;41815742
1521393589899;1042;824;29;40071168;32154614;41815794
1521393589999;1052;834;29;40071168;32154771;41816129
1521393590099;1062;844;29;40071168;32154928;41816464
1521393590199;1072;854;29;40071168;32155033;41816748
1521393590299;1082;864;29;40071168;32155085;41816800
1521393590399;1092;874;29;40071168;32155242;41817136
