currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521397033844;1;0;0;7208960;34295242;46048356
1521397033944;11;10;0;8241152;34295242;46048356
1521397034044;21;20;0;8982528;34295242;46048356
1521397034144;31;29;1;9547776;34295242;46048356
1521397034244;41;39;1;10436608;34295242;46048356
1521397034344;51;49;1;10436608;34295242;46048356
1521397034444;61;58;2;13701120;34295242;46048356
1521397034544;71;68;2;15093760;34295242;46048356
1521397034644;81;78;2;15532032;34295242;46048356
1521397034744;91;88;2;16244736;34295242;46048356
1521397034844;101;98;2;20258816;34295242;46048356
1521397034944;111;108;2;25751552;34295242;46048356
1521397035044;121;117;3;27066368;34295242;46048356
1521397035144;131;127;3;30822400;34295242;46048356
1521397035244;141;136;4;31580160;34295242;46048356
1521397035344;151;145;5;32296960;34295242;46048356
1521397035444;161;153;6;32464896;34295242;46048356
1521397035545;171;163;6;33198080;34295242;46048356
1521397035646;181;173;6;33542144;34295242;46048356
1521397035746;191;183;6;33648640;34295242;46048356
1521397035846;201;192;7;34172928;34295242;46048356
1521397035946;211;202;7;34172928;34295242;46048356
1521397036046;221;212;7;34680832;34295242;46048356
1521397036146;231;221;8;35340288;34295242;46048356
1521397036246;241;231;8;35602432;34295242;46048356
1521397036346;251;241;8;36278272;34295242;46048356
1521397036446;261;251;8;36540416;34295242;46048356
1521397036546;271;260;9;37076992;34295242;46048356
1521397036646;281;268;11;37748736;34295242;46048356
1521397036746;291;278;11;38199296;34295242;46048356
1521397036846;301;288;11;38461440;34295242;46048356
1521397036946;311;296;12;39677952;34295242;46048356
1521397037046;321;306;12;39677952;34295242;46048356
1521397037146;331;311;13;40071168;34295462;46048975
1521397037246;341;311;13;40071168;34295462;46048975
1521397037346;351;311;13;40071168;34295462;46048975
1521397037446;361;311;13;40071168;34295462;46048975
1521397037546;371;311;13;40071168;34295462;46048975
1521397037646;381;311;13;40071168;34295462;46048975
1521397037746;391;311;13;40071168;34295462;46048975
1521397037846;401;311;13;40071168;34295462;46048975
1521397037946;411;311;13;40071168;34295462;46048975
1521397038046;421;311;13;40071168;34295462;46048975
1521397038146;431;311;13;40071168;34295462;46048975
1521397038246;441;311;13;40071168;34295508;46049027
1521397038346;451;311;13;40071168;34295508;46049027
1521397038446;461;311;13;40071168;34295508;46049027
1521397038546;471;311;13;40071168;34295508;46049027
1521397038647;481;311;13;40071168;34295508;46049027
1521397038747;491;311;13;40071168;34295508;46049027
1521397038847;501;311;13;40071168;34295508;46049027
1521397038947;511;311;13;40071168;34295508;46049027
1521397039047;521;318;13;40071168;34295685;46049131
1521397039147;531;326;13;40333312;34295957;46049799
1521397039247;541;326;13;40333312;34295957;46049799
1521397039347;551;330;13;40333312;34296134;46049903
1521397039447;561;340;13;40333312;34296186;46049955
1521397039547;571;341;13;40333312;34296406;46050571
1521397039647;581;346;13;40333312;34296583;46050675
1521397039747;591;356;13;40333312;34296699;46050787
1521397039847;601;357;13;40333312;34297032;46051447
1521397039948;611;367;13;40333312;34297032;46051447
1521397040048;621;372;13;40333312;34297304;46052115
1521397040148;631;381;13;40333312;34297533;46052271
1521397040248;641;387;13;40333312;34297753;46052887
1521397040348;651;395;13;40333312;34297982;46053043
1521397040448;661;405;13;40333312;34298431;46053815
1521397040548;671;415;13;40333312;34298431;46053815
1521397040648;681;424;13;40333312;34298880;46054587
1521397040748;691;434;13;40333312;34298880;46054587
1521397040848;701;442;13;40333312;34299277;46055307
1521397040948;711;452;13;40333312;34299329;46055359
1521397041048;721;460;13;40333312;34299778;46056131
1521397041148;731;469;13;40333312;34299998;46056747
1521397041249;741;478;13;40333312;34300227;46056903
1521397041350;751;484;13;40333312;34300572;46057571
1521397041450;761;494;13;40333312;34300676;46057675
1521397041550;771;502;13;40333312;34301125;46058447
1521397041650;781;512;13;40333312;34301125;46058447
1521397041750;791;520;14;40333312;34301574;46059219
1521397041850;801;529;14;40333312;34301919;46059939
1521397041950;811;537;15;40333312;34302023;46059991
1521397042050;821;545;15;40333312;34302472;46060763
1521397042150;831;555;15;40333312;34302472;46060763
