currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1521915994651;0;0;0;3354624;27647279;39290446
1521915994751;10;7;2;8126464;27647279;39290446
1521915994851;20;16;3;8982528;27647279;39290446
1521915994951;30;26;3;9547776;27647279;39290446
1521915995051;40;35;4;10436608;27647279;39290446
1521915995151;50;45;4;10436608;27647279;39290446
1521915995252;60;53;6;13701120;27647279;39290446
1521915995353;70;63;6;15093760;27647279;39290446
1521915995453;80;73;6;15532032;27647279;39290446
1521915995554;90;81;8;16244736;27647279;39290446
1521915995654;100;91;8;20258816;27647279;39290446
1521915995754;110;101;8;25751552;27647279;39290446
1521915995854;121;110;9;27328512;27647279;39290446
1521915995954;131;120;9;30822400;27647279;39290446
1521915996054;141;130;9;31580160;27647279;39290446
1521915996154;151;140;9;32296960;27647279;39290446
1521915996254;161;148;11;32727040;27647279;39290446
1521915996354;171;158;11;33198080;27647279;39290446
1521915996454;181;168;11;33542144;27647279;39290446
1521915996554;191;177;12;33648640;27647279;39290446
1521915996654;201;186;13;34172928;27647279;39290446
1521915996754;211;196;13;34172928;27647279;39290446
1521915996854;221;205;14;34680832;27647279;39290446
1521915996954;231;214;14;35340288;27647279;39290446
1521915997054;241;224;14;35602432;27647279;39290446
1521915997154;251;234;14;36278272;27647279;39290446
1521915997254;261;244;14;36540416;27647279;39290446
1521915997354;271;254;14;37076992;27647279;39290446
1521915997454;281;264;14;37748736;27647279;39290446
1521915997554;291;273;15;38199296;27647279;39290446
1521915997654;301;283;15;38199296;27647279;39290446
1521915997754;311;293;15;39677952;27647279;39290446
1521915997854;321;303;15;39677952;27647279;39290446
1521915997954;331;312;16;40071168;27648357;39291793
1521915998054;341;322;16;40333312;27648781;39291793
1521915998154;351;331;16;40333312;27649860;39293142
1521915998254;361;340;17;40333312;27650934;39294490
1521915998354;371;350;17;40333312;27650934;39294490
1521915998454;381;359;17;40333312;27652009;39295838
1521915998554;391;369;17;40333312;27652979;39297079
1521915998654;401;379;17;40333312;27653083;39297183
1521915998754;411;389;17;40333312;27654156;39298527
1521915998854;421;399;17;40333312;27654341;39298527
1521915998954;431;408;17;40333312;27655413;39299872
1521915999054;441;418;17;40333312;27656487;39301220
1521915999154;451;428;17;40333312;27656487;39301220
1521915999254;461;437;17;40333312;27656796;39302408
1521915999354;471;447;17;40333312;27657648;39302564
1521915999454;481;456;17;40333312;27658721;39303907
1521915999554;491;466;17;40333312;27658721;39303907
1521915999654;501;476;17;40333312;27659793;39305248
1521915999754;511;486;17;40333312;27660866;39306593
1521915999854;521;496;17;40333312;27660971;39306593
1521915999954;531;505;17;40333312;27662045;39307938
1521916000054;541;515;17;40333312;27663016;39309179
1521916000154;551;525;17;40333312;27663120;39309283
1521916000254;561;534;17;40333312;27664194;39310627
1521916000354;571;544;17;40333312;27664194;39310627
1521916000454;581;554;17;40333312;27665267;39311971
1521916000554;591;564;17;40333312;27666339;39313311
1521916000654;601;574;17;40333312;27666339;39313311
1521916000754;611;583;17;40333312;27667411;39314655
1521916000854;621;593;17;40333312;27668586;39315999
1521916000954;631;603;17;40333312;27668586;39315999
1521916001054;641;612;17;40333312;27669658;39317340
1521916001154;651;622;17;40333312;27669658;39317340
1521916001254;661;632;17;40333312;27670732;39318683
1521916001354;671;641;17;40333312;27671805;39320025
1521916001454;681;651;17;40333312;27671855;39320025
1521916001554;691;661;17;40333312;27672927;39321369
1521916001654;701;670;17;40333312;27674001;39322713
1521916001754;711;680;17;40333312;27674001;39322713
1521916001854;721;690;17;40333312;27675180;39324056
1521916001954;731;699;17;40333312;27676149;39325296
1521916002054;741;709;17;40333312;27676253;39325400
1521916002154;751;719;17;40333312;27677328;39326745
1521916002254;761;729;17;40333312;27677328;39326745
1521916002354;771;738;17;40333312;27678401;39328089
1521916002454;781;748;17;40333312;27679473;39329433
1521916002554;791;758;17;40333312;27679473;39329433
1521916002654;801;768;17;40333312;27680549;39330779
1521916002754;811;777;17;40333312;27681622;39332124
1521916002854;821;787;17;40333312;27681622;39332124
1521916002954;831;796;17;40333312;27682695;39333469
1521916003054;841;806;17;40333312;27682695;39333469
1521916003154;851;815;17;40333312;27683769;39334812
1521916003254;861;824;18;40333312;27684844;39336157
1521916003354;871;834;18;40333312;27684844;39336157
1521916003454;881;842;18;40333312;27685918;39337500
1521916003554;891;852;18;40333312;27686992;39338843
1521916003654;901;862;18;40333312;27686992;39338843
1521916003754;911;870;19;40333312;27688067;39340188
1521916003854;921;880;19;40333312;27688287;39341377
1521916003954;931;890;19;40333312;27689142;39341533
1521916004054;941;899;19;40333312;27690214;39342877
1521916004154;951;909;19;40333312;27690214;39342877
1521916004254;961;919;19;40333312;27691287;39344221
1521916004354;971;929;19;40333312;27692361;39345566
1521916004454;981;939;19;40333312;27692361;39345566
1521916004554;991;948;19;40333312;27693435;39346911
1521916004654;1001;958;19;40333312;27694508;39348254
1521916004754;1011;968;19;40333312;27694508;39348254
1521916004854;1021;977;20;40333312;27695582;39349600
1521916004954;1031;986;20;40333312;27696656;39350946
1521916005054;1041;996;20;40333312;27696656;39350946
1521916005154;1051;1006;20;40333312;27697727;39352289
1521916005254;1061;1016;20;40333312;27697727;39352289
1521916005354;1071;1025;20;40333312;27698797;39353633
1521916005454;1081;1035;20;40333312;27699867;39354976
1521916005554;1091;1045;20;40333312;27699867;39354976
1521916005654;1101;1053;21;40333312;27700940;39356321
1521916005754;1111;1063;21;40333312;27702012;39357665
1521916005854;1121;1073;21;40333312;27702012;39357665
1521916005954;1131;1083;21;40333312;27703086;39359010
1521916006054;1141;1091;22;40333312;27704055;39360250
1521916006154;1151;1101;22;40333312;27704159;39360354
1521916006254;1161;1110;22;40333312;27705233;39361699
1521916006354;1171;1120;22;40333312;27705233;39361699
1521916006454;1181;1129;22;40333312;27706306;39363043
1521916006554;1191;1139;22;40333312;27707379;39364387
1521916006654;1201;1149;22;40333312;27707379;39364387
1521916006754;1211;1158;22;40333312;27708453;39365731
1521916006854;1221;1168;22;40333312;27709631;39367076
1521916006954;1231;1178;22;40333312;27709631;39367076
1521916007054;1241;1188;22;40333312;27710707;39368421
1521916007154;1251;1198;22;40333312;27710927;39369609
1521916007254;1261;1207;22;40333312;27711780;39369765
1521916007354;1270;1217;22;40333312;27713242;39371108
1521916007454;1280;1227;22;40333312;27713242;39371108
1521916007554;1291;1236;22;40333312;27714316;39372450
1521916007654;1301;1246;22;40333312;27714316;39372450
1521916007754;1311;1256;22;40333312;27715392;39373795
1521916007854;1320;1267;22;40333312;27715717;39374984
1521916007954;1331;1275;22;40333312;27716570;39375140
1521916008054;1341;1285;22;40333312;27717641;39376484
1521916008154;1351;1295;22;40333312;27717641;39376484
1521916008254;1361;1304;22;40333312;27718712;39377828
1521916008354;1371;1314;22;40333312;27719787;39379172
1521916008454;1381;1324;22;40333312;27719787;39379172
1521916008554;1391;1333;23;40333312;27720861;39380516
1521916008654;1401;1343;23;40333312;27721983;39381861
1521916008754;1411;1352;23;40333312;27721983;39381861
1521916008854;1421;1362;23;40333312;27723160;39383205
1521916008954;1431;1372;23;40333312;27723160;39383205
1521916009054;1441;1381;23;40333312;27724233;39384550
1521916009154;1451;1391;23;40333312;27725304;39385892
1521916009254;1461;1401;23;40333312;27725304;39385892
1521916009354;1471;1410;23;40333312;27726376;39387235
1521916009454;1481;1420;23;40333312;27727451;39388581
1521916009554;1491;1430;23;40333312;27727451;39388581
1521916009654;1501;1439;23;40333312;27728524;39389927
1521916009754;1511;1450;23;40333312;27728744;39391116
1521916009854;1521;1459;23;40333312;27729598;39391272
1521916009954;1531;1468;23;40333312;27730669;39392617
1521916010054;1541;1478;23;40333312;27730669;39392617
1521916010154;1551;1487;24;40333312;27731743;39393962
1521916010254;1561;1497;24;40333312;27732816;39395308
1521916010354;1571;1507;24;40333312;27732816;39395308
1521916010454;1581;1516;24;40333312;27733890;39396653
1521916010554;1591;1526;24;40333312;27734962;39397998
1521916010654;1601;1536;24;40333312;27734962;39397998
1521916010754;1611;1545;24;40333312;27736036;39399343
1521916010854;1621;1555;24;40333312;27736036;39399343
1521916010954;1631;1565;24;40333312;27737109;39400686
1521916011054;1641;1575;24;40333312;27738182;39402032
1521916011154;1651;1585;24;40333312;27738182;39402032
1521916011254;1661;1594;24;40333312;27739255;39403377
1521916011354;1670;1604;24;40333312;27740329;39404722
1521916011454;1680;1614;24;40333312;27740329;39404722
1521916011554;1690;1624;24;40333312;27741403;39406066
1521916011654;1700;1633;25;40333312;27742424;39407359
1521916011754;1710;1642;25;40333312;27742476;39407411
1521916011854;1720;1652;25;40333312;27743549;39408756
1521916011954;1730;1662;25;40333312;27743549;39408756
1521916012054;1740;1672;25;40333312;27744622;39410103
1521916012154;1750;1681;25;40333312;27745695;39411447
1521916012254;1760;1691;25;40333312;27745695;39411447
1521916012354;1770;1700;25;40333312;27746768;39412793
1521916012454;1780;1710;25;40333312;27747841;39414137
1521916012554;1790;1720;25;40333312;27747841;39414137
1521916012654;1800;1728;25;40333312;27748915;39415482
1521916012754;1810;1738;25;40333312;27748915;39415482
1521916012854;1820;1746;26;40333312;27749989;39416823
1521916012954;1830;1756;26;40333312;27751062;39418167
1521916013054;1840;1765;27;40333312;27751158;39418167
1521916013154;1850;1775;27;40333312;27752232;39419512
1521916013254;1860;1785;27;40333312;27753304;39420855
1521916013354;1870;1794;27;40333312;27753304;39420855
1521916013454;1880;1804;27;40333312;27754379;39422199
1521916013554;1890;1814;27;40333312;27754379;39422199
1521916013654;1900;1823;27;40333312;27755453;39423545
1521916013754;1910;1833;27;40333312;27756525;39424890
1521916013854;1920;1843;27;40333312;27756525;39424890
1521916013954;1930;1853;27;40333312;27757645;39426236
1521916014054;1940;1861;28;40333312;27758718;39427581
1521916014154;1950;1871;28;40333312;27758718;39427581
1521916014254;1960;1881;28;40333312;27759791;39428927
1521916014354;1970;1891;28;40333312;27760762;39430167
1521916014454;1981;1901;28;40333312;27760866;39430271
1521916014554;1991;1910;28;40333312;27761940;39431617
1521916014654;2001;1920;28;40333312;27761940;39431617
1521916014754;2011;1930;28;40333312;27763013;39432961
1521916014854;2021;1940;28;40333312;27763013;39432961
1521916014954;2030;1949;28;40333312;27764087;39434304
1521916015054;2041;1959;28;40333312;27765159;39435649
1521916015154;2050;1969;28;40333312;27765159;39435649
1521916015254;2060;1979;28;40333312;27766233;39436995
1521916015354;2070;1989;28;40333312;27766233;39436995
1521916015454;2081;1998;28;40333312;27767306;39438338
1521916015554;2091;2007;29;40333312;27768378;39439685
1521916015654;2101;2017;29;40333312;27768378;39439685
1521916015754;2111;2026;29;40333312;27769452;39441030
1521916015854;2121;2036;29;40333312;27770525;39442376
1521916015954;2131;2046;29;40333312;27770525;39442376
1521916016054;2141;2055;29;40333312;27771598;39443718
1521916016154;2151;2066;29;40333312;27772566;39444959
