currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527700161474;0;0;0;1409024;11142017;14124225
1527700161574;10;5;3;35831808;11143985;14127382
1527700161674;20;13;4;70782976;11145233;14128142
1527700161774;30;22;5;70782976;11145545;14130937
1527700161874;40;31;6;70782976;11145545;14130937
1527700161974;50;40;6;70782976;11145545;14130937
1527700162074;60;48;8;70782976;11145545;14130937
1527700162175;70;57;10;70782976;11145545;14130937
1527700162275;80;66;10;70782976;11145545;14130937
1527700162375;90;76;10;70782976;11145545;14130937
1527700162475;100;86;10;70782976;11145545;14130937
1527700162575;110;95;11;70782976;11145545;14130937
1527700162675;120;105;11;70782976;11145591;14130989
1527700162776;130;114;11;70782976;11146267;14149126
1527700162876;140;124;11;70782976;11146267;14149126
1527700162976;150;134;11;70782976;11146267;14149126
1527700163076;160;144;11;70782976;11146267;14149126
1527700163176;170;154;11;70782976;11146267;14149126
1527700163276;180;163;11;70782976;11146267;14149126
1527700163377;190;173;12;70782976;11146267;14149126
1527700163477;200;183;12;70782976;11146267;14149126
1527700163577;210;192;12;70782976;11146267;14149126
1527700163677;220;202;12;70782976;11146313;14149178
1527700163777;230;212;12;70782976;11146613;14158282
1527700163878;240;221;12;70782976;11147081;14167419
1527700163978;250;231;13;70782976;11147081;14167419
1527700164078;260;240;13;70782976;11147081;14167419
1527700164179;270;250;14;70782976;11147081;14167419
1527700164279;280;259;14;70782976;11147081;14167419
1527700164379;290;269;14;70782976;11147081;14167419
1527700164479;300;278;14;70782976;11147081;14167419
1527700164579;310;288;14;70782976;11147081;14167419
1527700164680;320;297;16;70782976;11147081;14167419
1527700164780;330;306;16;70782976;11147081;14167419
1527700164880;340;316;16;70782976;11147751;14185750
1527700164980;350;325;17;70782976;11147927;14185918
1527700165080;360;335;17;70782976;11147927;14185918
1527700165180;370;344;17;70782976;11147927;14185918
1527700165281;380;354;18;70782976;11147927;14185918
1527700165381;390;363;18;70782976;11147927;14185918
1527700165481;400;372;19;70782976;11147927;14185918
1527700165581;410;382;19;70782976;11147927;14185918
1527700165681;420;392;19;70782976;11147927;14185918
1527700165781;430;402;19;70782976;11147927;14185918
1527700165881;440;411;20;70782976;11148603;14204070
1527700165981;450;420;20;70782976;11148603;14204070
1527700166081;460;430;20;70782976;11148649;14204122
1527700166181;470;440;20;70782976;11148649;14204122
1527700166281;480;450;20;70782976;11148649;14204122
1527700166381;490;458;21;70782976;11148649;14204122
1527700166481;500;468;22;70782976;11148649;14204122
1527700166581;510;477;22;70782976;11148649;14204122
1527700166681;520;486;24;70782976;11148649;14204122
1527700166782;530;495;24;70782976;11148649;14204122
1527700166882;540;504;24;70782976;11149377;14222138
1527700166982;551;514;25;70782976;11149377;14222138
1527700167083;561;523;26;70782976;11149423;14222190
1527700167183;571;532;26;70782976;11149423;14222190
1527700167283;581;542;26;70782976;11149423;14222190
1527700167383;591;552;26;70782976;11149423;14222190
1527700167483;601;562;26;70782976;11149423;14222190
1527700167583;611;570;28;70782976;11149423;14222190
1527700167683;621;580;28;70782976;11149423;14222190
1527700167783;631;590;28;70782976;11149423;14222190
1527700167883;641;599;28;70782976;11150047;14240004
1527700167983;651;608;29;70782976;11150047;14240004
1527700168083;661;618;29;70782976;11150047;14240004
1527700168184;671;628;29;70782976;11150047;14240004
1527700168284;681;636;30;70782976;11150273;14240172
1527700168384;691;646;30;70782976;11150273;14240172
1527700168484;701;656;30;70782976;11150305;14240204
1527700168584;711;665;31;70782976;11150305;14240204
1527700168684;721;674;32;70782976;11150305;14240204
1527700168785;731;684;32;70782976;11150305;14240204
1527700168885;741;694;32;70881280;11150929;14257926
1527700168985;751;704;32;70881280;11150929;14257926
1527700169085;761;714;32;70881280;11150929;14257926
1527700169185;771;723;32;70881280;11150929;14257926
1527700169285;781;732;33;70881280;11150975;14257978
1527700169385;791;741;34;70881280;11150975;14257978
1527700169485;801;750;35;70881280;11150975;14257978
1527700169585;811;760;35;70881280;11150975;14257978
1527700169685;821;768;36;70881280;11150975;14257978
1527700169785;831;778;36;70881280;11150975;14257978
1527700169885;841;787;37;70881280;11151599;14275952
1527700169985;851;797;37;70881280;11151599;14275952
1527700170086;861;807;37;70881280;11151599;14275952
1527700170186;871;817;37;70881280;11151599;14275952
1527700170286;881;826;37;70881280;11151599;14275952
1527700170387;891;836;37;70881280;11151645;14276004
1527700170487;901;846;37;70881280;11151645;14276004
1527700170587;911;856;37;70881280;11151645;14276004
1527700170687;921;865;38;70881280;11151645;14276004
1527700170787;931;874;38;70881280;11151645;14276004
1527700170887;941;883;39;70881280;11152321;14294064
1527700170988;951;893;39;70881280;11152321;14294064
1527700171088;961;903;39;70881280;11152321;14294064
1527700171188;971;913;39;70881280;11152321;14294064
1527700171288;981;922;40;70881280;11152321;14294064
1527700171388;991;932;40;70881280;11152367;14294116
1527700171488;1001;942;40;70881280;11152367;14294116
1527700171588;1011;951;40;70881280;11152543;14294284
1527700171688;1021;961;40;70881280;11152543;14294284
1527700171788;1031;970;41;70881280;11152543;14294284
1527700171888;1041;980;41;70881280;11153167;14312527
1527700171988;1051;989;42;70881280;11153167;14312527
1527700172088;1061;999;42;70881280;11153167;14312527
1527700172188;1071;1008;42;70881280;11153167;14312527
1527700172288;1081;1018;42;70881280;11153167;14312527
1527700172388;1091;1027;43;70881280;11153167;14312527
1527700172488;1101;1036;43;70881280;11153167;14312527
1527700172588;1111;1046;43;70881280;11153167;14312527
1527700172688;1121;1056;43;70881280;11153213;14312579
1527700172789;1131;1066;44;70881280;11153213;14312579
1527700172889;1141;1075;44;70881280;11153941;14330943
1527700172989;1151;1085;44;70881280;11153941;14330943
1527700173089;1161;1094;45;70881280;11153941;14330943
1527700173189;1171;1104;45;70881280;11153941;14330943
1527700173290;1181;1113;46;70881280;11153941;14330943
1527700173390;1191;1122;46;70881280;11153941;14330943
1527700173490;1201;1132;46;70881280;11153941;14330943
1527700173590;1211;1142;46;70881280;11153941;14330943
1527700173690;1221;1152;46;70881280;11153987;14330995
1527700173790;1231;1161;46;70881280;11153987;14330995
1527700173890;1241;1170;47;70881280;11154663;14349133
1527700173990;1251;1179;48;70881280;11154663;14349133
1527700174090;1261;1189;48;70881280;11154663;14349133
1527700174190;1271;1198;49;70881280;11155051;14349133
1527700174290;1281;1208;49;70881280;11155051;14349133
1527700174390;1291;1217;49;70881280;11155051;14349133
1527700174490;1301;1227;49;70881280;11155051;14349133
1527700174590;1311;1237;49;70881280;11155051;14349133
1527700174690;1321;1247;49;70881280;11155051;14349133
1527700174790;1331;1256;50;70881280;11155051;14349133
1527700174890;1341;1265;51;70881280;11155571;14367143
1527700174990;1351;1274;51;70881280;11155897;14367415
1527700175090;1361;1283;52;70881280;11155897;14367415
1527700175190;1371;1292;52;70881280;11155897;14367415
1527700175290;1381;1302;53;70881280;11155897;14367415
1527700175390;1391;1311;53;70881280;11155897;14367415
1527700175490;1401;1321;53;70881280;11155897;14367415
1527700175590;1411;1331;53;70881280;11155897;14367415
1527700175690;1421;1340;54;70881280;11155897;14367415
1527700175790;1431;1350;54;70881280;11155897;14367415
1527700175890;1441;1359;54;70881280;11155897;14367415
1527700175990;1451;1369;54;70881280;11156573;14385455
1527700176090;1461;1378;56;70881280;11156619;14385507
1527700176190;1471;1388;56;70881280;11156619;14385507
1527700176290;1481;1397;56;70881280;11156619;14385507
1527700176390;1491;1407;56;70881280;11156619;14385507
1527700176490;1501;1416;56;70881280;11156619;14385507
1527700176591;1511;1426;57;70881280;11156619;14385507
1527700176691;1521;1435;57;70881280;11156619;14385507
1527700176791;1531;1445;57;70881280;11156619;14385507
1527700176891;1541;1455;57;70881280;11156619;14385507
1527700176992;1551;1464;58;70881280;11157243;14403619
1527700177092;1561;1474;58;70881280;11157289;14403671
1527700177192;1571;1483;58;70881280;11157289;14403671
1527700177292;1581;1492;59;70881280;11157289;14403671
1527700177392;1592;1501;60;70881280;11157289;14403671
1527700177492;1602;1511;60;70881280;11157289;14403671
1527700177593;1612;1521;60;70881280;11157289;14403671
1527700177693;1622;1531;60;70881280;11157289;14403671
1527700177793;1632;1540;61;70881280;11157289;14403671
1527700177893;1642;1549;61;70881280;11157421;14403671
1527700177993;1652;1558;62;70881280;11158045;14421672
1527700178093;1662;1568;62;70881280;11158091;14421724
1527700178194;1672;1576;64;70881280;11158091;14421724
1527700178294;1682;1586;64;70881280;11158267;14421892
1527700178395;1692;1596;64;70881280;11158267;14421892
1527700178495;1702;1605;64;70881280;11158267;14421892
1527700178595;1712;1615;64;70881280;11158267;14421892
1527700178695;1722;1624;65;70881280;11158267;14421892
1527700178795;1732;1634;65;70881280;11158267;14421892
1527700178895;1742;1643;66;70881280;11158267;14421892
1527700178996;1752;1653;66;70881280;11158891;14439734
1527700179096;1762;1662;66;70881280;11158891;14439734
1527700179196;1772;1672;66;70881280;11158891;14439734
1527700179296;1782;1682;67;70881280;11158891;14439734
1527700179396;1792;1691;67;70881280;11158891;14439734
1527700179497;1802;1700;68;70881280;11158937;14439786
1527700179597;1812;1708;69;70881280;11158937;14439786
1527700179697;1822;1717;71;70881280;11158937;14439786
1527700179797;1832;1717;71;70881280;11158989;14439898
1527700179898;1842;1717;71;70881280;11159041;14440010
1527700179998;1852;1717;71;70873088;11159665;14454169
