currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527699633826;0;0;0;1409024;2845548;3909610
1527699633927;10;4;2;25116672;2845548;3909610
1527699634027;20;5;2;25239552;2845716;3909796
1527699634127;30;13;2;26288128;2846852;3911546
1527699634227;40;20;4;26288128;2848148;3913576
1527699634328;50;26;4;26288128;2848904;3914762
1527699634428;60;30;4;26288128;2849552;3915881
1527699634528;70;40;4;26288128;2850848;3917912
1527699634629;80;50;4;26288128;2852252;3920112
1527699634729;90;59;4;26288128;2853548;3922146
1527699634829;100;65;4;26288128;2854304;3923333
1527699634929;110;69;4;26288128;2854952;3924453
1527699635029;120;77;6;26288128;2856248;3926485
1527699635130;130;84;9;26288128;2857652;3928687
1527699635231;140;92;11;26288128;2858948;3930720
1527699635331;150;99;14;26288128;2860352;3932920
1527699635431;160;106;16;26288128;2861648;3934955
1527699635531;170;115;17;26288128;2863052;3937159
1527699635631;180;123;19;26288128;2864348;3939188
1527699635731;190;132;20;26288128;2865644;3941223
1527699635832;200;138;21;26288128;2866724;3942918
1527699635932;210;140;21;26288128;2867048;3943530
1527699636032;220;148;23;26288128;2868344;3945562
1527699636132;231;157;24;26288128;2869748;3947764
1527699636232;241;164;27;26288128;2871044;3949794
1527699636333;251;170;28;26288128;2872124;3951486
1527699636433;261;172;29;26288128;2872448;3952097
1527699636533;271;181;29;26288128;2873744;3954128
1527699636633;281;190;30;26288128;2875148;3956332
1527699636733;291;199;31;26288128;2876444;3958362
1527699636834;301;207;31;26288128;2877524;3960058
1527699636934;311;209;31;26288128;2877848;3960671
1527699637034;321;217;32;26288128;2879144;3962710
1527699637134;331;225;35;26288128;2880548;3964918
1527699637234;341;232;37;26288128;2881844;3966949
1527699637334;351;240;37;26288128;2882924;3968644
1527699637434;361;242;37;26288128;2883248;3969258
1527699637535;371;250;39;26288128;2884544;3971293
1527699637635;381;258;41;26288128;2885948;3973494
1527699637735;391;265;44;26288128;2887244;3975526
1527699637835;401;273;44;26288128;2888324;3977220
1527699637935;411;275;44;26288128;2888648;3977832
1527699638035;421;284;44;26288128;2889944;3979866
1527699638135;431;292;46;26288128;2891240;3981898
1527699638235;441;299;48;26288128;2892644;3984105
1527699638335;451;306;50;26288128;2893724;3985800
1527699638435;461;307;50;26288128;2893940;3986244
1527699638535;471;316;52;26288128;2895344;3988446
1527699638635;481;325;52;26288128;2896640;3990480
1527699638735;491;335;52;26288128;2897936;3992515
1527699638836;501;344;52;26288128;2899340;3994717
1527699638936;511;351;55;26288128;2900636;3996748
1527699639036;521;359;56;26288128;2901932;3998784
1527699639136;531;369;56;26288128;2903336;4000988
1527699639236;541;379;56;26288128;2904632;4003023
1527699639337;551;386;56;26288128;2905496;4004376
1527699639437;561;389;56;26288128;2906036;4005328
1527699639537;571;397;58;26288128;2907332;4007361
1527699639637;581;406;59;26288128;2908628;4009398
1527699639737;591;413;61;26288128;2910032;4011602
1527699639838;601;420;61;26288128;2910896;4012957
1527699639938;611;423;61;26288128;2911328;4013737
1527699640038;621;432;62;26288128;2912732;4015937
1527699640138;631;440;64;26288128;2914028;4017971
1527699640238;641;448;66;26288128;2915432;4020174
1527699640338;651;455;66;26288128;2916296;4021528
1527699640438;661;458;66;26288128;2916728;4022309
1527699640538;671;467;66;26288128;2918024;4024343
1527699640638;681;475;68;26288128;2919320;4026375
1527699640738;691;484;68;26288128;2920724;4028579
1527699640838;701;493;69;26288128;2922020;4030612
1527699640938;711;502;70;26288128;2923316;4032643
1527699641039;721;512;70;26288128;2924612;4034673
1527699641139;731;521;70;26288128;2926016;4036875
1527699641239;741;530;71;26288128;2927312;4038910
1527699641339;751;538;71;26288128;2928284;4040436
1527699641439;761;540;71;26288128;2928608;4041047
1527699641539;771;548;72;26288128;2930012;4043249
1527699641640;781;558;72;26288128;2931308;4045277
1527699641740;791;567;74;26288128;2932604;4047306
1527699641840;801;574;74;26288128;2933684;4048997
1527699641940;811;576;74;26288128;2934008;4049608
1527699642040;821;584;76;26288128;2935304;4051636
1527699642140;831;593;77;26288128;2936600;4053664
1527699642240;841;602;78;26288128;2937896;4055692
1527699642340;851;609;80;26288128;2939244;4057889
1527699642440;861;618;81;26288128;2940596;4059917
1527699642540;871;625;84;26288128;2941892;4061945
1527699642641;881;634;84;26288128;2943296;4064142
1527699642741;891;643;86;26288128;2944592;4066170
1527699642841;901;653;86;26288128;2945832;4068198
1527699642941;911;653;86;26288128;2945888;4068250
1527699643041;921;662;86;26288128;2947184;4070330
1527699643142;931;671;87;26288128;2948588;4072527
1527699643242;941;679;89;26288128;2949884;4074555
1527699643343;952;687;89;26288128;2951014;4076246
1527699643443;962;688;89;26288128;2951230;4076688
1527699643543;972;697;91;26288128;2952684;4078885
1527699643643;982;706;91;26288128;2953980;4080913
1527699643743;992;715;92;26288128;2955276;4082941
1527699643843;1002;721;94;26288128;2956356;4084632
