currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527771133948;1;0;0;1409024;5116117;6285612
1527771134048;11;7;2;25186304;5116117;6285612
1527771134148;21;14;3;26357760;5118180;6289060
1527771134248;31;22;4;26357760;5120127;6292340
1527771134348;41;30;4;26357760;5122074;6295622
1527771134448;51;37;5;26357760;5123667;6298306
1527771134548;61;44;6;26357760;5125614;6301586
1527771134649;71;52;6;26357760;5127561;6304867
1527771134749;81;61;7;26357760;5129685;6308449
1527771134849;91;68;8;26357760;5131632;6311734
1527771134949;101;74;9;26357760;5133048;6314120
1527771135049;111;82;9;26357760;5135234;6317617
1527771135149;121;90;10;26357760;5137181;6320900
1527771135249;131;97;12;26357760;5139128;6324181
1527771135350;141;106;12;26357760;5141075;6327462
1527771135450;151;112;12;26357760;5142668;6330151
1527771135550;161;120;12;26357760;5144615;6333435
1527771135650;171;128;14;26357760;5146739;6337012
1527771135750;181;136;14;26357760;5148686;6340296
1527771135850;191;144;15;26357760;5150633;6343580
1527771135951;201;152;15;26357760;5152642;6346779
1527771136051;211;160;16;26357760;5154589;6350061
1527771136151;221;168;16;26357760;5156713;6353641
1527771136251;231;176;17;26357760;5158660;6356920
1527771136352;241;184;18;26357760;5160607;6360200
1527771136452;251;192;18;26357760;5162554;6363481
1527771136552;261;200;19;26357760;5164376;6366764
1527771136652;271;207;19;26357760;5166094;6369450
1527771136752;281;216;19;26357760;5168041;6372731
1527771136852;291;224;19;26357760;5170227;6376234
1527771136953;301;232;20;26357760;5172174;6379522
1527771137053;311;240;20;26357760;5174173;6383107
1527771137153;321;248;21;26357760;5176068;6386089
1527771137254;331;256;22;26357760;5178015;6389373
1527771137354;341;264;22;26357760;5179962;6392658
1527771137454;351;272;23;26357760;5181909;6395940
1527771137554;361;280;24;26357760;5183908;6399519
1527771137654;371;286;24;26357760;5185626;6402205
1527771137754;381;294;24;26357760;5187573;6405488
1527771137854;391;302;26;26357760;5189759;6408987
1527771137955;401;310;27;26357760;5191706;6412269
1527771138055;411;316;28;26357760;5193705;6415854
1527771138155;421;322;30;26357760;5195423;6418540
1527771138255;431;330;30;26357760;5197370;6421825
1527771138355;441;338;31;26357760;5199317;6425108
1527771138456;451;347;31;26357760;5201264;6428392
1527771138556;461;355;32;26357760;5203211;6431676
1527771138656;471;361;33;26357760;5204981;6434659
1527771138756;481;368;33;26357760;5206813;6437560
1527771138856;491;376;34;26357760;5208583;6440544
1527771138956;501;382;36;26357760;5210530;6443829
1527771139056;511;389;37;26357760;5212300;6446815
1527771139156;521;397;37;26357760;5214336;6450098
1527771139256;531;404;39;26357760;5216283;6453380
1527771139356;541;412;39;26357760;5218282;6456961
1527771139456;551;420;40;26357760;5220354;6460247
1527771139556;561;428;40;26357760;5222124;6463231
1527771139656;571;435;41;26357760;5224310;6466731
1527771139757;581;442;43;26357760;5226257;6470011
1527771139857;592;452;43;26357760;5228381;6473592
1527771139957;601;459;44;26357760;5230328;6476875
1527771140057;612;466;45;26357760;5231973;6479859
1527771140157;622;474;45;26357760;5233868;6482842
1527771140257;631;482;45;26357760;5235815;6486124
1527771140357;642;491;46;26357760;5237939;6489705
1527771140458;652;499;46;26357760;5239886;6492989
1527771140558;662;506;47;26357760;5241531;6495973
1527771140658;672;514;47;26357760;5243665;6499172
1527771140758;682;522;48;26357760;5245612;6502454
1527771140858;692;529;49;26357760;5247559;6505734
1527771140959;702;537;50;26357760;5249506;6509016
1527771141059;712;545;51;26357760;5251453;6512300
1527771141159;722;553;52;26357760;5253400;6515584
1527771141259;732;560;53;26357760;5255524;6519163
1527771141359;742;568;53;26357760;5257117;6521847
1527771141460;752;576;54;26357760;5259064;6525126
1527771141560;762;584;54;26357760;5261250;6528620
1527771141660;772;592;54;26357760;5263693;6531899
1527771141760;782;600;56;26357760;5265640;6535179
1527771141860;792;608;56;26357760;5267587;6538461
1527771141960;802;616;57;26357760;5269534;6541739
1527771142061;812;624;58;26357760;5271481;6545019
1527771142161;822;632;58;26357760;5273428;6548297
1527771142261;832;640;59;26357760;5275375;6551578
1527771142361;842;647;60;26357760;5277322;6554859
1527771142461;852;655;60;26357760;5279508;6558354
1527771142561;862;663;61;26357760;5281455;6561635
1527771142662;872;671;61;26357760;5283225;6564615
1527771142762;882;678;62;26357760;5285172;6567899
1527771142862;892;687;62;26357760;5287119;6571179
