currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527699485936;0;0;0;1409024;353308;837752
1527699486036;10;8;1;16650240;353308;837752
1527699486136;20;8;1;26349568;353476;838624
1527699486236;30;8;1;26349568;353476;838624
1527699486336;40;8;1;26349568;353476;838624
1527699486437;50;8;1;26349568;353476;838624
1527699486537;60;8;1;26349568;353476;838624
1527699486637;70;8;1;26349568;353476;838624
1527699486738;80;8;1;26349568;353476;838624
1527699486838;90;8;1;26349568;353476;838624
1527699486939;100;8;1;26349568;353476;838624
1527699487039;110;8;1;26349568;353476;838624
1527699487139;120;10;1;26349568;356578;840950
1527699487239;130;14;2;26349568;360512;844735
1527699487339;140;18;3;26349568;365285;850036
1527699487439;150;22;4;26349568;370738;854578
1527699487539;160;27;4;26349568;376245;859880
1527699487639;170;32;5;26349568;380965;864423
1527699487739;180;36;6;26349568;386472;869724
1527699487840;190;40;6;26349568;390459;874267
1527699487940;200;44;7;26349568;395915;878810
1527699488040;210;49;8;26349568;400690;884111
1527699488140;220;54;8;26349568;406935;889413
1527699488241;230;60;8;26349568;412496;895473
1527699488341;240;66;8;26349568;419529;901534
1527699488441;250;72;8;26349568;425039;906836
1527699488541;260;77;9;26349568;430597;912188
1527699488641;270;82;10;26349568;437130;918515
1527699488742;280;87;10;26349568;442640;923817
1527699488842;291;93;11;26349568;448152;929119
1527699488943;301;99;11;26349568;454446;935177
1527699489043;311;105;11;26349568;460789;941993
1527699489143;321;110;12;26349568;467034;947296
1527699489243;331;116;12;26349568;472596;953357
1527699489344;341;121;12;26349568;478844;958660
1527699489445;351;127;13;26349568;484351;963960
1527699489545;361;133;13;26349568;490643;970016
1527699489645;371;139;13;26349568;496154;975320
1527699489745;381;144;13;26349568;502455;981382
1527699489845;391;150;14;26349568;508061;987492
1527699489945;401;155;15;26349568;514540;993062
1527699490046;411;161;15;26349568;520836;999121
1527699490146;421;167;16;26349568;527130;1005179
1527699490246;431;172;16;26349568;532691;1011237
1527699490347;441;178;16;26349568;538932;1016537
1527699490447;451;183;17;26349568;545227;1022595
1527699490547;461;189;17;26349568;550736;1027894
1527699490647;471;193;18;26349568;556243;1033196
1527699490748;481;198;20;26349568;562537;1039255
1527699490848;491;204;20;26349568;568837;1045315
1527699490948;501;209;21;26349568;574342;1050616
1527699491048;511;214;21;26349568;580634;1056674
1527699491148;521;219;22;26349568;586145;1061977
1527699491249;531;224;23;26349568;592738;1068361
1527699491349;541;231;23;26349568;599040;1074424
1527699491449;551;238;23;26349568;605390;1081244
1527699491549;561;242;25;26349568;611684;1087304
1527699491650;571;248;26;26349568;617926;1092605
1527699491750;581;254;26;26349568;624223;1098664
1527699491850;591;260;26;26349568;630521;1104728
1527699491951;601;265;26;26349568;636029;1110029
1527699492051;611;272;26;26349568;642374;1116845
1527699492151;621;278;26;26349568;649402;1122904
1527699492252;631;284;26;26349568;655698;1128962
1527699492352;641;290;27;26349568;661986;1135022
1527699492452;652;296;27;26349568;668333;1141133
1527699492552;662;302;27;26349568;674078;1146704
1527699492653;672;307;28;26349568;680375;1152764
1527699492753;682;314;28;26349568;686666;1158822
1527699492853;692;320;28;26349568;692964;1164883
1527699492953;702;325;29;26349568;698527;1170945
1527699493053;712;332;29;26349568;705559;1177006
