currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527714073410;1;0;0;1409024;28982858;44605878
1527714073510;11;6;2;201318400;28982858;44605878
1527714073610;21;16;3;202891264;28982858;44605878
1527714073710;31;24;4;205238272;28982858;44605878
1527714073811;41;32;6;205238272;28982858;44605878
1527714073911;51;41;7;206090240;28982858;44605878
1527714074011;61;49;9;208232448;28982858;44605878
1527714074112;71;58;9;210083840;28982858;44605878
1527714074212;81;67;10;210083840;28982858;44605878
1527714074312;91;76;12;210083840;28982858;44605878
1527714074413;101;85;12;210083840;28982858;44605878
1527714074513;111;94;13;210083840;28982858;44605878
1527714074613;121;103;14;210083840;28982858;44605878
1527714074713;131;112;15;210083840;28982858;44605878
1527714074813;141;121;15;210083840;28982858;44605878
1527714074913;151;130;16;210083840;28982858;44605878
1527714075013;161;140;16;210083840;28982858;44605878
1527714075114;171;149;17;210083840;28982858;44605878
1527714075214;181;158;18;210083840;28982858;44605878
1527714075314;191;168;18;210083840;28982858;44605878
1527714075414;201;177;18;210161664;28982858;44605878
1527714075515;211;187;18;210161664;28983066;44606486
1527714075615;221;196;19;210161664;28983066;44606486
1527714075715;231;205;20;210161664;28983066;44606486
1527714075815;241;214;20;210161664;28983066;44606486
1527714075915;251;223;21;210161664;28983066;44606486
1527714076015;261;232;22;210161664;28983066;44606486
1527714076115;271;242;22;210161664;28983066;44606486
1527714076215;281;250;23;239796224;28983066;44606486
1527714076316;291;260;24;239796224;28983066;44606486
1527714076416;301;269;24;240963584;28983066;44606486
1527714076516;311;278;26;242667520;28983066;44606486
1527714076617;321;286;26;242667520;28983066;44606486
1527714076717;331;296;27;242667520;28983066;44606486
1527714076817;341;304;28;242667520;28983066;44606486
1527714076917;351;314;29;242667520;28983066;44606486
1527714077017;361;322;30;242667520;28983066;44606486
1527714077117;371;332;30;242667520;28983066;44606486
1527714077217;381;341;30;242667520;28983182;44606598
1527714077318;391;346;31;242802688;28983327;44606751
1527714077418;401;354;34;242802688;28983471;44606884
1527714077518;411;362;34;242802688;28983863;44607022
1527714077618;421;372;35;243851264;28983863;44607022
1527714077719;431;381;36;243851264;28983863;44607022
1527714077819;441;391;36;243851264;28983863;44607022
1527714077920;452;400;37;243851264;28983863;44607022
1527714078020;462;408;38;243851264;28983863;44607022
1527714078121;472;417;39;243851264;28983863;44607022
1527714078221;482;427;39;243851264;28983863;44607022
1527714078321;492;436;40;243851264;28983863;44607022
1527714078421;502;446;40;243851264;28983863;44607022
1527714078522;512;455;40;244899840;28983863;44607022
1527714078622;522;464;41;244899840;28983909;44607074
1527714078722;532;474;42;245043200;28983909;44607074
1527714078822;542;482;43;245043200;28983909;44607074
1527714078922;552;491;44;245043200;28983909;44607074
1527714079022;562;500;45;245043200;28983909;44607074
1527714079122;572;509;46;245043200;28983909;44607074
1527714079223;582;518;46;245043200;28983909;44607074
1527714079323;592;527;47;245043200;28983909;44607074
1527714079423;602;536;48;245043200;28984301;44607212
1527714079523;612;545;48;245043200;28984301;44607212
1527714079623;622;554;50;246091776;28984301;44607212
1527714079724;632;562;51;246091776;28984301;44607212
1527714079824;642;572;51;247140352;28984301;44607212
1527714079924;652;581;52;247238656;28984301;44607212
1527714080025;662;590;52;247238656;28984301;44607212
1527714080125;672;600;52;247238656;28984301;44607212
1527714080225;682;610;52;247373824;28984301;44607212
1527714080325;692;618;54;247701504;28984301;44607212
1527714080426;702;628;54;247701504;28984347;44607264
1527714080526;712;638;54;247701504;28984347;44607264
1527714080626;722;647;55;247701504;28984347;44607264
1527714080727;732;656;55;248750080;28984347;44607264
1527714080827;742;666;55;249077760;28984347;44607264
1527714080927;752;674;57;249098240;28984347;44607264
1527714081028;762;683;58;249229312;28984347;44607264
1527714081128;772;692;59;249229312;28984347;44607264
1527714081228;782;699;61;249229312;28984347;44607264
1527714081328;792;707;63;249450496;28984347;44607264
1527714081428;802;716;63;249454592;28984347;44607264
1527714081529;812;725;64;249454592;28984393;44607316
1527714081629;822;735;64;249454592;28984393;44607316
1527714081730;833;744;64;249454592;28984393;44607316
