currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527711881860;0;0;0;1409024;22314025;34011114
1527711881960;11;6;3;201318400;22314025;34011114
1527711882060;21;15;4;202891264;22314025;34011114
1527711882161;31;24;4;205238272;22314025;34011114
1527711882261;41;34;5;205238272;22314025;34011114
1527711882361;51;42;6;206090240;22314025;34011114
1527711882461;61;50;8;208232448;22314025;34011114
1527711882562;71;60;8;210112512;22314025;34011114
1527711882662;81;69;9;210112512;22314025;34011114
1527711882762;91;78;10;210112512;22314025;34011114
1527711882862;101;88;10;210112512;22314025;34011114
1527711882963;111;96;10;210112512;22314025;34011114
1527711883063;121;104;11;210112512;22314025;34011114
1527711883163;131;114;12;210112512;22314075;34011114
1527711883264;141;122;12;210112512;22314075;34011114
1527711883364;151;131;14;210112512;22314121;34011114
1527711883464;161;140;14;239730688;22314121;34011114
1527711883565;171;148;15;239730688;22314121;34011114
1527711883665;181;156;15;239730688;22314121;34011114
1527711883765;191;164;17;240058368;22314121;34011114
1527711883866;201;172;18;241176576;22314345;34011361
1527711883966;211;180;19;241176576;22314345;34011361
1527711884066;221;188;21;241197056;22314345;34011361
1527711884167;231;197;22;241328128;22314345;34011361
1527711884267;241;206;23;241328128;22314345;34011361
1527711884367;251;215;24;241328128;22314345;34011361
1527711884467;261;224;24;241328128;22314345;34011361
1527711884567;271;234;24;241328128;22314345;34011361
1527711884667;281;244;24;241328128;22314345;34011361
1527711884767;291;253;25;241328128;22314345;34011361
1527711884867;301;262;25;241328128;22314345;34011361
1527711884968;311;272;25;241328128;22314391;34011413
1527711885068;321;281;26;241422336;22314391;34011413
1527711885169;331;290;26;241549312;22314391;34011413
1527711885269;341;300;26;241553408;22314391;34011413
1527711885369;351;309;27;241553408;22314391;34011413
1527711885469;361;318;28;242601984;22314391;34011413
1527711885570;372;328;28;243650560;22314391;34011413
1527711885670;382;337;28;243650560;22314391;34011413
1527711885770;392;346;29;243650560;22314391;34011413
1527711885871;402;354;31;243650560;22314391;34011413
1527711885971;412;363;32;243650560;22314391;34011413
1527711886071;422;372;33;243650560;22314437;34011465
1527711886172;432;382;33;243650560;22314437;34011465
1527711886272;442;392;33;243650560;22314437;34011465
1527711886372;452;401;33;243650560;22314437;34011465
1527711886473;462;410;34;244699136;22314437;34011465
1527711886573;472;418;36;244699136;22314437;34011465
1527711886673;482;427;37;244699136;22314437;34011465
1527711886773;492;435;38;244699136;22314437;34011465
1527711886874;502;445;39;244699136;22314437;34011465
1527711886974;512;454;40;244699136;22314437;34011465
1527711887074;522;463;40;244699136;22314483;34011517
1527711887175;532;472;41;244699136;22314483;34011517
1527711887275;542;481;42;245882880;22314483;34011517
1527711887375;552;491;42;245882880;22314483;34011517
1527711887476;562;500;42;245882880;22314483;34011517
1527711887576;572;510;43;245882880;22314483;34011517
1527711887676;582;519;43;245882880;22314483;34011517
1527711887777;592;529;43;245882880;22314483;34011517
1527711887877;602;538;44;245882880;22314483;34011517
1527711887977;612;548;44;245882880;22314483;34011517
1527711888077;622;556;45;245882880;22314529;34011569
1527711888177;632;565;45;245882880;22314637;34011832
1527711888277;642;574;46;245882880;22314637;34011832
1527711888377;652;583;46;245882880;22314745;34012096
1527711888478;662;592;46;245882880;22314853;34012361
1527711888578;672;599;47;245882880;22314961;34012619
1527711888678;682;607;48;245882880;22315177;34013135
1527711888778;692;614;49;245882880;22315285;34013390
1527711888879;702;622;50;245882880;22315393;34013648
1527711888979;712;631;50;245882880;22315501;34013901
1527711889079;722;639;50;245882880;22315609;34014159
1527711889179;732;647;51;245882880;22315717;34014415
1527711889280;743;656;52;245882880;22315933;34014877
1527711889380;753;663;53;245882880;22316041;34015185
1527711889480;763;672;53;245882880;22316149;34015442
1527711889580;773;680;54;245882880;22316257;34015700
1527711889680;783;688;54;245882880;22316365;34015956
1527711889781;793;697;54;245882880;22316473;34016213
1527711889881;803;704;54;245882880;22316689;34016726
1527711889981;813;713;55;245882880;22316797;34016983
1527711890081;823;721;55;245882880;22316905;34017241
1527711890182;833;729;56;245882880;22317013;34017498
1527711890282;843;736;57;246210560;22317229;34018012
1527711890382;853;744;58;246210560;22317337;34018270
1527711890482;863;753;58;246210560;22317445;34018528
1527711890583;873;761;59;246210560;22317553;34018786
1527711890683;883;768;61;246210560;22317661;34019043
1527711890783;893;776;62;246210560;22317877;34019555
1527711890884;903;784;63;246210560;22317985;34019812
1527711890984;913;793;63;246210560;22318093;34020069
1527711891084;923;800;64;246210560;22318201;34020327
1527711891184;933;806;66;246210560;22318417;34020842
1527711891286;943;812;68;246210560;22318633;34021356
1527711891387;953;820;69;246210560;22318741;34021613
1527711891487;963;828;70;246210560;22318849;34021869
1527711891587;973;832;72;246210560;22319065;34022385
1527711891688;983;841;73;246210560;22319173;34022643
1527711891788;993;847;74;246210560;22319389;34023158
1527711891888;1003;855;76;246210560;22319497;34023414
1527711891988;1013;862;76;246210560;22319713;34023929
1527711892088;1023;871;76;246210560;22319821;34024187
1527711892188;1033;880;76;246210560;22319929;34024444
1527711892288;1043;888;77;246210560;22320145;34024957
1527711892388;1053;896;77;246210560;22320253;34025215
1527711892489;1063;904;78;246210560;22320469;34025727
1527711892589;1073;910;80;246210560;22320685;34026242
1527711892689;1084;918;81;246210560;22320793;34026499
1527711892789;1093;925;81;246210560;22321009;34027015
1527711892889;1103;933;82;246210560;22321117;34027272
1527711892989;1113;940;83;246210560;22321333;34027787
1527711893089;1124;948;83;246210560;22321441;34028045
1527711893189;1133;957;84;246210560;22321657;34028559
1527711893289;1143;965;84;246210560;22321765;34028816
1527711893389;1153;972;85;246210560;22321981;34029331
1527711893489;1163;980;85;246210560;22322089;34029588
1527711893589;1173;988;86;246210560;22322305;34030104
1527711893689;1183;996;86;246210560;22322413;34030362
1527711893790;1194;1004;87;246210560;22322629;34030877
1527711893890;1204;1012;88;246210560;22322737;34031135
1527711893990;1214;1018;89;246210560;22323341;34031653
1527711894091;1224;1025;90;246210560;22323557;34032170
1527711894191;1234;1033;90;246210560;22323665;34032428
1527711894291;1244;1040;92;246210560;22323881;34032944
1527711894392;1254;1047;93;246210560;22324097;34033461
1527711894493;1264;1054;94;246210560;22324205;34033719
1527711894593;1274;1061;95;246210560;22324421;34034235
1527711894693;1284;1068;96;246210560;22324529;34034494
1527711894793;1294;1077;97;246210560;22324745;34035006
1527711894893;1304;1084;98;246210560;22324961;34035522
1527711894993;1314;1091;99;246210560;22325069;34035779
1527711895093;1324;1098;99;246210560;22325285;34036295
1527711895193;1334;1105;100;246210560;22325501;34036809
1527711895293;1344;1113;101;246210560;22325609;34037067
1527711895393;1354;1118;103;246210560;22325717;34037325
1527711895493;1364;1126;103;246210560;22325933;34037841
1527711895593;1374;1133;104;246210560;22326149;34038355
1527711895693;1384;1140;104;246210560;22326365;34038871
1527711895793;1394;1148;105;246210560;22326473;34039129
1527711895893;1404;1156;106;246210560;22326581;34039387
1527711895993;1414;1164;106;246210560;22326797;34039902
1527711896093;1424;1171;107;246210560;22327013;34040418
1527711896193;1434;1180;107;246210560;22327121;34040676
1527711896293;1444;1187;108;246210560;22327337;34041191
1527711896393;1454;1196;108;246210560;22327445;34041449
1527711896493;1464;1204;108;246210560;22327661;34041967
1527711896593;1474;1211;109;246210560;22327877;34042483
1527711896693;1484;1218;110;246210560;22327985;34042742
1527711896793;1494;1225;110;246210560;22328201;34043256
1527711896893;1504;1232;112;246210560;22328417;34043771
1527711896993;1514;1239;114;246210560;22328525;34044029
1527711897093;1524;1246;115;246210560;22328741;34044545
1527711897193;1534;1253;116;246210560;22328957;34045061
1527711897293;1544;1260;116;246210560;22329173;34045574
1527711897393;1554;1268;116;246210560;22329281;34045833
1527711897493;1564;1276;117;246210560;22329497;34046348
1527711897593;1574;1283;118;246210560;22329605;34046606
1527711897693;1584;1291;118;246210560;22329821;34047121
1527711897794;1594;1299;118;246210560;22330037;34047637
1527711897894;1604;1306;119;246210560;22330253;34048099
1527711897994;1614;1315;119;246210560;22330361;34048409
1527711898094;1624;1321;120;246210560;22330577;34048926
1527711898194;1634;1328;121;246210560;22331004;34049442
1527711898294;1644;1336;121;246210560;22331162;34049700
1527711898395;1654;1344;122;246210560;22331270;34049958
1527711898495;1664;1352;124;246210560;22331486;34050474
1527711898595;1674;1359;125;246210560;22331594;34050732
1527711898695;1684;1366;126;246210560;22331810;34051248
1527711898796;1694;1372;127;246210560;22332026;34051762
1527711898896;1704;1380;128;246210560;22332134;34052018
1527711898996;1714;1388;128;246210560;22332350;34052534
1527711899096;1724;1395;128;246210560;22332566;34053048
1527711899196;1734;1402;129;246210560;22333229;34053306
1527711899296;1744;1410;129;246210560;22333445;34053821
1527711899396;1754;1416;131;246210560;22333661;34054336
1527711899497;1764;1424;131;246210560;22333877;34054799
1527711899597;1774;1432;132;246210560;22333985;34055109
1527711899697;1784;1439;132;246210560;22334201;34055623
1527711899797;1794;1445;134;246210560;22334417;34056138
1527711899898;1804;1452;134;246210560;22334633;34056654
1527711899998;1814;1460;135;246210560;22334741;34056912
1527711900099;1824;1467;136;246210560;22334957;34057427
1527711900199;1834;1473;137;246210560;22335173;34057944
1527711900300;1845;1479;138;246210560;22335389;34058460
1527711900400;1855;1486;140;246210560;22335497;34058719
1527711900500;1865;1494;140;246210560;22335713;34059236
1527711900600;1875;1501;141;246210560;22335929;34059752
1527711900701;1885;1510;141;246210560;22336037;34060009
1527711900801;1895;1517;142;246210560;22336253;34060525
1527711900901;1905;1526;142;246210560;22336361;34060782
1527711901001;1915;1534;144;246210560;22336577;34061299
1527711901101;1925;1540;144;246210560;22336793;34061815
1527711901202;1935;1546;146;246210560;22337009;34062278
1527711901302;1945;1554;146;246210560;22337117;34062587
