currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527712533381;1;0;0;1409024;24785845;37342272
1527712533481;11;7;2;201318400;24785845;37342272
1527712533581;21;15;4;202891264;24785845;37342272
1527712533681;31;24;4;205238272;24785845;37342272
1527712533781;41;34;4;205238272;24785845;37342272
1527712533881;51;42;6;206090240;24785845;37342272
1527712533982;61;52;6;208232448;24785845;37342272
1527712534082;71;60;7;210112512;24785845;37342272
1527712534182;81;70;8;210112512;24785845;37342272
1527712534282;91;78;9;210112512;24785845;37342272
1527712534383;101;88;10;210112512;24785845;37342272
1527712534483;111;95;10;210112512;24785845;37342272
1527712534583;121;104;10;210112512;24785845;37342272
1527712534683;131;114;10;210112512;24785845;37342272
1527712534783;141;122;12;210132992;24785845;37342272
1527712534883;151;130;14;210264064;24785845;37342272
1527712534983;161;139;15;210264064;24785845;37342272
1527712535083;171;149;15;210264064;24785845;37342272
1527712535184;181;159;15;210264064;24785845;37342272
1527712535284;191;168;15;210264064;24785845;37342272
1527712535384;201;178;15;210264064;24785845;37342272
1527712535485;211;187;16;210264064;24785845;37342272
1527712535585;221;196;16;210264064;24785845;37342272
1527712535687;231;206;17;210264064;24785845;37342272
1527712535787;241;214;18;210358272;24785845;37342272
1527712535887;251;224;18;210644992;24785845;37342272
1527712535988;261;232;19;210649088;24785845;37342272
1527712536088;271;242;20;210649088;24785845;37342272
1527712536188;281;250;21;210649088;24785845;37342272
1527712536289;291;260;22;211697664;24785845;37342272
1527712536389;301;269;22;211697664;24785845;37342272
1527712536490;312;277;22;211697664;24785845;37342272
1527712536590;322;286;24;211697664;24785845;37342272
1527712536690;332;294;25;211697664;24785845;37342272
1527712536791;342;304;26;211697664;24785845;37342272
1527712536891;352;313;26;211697664;24785845;37342272
1527712536991;362;322;26;212746240;24785845;37342272
1527712537092;372;331;27;212746240;24785845;37342272
1527712537192;382;341;28;212746240;24785845;37342272
1527712537292;392;351;28;212746240;24785845;37342272
1527712537393;402;360;28;212824064;24786053;37342880
1527712537493;412;369;29;212824064;24786053;37342880
1527712537593;422;378;29;212824064;24786053;37342880
1527712537693;432;387;30;213872640;24786053;37342880
1527712537794;442;396;31;213872640;24786053;37342880
1527712537894;452;406;31;213872640;24786053;37342880
1527712537994;462;413;33;213872640;24786053;37342880
1527712538094;472;419;34;213872640;24786053;37342880
1527712538195;482;428;35;213872640;24786053;37342880
1527712538295;492;437;36;213872640;24786053;37342880
1527712538396;502;446;37;213872640;24786053;37342880
1527712538496;512;456;37;213872640;24786053;37342880
1527712538596;522;464;38;214921216;24786053;37342880
1527712538696;532;473;39;214921216;24786053;37342880
1527712538796;542;482;40;214921216;24786053;37342880
1527712538896;552;490;42;214921216;24786053;37342880
1527712538996;562;500;42;214921216;24786053;37342880
1527712539096;572;509;42;214921216;24786053;37342880
1527712539196;582;518;43;215056384;24786053;37342880
1527712539296;592;527;44;215056384;24786053;37342880
1527712539396;602;535;46;215056384;24786053;37342880
1527712539496;612;544;46;215056384;24786053;37342880
1527712539596;622;553;47;215056384;24786053;37342880
1527712539696;632;562;48;217153536;24786053;37342880
1527712539796;642;572;48;217153536;24786053;37342880
1527712539896;652;580;49;217153536;24786053;37342880
1527712539996;662;589;50;217153536;24786053;37342880
1527712540096;672;597;50;217153536;24786053;37342880
1527712540196;682;605;52;217153536;24786053;37342880
1527712540296;692;613;52;217153536;24786053;37342880
1527712540396;702;620;54;217153536;24786053;37342880
1527712540497;712;629;55;217153536;24786053;37342880
1527712540597;722;638;56;217153536;24786053;37342880
1527712540697;732;648;56;218202112;24786053;37342880
1527712540797;742;657;57;218202112;24786053;37342880
1527712540897;752;666;57;218202112;24786053;37342880
1527712540997;762;676;58;218202112;24786053;37342880
1527712541098;772;683;60;247701504;24786169;37342992
1527712541198;782;686;61;248029184;24786398;37343514
1527712541299;792;694;62;248029184;24786398;37343514
1527712541399;802;704;63;248029184;24786398;37343514
1527712541499;812;712;63;248029184;24786627;37344037
1527712541599;823;722;63;248029184;24786856;37344561
1527712541699;832;731;64;248029184;24786856;37344561
1527712541800;843;739;64;248029184;24787085;37345081
1527712541900;853;748;64;248029184;24787314;37345598
