currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527712155658;0;0;0;1409024;22606893;34770239
1527712155758;10;7;2;201318400;22606893;34770239
1527712155858;20;16;2;202891264;22606893;34770239
1527712155958;30;24;5;205238272;22606893;34770239
1527712156059;40;32;6;205238272;22606893;34770239
1527712156159;50;42;6;206090240;22606893;34770239
1527712156259;60;51;7;208232448;22606893;34770239
1527712156360;71;59;8;210112512;22606893;34770239
1527712156460;81;68;10;210112512;22606893;34770239
1527712156560;91;77;10;210112512;22606893;34770239
1527712156661;101;87;10;210112512;22606893;34770239
1527712156761;111;95;10;210112512;22606893;34770239
1527712156861;121;104;11;210112512;22606893;34770239
1527712156961;131;114;11;210255872;22606893;34770239
1527712157062;141;124;11;210255872;22606893;34770239
1527712157162;151;133;11;210255872;22606893;34770239
1527712157262;161;142;12;210255872;22606893;34770239
1527712157362;171;151;13;210255872;22606893;34770239
1527712157462;181;159;15;210255872;22606893;34770239
1527712157562;191;168;15;210255872;22606893;34770239
1527712157662;201;178;16;210333696;22606893;34770239
1527712157763;211;186;17;210333696;22607101;34770847
1527712157863;221;194;18;210333696;22607101;34770847
1527712157963;231;203;19;210333696;22607101;34770847
1527712158064;241;212;20;210333696;22607101;34770847
1527712158164;251;220;22;210333696;22607101;34770847
1527712158264;261;230;22;210333696;22607101;34770847
1527712158365;271;239;23;210333696;22607101;34770847
1527712158465;281;247;23;210333696;22607101;34770847
1527712158565;291;255;23;210333696;22607101;34770847
1527712158665;301;262;24;210333696;22607101;34770847
1527712158766;311;269;25;210333696;22607101;34770847
1527712158866;321;275;26;210333696;22607101;34770847
1527712158966;331;283;27;210333696;22607101;34770847
1527712159066;341;289;28;211382272;22607101;34770847
1527712159167;351;295;29;211382272;22607101;34770847
1527712159267;361;304;30;211382272;22607101;34770847
1527712159370;372;312;32;211402752;22607101;34770847
1527712159470;382;320;34;212582400;22607101;34770847
1527712159570;392;330;34;212582400;22607101;34770847
1527712159670;402;338;35;212582400;22607101;34770847
1527712159770;412;348;35;212582400;22607101;34770847
1527712159870;422;358;35;212582400;22607101;34770847
1527712159971;432;368;35;212582400;22607101;34770847
1527712160071;442;377;35;213630976;22607101;34770847
1527712160171;452;386;36;213630976;22607101;34770847
1527712160272;462;395;37;213630976;22607101;34770847
1527712160372;472;404;38;213864448;22607101;34770847
1527712160472;482;413;38;214290432;22607101;34770847
1527712160572;492;422;39;214294528;22607101;34770847
1527712160672;502;432;39;214294528;22607101;34770847
1527712160772;512;442;39;214294528;22607101;34770847
1527712160873;522;450;40;214294528;22607101;34770847
1527712160973;532;458;41;214294528;22607101;34770847
1527712161073;542;465;41;214294528;22607101;34770847
1527712161173;552;471;43;215343104;22607101;34770847
1527712161274;562;478;44;215343104;22607101;34770847
1527712161374;572;486;44;215343104;22607101;34770847
1527712161474;582;491;46;215343104;22607101;34770847
1527712161575;592;495;48;215343104;22607101;34770847
1527712161675;602;501;49;215343104;22607101;34770847
1527712161775;612;509;50;215343104;22607101;34770847
1527712161875;622;518;51;215343104;22607101;34770847
1527712161975;632;526;51;215343104;22607101;34770847
1527712162075;642;534;52;215343104;22607101;34770847
1527712162176;652;544;52;215343104;22607101;34770847
1527712162276;662;550;52;215343104;22607101;34770847
1527712162376;672;559;53;216391680;22607101;34770847
1527712162477;682;567;54;216530944;22607101;34770847
1527712162577;692;574;55;216530944;22607101;34770847
1527712162677;702;580;56;216530944;22607101;34770847
