currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527709725453;0;0;0;1409024;17515994;26376689
1527709725553;10;4;4;67047424;17516092;26376689
1527709725653;20;14;5;69464064;17516092;26376689
1527709725753;30;24;5;69328896;17516092;26376689
1527709725854;40;33;5;69275648;17516092;26376689
1527709725954;50;42;6;70004736;17516092;26376689
1527709726054;60;51;7;71053312;17516142;26376689
1527709726154;70;61;7;71053312;17516142;26376689
1527709726254;80;69;8;72101888;17516142;26376689
1527709726354;90;78;9;72507392;17516142;26376689
1527709726454;100;86;10;75243520;17516246;26376897
1527709726554;110;96;10;76402688;17516386;26376897
1527709726654;120;106;10;74981376;17516386;26376897
1527709726754;130;114;12;77795328;17516386;26376897
1527709726854;140;124;12;78413824;17516386;26376897
1527709726954;150;131;14;77955072;17516386;26376897
1527709727054;160;140;15;78094336;17516386;26376897
1527709727154;170;150;15;78094336;17516386;26376897
1527709727254;180;159;16;78200832;17516386;26376897
1527709727354;190;168;16;78880768;17516386;26376897
1527709727455;200;178;16;78880768;17516386;26376897
1527709727555;210;186;18;78880768;17516386;26376897
1527709727655;220;194;19;78880768;17516386;26376897
1527709727756;230;203;20;79929344;17516386;26376897
1527709727856;240;213;20;79929344;17516386;26376897
1527709727956;250;222;20;80289792;17516490;26377209
1527709728057;260;231;21;113967104;17516542;26377321
1527709728157;270;241;21;113967104;17516802;26377585
1527709728257;280;251;21;113967104;17517798;26377890
1527709728357;290;260;21;113967104;17517966;26378106
1527709728458;300;270;22;118685696;17518261;26378106
1527709728558;310;280;22;118820864;17518261;26378106
1527709728658;320;288;23;118820864;17518515;26378252
1527709728759;330;298;23;118820864;17518783;26378701
1527709728859;340;307;24;118820864;17518783;26378701
1527709728959;350;316;24;118820864;17518935;26379040
1527709729060;361;326;24;118820864;17518935;26379040
1527709729160;371;335;25;119042048;17518935;26379040
1527709729260;381;345;25;119042048;17519087;26379380
1527709729361;391;353;27;119042048;17519133;26379432
1527709729461;401;362;27;119042048;17519738;26379432
1527709729561;411;372;27;119042048;17519890;26379767
1527709729661;421;382;28;120090624;17519936;26379819
1527709729761;431;391;28;120090624;17520088;26380152
1527709729861;441;400;29;120090624;17520088;26380152
1527709729961;451;408;30;120090624;17520628;26380485
1527709730064;461;418;30;120291328;17520780;26380817
1527709730165;471;428;30;120291328;17520780;26380817
1527709730265;481;437;31;120291328;17520932;26381150
1527709730365;491;446;32;120291328;17521084;26381484
1527709730465;501;456;32;120291328;17521282;26381870
1527709730566;511;465;32;120291328;17521282;26381870
1527709730666;521;474;34;120291328;17521434;26382203
1527709730766;531;484;34;120291328;17521632;26382590
1527709730867;541;492;35;120291328;17521784;26382924
1527709730967;551;502;36;120291328;17521936;26383257
1527709731067;561;510;36;120291328;17522088;26383590
1527709731168;571;520;37;120291328;17522240;26383924
1527709731268;581;529;37;120291328;17522240;26383924
1527709731368;591;539;38;119193600;17522240;26383924
1527709731469;601;548;38;119193600;17522392;26384257
1527709731569;611;558;38;119193600;17522590;26384642
1527709731669;621;568;38;119193600;17522742;26384972
1527709731769;631;577;39;119193600;17522940;26385357
1527709731870;642;587;39;119193600;17523092;26385690
1527709731970;652;596;39;119193600;17523092;26385690
1527709732070;662;606;40;119193600;17523244;26386023
1527709732170;672;615;40;119193600;17523396;26386355
1527709732270;682;624;40;119193600;17523548;26386688
1527709732370;692;634;41;119193600;17523700;26387022
1527709732470;702;642;42;119193600;17524457;26387356
1527709732571;712;652;42;119193600;17524503;26387408
1527709732671;722;661;43;119193600;17524655;26387743
1527709732772;732;669;45;119193600;17524853;26388129
1527709732873;742;678;46;119193600;17525005;26388461
1527709732973;752;688;46;119193600;17525157;26388795
1527709733073;762;695;48;119193600;17525309;26389127
1527709733173;772;704;48;119193600;17525461;26389460
1527709733273;782;714;49;119193600;17525461;26389460
1527709733373;792;723;49;119386112;17525613;26389794
1527709733473;802;732;50;119386112;17525765;26390127
1527709733573;812;740;52;119386112;17525917;26390460
1527709733673;822;750;52;119386112;17526115;26390845
1527709733773;832;759;53;119386112;17526267;26391179
1527709733873;842;769;53;119582720;17526465;26391565
1527709733974;852;778;53;119582720;17526617;26391846
1527709734074;862;787;54;119582720;17526617;26391898
1527709734174;872;797;54;119582720;17526769;26392231
1527709734275;882;806;56;119582720;17526921;26392565
1527709734375;892;815;56;119582720;17527073;26392898
1527709734475;902;824;56;119779328;17527225;26393230
1527709734575;912;834;57;119779328;17527377;26393564
1527709734675;922;843;57;119779328;17527529;26393898
1527709734775;932;851;59;119779328;17527575;26393950
1527709734875;942;860;60;119779328;17527727;26394281
1527709734975;952;870;60;119975936;17527925;26394666
1527709735075;962;879;60;120250368;17528077;26394998
1527709735175;972;889;60;120250368;17528077;26394998
1527709735275;982;898;61;120250368;17528229;26395332
1527709735375;992;907;62;120250368;17528381;26395665
1527709735475;1002;916;62;120250368;17528533;26395998
1527709735575;1012;924;64;120250368;17528685;26396331
1527709735675;1022;933;65;120250368;17528685;26396331
1527709735776;1032;942;66;120250368;17528883;26396716
1527709735876;1042;950;68;120250368;17529035;26397050
1527709735976;1052;959;69;120250368;17529233;26397436
1527709736076;1062;968;70;120250368;17529385;26397770
1527709736176;1072;976;71;120401920;17529537;26398103
1527709736276;1082;985;72;120401920;17529689;26398437
1527709736377;1092;994;73;120401920;17529689;26398437
1527709736477;1102;1003;74;120401920;17529841;26398772
1527709736577;1112;1012;74;120401920;17529993;26399106
1527709736677;1122;1022;75;120401920;17530145;26399438
1527709736777;1132;1031;75;120598528;17530297;26399771
1527709736877;1142;1041;76;120598528;17530495;26400157
1527709736979;1152;1050;77;120598528;17530647;26400491
1527709737079;1162;1058;78;120598528;17530845;26400877
1527709737179;1172;1067;78;120967168;17530845;26400877
1527709737280;1183;1077;79;120967168;17530997;26401211
1527709737380;1193;1086;80;120967168;17530997;26401211
1527709737480;1203;1095;80;120967168;17531820;26401544
1527709737580;1213;1104;81;120967168;17531972;26401877
1527709737680;1223;1112;82;120967168;17532124;26402211
1527709737780;1233;1121;84;120967168;17532276;26402545
1527709737881;1243;1130;85;120967168;17532322;26402597
1527709737981;1253;1139;85;120967168;17532474;26402929
1527709738081;1263;1148;86;120967168;17532672;26403315
1527709738181;1273;1157;86;120967168;17532874;26403649
1527709738282;1283;1167;86;120967168;17533150;26404099
1527709738382;1293;1176;88;121126912;17533302;26404432
1527709738482;1303;1185;88;121126912;17533454;26404764
