currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527702585419;0;0;0;1409024;493008;1073601
1527702585519;10;7;2;67047424;493008;1073601
1527702585619;20;16;2;69464064;493008;1073601
1527702585720;31;26;2;69328896;493008;1073601
1527702585820;41;36;2;69275648;493008;1073601
1527702585920;51;46;2;70004736;493008;1073601
1527702586021;61;54;4;71053312;493008;1073601
1527702586121;71;63;4;71053312;493008;1073601
1527702586221;81;72;5;72101888;493008;1073601
1527702586321;91;82;5;72507392;493008;1073601
1527702586422;101;88;6;72507392;493112;1073809
1527702586522;111;98;6;72536064;493112;1073809
1527702586622;121;104;8;75341824;493112;1073809
1527702586722;131;111;9;75341824;493112;1073809
1527702586822;141;119;9;75341824;493112;1073809
1527702586923;151;126;10;75341824;493112;1073809
1527702587023;161;134;11;75341824;493112;1073809
1527702587123;171;142;11;75341824;493112;1073809
1527702587224;181;150;11;75341824;493112;1073809
1527702587324;191;160;11;109019136;493112;1073809
1527702587424;201;169;12;110067712;493112;1073809
1527702587524;211;178;13;111263744;493112;1073809
1527702587624;221;188;13;115458048;493112;1073809
1527702587724;231;197;13;115982336;493112;1073809
1527702587824;241;204;15;116703232;493216;1074121
1527702587925;251;214;15;116703232;493268;1074233
1527702588025;261;223;16;116842496;493492;1074478
1527702588125;271;233;16;116842496;493492;1074478
1527702588228;281;242;17;117891072;493492;1074478
1527702588328;291;252;18;117891072;493492;1074478
1527702588428;301;261;18;118067200;493492;1074478
1527702588528;311;271;18;118067200;493544;1074698
1527702588628;321;280;18;118067200;493544;1074698
1527702588729;331;290;19;128552960;493544;1074698
1527702588829;341;299;19;128552960;493596;1074920
1527702588929;351;309;19;128708608;493596;1074920
1527702589029;361;319;19;128708608;493596;1074920
1527702589129;371;327;20;128708608;493648;1075143
1527702589229;381;336;21;128708608;493648;1075143
1527702589329;391;346;22;128708608;493700;1075361
1527702589429;401;356;22;128708608;493700;1075361
1527702589529;411;365;22;128708608;493752;1075577
1527702589629;421;374;22;128708608;493752;1075577
1527702589729;431;384;22;128708608;493804;1075793
1527702589829;442;393;23;128983040;493856;1076008
1527702589929;451;402;24;128815104;493908;1076224
1527702590029;461;412;24;128815104;493908;1076224
1527702590129;471;421;24;128815104;493960;1076441
1527702590230;482;430;26;128815104;494012;1076658
1527702590330;492;439;27;128815104;494064;1076874
1527702590430;502;448;28;128815104;494116;1077092
1527702590530;512;457;28;128815104;494168;1077309
1527702590631;522;465;30;128815104;494220;1077525
1527702590731;532;474;30;128815104;494220;1077525
1527702590831;542;484;31;128815104;494272;1077741
1527702590932;552;494;31;129003520;494324;1077958
1527702591032;562;503;32;129003520;494376;1078174
1527702591133;572;511;33;129003520;494428;1078390
1527702591233;582;520;34;129003520;494480;1078603
1527702591333;592;530;34;129003520;494532;1078819
1527702591433;602;539;34;129142784;494584;1079035
1527702591534;612;548;36;129142784;494584;1079035
1527702591634;622;556;38;129142784;494636;1079251
1527702591734;632;564;39;129142784;494688;1079466
1527702591834;642;573;40;129331200;494740;1079682
1527702591935;652;582;40;129331200;494792;1079899
1527702592035;662;591;42;129331200;494844;1080116
1527702592135;672;600;42;129855488;494844;1080116
1527702592235;682;609;43;130125824;494844;1080116
1527702592336;692;618;44;129077248;494896;1080334
1527702592436;702;627;45;129077248;494948;1080551
