currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527705430100;1;0;0;1409024;7650439;11504376
1527705430200;11;6;3;67047424;7650439;11504376
1527705430301;21;14;5;69464064;7650439;11504376
1527705430401;31;23;6;69328896;7650439;11504376
1527705430501;41;32;6;69275648;7650439;11504376
1527705430601;51;42;6;70004736;7650439;11504376
1527705430702;61;52;6;71053312;7650439;11504376
1527705430802;71;61;7;71053312;7650439;11504376
1527705430902;81;70;8;72101888;7650439;11504376
1527705431002;91;79;8;72507392;7650439;11504376
1527705431103;101;89;8;72507392;7650543;11504584
1527705431203;111;98;8;72507392;7650543;11504584
1527705431303;121;108;8;75812864;7650543;11504584
1527705431404;131;117;9;76222464;7650543;11504584
1527705431504;141;126;10;76222464;7650543;11504584
1527705431604;151;135;10;76222464;7650543;11504584
1527705431705;161;145;10;76222464;7650543;11504584
1527705431805;171;154;10;76582912;7650647;11504896
1527705431905;181;164;11;110137344;7650699;11505008
1527705432005;191;174;11;110661632;7650699;11505008
1527705432106;201;182;12;110661632;7650699;11505008
1527705432206;211;191;13;110661632;7650699;11505008
1527705432306;221;201;13;110661632;7650699;11505008
1527705432406;231;210;13;110784512;7651115;11505580
1527705432506;241;220;13;111308800;7651115;11505580
1527705432606;251;230;14;111308800;7651115;11505580
1527705432706;261;239;14;111308800;7651531;11506154
1527705432807;271;249;14;111308800;7651531;11506154
1527705432907;281;258;14;111443968;7652086;11506154
1527705433007;291;267;16;111443968;7652502;11506729
1527705433108;301;276;16;115638272;7652502;11506729
1527705433208;311;286;17;115638272;7652502;11506729
1527705433308;321;294;18;115838976;7652968;11507299
1527705433408;331;304;18;115838976;7653356;11507299
1527705433512;342;314;18;115838976;7653772;11507867
1527705433612;352;323;19;115838976;7653772;11507867
1527705433712;362;331;20;115838976;7654238;11508435
1527705433812;372;340;22;115838976;7654654;11509002
1527705433912;382;348;23;115838976;7654654;11509002
1527705434012;392;356;25;115838976;7655070;11509570
1527705434112;402;365;26;115838976;7655486;11510139
1527705434212;412;374;26;115838976;7655486;11510139
1527705434313;422;383;27;115838976;7655902;11510708
1527705434413;432;393;27;115838976;7656318;11511276
1527705434513;442;402;28;115838976;7656734;11511846
1527705434613;452;411;29;115838976;7657150;11512415
1527705434713;462;420;29;115838976;7657150;11512415
1527705434813;472;428;31;115838976;7657566;11512983
1527705434913;482;438;31;115998720;7657982;11513551
1527705435013;492;447;32;115998720;7658398;11514120
1527705435113;502;455;34;115998720;7658814;11514688
1527705435213;512;464;34;115998720;7658814;11514688
1527705435313;522;472;36;115998720;7659230;11515256
1527705435414;532;480;37;115998720;7659646;11515821
1527705435514;542;490;38;116195328;7660062;11516389
1527705435614;552;499;38;116195328;7660478;11516957
1527705435714;562;508;40;116445184;7660478;11516957
1527705435815;572;517;40;116445184;7660894;11517525
1527705435915;582;526;41;116445184;7661310;11518092
1527705436015;592;536;41;116445184;7661726;11518660
1527705436116;602;545;41;116445184;7662142;11519229
1527705436216;612;555;41;116445184;7662142;11519229
1527705436316;622;565;41;116445184;7662558;11519798
1527705436416;632;572;43;116445184;7662974;11520368
1527705436516;642;582;44;116445184;7663390;11520937
1527705436616;652;590;45;116617216;7663806;11521504
1527705436717;662;600;46;116617216;7663806;11521504
1527705436817;672;608;47;116617216;7664222;11522073
1527705436917;682;617;48;116617216;7664638;11522640
1527705437017;692;626;48;116617216;7665054;11523208
1527705437118;702;635;49;116617216;7665470;11523777
1527705437218;712;645;50;116617216;7665638;11524241
1527705437319;722;654;50;116617216;7665886;11524345
1527705437419;732;663;51;116785152;7666302;11524913
1527705437519;742;672;52;116785152;7666718;11525481
