currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527706814015;0;0;0;1409024;9343442;14902203
1527706814116;10;3;6;67047424;9343442;14902203
1527706814216;20;12;6;69328896;9343442;14902203
1527706814316;30;22;7;69328896;9343442;14902203
1527706814417;40;32;7;69275648;9343442;14902203
1527706814517;50;41;7;70004736;9343442;14902203
1527706814617;60;51;7;71053312;9343442;14902203
1527706814717;70;60;8;71053312;9343442;14902203
1527706814818;80;69;8;72101888;9343442;14902203
1527706814918;90;78;10;72507392;9343494;14902307
1527706815018;100;87;10;72507392;9343546;14902411
1527706815119;110;96;10;77279232;9343546;14902411
1527706815219;120;106;11;74940416;9343546;14902411
1527706815319;130;114;12;75108352;9343546;14902411
1527706815420;141;124;12;74985472;9343546;14902411
1527706815520;151;133;13;75202560;9343934;14902411
1527706815620;161;141;15;75726848;9343934;14902411
1527706815721;171;150;16;76775424;9343934;14902411
1527706815821;181;158;17;76775424;9343934;14902411
1527706815921;191;168;17;76775424;9343934;14902411
1527706816021;201;176;18;77824000;9343934;14902411
1527706816121;211;185;19;77824000;9343934;14902411
1527706816221;221;194;19;77824000;9343934;14902411
1527706816321;231;204;20;77824000;9343934;14902411
1527706816421;241;212;21;78135296;9343934;14902411
1527706816521;251;222;21;82853888;9343934;14902411
1527706816621;261;231;21;82853888;9343934;14902411
1527706816722;271;240;22;82853888;9343934;14902411
1527706816822;281;249;22;82853888;9343934;14902411
1527706816922;291;258;24;84742144;9343934;14902411
1527706817022;301;267;24;85139456;9343934;14902411
1527706817123;311;277;24;85139456;9343934;14902411
1527706817223;321;286;24;85139456;9343934;14902411
1527706817323;331;296;25;85139456;9343934;14902411
1527706817424;341;305;25;85139456;9343934;14902411
1527706817524;351;314;26;85139456;9343934;14902411
1527706817624;361;323;26;85663744;9343934;14902411
1527706817725;371;332;27;86552576;9343934;14902411
1527706817825;381;341;28;86097920;9343934;14902411
1527706817925;391;350;28;86097920;9343934;14902411
1527706818025;401;360;29;86097920;9343934;14902411
1527706818125;411;370;29;86663168;9344038;14902715
1527706818225;421;379;29;120217600;9344090;14902827
1527706818325;431;388;29;120340480;9344090;14902827
1527706818425;441;398;30;120340480;9344258;14903229
1527706818526;451;408;30;120340480;9344258;14903229
1527706818626;461;417;30;121913344;9344258;14903229
1527706818726;471;427;30;121913344;9344258;14903229
1527706818826;481;436;31;121913344;9344258;14903229
1527706818927;491;445;32;121913344;9344258;14903229
1527706819027;501;455;32;121913344;9344258;14903229
1527706819127;511;464;32;121913344;9344258;14903229
1527706819227;521;473;33;122118144;9344258;14903229
1527706819327;531;483;33;122118144;9344258;14903229
1527706819427;541;492;34;122118144;9344304;14903281
1527706819528;551;502;34;122118144;9344304;14903281
1527706819628;561;511;34;122560512;9344304;14903281
1527706819728;571;521;34;131997696;9344304;14903281
1527706819829;581;531;34;131158016;9344304;14903281
1527706819929;591;540;34;131158016;9344354;14903281
1527706820029;601;550;35;131158016;9344452;14903281
1527706820129;611;560;35;131158016;9344452;14903281
1527706820230;622;568;36;131158016;9344452;14903281
1527706820330;632;578;36;131158016;9344452;14903281
1527706820430;642;587;37;131158016;9344498;14903333
1527706820530;652;596;38;131158016;9344498;14903333
1527706820630;662;605;38;131158016;9344498;14903333
1527706820730;672;614;40;131158016;9344498;14903333
1527706820830;682;623;40;131158016;9344498;14903333
1527706820930;692;632;41;131158016;9344498;14903333
1527706821030;702;640;42;131158016;9344638;14903333
1527706821130;712;648;44;131158016;9344638;14903333
1527706821230;722;658;44;131559424;9344638;14903333
1527706821331;732;666;46;130715648;9350403;14903541
1527706821431;742;676;46;130715648;9350460;14903593
1527706821531;752;685;47;130715648;9350564;14903645
1527706821632;762;695;47;130715648;9350564;14903645
1527706821732;772;704;48;131592192;9350564;14903645
1527706821832;782;714;48;132349952;9350564;14903645
1527706821932;792;723;48;132349952;9350564;14903645
1527706822032;802;733;48;131989504;9350564;14903645
1527706822133;812;742;49;130867200;9350564;14903645
1527706822233;822;751;50;130867200;9350564;14903645
1527706822333;832;758;52;130867200;9352580;14916519
1527706822433;842;768;53;130867200;9352580;14916519
1527706822533;852;776;54;130867200;9352748;14917591
1527706822634;862;786;54;131051520;9352916;14918662
1527706822734;872;795;55;131051520;9353032;14918662
1527706822834;882;804;56;131051520;9353200;14919733
1527706822934;892;813;56;131051520;9353368;14920805
1527706823034;902;822;57;131051520;9353536;14921876
1527706823134;912;832;57;131051520;9353704;14922947
1527706823234;922;840;58;131051520;9353872;14924015
1527706823335;932;849;60;131051520;9353872;14924015
1527706823435;942;857;61;131051520;9354592;14925710
1527706823535;952;866;62;131051520;9354806;14926833
1527706823636;962;875;63;131051520;9355063;14927904
1527706823736;972;884;64;131051520;9355370;14927956
1527706823836;982;892;65;131051520;9355584;14929078
1527706823936;992;902;65;131051520;9355752;14930149
1527706824036;1002;911;66;131235840;9356106;14931273
1527706824136;1012;920;66;131235840;9356198;14931377
1527706824237;1022;929;67;131235840;9356366;14932449
1527706824337;1032;938;68;131235840;9356580;14933574
1527706824437;1042;947;68;131235840;9357346;14935322
1527706824537;1052;956;69;131432448;9357695;14936496
1527706824637;1062;965;70;131432448;9357909;14937620
1527706824737;1072;973;72;131432448;9358123;14938742
1527706824837;1082;982;72;131432448;9358215;14938846
1527706824937;1092;992;73;131432448;9358429;14939969
1527706825037;1102;1001;73;131432448;9358643;14941093
1527706825138;1112;1010;74;131629056;9358857;14942216
1527706825238;1122;1020;74;131629056;9359025;14943287
1527706825338;1132;1029;75;131629056;9359377;14944566
1527706825438;1142;1038;76;131629056;9359469;14944670
1527706825538;1152;1048;76;131629056;9360281;14946470
1527706825638;1162;1058;76;131629056;9360541;14947646
1527706825738;1172;1067;76;131825664;9360801;14948821
1527706825838;1182;1076;77;131825664;9361061;14949996
1527706825938;1192;1084;78;131825664;9361199;14950152
1527706826038;1202;1093;79;131825664;9361459;14951328
1527706826138;1212;1103;79;131825664;9361719;14952503
1527706826238;1222;1112;80;131825664;9361933;14953625
1527706826338;1232;1120;81;132022272;9362331;14954957
1527706826438;1242;1129;82;132022272;9362637;14956185
1527706826538;1252;1138;83;132022272;9362683;14956237
1527706826639;1262;1147;84;132390912;9363541;14958086
1527706826739;1272;1157;84;132390912;9363801;14959261
1527706826839;1282;1166;85;132530176;9364200;14959417
1527706826940;1293;1174;86;132530176;9364506;14960643
1527706827040;1303;1184;86;132530176;9364858;14961923
1527706827140;1313;1193;86;132530176;9365164;14963150
1527706827240;1323;1202;87;132530176;9365256;14963254
1527706827340;1333;1210;89;132530176;9365516;14964429
1527706827440;1343;1219;90;132530176;9366006;14965864
1527706827540;1353;1228;90;132530176;9366312;14967091
1527706827640;1363;1238;91;132530176;9367216;14968995
1527706827740;1373;1247;91;132530176;9367522;14970223
1527706827841;1383;1256;92;132530176;9367736;14971347
1527706827941;1393;1265;93;132530176;9367920;14971555
1527706828041;1403;1275;93;132530176;9368226;14972782
1527706828141;1413;1283;95;132530176;9368624;14974114
1527706828242;1423;1292;96;132530176;9369118;14975499
1527706828342;1433;1302;96;132677632;9369378;14976623
1527706828442;1443;1312;96;132677632;9369516;14976779
1527706828542;1453;1320;97;132677632;9370190;14978421
1527706828642;1463;1329;98;132677632;9370358;14979492
1527706828742;1473;1338;98;132677632;9371308;14981448
1527706828842;1483;1347;99;132874240;9371660;14982728
1527706828943;1493;1357;99;132874240;9371920;14983904
1527706829043;1503;1366;100;133210112;9372104;14984112
1527706829143;1513;1375;101;133210112;9372456;14985392
1527706829244;1523;1384;101;133210112;9372732;14985704
1527706829344;1533;1393;103;133210112;9373222;14987139
1527706829444;1543;1401;104;133210112;9373482;14988314
1527706829545;1553;1411;104;133210112;9373834;14989594
1527706829645;1563;1420;105;133210112;9374340;14990166
1527706829745;1573;1429;106;133210112;9374554;14991290
1527706829846;1583;1439;106;133210112;9375550;14993296
1527706829946;1593;1447;107;133210112;9375948;14994628
1527706830046;1603;1456;108;133808128;9376086;14994784
1527706830146;1613;1465;109;133808128;9376438;14996064
1527706830246;1623;1474;110;134856704;9376668;14996324
1527706830346;1633;1482;112;133808128;9377112;14997708
1527706830446;1643;1492;112;133808128;9377648;14999195
1527706830547;1653;1501;112;134119424;9377786;14999351
1527706830647;1663;1511;112;134119424;9378184;15000681
1527706830747;1673;1519;114;134680576;9378690;15001253
1527706830848;1683;1528;114;134680576;9379824;15003418
1527706830948;1693;1537;115;134918144;9380100;15003730
1527706831048;1703;1546;116;133869568;9380238;15003886
1527706831148;1713;1555;117;133332992;9380636;15005216
1527706831248;1723;1564;118;133332992;9381034;15006549
1527706831348;1733;1573;118;133500928;9381524;15007985
1527706831449;1743;1582;120;133500928;9382060;15009474
1527706831552;1754;1591;120;133640192;9382244;15009682
1527706831652;1764;1600;122;133640192;9382688;15011066
1527706831753;1774;1609;122;133640192;9383362;15012710
1527706831853;1784;1618;123;133640192;9383622;15013886
1527706831953;1794;1627;124;133640192;9384710;15015998
1527706832053;1804;1637;124;133640192;9384986;15016310
1527706832154;1814;1646;124;133791744;9385338;15017589
1527706832254;1824;1656;124;133791744;9385782;15018971
1527706832354;1834;1665;125;133791744;9386180;15020304
1527706832454;1844;1674;126;133791744;9386716;15021793
1527706832554;1854;1682;128;133791744;9387298;15023331
1527706832654;1864;1690;130;133791744;9387696;15024663
1527706832754;1874;1698;131;133988352;9388186;15026099
1527706832854;1884;1708;132;133988352;9388692;15026671
1527706832954;1894;1717;132;133988352;9388998;15027899
1527706833054;1904;1725;133;133988352;9389493;15028970
1527706833154;1914;1735;133;133988352;9390903;15031446
1527706833254;1924;1744;134;134184960;9391301;15032777
1527706833354;1934;1754;134;134184960;9391791;15034211
1527706833454;1944;1763;135;134184960;9392067;15034523
1527706833554;1954;1772;136;134184960;9392649;15036063
1527706833655;1964;1780;137;134184960;9393277;15037656
1527706833755;1974;1790;138;134184960;9393721;15039040
1527706833855;1984;1798;139;134381568;9394257;15040529
1527706833956;1994;1806;141;134381568;9394977;15042225
1527706834056;2004;1816;141;134381568;9395283;15043454
1527706834156;2014;1825;142;134381568;9395497;15044577
1527706834257;2024;1833;143;134381568;9397177;15046457
1527706834357;2034;1842;144;134836224;9397551;15047782
1527706834457;2044;1850;145;134836224;9398041;15049218
1527706834557;2054;1860;146;134836224;9398669;15050809
1527706834658;2064;1869;146;134836224;9399343;15052452
1527706834758;2074;1878;147;134836224;9399781;15052928
1527706834858;2084;1888;148;134836224;9400247;15054356
1527706834958;2094;1896;149;134836224;9401013;15056103
1527706835059;2104;1905;150;134836224;9401319;15057329
1527706835159;2114;1913;151;134836224;9401579;15058505
1527706835259;2124;1921;153;134836224;9401793;15059629
1527706835360;2135;1930;154;134836224;9403571;15062521
1527706835460;2145;1939;154;134983680;9404061;15063957
1527706835560;2155;1949;154;134983680;9404429;15064373
1527706835660;2165;1959;154;134983680;9405103;15066017
1527706835760;2175;1968;156;134983680;9405823;15067713
1527706835861;2185;1977;156;134983680;9406359;15069201
1527706835961;2195;1986;157;134983680;9406987;15070793
1527706836061;2205;1996;157;135118848;9407799;15072593
1527706836161;2215;2004;158;135118848;9407937;15072749
1527706836262;2225;2014;159;135118848;9408243;15073978
1527706836362;2235;2023;159;135118848;9410113;15076974
1527706836462;2245;2032;160;135307264;9410649;15078461
1527706836563;2255;2040;162;135307264;9411231;15080002
1527706836663;2265;2048;164;135471104;9411951;15081697
1527706836763;2275;2057;164;135774208;9412549;15082373
1527706836863;2285;2066;166;135774208;9413085;15083861
1527706836963;2295;2074;167;135774208;9413759;15085506
1527706837063;2305;2083;168;135774208;9414617;15087358
1527706837163;2315;2092;168;135774208;9414969;15088638
1527706837263;2325;2101;169;135774208;9415321;15089918
1527706837363;2335;2110;170;135774208;9415627;15091146
1527706837463;2345;2119;171;135774208;9417651;15093434
1527706837563;2355;2127;173;135774208;9418279;15095023
1527706837664;2365;2134;175;135774208;9419045;15096771
1527706837764;2375;2144;175;135774208;9419213;15097842
1527706837864;2385;2154;175;135774208;9420025;15099641
1527706837965;2395;2163;176;135774208;9420791;15101388
1527706838065;2405;2173;176;135774208;9421327;15102876
1527706838165;2415;2181;177;135913472;9422231;15104779
1527706838265;2425;2191;177;135913472;9422415;15104987
1527706838366;2435;2200;178;135913472;9422813;15106319
1527706838466;2445;2210;178;135913472;9423165;15107597
1527706838566;2455;2218;179;135913472;9423333;15108668
1527706838666;2465;2227;180;136052736;9426031;15112601
1527706838767;2475;2236;182;136052736;9426941;15114403
1527706838867;2485;2244;183;136187904;9427155;15115528
1527706838967;2495;2252;185;136187904;9428013;15117381
1527706839068;2505;2261;186;136712192;9428657;15118109
1527706839168;2515;2269;187;136712192;9429239;15119648
1527706839268;2525;2279;188;136855552;9430239;15121603
1527706839369;2535;2287;189;136855552;9430637;15122935
1527706839469;2545;2297;189;136855552;9431081;15124319
1527706839569;2555;2305;190;136855552;9431433;15125598
1527706839669;2565;2314;191;136855552;9431647;15126722
1527706839770;2576;2322;193;136855552;9435053;15130414
1527706839870;2586;2332;194;137052160;9435267;15131538
1527706839970;2596;2340;194;137052160;9436171;15133442
1527706840070;2606;2350;194;137052160;9437029;15135295
1527706840170;2616;2360;194;137052160;9437657;15136887
1527706840270;2626;2369;195;137187328;9438653;15138895
1527706840370;2636;2379;195;137187328;9439097;15140279
1527706840470;2646;2388;196;137711616;9439097;15140279
1527706840570;2656;2397;196;137711616;9439419;15140643
1527706840670;2666;2406;197;137711616;9439649;15140903
1527706840770;2676;2414;199;137711616;9439863;15142027
1527706840870;2686;2423;200;137711616;9440077;15143151
1527706840970;2696;2431;202;137711616;9443649;15148070
1527706841070;2706;2440;202;137711616;9444553;15149972
1527706841170;2716;2450;202;137711616;9445289;15150804
1527706841270;2726;2459;203;137711616;9445963;15152446
1527706841370;2736;2468;204;137711616;9447005;15154503
1527706841470;2746;2476;205;137711616;9447495;15155938
