currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527782128377;0;0;0;1409024;28430088;42987450
1527782128477;11;8;1;6930432;28430088;42987450
1527782128578;21;16;2;7532544;28430088;42987450
1527782128678;31;26;2;8056832;28430088;42987450
1527782128778;41;36;2;8318976;28430088;42987450
1527782128878;51;45;3;8982528;28430088;42987450
1527782128978;61;55;3;9478144;28430088;42987450
1527782129078;71;64;3;9478144;28430088;42987450
1527782129178;81;73;4;11100160;28430088;42987450
1527782129278;91;82;5;12472320;28430088;42987450
1527782129378;101;91;6;12931072;28430088;42987450
1527782129479;111;100;6;13463552;28430088;42987450
1527782129579;121;110;6;14168064;28430088;42987450
1527782129679;131;120;6;14614528;28430088;42987450
1527782129779;141;128;7;15646720;28430088;42987450
1527782129879;151;137;8;18337792;28430088;42987450
1527782129980;161;145;9;19025920;28430088;42987450
1527782130080;171;155;9;23633920;28430088;42987450
1527782130180;181;164;10;24453120;28430088;42987450
1527782130280;191;173;11;25923584;28430088;42987450
1527782130380;201;182;12;27770880;28430088;42987450
1527782130481;211;191;12;28196864;28430088;42987450
1527782130581;221;200;13;28332032;28430088;42987450
1527782130682;231;209;14;28823552;28430088;42987450
1527782130782;241;216;14;29306880;28430386;42987450
1527782130882;251;224;15;29642752;28430386;42987450
1527782130982;261;234;16;29720576;28430386;42987450
1527782131083;271;243;16;29982720;28430386;42987450
1527782131183;281;253;16;30240768;28430386;42987450
1527782131283;291;261;18;30502912;28430386;42987450
1527782131383;301;271;18;30765056;28430386;42987450
1527782131483;311;281;18;31027200;28430386;42987450
1527782131584;321;290;18;31264768;28430386;42987450
1527782131684;331;299;19;31526912;28430386;42987450
1527782131784;341;308;19;31924224;28430597;42987450
1527782131884;351;316;20;32186368;28430597;42987450
1527782131984;361;326;21;32604160;28430597;42987450
1527782132084;371;336;21;32866304;28430597;42987450
1527782132184;381;345;21;33128448;28430597;42987450
1527782132284;391;354;22;33390592;28430597;42987450
1527782132385;401;362;23;33980416;28430597;42987450
1527782132485;411;372;24;34242560;28430597;42987450
1527782132586;421;380;24;34668544;28430597;42987450
1527782132686;431;390;25;34668544;28430597;42987450
1527782132786;441;400;25;34668544;28430597;42987450
1527782132886;451;409;25;36073472;28430597;42987450
1527782132987;461;414;26;63721472;28430765;42987663
1527782133087;471;414;26;63721472;28430765;42987663
1527782133187;482;416;27;63721472;28431838;42988032
1527782133288;492;416;27;63721472;28431838;42988032
1527782133388;502;419;27;63721472;28433937;42988393
1527782133488;512;423;27;63721472;28434503;42988750
1527782133588;522;428;28;63983616;28436310;42988947
1527782133688;532;438;28;63983616;28436310;42988947
1527782133789;542;448;28;64245760;28436573;42989110
1527782133889;552;458;28;64245760;28436737;42989485
1527782133989;562;467;28;64507904;28436737;42989485
1527782134089;572;476;28;64507904;28436901;42989862
1527782134189;582;486;28;64507904;28436901;42989862
1527782134289;592;496;28;64507904;28437065;42990238
1527782134389;602;506;28;64507904;28437065;42990238
1527782134489;612;516;28;64507904;28437229;42990614
1527782134590;622;526;28;64507904;28437229;42990614
1527782134690;632;536;28;64507904;28437509;42991099
1527782134790;642;545;28;64507904;28437509;42991099
1527782134890;652;555;28;64507904;28437673;42991470
1527782134990;662;565;28;64507904;28437673;42991470
1527782135090;672;575;28;64507904;28437837;42991843
1527782135190;682;584;28;64507904;28437837;42991843
1527782135290;692;594;29;64507904;28438001;42992219
1527782135390;702;604;29;64507904;28438001;42992219
1527782135490;712;613;29;64507904;28438001;42992219
1527782135590;722;623;30;64507904;28438211;42992643
1527782135691;732;633;30;64507904;28438211;42992643
1527782135791;742;642;30;64507904;28438211;42992643
1527782135891;752;652;30;64507904;28438375;42993014
1527782135991;762;662;30;64507904;28438375;42993014
1527782136091;772;672;30;64507904;28438539;42993383
1527782136192;782;682;30;64507904;28438539;42993383
1527782136292;792;692;30;64507904;28438703;42993756
1527782136392;802;702;30;64507904;28438703;42993756
1527782136492;812;712;30;64507904;28438867;42994129
1527782136593;822;721;30;64507904;28438867;42994129
1527782136693;832;730;30;64507904;28439031;42994502
1527782136794;842;740;30;64507904;28439031;42994502
1527782136894;852;750;31;64507904;28439195;42994874
1527782136994;862;760;31;64507904;28439195;42994874
1527782137094;872;769;31;64507904;28439359;42995246
1527782137194;882;779;31;64507904;28439359;42995246
1527782137294;892;789;31;64507904;28439523;42995614
1527782137394;902;798;31;64507904;28439523;42995614
1527782137494;912;808;32;64507904;28439687;42995986
1527782137595;922;818;32;64507904;28439687;42995986
1527782137695;932;828;32;64507904;28439851;42996358
1527782137796;942;838;32;64507904;28439851;42996358
1527782137896;952;848;32;64507904;28440015;42996727
1527782137996;962;857;32;64507904;28440015;42996727
1527782138097;972;867;32;64507904;28440179;42997098
1527782138197;982;877;32;64507904;28440179;42997098
1527782138298;993;887;32;64507904;28440179;42997098
1527782138398;1003;896;32;64507904;28440343;42997468
1527782138498;1013;906;32;64507904;28440343;42997468
1527782138598;1023;916;32;64507904;28440507;42997840
1527782138698;1033;926;32;64507904;28440507;42997840
1527782138799;1043;935;32;64507904;28440717;42998264
1527782138899;1053;945;33;64507904;28440717;42998264
1527782138999;1063;954;33;64507904;28440881;42998635
1527782139099;1073;964;33;64507904;28440881;42998635
1527782139200;1083;974;33;64507904;28441045;42999007
1527782139300;1093;984;33;64507904;28441045;42999007
1527782139400;1103;994;33;64507904;28441209;42999380
1527782139500;1113;1004;33;64507904;28441209;42999380
1527782139601;1123;1013;34;64507904;28441373;42999752
1527782139701;1133;1023;34;64507904;28441373;42999752
1527782139801;1143;1033;34;64507904;28441537;43000124
1527782139901;1153;1042;34;64507904;28441537;43000124
1527782140001;1163;1052;34;64507904;28441701;43000498
1527782140101;1173;1061;34;64507904;28441701;43000498
1527782140202;1183;1071;35;64507904;28441865;43000871
1527782140302;1193;1080;35;64507904;28441865;43000871
1527782140403;1203;1090;35;64507904;28442029;43001244
1527782140503;1213;1100;35;64507904;28442029;43001244
1527782140603;1223;1110;35;64507904;28442193;43001616
1527782140704;1233;1119;36;64507904;28442193;43001616
1527782140804;1243;1129;36;64507904;28442357;43001989
1527782140904;1253;1138;36;64507904;28442357;43001989
1527782141004;1263;1148;36;64507904;28442357;43001989
1527782141104;1273;1158;36;64507904;28442521;43002360
1527782141204;1283;1168;36;64507904;28442521;43002360
1527782141304;1293;1177;36;64507904;28442685;43002731
1527782141405;1303;1187;36;64507904;28442685;43002731
1527782141505;1313;1197;37;64507904;28442849;43003104
1527782141605;1323;1206;37;64507904;28442849;43003104
1527782141706;1333;1216;38;64507904;28443013;43003477
1527782141806;1343;1225;38;64507904;28443013;43003477
1527782141907;1353;1235;38;64507904;28443177;43003849
1527782142007;1363;1244;38;64507904;28443177;43003849
1527782142107;1374;1254;38;64507904;28443387;43004273
1527782142207;1384;1264;38;64507904;28443387;43004273
1527782142308;1394;1273;39;64507904;28443551;43004646
1527782142408;1404;1283;39;64507904;28443551;43004646
1527782142508;1414;1293;39;64507904;28443715;43005019
1527782142609;1424;1303;39;64507904;28443715;43005019
1527782142709;1434;1312;39;64507904;28443929;43005391
1527782142810;1444;1322;39;64507904;28443975;43005391
1527782142910;1454;1332;40;64507904;28444139;43005765
1527782143010;1464;1342;40;64507904;28444139;43005765
1527782143110;1474;1351;40;64507904;28444303;43006139
1527782143210;1484;1361;40;64507904;28444303;43006139
1527782143310;1494;1371;40;64507904;28444303;43006139
1527782143410;1504;1381;40;64507904;28444467;43006510
1527782143510;1514;1390;40;64507904;28444467;43006510
1527782143610;1524;1400;40;64507904;28444631;43006882
1527782143710;1534;1410;40;64507904;28444631;43006882
1527782143811;1544;1420;40;64507904;28444795;43007253
1527782143911;1554;1430;40;64507904;28444795;43007253
1527782144011;1564;1440;40;64507904;28444959;43007626
1527782144111;1574;1449;40;64507904;28444959;43007626
1527782144211;1584;1459;40;64507904;28445123;43007998
1527782144311;1594;1469;40;64507904;28445123;43007998
1527782144411;1604;1479;40;64507904;28445287;43008371
1527782144511;1614;1489;40;64507904;28445287;43008371
1527782144611;1624;1498;40;64507904;28445451;43008743
