currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527782977434;0;0;0;1409024;28898820;44260199
1527782977534;10;8;1;6930432;28898820;44260199
1527782977634;20;17;1;7532544;28898820;44260199
1527782977734;30;26;2;8056832;28898820;44260199
1527782977834;40;35;3;8318976;28898820;44260199
1527782977935;50;45;3;8982528;28898820;44260199
1527782978035;60;54;3;9478144;28898820;44260199
1527782978135;70;64;3;9478144;28898820;44260199
1527782978235;80;73;4;11100160;28898820;44260199
1527782978335;90;83;4;12472320;28898820;44260199
1527782978435;100;91;5;12931072;28898820;44260199
1527782978535;110;100;6;13463552;28898820;44260199
1527782978635;120;110;6;14168064;28898820;44260199
1527782978735;130;120;6;14614528;28898820;44260199
1527782978836;140;128;7;15646720;28898820;44260199
1527782978936;150;136;8;18337792;28898820;44260199
1527782979036;160;145;10;19025920;28898820;44260199
1527782979136;170;154;11;23633920;28898820;44260199
1527782979236;180;162;12;24453120;28898820;44260199
1527782979337;190;171;13;25923584;28898820;44260199
1527782979437;201;180;14;27770880;28898820;44260199
1527782979538;211;190;14;28196864;28898820;44260199
1527782979638;221;200;14;28332032;28898820;44260199
1527782979738;231;208;14;28823552;28898820;44260199
1527782979838;241;214;18;29306880;28898820;44260199
1527782979938;251;223;18;29642752;28898820;44260199
1527782980039;261;232;19;29720576;28898820;44260199
1527782980139;271;242;19;29982720;28898820;44260199
1527782980239;281;251;19;30240768;28898820;44260199
1527782980339;291;261;19;30765056;28898820;44260199
1527782980440;301;271;19;30765056;28898820;44260199
1527782980540;311;280;19;31027200;28898820;44260199
1527782980640;321;289;20;31526912;28898820;44260199
1527782980740;331;298;21;31526912;28898820;44260199
1527782980840;341;307;22;31924224;28898820;44260199
1527782980941;351;316;23;32186368;28898820;44260199
1527782981041;361;324;24;32604160;28898820;44260199
1527782981142;371;333;25;32866304;28898820;44260199
1527782981242;381;343;25;33128448;28898820;44260199
1527782981342;391;352;25;33390592;28898820;44260199
1527782981442;401;361;26;33980416;28898820;44260199
1527782981542;411;369;27;34406400;28898820;44260199
1527782981643;421;378;28;34668544;28898820;44260199
1527782981743;431;388;28;34668544;28898820;44260199
1527782981843;441;398;29;34668544;28898820;44260199
1527782981943;451;407;29;36073472;28898820;44260199
1527782982043;461;417;29;36458496;28899265;44260667
1527782982144;471;427;29;36458496;28899321;44260719
1527782982244;481;436;29;36720640;28899478;44261057
1527782982344;491;446;29;36720640;28899478;44261057
1527782982445;501;456;29;36720640;28899635;44261397
1527782982545;511;466;29;36720640;28899635;44261397
1527782982645;521;476;29;36720640;28899792;44261736
1527782982745;531;486;29;36720640;28899888;44261736
1527782982845;541;496;29;36720640;28900045;44262075
1527782982945;551;505;29;36720640;28900045;44262075
1527782983045;561;515;29;36720640;28900202;44262411
1527782983145;571;525;29;36720640;28900202;44262411
1527782983245;581;535;29;36720640;28900359;44262745
1527782983346;591;544;29;36720640;28900359;44262745
1527782983446;601;554;29;36720640;28900516;44263081
1527782983546;611;564;29;36720640;28900516;44263081
1527782983646;621;574;29;36720640;28900673;44263420
1527782983747;631;584;29;36720640;28900673;44263420
1527782983847;641;593;29;36720640;28900830;44263755
1527782983947;652;603;29;36720640;28900830;44263755
