currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527784707965;0;0;0;1409024;32087241;49154548
1527784708066;10;8;1;6930432;32087291;49154548
1527784708166;20;17;1;7532544;32087291;49154548
1527784708266;30;26;2;8056832;32087291;49154548
1527784708366;40;35;3;8318976;32087291;49154548
1527784708466;50;44;4;8982528;32087291;49154548
1527784708567;60;53;4;9478144;32087291;49154548
1527784708667;70;63;4;9478144;32087291;49154548
1527784708767;81;71;6;11100160;32087291;49154548
1527784708867;91;80;7;12140544;32087291;49154548
1527784708968;101;89;7;12931072;32087291;49154548
1527784709068;111;99;7;13463552;32087291;49154548
1527784709168;121;108;8;14168064;32087291;49154548
1527784709268;131;118;8;14614528;32087291;49154548
1527784709369;141;126;10;15646720;32087291;49154548
1527784709469;151;134;11;18149376;32087291;49154548
1527784709570;161;143;12;19025920;32087291;49154548
1527784709670;171;152;13;23633920;32087291;49154548
1527784709770;181;161;13;24453120;32087291;49154548
1527784709870;191;169;15;25776128;32087291;49154548
1527784709971;201;177;16;27770880;32087291;49154548
1527784710071;211;187;17;28196864;32087291;49154548
1527784710171;221;196;17;28332032;32087291;49154548
1527784710271;231;206;17;28823552;32087291;49154548
1527784710371;241;212;19;29306880;32087291;49154548
1527784710472;251;222;19;29642752;32087291;49154548
1527784710572;261;231;20;29720576;32087291;49154548
1527784710672;271;241;20;29982720;32087291;49154548
1527784710772;281;250;20;30240768;32087291;49154548
1527784710872;291;259;21;30502912;32087291;49154548
1527784710972;301;269;21;30765056;32087291;49154548
1527784711072;311;278;21;31027200;32087291;49154548
1527784711172;321;288;22;31264768;32087291;49154548
1527784711273;331;296;23;31526912;32087291;49154548
1527784711373;341;305;24;31924224;32087291;49154548
1527784711474;351;314;24;32186368;32087291;49154548
1527784711574;361;323;25;32604160;32087291;49154548
1527784711674;371;332;26;32866304;32087291;49154548
1527784711774;381;342;26;33128448;32087291;49154548
1527784711874;391;351;26;33390592;32087291;49154548
1527784711975;401;359;28;33980416;32087291;49154548
1527784712075;411;368;28;33980416;32087291;49154548
1527784712175;421;377;29;34668544;32087291;49154548
1527784712275;431;387;29;34668544;32087291;49154548
1527784712375;441;397;29;34668544;32087291;49154548
1527784712476;451;406;30;36073472;32087291;49154548
1527784712576;461;415;30;36335616;32087291;49154548
1527784712676;471;425;30;36335616;32087291;49154548
1527784712776;481;434;31;36597760;32087291;49154548
1527784712876;491;436;31;36720640;32087688;49155271
1527784712976;501;445;31;36720640;32087740;49155323
1527784713076;511;455;31;36982784;32087740;49155323
1527784713177;521;461;32;36982784;32088189;49156100
1527784713277;531;471;32;36982784;32088189;49156100
1527784713377;542;480;32;36982784;32088638;49156876
1527784713477;551;490;32;36982784;32088638;49156876
1527784713577;562;499;33;36982784;32089087;49157652
1527784713678;572;509;33;36982784;32089087;49157652
1527784713778;582;519;33;36982784;32089087;49157652
1527784713878;592;528;33;36982784;32089536;49158425
1527784713978;602;538;33;36982784;32089536;49158425
1527784714078;612;547;33;36982784;32089985;49159196
1527784714178;622;557;33;36982784;32089985;49159196
1527784714278;632;566;34;36982784;32090434;49159969
1527784714378;642;576;34;36982784;32090434;49159969
1527784714478;652;585;35;36982784;32090883;49160745
1527784714578;662;595;35;36982784;32090883;49160745
1527784714679;672;604;35;36982784;32090883;49160745
1527784714779;682;614;35;36982784;32091228;49161413
1527784714879;692;624;35;36982784;32091332;49161517
1527784714979;702;634;35;36982784;32091332;49161517
1527784715079;712;644;35;36982784;32091781;49162288
1527784715180;722;653;35;36982784;32091781;49162288
1527784715280;732;662;35;36982784;32092230;49163057
1527784715380;742;672;35;36982784;32092230;49163057
1527784715480;752;682;36;36982784;32092679;49163830
1527784715580;762;691;36;36982784;32092679;49163830
1527784715681;772;700;36;36982784;32093128;49164603
1527784715781;782;710;36;36982784;32093128;49164603
1527784715881;792;720;36;36982784;32093473;49165272
1527784715981;802;729;37;36982784;32093577;49165376
1527784716082;812;739;37;36982784;32093577;49165376
1527784716182;822;749;37;36982784;32094026;49166148
1527784716282;832;759;37;36982784;32094026;49166148
1527784716382;842;768;37;36982784;32094475;49166920
1527784716483;852;778;37;36982784;32094475;49166920
1527784716583;862;787;37;36982784;32094924;49167688
1527784716683;872;797;37;36982784;32094924;49167688
1527784716783;882;806;37;36982784;32095373;49168460
1527784716883;892;816;37;36982784;32095373;49168460
1527784716984;902;826;38;36982784;32095718;49169128
1527784717084;912;835;38;36982784;32095822;49169232
1527784717184;922;845;38;36982784;32095822;49169232
1527784717284;932;855;38;36982784;32096271;49170001
1527784717384;942;865;38;36982784;32096271;49170001
1527784717485;952;874;39;36982784;32096720;49170772
1527784717585;962;883;39;36982784;32096720;49170772
1527784717685;972;892;39;36982784;32097169;49171542
1527784717785;982;902;39;36982784;32097169;49171542
1527784717885;992;910;39;36982784;32097389;49172158
1527784717986;1002;920;39;36982784;32097618;49172314
1527784718086;1012;930;39;36982784;32097618;49172314
1527784718186;1022;939;39;36982784;32098067;49173086
1527784718286;1032;949;39;36982784;32098067;49173086
1527784718386;1042;958;39;36982784;32098516;49173857
1527784718487;1052;968;39;36982784;32098516;49173857
1527784718587;1062;978;39;36982784;32098965;49174629
1527784718687;1072;988;39;36982784;32098965;49174629
1527784718787;1083;996;40;36982784;32099310;49175298
1527784718887;1093;1006;40;36982784;32099414;49175402
1527784718988;1103;1016;40;36982784;32099414;49175402
1527784719088;1113;1025;41;36982784;32099863;49176174
1527784719188;1123;1035;41;36982784;32099863;49176174
1527784719288;1133;1045;41;36982784;32100312;49176946
1527784719389;1143;1054;41;36982784;32100312;49176946
1527784719489;1153;1063;41;36982784;32100761;49177720
1527784719589;1163;1073;41;36982784;32100761;49177720
1527784719690;1173;1083;41;36982784;32101210;49178493
1527784719790;1183;1092;41;36982784;32101210;49178493
1527784719890;1193;1102;41;36982784;32101326;49178605
1527784719990;1203;1112;42;36982784;32101659;49179266
1527784720091;1213;1122;42;36982784;32101659;49179266
1527784720191;1223;1131;42;36982784;32102108;49180037
1527784720291;1233;1141;42;36982784;32102108;49180037
1527784720391;1243;1150;42;36982784;32102557;49180810
1527784720491;1253;1160;42;36982784;32102557;49180810
1527784720592;1263;1170;42;36982784;32103006;49181581
1527784720692;1273;1180;42;36982784;32103006;49181581
1527784720792;1283;1189;43;36982784;32103351;49182248
1527784720892;1293;1198;43;36982784;32103455;49182352
1527784720992;1303;1208;43;36982784;32103455;49182352
1527784721092;1313;1217;43;36982784;32103904;49183125
1527784721192;1323;1227;43;36982784;32103904;49183125
1527784721292;1333;1236;43;36982784;32104353;49183898
1527784721393;1343;1246;43;36982784;32104353;49183898
1527784721493;1353;1256;43;36982784;32104802;49184670
1527784721593;1363;1266;43;36982784;32104802;49184670
