currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527783778975;0;0;0;1409024;29339425;45410664
1527783779075;10;8;0;6930432;29339425;45410664
1527783779175;20;16;2;7532544;29339425;45410664
1527783779275;30;26;2;8056832;29339425;45410664
1527783779375;40;36;2;8318976;29339425;45410664
1527783779475;50;45;3;8982528;29339425;45410664
1527783779575;60;54;3;9478144;29339425;45410664
1527783779675;70;64;3;9478144;29339425;45410664
1527783779775;80;73;4;11100160;29339425;45410664
1527783779875;90;82;5;12140544;29339425;45410664
1527783779976;100;91;5;12931072;29339425;45410664
1527783780076;110;101;5;13463552;29339425;45410664
1527783780176;120;110;6;14168064;29339425;45410664
1527783780276;130;120;6;14614528;29339425;45410664
1527783780377;140;127;8;15646720;29339425;45410664
1527783780477;151;136;9;18337792;29339425;45410664
1527783780578;161;145;10;19025920;29339425;45410664
1527783780678;171;154;10;23633920;29339425;45410664
1527783780778;181;163;11;24453120;29339425;45410664
1527783780878;191;173;11;25776128;29339425;45410664
1527783780979;201;182;12;27770880;29339425;45410664
1527783781079;211;191;12;28196864;29339425;45410664
1527783781179;221;201;12;28332032;29339425;45410664
1527783781279;231;210;13;28823552;29339425;45410664
1527783781379;241;214;17;29306880;29339425;45410664
1527783781480;251;224;17;29642752;29339425;45410664
1527783781580;261;233;18;29720576;29339425;45410664
1527783781680;271;243;18;29982720;29339425;45410664
1527783781780;281;251;20;30240768;29339425;45410664
1527783781881;291;258;22;30502912;29339425;45410664
1527783781981;301;268;22;30765056;29339425;45410664
1527783782082;311;277;23;31027200;29339425;45410664
1527783782182;321;285;24;31264768;29339425;45410664
1527783782282;331;294;25;31526912;29339425;45410664
1527783782382;341;304;25;31924224;29339425;45410664
1527783782483;351;313;26;32186368;29339425;45410664
1527783782583;361;322;26;32604160;29339425;45410664
1527783782683;371;332;26;32866304;29339425;45410664
1527783782783;381;341;27;33128448;29339425;45410664
1527783782883;391;349;28;33390592;29339425;45410664
1527783782984;401;358;29;33980416;29339425;45410664
1527783783084;411;366;30;34242560;29339425;45410664
1527783783184;421;375;32;34668544;29339425;45410664
1527783783284;431;384;32;34668544;29339425;45410664
1527783783384;441;394;32;34668544;29339425;45410664
1527783783485;451;403;33;36073472;29339425;45410664
1527783783585;461;412;34;36335616;29339425;45410664
1527783783685;471;422;34;36335616;29339425;45410664
1527783783785;481;431;34;36597760;29339425;45410664
1527783783885;491;433;34;36720640;29340503;45412011
1527783783985;501;442;34;36720640;29340503;45412011
1527783784085;511;452;34;36982784;29340503;45412011
1527783784185;521;461;35;36982784;29341582;45413360
1527783784285;531;471;35;36982784;29341582;45413360
1527783784385;541;480;35;36982784;29342656;45414708
1527783784485;551;489;35;36982784;29342656;45414708
1527783784585;561;498;36;36982784;29343731;45416056
1527783784685;571;508;36;36982784;29343731;45416056
1527783784786;581;517;36;36982784;29344701;45417297
1527783784886;591;527;36;36982784;29344805;45417401
1527783784986;601;537;36;36982784;29344805;45417401
1527783785086;611;546;37;36982784;29345878;45418745
1527783785186;621;556;37;36982784;29345878;45418745
1527783785286;631;565;37;36982784;29346950;45420090
1527783785386;641;575;37;36982784;29346950;45420090
1527783785486;651;584;37;36982784;29348024;45421438
1527783785586;661;594;37;36982784;29348024;45421438
1527783785686;671;603;37;36982784;29348024;45421438
1527783785787;681;612;37;36982784;29348992;45422678
1527783785887;691;622;38;36982784;29349096;45422782
1527783785987;701;632;38;36982784;29349096;45422782
1527783786087;712;641;38;36982784;29350169;45424125
1527783786187;722;651;38;36982784;29350169;45424125
1527783786287;732;660;38;36982784;29351241;45425466
1527783786387;741;670;38;36982784;29351241;45425466
1527783786487;751;679;38;36982784;29352314;45426811
1527783786587;762;689;38;36982784;29352314;45426811
1527783786687;772;698;38;36982784;29352534;45428000
1527783786788;782;708;38;36982784;29353388;45428156
