currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527343121500;0;0;0;372736;3285469;4398530
1527343121600;10;4;2;38961152;3287021;4401199
1527343121700;20;13;3;78299136;3288835;4402876
1527343121800;30;23;3;78299136;3288835;4402928
1527343121900;40;33;3;78299136;3288835;4402928
1527343122000;50;43;3;78299136;3288835;4402928
1527343122100;60;53;3;78299136;3288835;4402928
1527343122200;70;63;3;78299136;3288835;4402928
1527343122300;80;71;5;78299136;3288835;4402928
1527343122400;90;81;5;78299136;3288835;4402928
1527343122500;100;91;5;78299136;3288835;4402928
1527343122600;110;101;5;78299136;3288835;4402928
1527343122700;120;111;5;78299136;3289401;4417018
1527343122800;130;121;6;78299136;3289401;4417070
1527343122900;140;131;6;78299136;3289401;4417070
1527343123001;150;141;6;78299136;3289401;4417070
1527343123101;160;151;6;78299136;3289401;4417070
1527343123201;170;161;6;78299136;3289401;4417070
1527343123301;180;171;6;78299136;3289401;4417070
1527343123401;190;181;6;78299136;3289401;4417070
1527343123501;200;191;6;78299136;3289401;4417070
1527343123601;210;201;6;78299136;3289401;4417070
1527343123702;220;211;6;78299136;3290019;4431274
1527343123802;230;221;6;78299136;3290019;4431274
1527343123902;240;231;6;78299136;3290019;4431274
1527343124002;250;241;6;78299136;3290019;4431274
1527343124102;260;251;6;78299136;3290019;4431274
1527343124202;270;261;6;78299136;3290019;4431274
1527343124302;280;271;6;78299136;3290019;4431274
1527343124403;290;281;6;78299136;3290019;4431274
1527343124503;300;291;6;78299136;3290019;4431274
1527343124603;310;301;6;78299136;3290019;4431274
1527343124703;320;311;6;78299136;3290331;4445275
1527343124803;330;321;7;78299136;3290585;4445431
1527343124903;340;331;7;78299136;3290585;4445431
1527343125003;350;341;7;78299136;3290761;4445599
1527343125103;360;351;7;78299136;3290761;4445599
1527343125204;370;360;8;78299136;3290761;4445599
1527343125304;381;371;8;78299136;3290761;4445599
1527343125404;391;380;8;78299136;3290761;4445599
1527343125504;401;390;8;78299136;3290761;4445599
1527343125604;410;400;8;78299136;3290761;4445599
1527343125704;420;410;8;78299136;3290811;4445599
1527343125804;430;420;8;78299136;3291377;4459708
1527343125904;440;430;8;78299136;3291423;4459708
1527343126004;450;440;8;78299136;3291469;4459760
1527343126104;460;450;8;78299136;3291469;4459760
1527343126204;470;460;8;78299136;3291469;4459760
1527343126304;480;470;8;78299136;3291469;4459760
1527343126405;491;481;8;78299136;3291469;4459760
1527343126505;501;489;10;78299136;3291469;4459760
1527343126605;511;499;10;78299136;3291469;4459760
1527343126705;521;509;10;78299136;3291469;4459760
1527343126805;531;519;11;78299136;3292041;4473868
1527343126905;541;528;12;78299136;3292041;4473868
1527343127005;551;538;12;78299136;3292041;4473868
1527343127105;561;547;13;78299136;3292087;4473920
1527343127205;571;557;13;78299136;3292087;4473920
1527343127305;581;567;13;78299136;3292087;4473920
1527343127405;591;577;13;78299136;3292087;4473920
1527343127505;601;587;13;78299136;3292087;4473920
1527343127605;611;597;13;78299136;3292087;4473920
1527343127705;621;607;13;78299136;3292087;4473920
1527343127805;631;617;13;78299136;3292659;4488196
1527343127905;641;627;13;78299136;3292659;4488196
1527343128005;651;637;13;78299136;3292659;4488196
1527343128105;661;647;13;78299136;3292705;4488248
1527343128205;671;657;13;78299136;3292705;4488248
1527343128305;681;667;13;78299136;3292881;4488416
1527343128405;691;677;13;78299136;3292881;4488416
1527343128505;701;687;13;78299136;3292881;4488416
1527343128606;711;697;13;78299136;3292881;4488416
1527343128706;721;707;14;78299136;3292881;4488416
1527343128806;731;716;15;78299136;3293453;4502272
1527343128906;741;726;15;78299136;3293453;4502272
1527343129006;751;736;15;78299136;3293453;4502272
1527343129106;761;746;15;78299136;3293453;4502272
1527343129206;771;756;15;78299136;3293453;4502272
1527343129307;781;766;15;78299136;3293453;4502272
1527343129407;791;776;15;78299136;3293499;4502324
1527343129507;801;786;15;78299136;3293499;4502324
1527343129607;811;796;15;78299136;3293499;4502324
1527343129707;821;805;16;78299136;3293499;4502324
1527343129807;831;815;16;78299136;3294175;4516144
1527343129907;841;825;16;78299136;3294175;4516144
1527343130007;851;835;16;78299136;3294175;4516144
1527343130107;861;845;16;78299136;3294175;4516144
1527343130207;871;855;16;78299136;3294175;4516144
1527343130307;881;865;16;78299136;3294175;4516144
1527343130407;891;875;16;78299136;3294221;4516196
1527343130507;901;885;16;78299136;3294221;4516196
1527343130607;911;896;16;78299136;3294221;4516196
1527343130708;921;906;16;78299136;3294221;4516196
1527343130808;931;916;16;78299136;3294741;4530011
1527343130908;941;926;16;78299136;3294741;4530011
1527343131008;951;936;16;78299136;3294741;4530011
1527343131108;961;946;16;78299136;3294741;4530011
1527343131208;971;956;16;78299136;3294741;4530011
1527343131308;981;966;16;78299136;3294741;4530011
1527343131408;991;976;16;78299136;3294741;4530011
1527343131508;1001;986;16;78299136;3294787;4530063
1527343131608;1011;995;17;78299136;3294963;4530231
1527343131708;1021;1005;17;78299136;3294963;4530231
1527343131808;1031;1015;17;78299136;3295535;4544353
1527343131908;1041;1025;17;78299136;3295535;4544353
1527343132008;1051;1035;17;78299136;3295535;4544353
1527343132108;1061;1045;17;78299136;3295535;4544353
1527343132209;1071;1055;17;78299136;3295535;4544353
1527343132309;1081;1066;17;78299136;3295535;4544353
1527343132409;1091;1076;17;78299136;3295535;4544353
1527343132509;1101;1086;17;78299136;3295535;4544353
1527343132609;1111;1096;17;78299136;3295535;4544353
1527343132709;1121;1106;17;78299136;3295581;4544405
1527343132809;1131;1116;17;78299136;3296257;4558157
1527343132910;1141;1125;18;78299136;3296257;4558157
1527343133010;1151;1135;18;78299136;3296257;4558157
1527343133110;1161;1143;20;78299136;3296257;4558157
1527343133210;1171;1152;21;78299136;3296257;4558157
1527343133310;1181;1162;21;78299136;3296257;4558157
1527343133410;1191;1172;21;78299136;3296257;4558157
1527343133510;1201;1181;22;78299136;3296257;4558157
1527343133611;1211;1191;22;78299136;3296257;4558157
1527343133711;1221;1201;22;78299136;3296257;4558157
1527343133811;1231;1210;23;78299136;3296927;4572350
1527343133911;1241;1219;24;78299136;3296927;4572350
1527343134011;1251;1229;24;78299136;3296927;4572350
1527343134111;1261;1239;24;78299136;3296927;4572350
1527343134211;1271;1249;24;78299136;3296927;4572350
1527343134311;1281;1260;24;78299136;3297315;4572350
1527343134411;1291;1270;24;78299136;3297315;4572350
1527343134511;1301;1280;24;78299136;3297315;4572350
1527343134611;1311;1290;24;78299136;3297315;4572350
1527343134711;1321;1300;24;78299136;3297315;4572350
1527343134811;1331;1310;24;78299136;3297673;4580207
1527343134911;1341;1320;24;78299136;3297985;4586607
1527343135011;1351;1330;24;78299136;3298161;4586775
1527343135112;1361;1340;24;78299136;3298161;4586775
1527343135212;1371;1350;24;78299136;3298161;4586775
1527343135312;1381;1360;24;78299136;3298161;4586775
1527343135412;1391;1370;24;78299136;3298161;4586775
1527343135512;1401;1380;24;78299136;3298161;4586775
1527343135612;1411;1390;24;78299136;3298161;4586775
1527343135712;1421;1399;25;78299136;3298161;4586775
1527343135813;1431;1409;25;78299136;3298421;4593175
1527343135913;1441;1419;25;78299136;3298733;4600559
1527343136013;1451;1429;26;78299136;3298733;4600559
1527343136113;1461;1439;26;78299136;3298779;4600611
1527343136213;1471;1449;26;78299136;3298779;4600611
1527343136313;1481;1459;26;78299136;3298779;4600611
1527343136413;1491;1469;26;78299136;3298779;4600611
1527343136513;1501;1479;26;78299136;3298779;4600611
1527343136613;1511;1489;26;78299136;3298779;4600611
1527343136713;1521;1499;26;78299136;3298779;4600611
1527343136813;1531;1508;27;78299136;3299091;4607622
1527343136913;1541;1518;27;78299136;3299351;4614758
1527343137013;1551;1527;28;78299136;3299351;4614758
1527343137113;1561;1537;28;78299136;3299397;4614810
1527343137213;1571;1547;28;78299136;3299397;4614810
1527343137314;1581;1557;28;78299136;3299397;4614810
1527343137414;1592;1568;28;78299136;3299397;4614810
1527343137514;1602;1577;28;78299136;3299397;4614810
1527343137614;1612;1587;28;78299136;3299397;4614810
1527343137714;1622;1597;28;78299136;3299397;4614810
1527343137814;1632;1606;29;78299136;3299657;4621217
1527343137914;1641;1617;29;78299136;3299969;4628742
1527343138014;1651;1627;29;78299136;3299969;4628742
1527343138114;1661;1637;29;78299136;3299969;4628742
1527343138214;1671;1647;29;78299136;3300015;4628794
1527343138314;1681;1656;30;78299136;3300191;4628962
1527343138414;1691;1666;30;78299136;3300191;4628962
1527343138514;1701;1676;30;78299136;3300191;4628962
1527343138614;1711;1686;30;78299136;3300191;4628962
1527343138714;1722;1697;30;78299136;3300191;4628962
1527343138814;1732;1706;31;78299136;3300451;4636435
1527343138914;1742;1715;31;78299136;3300763;4642922
1527343139014;1752;1725;31;78299136;3300763;4642922
1527343139114;1761;1735;31;78299136;3300763;4642922
1527343139214;1771;1745;31;78299136;3300763;4642922
1527343139314;1781;1755;31;78299136;3300763;4642922
1527343139414;1791;1764;32;78299136;3300809;4642974
1527343139514;1801;1774;32;78299136;3300809;4642974
1527343139614;1811;1784;32;78299136;3300809;4642974
1527343139714;1821;1794;32;78299136;3300809;4642974
1527343139815;1832;1805;32;78299136;3300809;4642974
1527343139915;1842;1816;32;78299136;3301381;4656927
1527343140015;1852;1826;32;78299136;3301381;4656927
1527343140115;1862;1836;32;78299136;3301381;4656927
1527343140215;1872;1846;32;78299136;3301381;4656927
1527343140315;1882;1856;32;78299136;3301381;4656927
1527343140415;1892;1866;32;78299136;3301427;4656979
1527343140515;1902;1876;32;78299136;3301427;4656979
1527343140615;1912;1886;32;78299136;3301427;4656979
1527343140715;1922;1896;32;78299136;3301523;4656979
1527343140815;1932;1906;32;78299136;3301523;4656979
1527343140915;1942;1915;33;78299136;3302095;4670884
1527343141015;1952;1925;33;78299136;3302095;4670884
1527343141115;1962;1935;33;78299136;3302095;4670884
1527343141215;1972;1945;33;78299136;3302095;4670884
1527343141316;1982;1955;33;78299136;3302095;4670884
1527343141416;1992;1965;33;78299136;3302095;4670884
1527343141516;2002;1975;33;78299136;3302141;4670884
1527343141616;2012;1985;33;78299136;3302317;4671052
1527343141716;2022;1995;33;78299136;3302317;4671052
1527343141816;2032;2005;33;78299136;3302317;4671052
1527343141916;2042;2016;33;78299136;3302993;4685237
1527343142016;2052;2026;33;78299136;3302993;4685237
1527343142116;2062;2035;34;78299136;3302993;4685237
1527343142216;2072;2045;34;78299136;3302993;4685237
1527343142316;2082;2055;34;78299136;3302993;4685237
1527343142416;2092;2065;34;78299136;3302993;4685237
1527343142516;2102;2075;34;78299136;3302993;4685237
1527343142616;2112;2085;34;78299136;3302993;4685237
1527343142716;2122;2095;34;78299136;3303039;4685289
1527343142817;2132;2105;34;78299136;3303039;4685289
1527343142917;2142;2115;34;78299136;3303663;4699059
1527343143017;2152;2125;34;78299136;3303663;4699059
1527343143117;2162;2135;34;78299136;3303663;4699059
1527343143217;2172;2145;34;78299136;3303663;4699059
1527343143317;2182;2155;34;78299136;3303663;4699059
1527343143417;2192;2164;35;78299136;3303663;4699059
1527343143518;2202;2174;35;78299136;3303663;4699059
1527343143618;2212;2184;35;78299136;3303663;4699059
1527343143718;2222;2194;35;78299136;3303709;4699111
1527343143818;2232;2204;35;78299136;3303709;4699111
1527343143918;2242;2215;35;78299136;3304281;4713046
1527343144018;2252;2225;35;78299136;3304281;4713046
1527343144118;2262;2235;35;78299136;3304281;4713046
1527343144219;2272;2244;36;78299136;3304281;4713046
1527343144319;2282;2254;36;78299136;3304281;4713046
1527343144419;2292;2264;36;78299136;3304281;4713046
1527343144519;2302;2273;37;78299136;3304281;4713046
1527343144619;2312;2283;37;78299136;3304281;4713046
1527343144719;2322;2293;37;78299136;3304281;4713046
1527343144819;2332;2303;37;78299136;3304327;4713098
1527343144919;2342;2313;37;78299136;3304899;4726670
1527343145019;2352;2323;37;78299136;3305075;4726838
1527343145119;2362;2326;37;78299136;3305127;4726950
1527343145219;2372;2326;37;78299136;3305179;4727062
1527343145319;2382;2326;37;78299136;3305231;4727174
1527343145419;2392;2326;37;78299136;3305283;4727286
1527343145519;2402;2326;37;78299136;3305335;4727398
1527343145619;2412;2326;37;78299136;3305387;4727510
1527343145719;2422;2327;37;78299136;3305439;4727622
1527343145819;2432;2327;37;78299136;3305491;4727734
1527343145920;2442;2327;37;78299136;3305907;4730881
