currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527007531739;1;0;0;13557760;3143745;4458757
1527007531839;11;3;2;28209152;3143745;4458757
1527007531939;21;3;2;28340224;3143913;4458943
1527007532039;31;12;2;29388800;3144833;4460355
1527007532139;41;23;2;29388800;3146021;4462216
1527007532239;51;33;2;29388800;3147209;4464078
1527007532339;61;43;2;29388800;3148125;4465601
1527007532439;71;43;2;29388800;3148289;4465874
1527007532539;81;53;2;29388800;3149369;4467735
1527007532639;91;63;2;29388800;3150557;4469428
1527007532739;101;73;2;29388800;3151637;4471123
1527007532839;111;83;2;29388800;3152661;4472819
1527007532940;121;84;2;29388800;3152825;4473092
1527007533040;131;93;3;29388800;3153957;4474955
1527007533140;141;103;3;29388800;3155093;4476648
1527007533240;151;113;3;29388800;3156173;4478511
1527007533340;161;123;3;29388800;3157305;4480206
1527007533440;171;133;4;29388800;3158441;4481898
1527007533540;181;143;4;29388800;3159629;4483763
1527007533640;191;153;4;29388800;3160709;4485458
1527007533740;201;163;4;29388800;3161897;4487321
1527007533841;211;173;4;29388800;3162921;4489013
1527007533941;221;174;4;29388800;3162977;4489234
1527007534041;231;184;4;29388800;3164165;4490983
1527007534141;241;194;4;29388800;3165245;4492677
1527007534241;251;204;4;29388800;3166433;4494540
1527007534341;261;213;5;29388800;3167457;4496234
1527007534441;271;214;5;29388800;3167513;4496286
1527007534542;281;223;5;29388800;3168701;4498199
1527007534642;291;232;6;29388800;3169833;4500060
1527007534742;301;243;6;29388800;3170969;4501751
1527007534842;311;253;6;29388800;3172049;4503613
1527007534942;321;263;6;29388800;3173237;4505309
1527007535042;331;273;6;29388800;3174317;4507002
1527007535142;341;283;6;29388800;3175891;4508865
1527007535242;351;293;7;29388800;3176971;4510564
1527007535342;361;303;7;29388800;3178103;4512433
1527007535443;371;304;7;29388800;3178159;4512485
1527007535543;381;313;7;29388800;3179291;4514404
1527007535643;391;323;7;29388800;3180427;4516096
1527007535743;401;333;7;29388800;3181559;4517961
1527007535843;411;344;7;29388800;3182695;4519658
1527007535943;421;354;7;29388800;3183775;4521521
1527007536043;431;364;7;29388800;3184963;4523214
1527007536143;441;374;7;29388800;3186043;4524907
1527007536243;451;384;7;29388800;3187231;4526771
1527007536344;461;395;7;29388800;3188311;4528636
1527007536444;471;405;7;29388800;3189499;4530330
1527007536544;481;415;7;29388800;3190631;4532194
1527007536644;491;425;7;29388800;3191767;4533892
1527007536744;501;434;8;29388800;3192847;4535756
1527007536844;511;445;8;29388800;3194035;4537451
1527007536944;521;455;8;29388800;3195115;4539146
1527007537044;531;465;8;29388800;3196303;4541011
1527007537144;541;475;8;29388800;3197383;4542706
