currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527453020320;0;0;0;1875968;7976490;9960447
1527453020420;10;6;3;29458432;7976783;9960912
1527453020520;20;15;3;29458432;7978376;9963597
1527453020620;30;23;3;29458432;7979969;9966281
1527453020720;40;32;3;29458432;7981562;9968966
1527453020821;50;41;3;29458432;7983155;9971649
1527453020921;60;50;3;29458432;7984925;9974632
1527453021021;70;59;3;29458432;7986518;9977315
1527453021121;80;68;3;29458432;7988111;9980001
1527453021221;90;77;3;29458432;7989704;9982688
1527453021321;100;85;3;29458432;7991120;9985076
1527453021421;110;94;3;29458432;7992713;9987762
1527453021521;120;103;3;29458432;7994429;9990497
1527453021621;130;110;4;29458432;7995961;9993048
1527453021721;140;119;4;29458432;7997606;9996034
1527453021821;150;128;4;29458432;7999324;9998718
1527453021921;160;137;4;29458432;8000917;10001402
1527453022022;170;146;4;29458432;8002510;10004090
1527453022123;180;155;4;29458432;8004103;10006777
1527453022223;190;164;4;29458432;8005696;10009462
1527453022323;200;171;5;29458432;8007289;10012145
1527453022423;210;180;5;29458432;8008882;10014832
1527453022523;220;189;5;29458432;8010475;10017520
1527453022623;230;198;5;29458432;8012068;10020204
1527453022723;240;205;6;29458432;8013723;10022808
1527453022823;250;214;6;29458432;8015316;10025493
1527453022923;260;223;6;29458432;8017086;10028476
1527453023023;270;232;6;29458432;8018679;10031159
1527453023123;280;241;6;29458432;8020272;10033843
1527453023223;290;249;6;29458432;8021865;10036526
1527453023324;300;258;6;29458432;8023458;10039211
1527453023424;310;267;6;29458432;8025051;10041898
1527453023524;320;276;6;29458432;8026644;10044583
1527453023624;330;285;6;29458432;8030111;10047267
1527453023724;340;293;7;29458432;8031704;10049956
1527453023824;350;302;7;29458432;8033536;10052862
1527453023924;360;311;7;29458432;8035129;10055553
1527453024024;370;320;7;29458432;8036722;10058240
1527453024124;380;327;8;29458432;8038315;10060924
1527453024224;390;336;8;29458432;8039908;10063610
1527453024325;400;345;8;29458432;8041678;10066599
1527453024425;410;354;8;29458432;8043271;10069283
1527453024525;420;363;8;29458432;8044864;10071969
1527453024625;430;371;9;29458432;8046457;10074652
1527453024725;440;379;9;29458432;8048050;10077339
1527453024825;450;388;9;29458432;8049643;10080323
1527453024925;460;397;9;29458432;8051475;10083226
1527453025025;470;406;10;29458432;8053245;10085912
1527453025125;480;415;10;29458432;8054838;10088597
1527453025225;490;423;10;29458432;8056431;10091287
1527453025325;500;432;10;29458432;8058412;10093973
