currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527453393583;1;0;0;13557760;11547495;15083248
1527453393683;11;8;1;29450240;11548453;15084930
1527453393783;21;16;1;29450240;11555486;15090988
1527453393883;31;24;1;29450240;11561779;15097046
1527453393984;41;31;1;29450240;11568071;15103104
1527453394084;51;38;2;29450240;11574366;15109162
1527453394184;61;46;2;29450240;11579924;15115220
1527453394284;71;52;2;29450240;11586167;15120520
1527453394384;81;60;2;29450240;11592463;15126577
1527453394484;91;68;2;29450240;11598761;15132637
1527453394584;101;75;2;29450240;11604272;15137940
1527453394684;111;82;2;29450240;11610568;15144000
1527453394784;121;89;3;29450240;11616867;15150061
1527453394885;131;98;3;29450240;11623263;15156927
1527453394985;141;104;3;29450240;11629742;15162496
1527453395085;151;112;3;29450240;11636040;15168556
1527453395185;161;120;3;29450240;11642339;15174615
1527453395285;171;128;3;29450240;11648633;15180673
1527453395385;181;135;3;29450240;11654189;15186731
1527453395485;191;142;3;29450240;11660435;15192792
1527453395585;201;149;4;29450240;11666731;15198095
1527453395685;211;156;4;29450240;11673031;15204156
1527453395785;221;164;4;29450240;11679325;15210213
1527453395885;231;172;4;29450240;11685615;15216270
1527453395985;241;179;4;29450240;11691917;15222332
1527453396085;251;187;4;29450240;11697481;15228392
1527453396185;261;193;4;29450240;11702983;15232988
1527453396285;271;201;4;29450240;11709514;15239315
1527453396385;281;208;4;29450240;11715075;15245374
1527453396485;291;216;4;29450240;11721369;15251433
1527453396585;301;223;4;29450240;11726878;15256733
1527453396686;311;230;4;29450240;11733119;15262033
1527453396787;322;238;4;29450240;11739414;15268091
1527453396887;332;245;4;29450240;11745711;15274148
1527453396987;342;253;4;29450240;11752003;15280206
1527453397087;352;260;4;29450240;11757511;15285508
1527453397187;362;267;4;29450240;11763809;15291568
1527453397287;372;275;4;29450240;11769368;15297626
1527453397387;382;282;4;29450240;11775660;15303685
1527453397487;392;290;4;29450240;11781960;15309799
1527453397587;402;296;5;29450240;11788501;15315373
1527453397687;412;304;5;29450240;11794801;15321436
1527453397787;422;311;5;29450240;11800363;15327498
1527453397887;432;319;5;29450240;11806657;15333557
1527453397987;442;326;5;29450240;11812900;15338858
1527453398087;452;333;6;29450240;11819198;15344918
1527453398187;462;340;7;29450240;11825495;15350981
1527453398287;472;347;7;29450240;11831788;15357040
1527453398387;482;354;8;29450240;11838082;15363098
1527453398487;492;360;9;29450240;11843589;15369157
1527453398587;502;367;9;29450240;11849885;15374458
1527453398687;512;375;9;29450240;11855438;15380518
