currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527461836475;1;0;0;311296;39177485;55491286
1527461836575;10;8;1;300900352;39177485;55491286
1527461836675;20;17;2;306909184;39177485;55491286
1527461836776;30;27;2;306909184;39177485;55491286
1527461836877;41;38;3;311758848;39177485;55491286
1527461836978;51;49;4;312897536;39177485;55491286
1527461837079;61;61;4;313946112;39177485;55491286
1527461837180;71;75;4;313946112;39177485;55491286
1527461837280;81;85;4;313946112;39177485;55491286
1527461837380;91;95;4;313946112;39177485;55491286
1527461837480;101;106;4;313946112;39177485;55491286
1527461837580;111;120;4;314019840;39177485;55491286
1527461837680;121;132;4;314019840;39177589;55491798
1527461837780;131;143;4;314019840;39177589;55491798
1527461837880;141;156;4;314019840;39177589;55491798
1527461837980;151;166;7;314019840;39177589;55491798
1527461838080;161;177;8;343498752;39177589;55491798
1527461838180;171;187;8;343588864;39177589;55491798
1527461838280;181;199;9;345292800;39177589;55491798
1527461838380;191;209;9;345292800;39177589;55491798
1527461838480;201;222;9;345292800;39177589;55491798
1527461838580;211;234;9;345292800;39177589;55491798
1527461838680;221;246;9;345292800;39177994;55492144
1527461838781;231;257;9;346341376;39178386;55492282
1527461838881;241;268;9;347389952;39178386;55492282
1527461838981;251;278;9;347389952;39178386;55492282
1527461839081;261;290;9;347389952;39178386;55492282
1527461839181;271;300;10;347389952;39178386;55492282
1527461839281;281;310;10;347389952;39178386;55492282
1527461839381;291;320;10;348438528;39178386;55492282
1527461839481;301;331;10;348438528;39178386;55492282
1527461839581;311;345;10;348438528;39178386;55492282
1527461839681;321;356;10;348438528;39178386;55492282
1527461839781;331;366;10;348438528;39178432;55492334
1527461839881;341;378;10;348438528;39178432;55492334
1527461839981;351;387;11;348438528;39178824;55492472
1527461840081;361;396;13;348438528;39178824;55492472
1527461840181;371;407;13;349487104;39178824;55492472
1527461840281;381;416;14;349552640;39178824;55492472
1527461840381;391;427;14;349552640;39178824;55492472
1527461840481;401;441;14;351649792;39178824;55492472
1527461840581;411;452;14;351649792;39178824;55492472
1527461840681;421;463;14;352698368;39178824;55492472
1527461840781;431;475;14;353026048;39178824;55492472
1527461840881;441;484;16;353046528;39178824;55492472
