currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527374298790;1;0;0;2355200;31581552;47730556
1527374298890;11;10;0;300900352;31581552;47730556
1527374298990;21;20;0;306909184;31581552;47730556
1527374299090;31;30;0;306909184;31581552;47730556
1527374299190;41;39;2;311758848;31581552;47730556
1527374299290;51;50;3;313946112;31581552;47730556
1527374299390;61;61;4;313946112;31581552;47730556
1527374299490;71;73;5;313946112;31581552;47730556
1527374299590;81;86;5;313946112;31581552;47730556
1527374299690;91;96;5;343515136;31581552;47730556
1527374299790;101;105;6;343842816;31581552;47730556
1527374299891;111;112;6;344825856;31581776;47730803
1527374299992;121;121;7;344825856;31581776;47730803
1527374300093;131;133;7;344977408;31581776;47730803
1527374300194;141;144;7;344977408;31581776;47730803
1527374300295;151;155;7;344977408;31581776;47730803
1527374300396;161;167;7;344977408;31581776;47730803
1527374300497;171;180;7;344977408;31581776;47730803
1527374300598;181;190;7;344977408;31581776;47730803
1527374300698;191;202;7;345219072;31581776;47730803
1527374300798;201;220;7;345219072;31581776;47730803
1527374300898;211;230;8;347316224;31581776;47730803
1527374300998;221;240;8;347316224;31581822;47730855
1527374301098;231;250;9;347316224;31581822;47730855
1527374301198;241;261;9;347316224;31581822;47730855
1527374301298;251;272;9;347316224;31581822;47730855
1527374301398;261;282;10;347316224;31581822;47730855
1527374301498;271;295;10;347316224;31581822;47730855
1527374301598;281;305;10;348364800;31581822;47730855
1527374301698;291;315;11;348364800;31581822;47730855
1527374301798;301;325;11;348364800;31581822;47730855
1527374301898;311;334;12;348364800;31581822;47730855
1527374301998;321;346;13;348364800;31581822;47730855
1527374302098;331;358;13;349413376;31581868;47730907
1527374302198;341;369;13;349413376;31581868;47730907
1527374302298;351;379;13;349413376;31581868;47730907
1527374302398;361;392;13;349413376;31581868;47730907
1527374302498;371;402;13;349413376;31581868;47730907
1527374302598;381;413;14;349413376;31581868;47730907
1527374302698;391;424;14;349413376;31582084;47731434
1527374302798;401;434;14;349413376;31582192;47731699
1527374302898;411;444;15;349413376;31582352;47732163
1527374302998;421;453;15;349413376;31582516;47732473
1527374303098;431;462;15;349413376;31582732;47732986
1527374303198;441;472;16;349413376;31582948;47733497
1527374303298;451;482;16;349413376;31583056;47733753
1527374303398;461;492;16;349413376;31583272;47734267
1527374303498;471;499;18;349413376;31583488;47734780
1527374303598;481;510;19;349413376;31583596;47735038
1527374303698;491;518;19;349413376;31583812;47735551
1527374303798;501;527;19;349413376;31584028;47736064
1527374303898;511;536;20;349413376;31584244;47736579
1527374303998;521;546;21;350461952;31584460;47737092
1527374304098;531;557;21;350461952;31584676;47737608
1527374304198;541;566;21;350461952;31584892;47738124
1527374304298;551;576;22;350461952;31585108;47738637
1527374304398;561;588;22;350461952;31585324;47739150
1527374304498;571;597;22;350461952;31585540;47739665
1527374304599;581;607;23;350461952;31585756;47740180
1527374304699;591;615;24;350461952;31585972;47740694
1527374304799;601;623;24;350461952;31586188;47741207
1527374304899;611;632;24;350461952;31586404;47741723
1527374304999;621;642;24;350461952;31586620;47742238
1527374305099;631;651;24;350461952;31586836;47742752
1527374305199;641;660;24;350461952;31587052;47743267
1527374305299;652;670;25;350461952;31587268;47743782
1527374305399;662;679;25;350461952;31587484;47744295
1527374305499;672;688;25;350461952;31587808;47745065
1527374305599;682;698;25;350461952;31588024;47745580
1527374305699;692;707;25;350461952;31588240;47746095
1527374305799;702;716;25;350461952;31588456;47746610
1527374305899;712;724;25;350461952;31588672;47747125
1527374305999;722;734;25;350461952;31588888;47747641
1527374306100;732;743;26;350461952;31589156;47748360
1527374306200;742;752;26;350461952;31589428;47748926
1527374306301;752;760;27;350461952;31589644;47749442
1527374306402;762;769;27;350461952;31589860;47749959
1527374306502;772;779;28;350461952;31590076;47750473
1527374306602;782;787;28;350461952;31590344;47751198
1527374306703;792;796;28;350461952;31590616;47751766
1527374306804;802;804;28;350461952;31590832;47752282
1527374306905;812;812;30;350461952;31591048;47752799
1527374307005;822;819;31;350461952;31591372;47753573
1527374307105;832;827;32;350461952;31591588;47754089
1527374307205;842;835;32;350461952;31591804;47754602
1527374307305;852;843;32;350461952;31592020;47755117
1527374307405;862;851;32;350461952;31592236;47755633
1527374307505;872;860;32;350461952;31592452;47756147
1527374307605;882;869;32;350461952;31592668;47756663
1527374307705;892;878;32;350461952;31592884;47757179
1527374307805;902;886;32;350461952;31593208;47757952
1527374307905;912;894;32;350461952;31593424;47758467
1527374308005;922;906;32;350461952;31593640;47758982
1527374308105;932;914;32;350461952;31593856;47759498
1527374308205;942;924;32;350461952;31594180;47760272
1527374308305;952;932;33;350461952;31594396;47760787
1527374308405;962;940;34;350461952;31594612;47761305
1527374308505;972;946;35;350461952;31594936;47762080
1527374308605;982;955;35;350461952;31595152;47762594
1527374308705;992;964;36;350461952;31595368;47763109
1527374308805;1002;974;36;350461952;31595584;47763625
1527374308905;1012;981;37;350461952;31595908;47764399
1527374309005;1022;989;37;350461952;31596124;47764912
1527374309105;1032;997;37;350461952;31596340;47765428
1527374309205;1042;1006;37;350461952;31596664;47766202
1527374309305;1052;1014;37;350461952;31596880;47766717
1527374309405;1062;1023;37;350461952;31597096;47767232
1527374309505;1072;1031;37;350461952;31597312;47767747
1527374309605;1082;1038;38;350461952;31597636;47768522
1527374309705;1092;1047;38;350461952;31597852;47769038
1527374309805;1102;1059;39;350461952;31598068;47769554
1527374309905;1112;1066;39;350461952;31598392;47770328
1527374310005;1122;1075;39;350461952;31598608;47770843
1527374310105;1132;1084;39;350461952;31598824;47771356
1527374310205;1142;1092;39;350461952;31599148;47772128
1527374310305;1152;1100;39;350461952;31599364;47772644
1527374310405;1162;1108;40;350461952;31599580;47773159
1527374310506;1172;1117;40;350461952;31599954;47773931
1527374310607;1182;1126;40;350461952;31600216;47774447
1527374310708;1192;1135;40;350461952;31600432;47774961
1527374310809;1202;1142;40;350461952;31600756;47775733
1527374310910;1213;1151;40;350461952;31600972;47776250
1527374311011;1223;1159;40;350461952;31601296;47777024
1527374311112;1233;1166;42;350461952;31601512;47777539
1527374311213;1243;1173;43;350461952;31601728;47778057
1527374311313;1253;1180;44;350461952;31602052;47778832
1527374311413;1263;1192;44;350461952;31602314;47779347
1527374311513;1273;1201;44;350461952;31602530;47779863
1527374311613;1283;1208;44;350461952;31602854;47780637
1527374311713;1293;1216;44;350461952;31603070;47781153
1527374311813;1303;1224;44;350461952;31603286;47781668
1527374311913;1313;1232;44;350461952;31603502;47782183
1527374312013;1323;1239;45;350461952;31603718;47782698
1527374312113;1333;1247;45;350461952;31604042;47783473
1527374312213;1343;1254;46;350461952;31604258;47783987
1527374312313;1353;1262;46;350461952;31604862;47784498
1527374312413;1363;1270;46;350461952;31605130;47785219
1527374312513;1373;1278;46;350461952;31605402;47785787
1527374312613;1383;1289;46;350461952;31605618;47786301
1527374312713;1393;1297;47;350461952;31605834;47786815
1527374312813;1403;1304;48;350461952;31606158;47787589
1527374312913;1413;1312;48;350461952;31606374;47788105
1527374313013;1423;1320;48;350461952;31606590;47788620
1527374313113;1433;1328;48;350461952;31606914;47789392
1527374313213;1443;1336;48;350461952;31607130;47789908
1527374313313;1453;1344;48;350461952;31607454;47790680
1527374313413;1463;1351;48;350461952;31607670;47791196
1527374313513;1473;1360;48;350461952;31607886;47791710
1527374313613;1483;1366;49;350461952;31608210;47792478
1527374313713;1493;1373;50;350461952;31608426;47792994
1527374313813;1503;1382;50;350461952;31608642;47793510
1527374313913;1513;1390;50;350461952;31608966;47794232
1527374314013;1523;1398;50;350461952;31609182;47794801
1527374314113;1533;1409;50;350461952;31609398;47795316
1527374314213;1543;1421;50;350461952;31609614;47795833
1527374314313;1553;1429;50;350461952;31609938;47796602
1527374314413;1563;1437;50;350461952;31610154;47797119
1527374314513;1573;1445;50;350461952;31610478;47797889
1527374314613;1583;1453;50;350461952;31610694;47798404
1527374314713;1593;1461;50;350461952;31610910;47798918
1527374314813;1603;1469;50;350461952;31611234;47799690
1527374314913;1613;1478;50;350461952;31611450;47800206
1527374315013;1623;1486;50;350461952;31611666;47800722
1527374315113;1633;1495;50;350461952;31611990;47801496
1527374315213;1643;1503;50;350461952;31612206;47802013
1527374315313;1653;1511;50;350461952;31612530;47802784
1527374315413;1663;1520;50;350461952;31612746;47803246
