currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527374683253;0;0;0;311296;34051448;50921606
1527374683354;10;9;0;300900352;34051448;50921606
1527374683454;20;19;1;306909184;34051448;50921606
1527374683555;30;29;1;306909184;34051448;50921606
1527374683655;40;38;3;311758848;34051448;50921606
1527374683755;50;50;3;312897536;34051448;50921606
1527374683855;60;60;4;313946112;34051448;50921606
1527374683955;70;74;4;313946112;34051448;50921606
1527374684055;80;85;6;313966592;34051448;50921606
1527374684155;90;95;6;314097664;34051448;50921606
1527374684255;100;105;6;314097664;34051448;50921606
1527374684355;110;116;6;314097664;34051448;50921606
1527374684455;120;128;7;314097664;34051448;50921606
1527374684555;130;139;7;314097664;34051448;50921606
1527374684655;140;148;9;314335232;34051448;50921606
1527374684755;150;160;9;314339328;34051448;50921606
1527374684855;160;177;9;314339328;34051448;50921606
1527374684955;170;187;9;314339328;34051448;50921606
1527374685055;180;197;9;314339328;34051448;50921606
1527374685155;190;207;10;314339328;34051448;50921606
1527374685255;200;218;11;314339328;34051448;50921606
1527374685355;210;228;11;314339328;34051448;50921606
1527374685455;220;239;11;315387904;34051498;50921606
1527374685555;230;250;12;315387904;34051544;50921606
1527374685655;240;262;12;315461632;34051648;50922214
1527374685755;250;272;13;315461632;34051694;50922214
1527374685855;260;283;14;316510208;34051694;50922214
1527374685955;270;295;14;316510208;34051694;50922214
1527374686055;280;307;14;316510208;34051694;50922214
1527374686155;290;317;14;316510208;34051694;50922214
1527374686255;300;327;14;317558784;34051694;50922214
1527374686355;310;338;14;317558784;34051694;50922214
1527374686455;320;349;14;318607360;34051694;50922214
1527374686555;330;361;14;318607360;34051694;50922214
1527374686655;340;371;14;318607360;34051694;50922214
1527374686755;350;384;14;318607360;34051694;50922214
1527374686855;360;394;14;318607360;34051694;50922214
1527374686956;370;405;14;318607360;34051694;50922214
1527374687056;380;418;14;319655936;34051694;50922214
1527374687157;390;427;14;319655936;34051694;50922214
1527374687257;400;437;14;319655936;34051694;50922214
1527374687357;410;446;15;319655936;34051694;50922214
1527374687457;420;456;15;319655936;34051694;50922214
1527374687557;430;465;16;319655936;34051694;50922214
1527374687657;440;475;16;319655936;34051694;50922214
1527374687757;450;486;16;320704512;34051694;50922214
1527374687857;460;499;16;320704512;34051694;50922214
1527374687957;470;510;16;350511104;34052039;50922847
1527374688057;480;523;16;350511104;34052268;50923369
1527374688157;490;535;16;350511104;34052497;50923892
1527374688257;500;549;16;350511104;34052726;50924411
1527374688357;510;559;16;350511104;34052955;50924927
