currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527346563469;0;0;0;401408;6854383;13218997
1527346563569;10;8;2;300900352;6854383;13218997
1527346563669;20;18;2;306909184;6854383;13218997
1527346563769;30;28;2;306909184;6854383;13218997
1527346563869;40;39;2;311758848;6854383;13218997
1527346563969;50;51;2;312897536;6854383;13218997
1527346564069;60;62;2;313946112;6854383;13218997
1527346564169;70;76;2;313946112;6854383;13218997
1527346564269;80;86;2;313946112;6854383;13218997
1527346564369;90;94;4;313946112;6854383;13218997
1527346564469;100;105;4;313946112;6854383;13218997
1527346564569;110;120;5;314019840;6854383;13218997
1527346564669;120;130;5;314019840;6854487;13219605
1527346564769;130;140;5;314019840;6854487;13219605
1527346564869;140;152;5;314019840;6854487;13219605
1527346564970;150;165;5;314019840;6854487;13219605
1527346565070;160;176;6;314019840;6854487;13219605
1527346565170;170;187;6;314019840;6854487;13219605
1527346565270;180;196;7;314019840;6854487;13219605
1527346565370;190;205;8;315068416;6854487;13219605
1527346565470;200;216;8;315088896;6854487;13219605
1527346565570;210;227;9;315219968;6854487;13219605
1527346565670;220;237;9;315219968;6854487;13219605
1527346565770;230;248;10;315219968;6854487;13219605
1527346565870;240;260;10;316268544;6854487;13219605
1527346565970;250;272;10;316268544;6854487;13219605
1527346566070;260;282;11;316510208;6854487;13219605
1527346566170;270;295;12;317558784;6854487;13219605
1527346566270;280;309;12;318607360;6854487;13219605
1527346566370;290;319;12;318607360;6854487;13219605
1527346566470;300;330;12;318607360;6854487;13219605
1527346566570;310;340;12;319811584;6854487;13219605
1527346566670;320;351;12;319811584;6854487;13219605
1527346566770;330;360;13;319811584;6854487;13219605
1527346566870;340;373;13;319811584;6854487;13219605
1527346566970;350;384;14;319811584;6854487;13219605
1527346567070;360;394;14;319811584;6854487;13219605
1527346567170;370;405;15;320860160;6854487;13219605
1527346567270;380;415;15;320860160;6854487;13219605
1527346567370;390;429;15;320884736;6854487;13219605
1527346567470;400;440;15;320884736;6854487;13219605
1527346567570;410;450;16;351739904;6855462;13220684
1527346567670;420;460;16;351739904;6855462;13220684
1527346567770;430;477;16;351739904;6856322;13221652
1527346567870;440;488;16;351739904;6857183;13222621
1527346567970;450;500;16;351739904;6858040;13223586
1527346568070;460;512;16;351739904;6858894;13224548
1527346568170;470;523;16;351739904;6859747;13225509
1527346568270;480;537;16;351739904;6861459;13227437
1527346568370;490;550;16;351739904;6862313;13228399
1527346568470;500;561;16;351739904;6863169;13229363
1527346568570;510;573;16;351739904;6864877;13231287
1527346568670;520;584;16;351739904;6865732;13232250
1527346568770;530;594;16;351739904;6867442;13234176
1527346568870;541;605;16;351739904;6868297;13235139
1527346568970;551;615;16;351739904;6869152;13236102
1527346569071;561;626;16;351739904;6870860;13238026
1527346569172;571;638;16;351739904;6871713;13238987
1527346569273;581;649;16;351739904;6873423;13240913
1527346569374;591;660;16;351739904;6874276;13241874
1527346569475;601;670;16;351739904;6875986;13243800
1527346569576;611;680;16;351739904;6877054;13244765
1527346569677;621;694;16;351739904;6878766;13246693
1527346569778;631;702;20;351739904;6880475;13248618
1527346569879;641;715;20;351739904;6881330;13249581
1527346569980;651;733;20;352788480;6883040;13251507
1527346570081;662;753;20;353837056;6883999;13253380
1527346570181;672;766;20;353837056;6885605;13254396
1527346570281;682;776;21;353837056;6887317;13256324
1527346570381;692;787;21;353837056;6888172;13257287
1527346570481;702;799;21;353837056;6889884;13259215
1527346570581;712;812;21;353837056;6891595;13261142
1527346570681;722;822;22;353837056;6892450;13262105
1527346570781;732;831;22;353837056;6894159;13264030
1527346570881;742;843;22;353837056;6895867;13265954
1527346570981;752;856;22;353837056;6897575;13267878
1527346571081;762;867;22;353837056;6898430;13268841
1527346571181;772;876;22;353837056;6900140;13270767
1527346571281;782;887;22;353837056;6901851;13272694
1527346571381;792;897;22;353837056;6903563;13274622
1527346571481;802;910;22;353837056;6904417;13275584
1527346571581;812;921;22;353837056;6906128;13277511
1527346571681;822;930;22;353837056;6907837;13279436
