currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527343755286;1;0;0;25260032;12031;5303
1527343755386;11;0;0;29155328;12031;5303
1527343755486;21;1;0;29073408;12031;5303
1527343755586;31;1;0;29224960;12031;5303
1527343755686;41;2;0;29224960;12081;5303
1527343755786;51;2;0;62779392;12081;5303
1527343755886;61;2;1;62947328;12127;5303
1527343755986;71;2;2;67133440;12127;5303
1527343756086;81;3;3;67653632;12127;5303
1527343756186;91;5;3;67805184;12127;5303
1527343756286;101;7;3;67821568;12127;5303
1527343756386;111;14;3;70238208;12173;5303
1527343756486;121;15;3;70103040;12173;5303
1527343756586;131;23;3;71151616;12173;5303
1527343756686;141;32;3;71565312;12173;5303
1527343756786;151;41;3;73920512;12173;5303
1527343756886;161;49;3;73920512;12173;5303
1527343756986;171;54;3;74444800;12173;5303
1527343757086;181;57;4;74969088;12173;5303
1527343757186;191;63;4;75137024;12173;5303
1527343757286;201;67;4;75407360;12225;5511
1527343757386;211;70;4;75948032;12225;5511
1527343757486;221;79;4;78426112;12225;5511
1527343757586;231;89;4;77877248;12225;5511
1527343757686;241;96;4;80179200;12225;5511
1527343757786;251;103;4;80199680;12225;5511
1527343757886;261;111;5;80338944;12225;5511
1527343757986;271;116;7;80474112;12225;5511
1527343758086;281;124;7;80474112;12225;5511
1527343758186;291;130;7;80588800;12225;5511
1527343758287;301;137;7;81776640;12225;5511
1527343758387;311;143;7;81776640;12225;5511
1527343758487;321;152;7;81776640;12225;5511
1527343758587;331;157;8;81776640;12225;5511
1527343758687;341;165;9;82825216;12225;5511
1527343758787;351;172;9;82825216;12225;5511
1527343758887;361;180;9;83185664;12277;5823
1527343758987;371;189;10;117919744;12497;6147
1527343759087;381;199;10;117919744;12801;6280
1527343759187;391;204;13;117919744;13753;6720
1527343759287;401;215;13;122638336;13753;6720
1527343759387;411;224;13;122798080;13753;6720
1527343759487;421;234;13;122798080;14275;7315
1527343759587;431;244;13;122798080;14275;7315
1527343759687;441;254;13;122798080;14427;7654
