currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527459944747;1;0;0;25276416;31755221;44483854
1527459944847;11;7;3;67821568;31755221;44483854
1527459944947;21;17;3;71151616;31755317;44483854
1527459945047;31;27;3;71159808;31755317;44483854
1527459945147;41;37;3;73396224;31755317;44483854
1527459945247;51;47;3;73920512;31755363;44483854
1527459945347;61;57;3;74969088;31755363;44483854
1527459945447;71;67;3;75407360;31755415;44484062
1527459945547;81;78;4;75436032;31755415;44484062
1527459945647;91;88;4;77533184;31755415;44484062
1527459945747;101;97;5;78057472;31755415;44484062
1527459945847;111;107;5;78057472;31755415;44484062
1527459945947;121;117;5;112791552;31755415;44484062
1527459946048;131;131;5;114003968;31755415;44484062
1527459946149;141;141;6;119246848;31755415;44484062
1527459946250;151;153;6;120455168;31755415;44484062
1527459946351;161;162;7;121176064;31755467;44484486
1527459946452;171;172;7;121176064;31755743;44484731
1527459946552;181;186;7;121839616;31755743;44484731
1527459946652;191;196;7;121839616;31755743;44484731
1527459946752;201;206;7;122007552;31755795;44484951
1527459946852;211;216;7;122007552;31755795;44484951
1527459946952;221;229;8;133017600;31755795;44484951
1527459947052;231;240;8;133017600;31755847;44485173
1527459947152;241;253;8;133271552;31755847;44485173
1527459947252;251;266;9;133271552;31755899;44485396
1527459947352;261;281;9;133271552;31755951;44485614
1527459947452;271;299;9;133406720;31755951;44485614
1527459947552;281;308;10;133406720;31756003;44485830
1527459947652;291;320;10;133406720;31756055;44486046
1527459947752;301;330;10;133406720;31756159;44486477
1527459947852;311;340;10;133406720;31756211;44486694
1527459947952;321;350;10;133406720;31756263;44486911
1527459948052;331;361;10;133406720;31756315;44487127
1527459948152;341;371;10;133406720;31756367;44487345
1527459948252;351;381;10;133406720;31756419;44487562
1527459948352;361;390;11;133406720;31756471;44487778
1527459948452;371;400;11;133406720;31756523;44487994
1527459948552;381;411;11;133541888;31756575;44488211
1527459948652;391;421;11;133541888;31756679;44488643
1527459948752;401;431;11;133541888;31756731;44488856
1527459948852;411;441;12;133541888;31756783;44489072
1527459948952;421;451;12;133705728;31756835;44489288
