currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527456170113;0;0;0;25362432;21585606;29056469
1527456170213;10;8;1;67821568;21585606;29056469
1527456170313;20;18;1;71151616;21585606;29056469
1527456170413;30;28;1;71159808;21585606;29056469
1527456170513;40;38;1;72871936;21585606;29056469
1527456170613;50;47;2;73920512;21585606;29056469
1527456170713;60;57;2;74969088;21585606;29056469
1527456170813;70;67;2;75407360;21585658;29056677
1527456170913;80;77;2;75407360;21585658;29056677
1527456171013;90;87;2;78708736;21585658;29056677
1527456171113;100;97;4;78671872;21585658;29056677
1527456171213;110;107;4;78671872;21585658;29056677
1527456171314;120;116;5;79392768;21585710;29056989
1527456171415;130;126;5;113995776;21585762;29057101
1527456171516;140;137;5;113995776;21585762;29057101
1527456171617;151;148;5;113995776;21585762;29057101
1527456171718;161;158;5;114155520;21585762;29057101
1527456171819;171;168;5;115335168;21586178;29057673
1527456171919;181;178;5;115335168;21586178;29057673
1527456172019;191;189;5;116383744;21586594;29058247
1527456172119;201;201;5;116383744;21586594;29058247
1527456172219;211;217;5;117571584;21587010;29058822
1527456172319;221;228;5;121765888;21587010;29058822
1527456172419;231;245;5;121765888;21587426;29059392
1527456172519;241;257;5;121765888;21587842;29059960
1527456172619;251;268;5;121765888;21588258;29060528
1527456172719;261;278;5;121765888;21588258;29060588
1527456172819;271;291;5;121991168;21588674;29061095
1527456172919;281;301;5;121991168;21589090;29061663
1527456173019;291;313;5;121991168;21589506;29062232
1527456173119;301;323;5;121991168;21589922;29062801
1527456173219;311;333;5;121991168;21590338;29063369
1527456173319;321;342;6;121991168;21590754;29063939
1527456173419;331;352;6;121991168;21591170;29064568
1527456173519;341;362;6;121991168;21591950;29065644
1527456173619;351;373;6;121991168;21592170;29066109
1527456173720;361;383;6;121991168;21592834;29066781
1527456173820;371;394;6;121991168;21593250;29067349
1527456173920;381;405;7;122150912;21593666;29067914
1527456174020;391;416;7;122150912;21594082;29068482
1527456174120;401;426;7;122150912;21594498;29069050
1527456174220;411;436;7;122314752;21594914;29069618
1527456174320;421;445;8;122314752;21595330;29070185
1527456174420;431;455;8;122314752;21595746;29070753
1527456174520;441;465;8;122314752;21596162;29071322
1527456174620;451;475;9;122314752;21596578;29071891
1527456174720;461;485;9;122511360;21596994;29072461
1527456174820;471;495;9;122511360;21597410;29073030
1527456174920;481;506;9;122511360;21597826;29073597
1527456175020;491;516;9;122511360;21598242;29074166
1527456175120;501;526;9;122707968;21598658;29074733
1527456175220;511;537;9;122707968;21599074;29075301
1527456175320;521;547;9;122707968;21599490;29075870
1527456175421;531;557;9;122707968;21599970;29076902
1527456175522;541;567;9;122904576;21600738;29077574
1527456175622;551;576;10;122904576;21601154;29078143
1527456175722;561;586;10;122904576;21601570;29078712
1527456175822;571;596;10;122904576;21601986;29079280
1527456175922;581;607;10;122904576;21602402;29079848
1527456176022;591;617;10;123342848;21602818;29080417
1527456176122;601;630;11;123342848;21603234;29080985
1527456176222;611;640;11;123342848;21603650;29081552
1527456176322;621;650;11;123342848;21604066;29082121
1527456176422;631;660;11;123342848;21604482;29082690
1527456176522;641;670;11;123342848;21604898;29083256
1527456176622;651;682;12;123342848;21605314;29083824
1527456176722;661;692;12;123342848;21605730;29084391
1527456176822;671;702;12;123342848;21606146;29084960
1527456176922;681;711;13;123342848;21606562;29085588
1527456177022;691;721;13;123494400;21607394;29086664
1527456177122;701;731;14;123494400;21607810;29087232
1527456177222;711;741;14;123629568;21608226;29087801
1527456177323;721;751;14;123629568;21608642;29088370
1527456177424;731;760;15;123629568;21609058;29088939
1527456177524;741;769;16;123629568;21609474;29089507
1527456177624;751;778;18;123629568;21609890;29090076
1527456177724;761;791;19;124334080;21610306;29090646
1527456177824;771;807;19;123826176;21610722;29091215
1527456177924;781;817;19;123826176;21611138;29091782
1527456178024;791;828;19;123826176;21611554;29092350
1527456178124;801;838;19;124022784;21611970;29092919
1527456178224;811;848;19;124190720;21612386;29093488
1527456178324;821;861;19;124190720;21612802;29094057
1527456178424;831;871;19;124190720;21613218;29094626
1527456178524;841;881;19;124190720;21613634;29095194
1527456178624;851;892;19;124190720;21614050;29095762
1527456178724;861;903;19;124190720;21614466;29096331
1527456178824;871;913;19;124190720;21614882;29096900
1527456178924;881;923;19;124350464;21615298;29097467
1527456179024;891;933;19;124350464;21615714;29098036
1527456179124;901;943;19;124350464;21616130;29098605
1527456179224;911;953;19;124350464;21616714;29099638
1527456179324;921;963;19;124547072;21617378;29100309
1527456179424;931;974;19;124547072;21617794;29100879
1527456179525;941;984;19;124547072;21618210;29101446
1527456179626;951;994;19;124547072;21618626;29102016
1527456179726;962;1006;19;124547072;21619042;29102585
1527456179826;972;1016;19;124743680;21619458;29103155
