currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527454255073;1;1;0;29224960;14613537;19517824
1527454255173;11;9;2;67821568;14613537;19517824
1527454255273;21;19;2;71151616;14613537;19517824
1527454255373;31;29;2;71159808;14613537;19517824
1527454255473;41;39;2;73920512;14613537;19517824
1527454255573;51;48;2;73920512;14613537;19517824
1527454255673;61;57;3;74969088;14613537;19517824
1527454255773;71;66;3;75407360;14613589;19518032
1527454255873;81;72;4;77766656;14613589;19518032
1527454255973;91;81;5;77975552;14613589;19518032
1527454256073;101;90;6;78065664;14613589;19518032
1527454256173;111;100;6;78098432;14613589;19518032
1527454256273;121;108;6;78622720;14613589;19518032
1527454256373;131;114;7;78622720;14613589;19518032
1527454256473;141;121;7;79671296;14613589;19518032
1527454256573;151;128;7;79671296;14613589;19518032
1527454256673;161;135;7;79671296;14613589;19518032
1527454256773;171;143;7;80719872;14613589;19518032
1527454256874;181;150;7;80719872;14613589;19518032
1527454256974;191;156;8;80719872;14613589;19518032
1527454257074;201;161;10;80719872;14613589;19518032
1527454257174;211;168;10;81047552;14613589;19518032
1527454257274;221;175;12;85766144;14613589;19518032
1527454257374;231;182;14;85766144;14613589;19518032
1527454257474;241;190;15;85766144;14613977;19518032
1527454257574;251;195;16;87863296;14613977;19518032
1527454257674;261;205;16;88043520;14613977;19518032
1527454257774;271;215;16;88043520;14613977;19518032
1527454257874;281;225;16;88043520;14613977;19518032
1527454257974;291;232;16;88043520;14613977;19518032
1527454258074;301;240;16;88043520;14613977;19518032
1527454258174;311;247;17;88043520;14613977;19518032
1527454258274;321;254;17;88043520;14613977;19518032
1527454258374;331;263;17;89202688;14613977;19518032
1527454258474;341;272;17;89202688;14613977;19518032
1527454258575;351;279;17;89202688;14613977;19518032
1527454258675;361;288;17;89567232;14614029;19518336
1527454258776;371;299;17;124301312;14614081;19518448
1527454258877;382;310;17;124301312;14614249;19518850
1527454258978;392;320;17;124301312;14614249;19518850
1527454259079;402;330;18;125349888;14620123;19519162
1527454259180;412;340;18;125349888;14620175;19519214
1527454259281;422;350;18;125349888;14620175;19519214
1527454259381;432;363;18;126054400;14620175;19519214
1527454259482;442;383;18;126398464;14620175;19519214
1527454259583;452;394;19;126922752;14621215;19520393
1527454259684;462;404;19;126922752;14621215;19520393
1527454259785;472;414;19;126922752;14622257;19521574
1527454259886;482;425;19;126922752;14622257;19521574
1527454259986;492;439;20;137084928;14622353;19521574
