currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527469563509;1;0;0;7180288;62899879;93929412
1527469563609;11;10;0;8175616;62899879;93929412
1527469563709;21;20;0;8966144;62899879;93929412
1527469563809;31;30;0;9502720;62899879;93929412
1527469563909;41;40;0;10465280;62899879;93929412
1527469564009;51;50;0;10465280;62899879;93929412
1527469564109;61;59;1;13725696;62899879;93929412
1527469564210;71;69;1;15077376;62899879;93929412
1527469564311;81;79;1;15777792;62899879;93929412
1527469564411;91;89;1;16568320;62899879;93929412
1527469564511;101;98;2;20242432;62899879;93929412
1527469564611;111;108;2;25735168;62899879;93929412
1527469564711;121;118;2;27312128;62899879;93929412
1527469564811;131;128;2;30806016;62899879;93929412
1527469564911;141;138;2;31563776;62899879;93929412
1527469565011;151;148;2;32280576;62899879;93929412
1527469565111;161;156;2;32710656;62899879;93929412
1527469565211;171;165;3;33181696;62899879;93929412
1527469565311;181;173;5;33525760;62899879;93929412
1527469565411;191;183;5;33632256;62899879;93929412
1527469565511;201;192;6;34156544;62900024;93929412
1527469565611;211;201;7;34156544;62901664;93929412
1527469565711;221;210;8;34930688;62901664;93929412
1527469565811;231;219;9;35328000;62901664;93929412
1527469565911;241;228;10;35737600;62901664;93929412
1527469566011;251;237;11;36261888;62901664;93929412
1527469566112;261;247;11;36524032;62901664;93929412
1527469566212;271;257;11;37339136;62901714;93929412
1527469566312;281;267;11;37736448;62901714;93929412
1527469566412;291;276;12;38182912;62901714;93929412
1527469566512;301;286;12;39399424;62901925;93929412
1527469566612;311;293;13;68104192;62902093;93929625
1527469566712;321;299;13;68104192;62905831;93930712
1527469566812;331;300;13;68104192;62907638;93930909
1527469566912;341;310;13;68366336;62907638;93930909
1527469567012;351;321;13;68628480;62908181;93931559
1527469567112;361;331;13;68890624;62908181;93931559
1527469567212;371;341;13;68890624;62908345;93931936
1527469567312;381;351;13;68890624;62908509;93932312
1527469567413;391;361;13;68890624;62908673;93932688
1527469567514;401;371;13;68890624;62908673;93932688
1527469567614;411;380;14;68890624;62908837;93933061
1527469567714;421;390;14;68890624;62909001;93933432
1527469567814;431;400;14;68890624;62909001;93933432
1527469567914;441;410;14;68890624;62909165;93933805
1527469568014;451;420;14;68890624;62909329;93934181
1527469568114;461;431;14;68890624;62909493;93934553
1527469568214;471;440;14;68890624;62909493;93934553
1527469568314;481;449;15;68890624;62909657;93934924
1527469568414;491;459;15;68890624;62909657;93934924
1527469568514;501;469;15;68890624;62909821;93935293
1527469568614;511;480;15;68890624;62909985;93935666
1527469568714;521;489;15;68890624;62909985;93935666
1527469568815;531;499;15;68890624;62910149;93936039
1527469568915;541;509;15;68890624;62910313;93936412
1527469569015;551;520;15;68890624;62910477;93936784
1527469569115;561;529;15;68890624;62910477;93936784
1527469569215;571;539;15;68890624;62910641;93937156
1527469569315;581;549;15;68890624;62910805;93937524
1527469569415;591;559;15;68890624;62910805;93937524
1527469569515;601;569;15;68890624;62910969;93937896
1527469569615;611;580;15;68890624;62911133;93938268
1527469569715;621;590;15;68890624;62911297;93938637
1527469569815;631;600;15;68890624;62911297;93938637
1527469569915;641;610;15;68890624;62911461;93939008
1527469570015;651;620;15;68890624;62911625;93939378
1527469570116;661;630;15;68890624;62911625;93939378
1527469570216;671;640;15;68890624;62911789;93939750
1527469570317;682;651;15;68890624;62911953;93940122
1527469570417;692;661;15;68890624;62912117;93940493
1527469570517;702;671;15;68890624;62912117;93940493
1527469570617;712;681;15;68890624;62912281;93940865
1527469570717;722;691;15;68890624;62912445;93941238
1527469570817;732;701;15;68890624;62912445;93941238
1527469570917;742;711;15;68890624;62912609;93941610
1527469571017;752;721;15;68890624;62912773;93941982
1527469571117;762;731;15;68890624;62912937;93942356
1527469571217;772;741;15;68890624;62912937;93942356
1527469571317;782;751;15;68890624;62913101;93942729
1527469571417;792;761;15;68890624;62913265;93943102
1527469571517;802;771;15;68890624;62913265;93943102
1527469571617;812;781;15;68890624;62913429;93943474
1527469571718;822;791;15;68890624;62913593;93943847
1527469571818;832;802;15;68890624;62913757;93944218
1527469571918;842;811;15;68890624;62913757;93944218
1527469572018;852;821;15;68890624;62913921;93944589
1527469572118;862;831;15;68890624;62914085;93944962
1527469572218;872;841;15;68890624;62914085;93944962
1527469572318;882;851;15;68890624;62914249;93945335
1527469572418;892;862;15;68890624;62914413;93945707
1527469572518;902;872;15;68890624;62914577;93946079
1527469572618;912;882;15;68890624;62914577;93946079
1527469572718;922;892;15;68890624;62914741;93946452
1527469572818;932;902;15;68890624;62914905;93946825
1527469572918;942;911;15;68890624;62914905;93946825
1527469573018;952;921;15;68890624;62915069;93947197
1527469573118;962;931;15;68890624;62915233;93947571
1527469573218;972;941;15;68890624;62915233;93947571
1527469573318;982;951;15;68890624;62915397;93947945
1527469573418;992;961;15;68890624;62915561;93948316
1527469573519;1002;971;15;68890624;62915725;93948688
1527469573620;1012;981;15;68890624;62915725;93948688
1527469573720;1022;991;15;68890624;62915889;93949059
1527469573820;1032;1001;15;68890624;62916053;93949432
1527469573920;1042;1011;15;68890624;62916053;93949432
1527469574020;1052;1021;15;68890624;62916217;93949804
1527469574120;1062;1031;15;68890624;62916381;93950177
1527469574220;1072;1041;15;68890624;62916545;93950549
1527469574320;1082;1051;15;68890624;62916545;93950549
1527469574420;1092;1061;15;68890624;62916709;93950922
1527469574520;1102;1071;15;68890624;62916873;93951294
1527469574620;1112;1081;15;68890624;62916873;93951294
1527469574720;1122;1091;15;68890624;62917037;93951666
1527469574820;1132;1101;15;68890624;62917251;93952038
1527469574920;1142;1111;15;68890624;62917283;93952070
1527469575020;1152;1120;15;68890624;62917447;93952443
1527469575120;1162;1130;15;68890624;62917611;93952816
1527469575220;1172;1140;15;68890624;62917775;93953188
1527469575320;1182;1150;15;68890624;62917775;93953188
1527469575420;1192;1160;15;68890624;62917939;93953559
1527469575520;1202;1170;15;68890624;62918103;93953929
1527469575620;1212;1180;15;68890624;62918149;93953929
1527469575720;1222;1190;15;68890624;62918313;93954302
1527469575821;1232;1200;15;68890624;62918477;93954675
1527469575922;1242;1210;15;68890624;62918641;93955047
1527469576023;1252;1220;15;68890624;62918641;93955047
1527469576123;1262;1230;15;68890624;62918805;93955419
1527469576223;1272;1240;15;68890624;62918969;93955791
1527469576323;1282;1250;15;68890624;62918969;93955791
1527469576423;1292;1260;15;68890624;62919133;93956163
1527469576523;1302;1270;15;68890624;62919297;93956536
1527469576623;1312;1280;15;68890624;62919297;93956536
1527469576723;1322;1290;15;68890624;62919461;93956908
1527469576823;1332;1300;15;68890624;62919625;93957280
1527469576923;1342;1310;15;68890624;62919789;93957650
1527469577023;1352;1320;15;68890624;62919789;93957650
1527469577123;1362;1330;15;68890624;62919953;93958021
1527469577223;1372;1340;15;68890624;62920117;93958395
1527469577323;1382;1350;15;68890624;62920117;93958395
1527469577423;1392;1359;16;68890624;62920281;93958769
1527469577523;1402;1369;16;68890624;62920445;93959142
1527469577623;1412;1378;16;68890624;62920445;93959142
1527469577723;1422;1388;16;68890624;62920609;93959515
1527469577823;1432;1398;16;68890624;62920773;93959888
1527469577923;1442;1408;16;68890624;62920937;93960262
1527469578023;1452;1418;16;68890624;62920937;93960262
1527469578123;1462;1428;16;68890624;62921101;93960635
1527469578224;1472;1437;17;68890624;62921265;93961008
1527469578325;1482;1447;17;68890624;62921265;93961008
1527469578426;1492;1457;17;68890624;62921429;93961381
1527469578527;1503;1467;17;68890624;62921593;93961752
1527469578627;1513;1477;17;68890624;62921757;93962126
1527469578727;1523;1487;17;68890624;62921757;93962126
1527469578827;1533;1497;17;68890624;62921921;93962499
1527469578927;1543;1507;17;68890624;62922085;93962872
1527469579027;1553;1517;17;68890624;62922085;93962872
1527469579127;1563;1526;18;68890624;62922249;93963244
1527469579227;1573;1536;18;68890624;62922413;93963617
1527469579327;1583;1546;18;68890624;62922413;93963617
1527469579427;1593;1556;18;68890624;62922577;93963990
1527469579527;1603;1566;18;68890624;62922741;93964365
1527469579627;1613;1576;18;68890624;62922905;93964737
1527469579727;1623;1586;18;68890624;62922905;93964737
1527469579827;1633;1596;18;68890624;62923069;93965111
1527469579927;1643;1606;18;68890624;62923233;93965483
1527469580027;1653;1616;18;68890624;62923233;93965483
1527469580127;1663;1626;18;68890624;62923397;93965856
1527469580227;1673;1636;18;68890624;62923561;93966225
1527469580327;1683;1645;18;68890624;62923561;93966225
1527469580427;1693;1655;18;68890624;62923725;93966597
1527469580528;1703;1665;18;68890624;62923725;93966597
1527469580629;1713;1675;18;68890624;62923889;93966970
1527469580730;1723;1686;18;68890624;62924053;93967341
1527469580830;1733;1696;18;68890624;62924217;93967713
1527469580930;1743;1705;18;68890624;62924217;93967713
1527469581030;1753;1715;18;68890624;62924381;93968087
1527469581130;1763;1725;18;68890624;62924545;93968460
1527469581230;1773;1735;18;68890624;62924545;93968460
1527469581330;1783;1745;18;68890624;62924709;93968834
1527469581430;1793;1755;18;68890624;62924873;93969207
1527469581530;1803;1765;18;68890624;62924873;93969207
1527469581630;1813;1775;18;68890624;62925037;93969581
1527469581730;1823;1785;18;68890624;62925201;93969953
1527469581830;1833;1795;18;68890624;62925365;93970327
1527469581930;1843;1805;18;68890624;62925365;93970327
1527469582030;1853;1815;18;68890624;62925529;93970699
1527469582130;1863;1825;18;68890624;62925693;93971070
1527469582230;1873;1835;18;68890624;62925693;93971070
1527469582330;1883;1845;18;68890624;62925857;93971443
1527469582430;1893;1854;18;68890624;62926021;93971817
1527469582530;1903;1864;18;68890624;62926185;93972188
1527469582630;1913;1874;18;68890624;62926185;93972188
1527469582731;1923;1884;18;68890624;62926349;93972563
1527469582831;1933;1894;18;68890624;62926513;93972936
1527469582931;1943;1904;18;68890624;62926513;93972936
1527469583031;1953;1914;18;68890624;62926677;93973310
1527469583131;1963;1924;18;68890624;62926841;93973680
1527469583231;1973;1935;18;68890624;62926841;93973680
1527469583331;1983;1944;18;68890624;62927005;93974053
1527469583431;1993;1954;18;68890624;62927169;93974425
1527469583531;2003;1964;18;68890624;62927333;93974799
1527469583631;2013;1974;18;68890624;62927333;93974799
1527469583731;2023;1985;18;68890624;62927497;93975173
1527469583831;2033;1995;18;68890624;62927661;93975547
1527469583931;2043;2005;18;68890624;62927661;93975547
1527469584031;2053;2015;18;68890624;62927825;93975919
1527469584131;2063;2024;18;68890624;62927989;93976293
1527469584232;2073;2033;19;68890624;62928541;93976666
1527469584333;2083;2043;19;68890624;62928541;93976666
1527469584433;2093;2054;19;68890624;62928705;93977041
1527469584533;2103;2062;21;68890624;62928915;93977463
1527469584633;2113;2071;21;68890624;62928915;93977463
1527469584733;2123;2081;21;68890624;62929079;93977837
1527469584833;2133;2091;21;68890624;62929243;93978210
1527469584933;2143;2101;21;68890624;62929243;93978210
1527469585033;2153;2111;21;68890624;62929407;93978584
1527469585133;2163;2120;22;68890624;62929571;93978955
1527469585233;2173;2130;22;68890624;62929735;93979328
1527469585333;2183;2140;22;68890624;62929735;93979328
1527469585433;2193;2150;22;68890624;62929899;93979700
1527469585533;2203;2159;22;68890624;62930063;93980074
1527469585633;2213;2169;22;68890624;62930063;93980074
1527469585733;2223;2178;23;68890624;62930227;93980445
1527469585833;2233;2189;23;68890624;62930391;93980818
1527469585933;2243;2199;23;68890624;62930391;93980818
1527469586033;2253;2207;25;68890624;62930555;93981191
1527469586133;2263;2217;25;68890624;62930719;93981564
1527469586233;2273;2226;25;68890624;62930883;93981937
1527469586333;2283;2236;25;68890624;62930883;93981937
1527469586434;2293;2247;25;68890624;62931047;93982311
1527469586535;2303;2257;25;68890624;62931211;93982684
1527469586635;2313;2267;25;68890624;62931211;93982684
1527469586736;2323;2277;25;68890624;62931375;93983054
1527469586836;2333;2286;25;68890624;62931539;93983428
1527469586937;2344;2297;25;68890624;62931703;93983800
1527469587038;2354;2307;25;68890624;62931703;93983800
1527469587138;2364;2317;25;68890624;62931867;93984174
1527469587238;2374;2327;25;68890624;62932031;93984547
1527469587338;2384;2337;25;68890624;62932031;93984547
1527469587438;2394;2347;25;68890624;62932195;93984920
1527469587538;2404;2357;25;68890624;62932359;93985292
1527469587638;2414;2367;25;68890624;62932359;93985292
1527469587738;2424;2377;25;68890624;62932523;93985664
1527469587838;2434;2386;25;68890624;62932687;93986037
1527469587938;2444;2396;25;68890624;62932851;93986409
1527469588038;2454;2406;25;68890624;62932851;93986409
1527469588138;2464;2416;25;68890624;62933015;93986782
1527469588238;2474;2426;25;68890624;62933179;93987155
1527469588338;2484;2436;25;68890624;62933179;93987155
1527469588438;2494;2446;25;68890624;62933343;93987528
1527469588538;2504;2456;25;68890624;62933507;93987902
1527469588638;2514;2465;26;68890624;62933507;93987902
1527469588738;2524;2475;26;68890624;62933671;93988276
1527469588838;2534;2485;26;68890624;62933835;93988650
1527469588938;2544;2495;26;68890624;62933999;93989022
1527469589038;2554;2505;26;68890624;62933999;93989022
1527469589138;2564;2515;26;68890624;62934163;93989395
1527469589238;2574;2525;26;68890624;62934327;93989767
1527469589339;2584;2535;26;68890624;62934379;93990087
1527469589439;2594;2545;26;68890624;62934491;93990139
1527469589539;2604;2555;26;68890624;62934655;93990513
1527469589639;2614;2565;26;68890624;62934819;93990885
1527469589739;2624;2575;26;68890624;62934819;93990885
1527469589839;2634;2584;26;68890624;62935033;93991258
1527469589939;2644;2594;26;68890624;62935243;93991630
1527469590039;2654;2604;26;68890624;62935243;93991630
1527469590139;2664;2614;26;68890624;62935407;93992000
1527469590239;2674;2624;26;68890624;62935571;93992373
1527469590339;2684;2635;26;68890624;62935571;93992373
1527469590439;2694;2644;26;68890624;62935781;93992746
1527469590539;2704;2654;26;68890624;62935945;93993120
1527469590639;2714;2664;26;68890624;62936109;93993494
1527469590739;2724;2674;26;68890624;62936109;93993494
1527469590840;2734;2684;26;68890624;62936273;93993866
1527469590940;2744;2695;26;68890624;62936437;93994239
1527469591040;2754;2705;26;68890624;62936437;93994239
1527469591140;2764;2715;26;68890624;62936601;93994610
1527469591240;2774;2725;26;68890624;62936765;93994983
1527469591340;2784;2734;26;68890624;62936929;93995354
1527469591440;2794;2745;26;68890624;62936929;93995354
1527469591540;2804;2755;26;68890624;62937093;93995728
1527469591640;2814;2764;26;68890624;62937257;93996101
1527469591740;2824;2774;26;68890624;62937257;93996101
1527469591840;2834;2784;26;68890624;62937421;93996473
1527469591940;2844;2794;26;68890624;62937585;93996845
1527469592040;2854;2804;26;68890624;62937585;93996845
1527469592140;2864;2814;26;68890624;62937749;93997216
1527469592240;2874;2824;26;68890624;62937913;93997588
1527469592340;2884;2834;26;68890624;62938077;93997961
1527469592440;2894;2844;26;68890624;62938077;93997961
1527469592540;2904;2854;26;68890624;62938241;93998333
1527469592640;2914;2864;26;68890624;62938405;93998706
1527469592740;2924;2874;26;68890624;62938405;93998706
1527469592840;2934;2884;26;68890624;62938569;93999078
1527469592941;2944;2894;26;68890624;62938733;93999452
1527469593042;2954;2904;26;68890624;62938733;93999452
1527469593143;2964;2914;26;68890624;62938897;93999825
1527469593243;2974;2923;27;68890624;62939061;94000199
1527469593343;2984;2933;27;68890624;62939225;94000571
1527469593443;2994;2943;27;68890624;62939225;94000571
1527469593543;3004;2952;27;68890624;62939389;94000944
1527469593643;3014;2962;28;68890624;62939553;94001316
1527469593743;3024;2972;28;68890624;62939553;94001316
1527469593843;3034;2982;28;68890624;62939717;94001689
1527469593943;3044;2992;28;68890624;62939881;94002060
1527469594043;3054;3002;28;68890624;62940045;94002429
1527469594143;3064;3012;28;68890624;62940045;94002429
1527469594243;3074;3021;28;68890624;62940209;94002800
1527469594343;3084;3031;28;68890624;62940373;94003172
1527469594443;3094;3041;28;68890624;62940373;94003172
1527469594543;3104;3051;28;68890624;62940537;94003543
1527469594643;3114;3061;28;68890624;62940701;94003916
1527469594743;3124;3071;28;68890624;62940701;94003916
1527469594843;3134;3081;28;68890624;62940865;94004289
1527469594943;3144;3091;28;68890624;62941029;94004663
1527469595043;3154;3100;28;68890624;62941193;94005036
1527469595143;3164;3110;28;68890624;62941193;94005036
1527469595243;3174;3120;28;68890624;62941357;94005410
1527469595343;3184;3130;28;68890624;62941521;94005784
1527469595444;3194;3140;28;68890624;62941521;94005784
1527469595544;3204;3151;28;68890624;62941685;94006155
1527469595644;3214;3161;28;68890624;62941849;94006529
1527469595744;3224;3171;28;68890624;62942013;94006901
1527469595844;3234;3180;28;68890624;62942013;94006901
1527469595944;3244;3190;28;68890624;62942177;94007273
1527469596044;3254;3201;28;68890624;62942341;94007645
