currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527378538500;1;0;0;7180288;43441415;67110335
1527378538600;11;10;0;8175616;43441415;67110335
1527378538700;21;17;3;8966144;43441415;67110335
1527378538800;31;27;3;9502720;43441415;67110335
1527378538900;41;37;3;10465280;43441415;67110335
1527378539000;51;47;3;10465280;43441415;67110335
1527378539100;61;57;3;13721600;43441415;67110335
1527378539201;71;67;3;15077376;43441415;67110335
1527378539302;81;77;3;15777792;43441415;67110335
1527378539402;91;86;4;16224256;43441415;67110335
1527378539502;101;96;4;20242432;43441415;67110335
1527378539602;111;106;4;25735168;43441415;67110335
1527378539702;121;116;4;26865664;43441415;67110335
1527378539802;131;125;5;30806016;43441415;67110335
1527378539902;141;135;5;31563776;43441415;67110335
1527378540002;151;144;6;32280576;43441415;67110335
1527378540102;161;152;7;32448512;43441415;67110335
1527378540202;171;162;7;33046528;43441415;67110335
1527378540302;181;172;7;33390592;43441415;67110335
1527378540402;191;180;9;33660928;43441415;67110335
1527378540502;201;190;9;34185216;43441465;67110335
1527378540602;211;200;9;34185216;43441465;67110335
1527378540702;221;210;9;34693120;43441515;67110335
1527378540803;231;220;9;35352576;43441515;67110335
1527378540903;241;229;10;35614720;43441515;67110335
1527378541003;251;239;10;36036608;43441515;67110335
1527378541103;261;249;10;36560896;43441515;67110335
1527378541203;271;259;10;36995072;43441561;67110335
1527378541303;281;268;11;37838848;43441561;67110335
1527378541403;291;277;12;38100992;43441561;67110335
1527378541503;301;287;12;38100992;43441561;67110335
1527378541603;311;296;13;39903232;43442006;67110803
1527378541703;321;306;13;39903232;43442062;67110855
1527378541803;331;316;13;40165376;43442219;67111193
1527378541903;341;326;13;40165376;43442376;67111533
1527378542003;351;336;13;40165376;43442376;67111533
1527378542103;361;346;13;40165376;43442533;67111872
1527378542203;371;356;13;40165376;43442690;67112211
1527378542303;381;366;13;40165376;43442847;67112547
1527378542403;391;376;13;40165376;43442847;67112547
1527378542503;401;386;13;40165376;43443004;67112881
1527378542603;411;396;13;40165376;43443161;67113217
1527378542703;421;406;13;40165376;43443318;67113556
1527378542803;431;416;13;40165376;43443318;67113556
1527378542903;441;426;13;40165376;43443475;67113891
1527378543003;451;436;13;40165376;43443632;67114225
1527378543104;461;445;14;40165376;43443789;67114557
1527378543204;471;455;14;40165376;43443789;67114557
1527378543304;481;465;14;40165376;43443946;67114893
1527378543404;491;475;14;40165376;43443946;67114893
1527378543504;501;485;14;40165376;43444103;67115229
1527378543604;511;495;14;40165376;43444260;67115565
1527378543704;521;505;14;40165376;43444417;67115900
1527378543804;531;515;14;40165376;43444417;67115900
1527378543904;541;525;14;40165376;43444574;67116235
1527378544004;551;535;14;40165376;43444679;67116514
1527378544104;561;545;14;40165376;43444836;67116849
1527378544204;571;555;14;40165376;43444888;67116901
1527378544304;581;565;14;40165376;43445045;67117236
1527378544404;591;575;14;40165376;43445150;67117516
1527378544504;601;585;14;40165376;43445202;67117568
1527378544604;611;595;14;40165376;43445359;67117902
1527378544705;621;605;14;40165376;43445516;67118235
1527378544805;631;615;14;40165376;43445621;67118518
1527378544905;641;625;14;40165376;43445673;67118570
1527378545005;651;635;14;40165376;43445830;67118905
1527378545105;661;645;14;40165376;43445987;67119239
1527378545205;671;655;14;40165376;43446092;67119522
1527378545305;681;665;14;40165376;43446144;67119574
1527378545405;691;675;14;40165376;43446301;67119910
1527378545505;701;685;14;40165376;43446458;67120245
1527378545605;711;695;14;40165376;43446563;67120528
